Time,Miami,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:35.0, ,73-79,Flagrant foul type 1 by C. Martin (drawn by T. Hardaway),,3,73,79,-6,1945.0
3:35.0, ,73-79,Instant Replay (Request: Ruling Stands),,3,73,79,-6,1945.0
3:35.0, ,73-80,T. Hardaway makes flagrant free throw 1 of 2,,3,73,80,-7,1945.0
3:35.0, ,73-80,T. Hardaway misses flagrant free throw 2 of 2,,3,73,80,-7,1945.0
3:35.0, ,73-80,Offensive rebound by Team,,3,73,80,-7,1945.0
3:19.0, ,73-83,M. Kleber makes 3-pt jump shot from 24 ft (assist by L. Dončić),,3,73,83,-10,1961.0
3:02.0,B. Adebayo makes 2-pt layup at rim (assist by D. Robinson),75-83, ,,3,75,83,-8,1978.0
2:47.0, ,75-83,D. Lively misses 2-pt jump shot from 12 ft,,3,75,83,-8,1993.0
2:45.0,Defensive rebound by B. Adebayo,75-83, ,,3,75,83,-8,1995.0
2:42.0,Personal foul by L. Dončić (drawn by T. Rozier),75-83, ,,3,75,83,-8,1998.0
2:42.0,J. Butler enters the game for T. Rozier,75-83, ,,3,75,83,-8,1998.0
2:42.0, ,75-83,J. Green enters the game for D. Exum,,3,75,83,-8,1998.0
2:31.0,C. Martin misses 2-pt jump shot from 13 ft,75-83, ,,3,75,83,-8,2009.0
2:28.0, ,75-83,Defensive rebound by L. Dončić,,3,75,83,-8,2012.0
2:25.0, ,75-83,Personal foul by D. Robinson (drawn by L. Dončić),,3,75,83,-8,2015.0
2:25.0,T. Rozier enters the game for D. Robinson,75-83, ,,3,75,83,-8,2015.0
2:16.0, ,75-85,L. Dončić makes 2-pt jump shot from 9 ft,,3,75,85,-10,2024.0
1:54.0,T. Rozier makes 3-pt jump shot from 23 ft,78-85, ,,3,78,85,-7,2046.0
1:46.0, ,78-88,T. Hardaway makes 3-pt jump shot from 25 ft,,3,78,88,-10,2054.0
1:36.0,Personal foul by M. Kleber (drawn by J. Butler),78-88, ,,3,78,88,-10,2064.0
1:21.0,Shooting foul by L. Dončić (drawn by T. Rozier),78-88, ,,3,78,88,-10,2079.0
1:21.0,T. Rozier makes free throw 1 of 2,79-88, ,,3,79,88,-9,2079.0
1:21.0,T. Rozier makes free throw 2 of 2,80-88, ,,3,80,88,-8,2079.0
1:04.0, ,80-88,T. Hardaway misses 2-pt jump shot from 19 ft,,3,80,88,-8,2096.0
1:02.0, ,80-88,Offensive rebound by D. Lively,,3,80,88,-8,2098.0
0:58.0, ,80-91,L. Dončić makes 3-pt jump shot from 25 ft (assist by M. Kleber),,3,80,91,-11,2102.0
0:33.0,C. Martin makes 3-pt jump shot from 25 ft (assist by J. Jaquez),83-91, ,,3,83,91,-8,2127.0
0:33.0,Shooting foul by D. Lively (drawn by C. Martin),83-91, ,,3,83,91,-8,2127.0
0:33.0,H. Highsmith enters the game for T. Rozier,83-91, ,,3,83,91,-8,2127.0
0:33.0, ,83-91,K. Irving enters the game for D. Lively,,3,83,91,-8,2127.0
0:33.0,C. Martin misses free throw 1 of 1,83-91, ,,3,83,91,-8,2127.0
0:31.0, ,83-91,Defensive rebound by L. Dončić,,3,83,91,-8,2129.0
0:12.0, ,83-91,T. Hardaway misses 2-pt layup from 3 ft,,3,83,91,-8,2148.0
0:10.0,Defensive rebound by C. Martin,83-91, ,,3,83,91,-8,2150.0
0:02.0,Turnover by J. Butler (bad pass; steal by J. Green),83-91, ,,3,83,91,-8,2158.0
0:00.0, ,83-91,J. Green misses 3-pt jump shot from 36 ft,,3,83,91,-8,2160.0
0:00.0, ,83-91,Offensive rebound by Team,,3,83,91,-8,2160.0
0:00.0,End of 3rd quarter,83-91,,,3,83,91,-8,2160.0
12:00.0,Start of 4th quarter,83-91,,,4,83,91,-8,2160.0
11:42.0,J. Butler makes 2-pt jump shot from 21 ft,85-91, ,,4,85,91,-6,2178.0
11:21.0, ,85-93,D. Gafford makes 2-pt layup from 3 ft (assist by D. Exum),,4,85,93,-8,2199.0
11:05.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by T. Rozier),88-93, ,,4,88,93,-5,2215.0
10:54.0, ,88-93,J. Green misses 3-pt jump shot from 23 ft,,4,88,93,-5,2226.0
10:50.0,Defensive rebound by J. Butler,88-93, ,,4,88,93,-5,2230.0
10:43.0,J. Butler misses 2-pt jump shot from 9 ft,88-93, ,,4,88,93,-5,2237.0
10:42.0,Offensive rebound by Team,88-93, ,,4,88,93,-5,2238.0
10:42.0, ,88-93,Loose ball foul by D. Gafford (drawn by T. Bryant),,4,88,93,-5,2238.0
10:34.0,Personal foul by K. Irving (drawn by J. Butler),88-93, ,,4,88,93,-5,2246.0
10:25.0,C. Martin misses 3-pt jump shot from 26 ft,88-93, ,,4,88,93,-5,2255.0
10:22.0, ,88-93,Defensive rebound by P. Washington,,4,88,93,-5,2258.0
10:12.0, ,88-93,P. Washington misses 3-pt jump shot from 25 ft,,4,88,93,-5,2268.0
10:08.0,Defensive rebound by J. Jaquez,88-93, ,,4,88,93,-5,2272.0
9:56.0,Offensive foul by J. Butler (drawn by D. Exum),88-93, ,,4,88,93,-5,2284.0
9:56.0,Turnover by J. Butler (offensive foul),88-93, ,,4,88,93,-5,2284.0
9:37.0, ,88-93,P. Washington misses 2-pt layup from 2 ft,,4,88,93,-5,2303.0
9:36.0, ,88-93,Offensive rebound by P. Washington,,4,88,93,-5,2304.0
9:36.0, ,88-93,P. Washington misses 2-pt layup from 1 ft,,4,88,93,-5,2304.0
9:34.0, ,88-93,Offensive rebound by P. Washington,,4,88,93,-5,2306.0
9:33.0, ,88-95,P. Washington makes 2-pt layup at rim,,4,88,95,-7,2307.0
9:21.0,T. Rozier misses 2-pt layup from 4 ft (block by D. Gafford),88-95, ,,4,88,95,-7,2319.0
9:20.0,Offensive rebound by Team,88-95, ,,4,88,95,-7,2320.0
9:15.0,T. Rozier makes 3-pt jump shot from 24 ft (assist by T. Bryant),91-95, ,,4,91,95,-4,2325.0
8:57.0, ,91-95,K. Irving misses 2-pt layup from 4 ft (block by C. Martin),,4,91,95,-4,2343.0
8:56.0, ,91-95,Offensive rebound by Team,,4,91,95,-4,2344.0
8:56.0,B. Adebayo enters the game for T. Bryant,91-95, ,,4,91,95,-4,2344.0
8:56.0, ,91-95,L. Dončić enters the game for D. Exum,,4,91,95,-4,2344.0
8:47.0, ,91-95,Turnover by Team (shot clock),,4,91,95,-4,2353.0
8:30.0,T. Rozier misses 2-pt jump shot from 12 ft,91-95, ,,4,91,95,-4,2370.0
8:26.0, ,91-95,Defensive rebound by J. Green,,4,91,95,-4,2374.0
8:21.0, ,91-95,L. Dončić misses 3-pt jump shot from 25 ft,,4,91,95,-4,2379.0
8:18.0,Defensive rebound by T. Rozier,91-95, ,,4,91,95,-4,2382.0
7:59.0,J. Butler makes 2-pt jump shot from 16 ft (assist by T. Rozier),93-95, ,,4,93,95,-2,2401.0
7:38.0, ,93-95,P. Washington misses 3-pt jump shot from 23 ft,,4,93,95,-2,2422.0
7:35.0,Defensive rebound by T. Rozier,93-95, ,,4,93,95,-2,2425.0
7:21.0,Shooting foul by D. Gafford (drawn by J. Jaquez),93-95, ,,4,93,95,-2,2439.0
7:21.0,J. Jaquez makes free throw 1 of 2,94-95, ,,4,94,95,-1,2439.0
7:21.0, ,94-95,D. Lively enters the game for D. Gafford,,4,94,95,-1,2439.0
7:21.0,J. Jaquez makes free throw 2 of 2,95-95, ,Tie,4,95,95,0,2439.0
7:12.0, ,95-95,Personal foul by J. Jaquez (drawn by L. Dončić),,4,95,95,0,2448.0
7:05.0, ,95-95,K. Irving misses 2-pt jump shot from 17 ft,,4,95,95,0,2455.0
7:00.0,Defensive rebound by J. Jaquez,95-95, ,,4,95,95,0,2460.0
6:56.0,C. Martin makes 2-pt layup from 1 ft (assist by T. Rozier),97-95, ,Lead change,4,97,95,2,2464.0
6:55.0, ,97-95,Dallas full timeout,,4,97,95,2,2465.0
6:31.0, ,97-98,L. Dončić makes 3-pt jump shot from 24 ft (assist by K. Irving),Lead change,4,97,98,-1,2489.0
6:10.0,J. Butler makes 2-pt jump shot from 11 ft (assist by C. Martin),99-98, ,Lead change,4,99,98,1,2510.0
6:10.0, ,99-98,Violation by Team (def goaltending),,4,99,98,1,2510.0
5:58.0, ,99-98,L. Dončić misses 2-pt jump shot from 11 ft,,4,99,98,1,2522.0
5:54.0,Defensive rebound by T. Rozier,99-98, ,,4,99,98,1,2526.0
5:41.0,J. Butler misses 2-pt layup from 6 ft (block by K. Irving),99-98, ,,4,99,98,1,2539.0
5:41.0,Offensive rebound by Team,99-98, ,,4,99,98,1,2539.0
5:41.0, ,99-98,D. Exum enters the game for J. Green,,4,99,98,1,2539.0
5:41.0, ,99-98,M. Kleber enters the game for P. Washington,,4,99,98,1,2539.0
5:33.0,Turnover by Team (shot clock),99-98, ,,4,99,98,1,2547.0
5:17.0, ,99-100,K. Irving makes 2-pt jump shot from 13 ft,Lead change,4,99,100,-1,2563.0
4:54.0,J. Jaquez misses 3-pt jump shot from 26 ft,99-100, ,,4,99,100,-1,2586.0
4:52.0, ,99-100,Defensive rebound by L. Dončić,,4,99,100,-1,2588.0
4:46.0, ,99-100,Turnover by L. Dončić (bad pass; steal by J. Butler),,4,99,100,-1,2594.0
4:26.0,J. Butler makes 2-pt jump shot from 13 ft,101-100, ,Lead change,4,101,100,1,2614.0
4:05.0, ,101-100,Personal foul by J. Jaquez (drawn by M. Kleber),,4,101,100,1,2635.0
4:05.0,D. Robinson enters the game for J. Jaquez,101-100, ,,4,101,100,1,2635.0
3:59.0, ,101-100,K. Irving misses 3-pt jump shot from 23 ft,,4,101,100,1,2641.0
3:57.0,Defensive rebound by D. Robinson,101-100, ,,4,101,100,1,2643.0
3:53.0,Miami full timeout,101-100, ,,4,101,100,1,2647.0
3:41.0,D. Robinson misses 3-pt jump shot from 23 ft,101-100, ,,4,101,100,1,2659.0
3:38.0, ,101-100,Defensive rebound by K. Irving,,4,101,100,1,2662.0
3:15.0, ,101-103,D. Exum makes 3-pt jump shot from 26 ft (assist by L. Dončić),Lead change,4,101,103,-2,2685.0
2:48.0,B. Adebayo misses 2-pt layup from 3 ft,101-103, ,,4,101,103,-2,2712.0
2:46.0, ,101-103,Defensive rebound by D. Exum,,4,101,103,-2,2714.0
2:27.0, ,101-106,L. Dončić makes 3-pt jump shot from 26 ft,,4,101,106,-5,2733.0
2:12.0,T. Rozier makes 3-pt jump shot from 26 ft,104-106, ,,4,104,106,-2,2748.0
1:55.0, ,104-106,Turnover by K. Irving (step out of bounds),,4,104,106,-2,2765.0
1:40.0,B. Adebayo misses 2-pt layup from 3 ft,104-106, ,,4,104,106,-2,2780.0
1:38.0, ,104-106,Defensive rebound by L. Dončić,,4,104,106,-2,2782.0
1:33.0, ,104-106,L. Dončić misses 3-pt jump shot from 28 ft,,4,104,106,-2,2787.0
1:30.0, ,104-106,Offensive rebound by D. Lively,,4,104,106,-2,2790.0
1:28.0, ,104-109,K. Irving makes 3-pt jump shot from 24 ft (assist by D. Lively),,4,104,109,-5,2792.0
1:20.0,T. Rozier misses 3-pt jump shot from 24 ft,104-109, ,,4,104,109,-5,2800.0
1:19.0, ,104-109,Defensive rebound by Team,,4,104,109,-5,2801.0
1:19.0,Loose ball foul by C. Martin (drawn by K. Irving),104-109, ,,4,104,109,-5,2801.0
1:07.0, ,104-111,D. Exum makes 2-pt jump shot from 11 ft (assist by L. Dončić),,4,104,111,-7,2813.0
1:07.0,Miami full timeout,104-111, ,,4,104,111,-7,2813.0
0:58.0,T. Rozier makes 2-pt layup from 1 ft,106-111, ,,4,106,111,-5,2822.0
0:37.0, ,106-111,Turnover by D. Exum (lost ball; steal by B. Adebayo),,4,106,111,-5,2843.0
0:33.0,Shooting foul by D. Lively (drawn by B. Adebayo),106-111, ,,4,106,111,-5,2847.0
0:33.0,B. Adebayo makes free throw 1 of 2,107-111, ,,4,107,111,-4,2847.0
0:33.0, ,107-111,P. Washington enters the game for D. Lively,,4,107,111,-4,2847.0
0:33.0,B. Adebayo makes free throw 2 of 2,108-111, ,,4,108,111,-3,2847.0
0:21.0, ,108-111,Personal foul by C. Martin (drawn by D. Exum),,4,108,111,-3,2859.0
0:21.0, ,108-112,D. Exum makes free throw 1 of 2,,4,108,112,-4,2859.0
0:21.0, ,108-113,D. Exum makes free throw 2 of 2,,4,108,113,-5,2859.0
0:14.0,B. Adebayo misses 2-pt jump shot from 6 ft,108-113, ,,4,108,113,-5,2866.0
0:12.0, ,108-113,Defensive rebound by K. Irving,,4,108,113,-5,2868.0
0:09.0, ,108-113,Shooting foul by C. Martin (drawn by P. Washington),,4,108,113,-5,2871.0
0:09.0,J. Jaquez enters the game for C. Martin,108-113, ,,4,108,113,-5,2871.0
0:09.0, ,108-114,P. Washington makes free throw 1 of 2,,4,108,114,-6,2871.0
0:09.0, ,108-114,P. Washington misses free throw 2 of 2,,4,108,114,-6,2871.0
0:08.0,Defensive rebound by B. Adebayo,108-114, ,,4,108,114,-6,2872.0
0:08.0,Miami full timeout,108-114, ,,4,108,114,-6,2872.0
0:01.0,D. Robinson misses 3-pt jump shot from 23 ft,108-114, ,,4,108,114,-6,2879.0
0:01.0, ,108-114,Defensive rebound by L. Dončić,,4,108,114,-6,2879.0
0:00.0,End of 4th quarter,108-114,,,4,108,114,-6,2880.0
