Time,Miami,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:57.0, ,16-7,T. Hardaway enters the game for D. Jones,,1,16,7,9,243.0
7:57.0, ,16-7,M. Kleber enters the game for P. Washington,,1,16,7,9,243.0
7:51.0, ,16-7,K. Irving misses 2-pt layup from 1 ft,,1,16,7,9,249.0
7:49.0,Defensive rebound by J. Butler,16-7, ,,1,16,7,9,251.0
7:37.0,N. Jović makes 2-pt jump shot from 7 ft (assist by B. Adebayo),18-7, ,,1,18,7,11,263.0
7:17.0, ,18-7,M. Kleber misses 3-pt jump shot from 23 ft,,1,18,7,11,283.0
7:14.0,Defensive rebound by T. Rozier,18-7, ,,1,18,7,11,286.0
7:08.0,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),21-7, ,,1,21,7,14,292.0
6:55.0, ,21-9,T. Hardaway makes 2-pt jump shot from 12 ft (assist by K. Irving),,1,21,9,12,305.0
6:37.0,N. Jović misses 3-pt jump shot from 23 ft,21-9, ,,1,21,9,12,323.0
6:35.0, ,21-9,Defensive rebound by L. Dončić,,1,21,9,12,325.0
6:30.0, ,21-9,L. Dončić misses 3-pt jump shot from 25 ft,,1,21,9,12,330.0
6:28.0,Defensive rebound by D. Robinson,21-9, ,,1,21,9,12,332.0
6:21.0,B. Adebayo makes 2-pt layup from 1 ft (assist by T. Rozier),23-9, ,,1,23,9,14,339.0
6:00.0, ,23-11,L. Dončić makes 2-pt jump shot from 5 ft,,1,23,11,12,360.0
5:40.0,Turnover by D. Robinson (bad pass; steal by K. Irving),23-11, ,,1,23,11,12,380.0
5:36.0, ,23-14,L. Dončić makes 3-pt jump shot from 26 ft,,1,23,14,9,384.0
5:35.0,Miami full timeout,23-14, ,,1,23,14,9,385.0
5:35.0,J. Jaquez enters the game for J. Butler,23-14, ,,1,23,14,9,385.0
5:35.0, ,23-14,J. Green enters the game for D. Gafford,,1,23,14,9,385.0
5:35.0, ,23-14,D. Lively enters the game for K. Irving,,1,23,14,9,385.0
5:13.0,J. Jaquez makes 3-pt jump shot from 25 ft (assist by B. Adebayo),26-14, ,,1,26,14,12,407.0
5:00.0, ,26-14,T. Hardaway misses 3-pt jump shot from 25 ft,,1,26,14,12,420.0
4:58.0,Defensive rebound by N. Jović,26-14, ,,1,26,14,12,422.0
4:51.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by J. Jaquez),29-14, ,,1,29,14,15,429.0
4:35.0, ,29-17,T. Hardaway makes 3-pt jump shot from 25 ft (assist by J. Green),,1,29,17,12,445.0
4:16.0,T. Rozier makes 2-pt jump shot from 8 ft,31-17, ,,1,31,17,14,464.0
4:02.0, ,31-19,L. Dončić makes 2-pt jump shot from 8 ft,,1,31,19,12,478.0
3:49.0,Turnover by N. Jović (bad pass),31-19, ,,1,31,19,12,491.0
3:36.0, ,31-22,L. Dončić makes 3-pt jump shot from 25 ft,,1,31,22,9,504.0
3:36.0,C. Martin enters the game for N. Jović,31-22, ,,1,31,22,9,504.0
3:36.0, ,31-22,K. Irving enters the game for L. Dončić,,1,31,22,9,504.0
3:17.0,J. Jaquez misses 2-pt jump shot from 8 ft (block by M. Kleber),31-22, ,,1,31,22,9,523.0
3:16.0,Offensive rebound by Team,31-22, ,,1,31,22,9,524.0
3:09.0,B. Adebayo misses 2-pt jump shot from 11 ft,31-22, ,,1,31,22,9,531.0
3:07.0, ,31-22,Defensive rebound by M. Kleber,,1,31,22,9,533.0
2:57.0, ,31-24,K. Irving makes 2-pt jump shot from 6 ft,,1,31,24,7,543.0
2:45.0,T. Rozier misses 2-pt jump shot from 19 ft,31-24, ,,1,31,24,7,555.0
2:42.0, ,31-24,Defensive rebound by M. Kleber,,1,31,24,7,558.0
2:36.0, ,31-24,Personal foul by D. Robinson (drawn by K. Irving),,1,31,24,7,564.0
2:36.0, ,31-24,P. Washington enters the game for M. Kleber,,1,31,24,7,564.0
2:35.0, ,31-24,Personal foul by C. Martin (drawn by K. Irving),,1,31,24,7,565.0
2:35.0,T. Bryant enters the game for B. Adebayo,31-24, ,,1,31,24,7,565.0
2:35.0,J. Butler enters the game for T. Rozier,31-24, ,,1,31,24,7,565.0
2:25.0, ,31-26,P. Washington makes 2-pt jump shot from 9 ft (assist by T. Hardaway),,1,31,26,5,575.0
2:02.0,C. Martin makes 3-pt jump shot from 23 ft (assist by J. Butler),34-26, ,,1,34,26,8,598.0
1:49.0, ,34-26,Turnover by K. Irving (bad pass; steal by J. Jaquez),,1,34,26,8,611.0
1:36.0,T. Bryant makes 2-pt dunk at rim (assist by D. Robinson),36-26, ,,1,36,26,10,624.0
1:18.0, ,36-26,K. Irving misses 3-pt jump shot from 25 ft,,1,36,26,10,642.0
1:17.0,Defensive rebound by T. Bryant,36-26, ,,1,36,26,10,643.0
1:01.0,Turnover by J. Butler (bad pass),36-26, ,,1,36,26,10,659.0
1:01.0,H. Highsmith enters the game for D. Robinson,36-26, ,,1,36,26,10,659.0
0:42.0, ,36-26,T. Hardaway misses 2-pt layup from 3 ft (block by T. Bryant),,1,36,26,10,678.0
0:40.0,Defensive rebound by J. Butler,36-26, ,,1,36,26,10,680.0
0:29.0,J. Butler misses 2-pt layup from 6 ft (block by J. Green),36-26, ,,1,36,26,10,691.0
0:27.0, ,36-26,Defensive rebound by T. Hardaway,,1,36,26,10,693.0
0:24.0, ,36-28,J. Green makes 2-pt layup from 2 ft (assist by K. Irving),,1,36,28,8,696.0
0:24.0,D. Robinson enters the game for H. Highsmith,36-28, ,,1,36,28,8,696.0
0:00.0,Turnover by Team (shot clock),36-28, ,,1,36,28,8,720.0
0:00.0,End of 1st quarter,36-28,,,1,36,28,8,720.0
12:00.0,Start of 2nd quarter,36-28,,,2,36,28,8,720.0
11:41.0, ,36-28,D. Exum misses 2-pt jump shot from 4 ft,,2,36,28,8,739.0
11:39.0, ,36-28,Offensive rebound by J. Green,,2,36,28,8,741.0
11:37.0, ,36-28,Shooting foul by T. Bryant (drawn by D. Exum),,2,36,28,8,743.0
11:37.0, ,36-29,D. Exum makes free throw 1 of 3,,2,36,29,7,743.0
11:37.0, ,36-30,D. Exum makes free throw 2 of 3,,2,36,30,6,743.0
11:37.0, ,36-31,D. Exum makes free throw 3 of 3,,2,36,31,5,743.0
11:13.0,J. Butler makes 3-pt jump shot from 23 ft (assist by H. Highsmith),39-31, ,,2,39,31,8,767.0
11:00.0, ,39-33,P. Washington makes 2-pt jump shot from 8 ft (assist by L. Dončić),,2,39,33,6,780.0
10:44.0,J. Jaquez makes 3-pt jump shot from 23 ft (assist by J. Butler),42-33, ,,2,42,33,9,796.0
10:34.0, ,42-35,D. Lively makes 2-pt dunk at rim (assist by P. Washington),,2,42,35,7,806.0
10:12.0,T. Bryant misses 3-pt jump shot from 23 ft,42-35, ,,2,42,35,7,828.0
10:10.0, ,42-35,Defensive rebound by D. Exum,,2,42,35,7,830.0
9:53.0, ,42-37,L. Dončić makes 2-pt jump shot from 8 ft (assist by D. Exum),,2,42,37,5,847.0
9:42.0,C. Martin makes 3-pt jump shot from 26 ft,45-37, ,,2,45,37,8,858.0
9:28.0, ,45-40,D. Exum makes 3-pt jump shot from 23 ft (assist by J. Green),,2,45,40,5,872.0
9:14.0,J. Jaquez misses 2-pt layup from 3 ft (block by P. Washington),45-40, ,,2,45,40,5,886.0
9:11.0, ,45-40,Defensive rebound by D. Exum,,2,45,40,5,889.0
8:58.0, ,45-40,L. Dončić misses 2-pt jump shot from 12 ft,,2,45,40,5,902.0
8:56.0,Defensive rebound by C. Martin,45-40, ,,2,45,40,5,904.0
8:44.0,Personal foul by D. Exum (drawn by J. Butler),45-40, ,,2,45,40,5,916.0
8:35.0,Turnover by J. Butler (bad pass; steal by P. Washington),45-40, ,,2,45,40,5,925.0
8:34.0,Loose ball foul by J. Butler (drawn by P. Washington),45-40, ,,2,45,40,5,926.0
8:34.0,Miami full timeout,45-40, ,,2,45,40,5,926.0
8:34.0,Instant Replay (Challenge: Stands),45-40, ,,2,45,40,5,926.0
8:25.0, ,45-43,P. Washington makes 3-pt jump shot from 26 ft (assist by D. Exum),,2,45,43,2,935.0
8:01.0,Turnover by J. Butler (bad pass; steal by L. Dončić),45-43, ,,2,45,43,2,959.0
7:57.0, ,45-43,D. Exum misses 2-pt dunk from 1 ft,,2,45,43,2,963.0
7:53.0,Defensive rebound by J. Jaquez,45-43, ,,2,45,43,2,967.0
7:47.0,T. Bryant misses 3-pt jump shot from 23 ft,45-43, ,,2,45,43,2,973.0
7:45.0,Offensive rebound by C. Martin,45-43, ,,2,45,43,2,975.0
7:38.0,Shooting foul by D. Lively (drawn by J. Butler),45-43, ,,2,45,43,2,982.0
7:38.0,J. Butler misses free throw 1 of 2,45-43, ,,2,45,43,2,982.0
7:38.0,Offensive rebound by Team,45-43, ,,2,45,43,2,982.0
7:38.0, ,45-43,D. Gafford enters the game for D. Exum,,2,45,43,2,982.0
7:38.0, ,45-43,K. Irving enters the game for J. Green,,2,45,43,2,982.0
7:38.0, ,45-43,D. Jones enters the game for D. Lively,,2,45,43,2,982.0
7:38.0,J. Butler makes free throw 2 of 2,46-43, ,,2,46,43,3,982.0
7:35.0, ,46-43,D. Jones misses 2-pt dunk from 4 ft,,2,46,43,3,985.0
7:33.0,Defensive rebound by Team,46-43, ,,2,46,43,3,987.0
7:11.0,H. Highsmith misses 3-pt jump shot from 26 ft,46-43, ,,2,46,43,3,1009.0
7:08.0, ,46-43,Defensive rebound by D. Gafford,,2,46,43,3,1012.0
7:01.0, ,46-43,Shooting foul by T. Bryant (drawn by D. Jones),,2,46,43,3,1019.0
7:01.0, ,46-44,D. Jones makes free throw 1 of 2,,2,46,44,2,1019.0
7:01.0,B. Adebayo enters the game for T. Bryant,46-44, ,,2,46,44,2,1019.0
7:01.0,T. Rozier enters the game for J. Butler,46-44, ,,2,46,44,2,1019.0
7:01.0, ,46-44,T. Hardaway enters the game for L. Dončić,,2,46,44,2,1019.0
7:01.0, ,46-44,D. Jones misses free throw 2 of 2,,2,46,44,2,1019.0
6:58.0,Defensive rebound by J. Jaquez,46-44, ,,2,46,44,2,1022.0
6:49.0,H. Highsmith misses 3-pt jump shot from 24 ft,46-44, ,,2,46,44,2,1031.0
6:45.0, ,46-44,Defensive rebound by D. Gafford,,2,46,44,2,1035.0
6:39.0, ,46-44,K. Irving misses 2-pt jump shot from 11 ft,,2,46,44,2,1041.0
6:36.0,Defensive rebound by H. Highsmith,46-44, ,,2,46,44,2,1044.0
6:29.0,H. Highsmith makes 2-pt dunk from 3 ft (assist by T. Rozier),48-44, ,,2,48,44,4,1051.0
6:18.0, ,48-44,P. Washington misses 3-pt jump shot from 26 ft,,2,48,44,4,1062.0
6:16.0,Defensive rebound by J. Jaquez,48-44, ,,2,48,44,4,1064.0
6:01.0,H. Highsmith misses 2-pt hook shot from 7 ft,48-44, ,,2,48,44,4,1079.0
