Time,Philadelphia,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: P. Reed vs. B. Adebayo (K. Oubre gains possession),0-0,,,1,0,0,0,0.0
11:54.0,K. Oubre misses 2-pt layup from 1 ft (block by T. Herro),0-0, ,,1,0,0,0,6.0
11:51.0, ,0-0,Defensive rebound by J. Jaquez,,1,0,0,0,9.0
11:38.0, ,0-2,B. Adebayo makes 2-pt jump shot from 12 ft,,1,2,0,2,22.0
11:24.0,K. Oubre makes 2-pt dunk from 1 ft,2-2, ,Tie,1,2,2,0,36.0
11:03.0, ,2-2,Turnover by B. Adebayo (traveling),,1,2,2,0,57.0
10:53.0,T. Maxey misses 3-pt jump shot from 29 ft,2-2, ,,1,2,2,0,67.0
10:50.0, ,2-2,Defensive rebound by B. Adebayo,,1,2,2,0,70.0
10:44.0, ,2-2,Turnover by B. Adebayo (lost ball; steal by T. Maxey),,1,2,2,0,76.0
10:40.0,Shooting foul by K. Lowry (drawn by T. Harris),2-2, ,,1,2,2,0,80.0
10:40.0,T. Harris makes free throw 1 of 2,3-2, ,Lead change,1,2,3,-1,80.0
10:40.0,T. Harris makes free throw 2 of 2,4-2, ,,1,2,4,-2,80.0
10:33.0, ,4-2,T. Herro misses 2-pt layup from 4 ft (block by K. Oubre),,1,2,4,-2,87.0
10:29.0,Defensive rebound by D. Melton,4-2, ,,1,2,4,-2,91.0
10:25.0, ,4-2,Violation by Team (kicked ball),,1,2,4,-2,95.0
10:18.0,T. Harris makes 2-pt jump shot from 8 ft,6-2, ,,1,2,6,-4,102.0
10:02.0, ,6-2,T. Herro misses 3-pt jump shot from 26 ft,,1,2,6,-4,118.0
9:59.0,Defensive rebound by P. Reed,6-2, ,,1,2,6,-4,121.0
9:52.0,T. Harris makes 2-pt jump shot from 7 ft,8-2, ,,1,2,8,-6,128.0
9:39.0, ,8-5,T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo),,1,5,8,-3,141.0
9:26.0,T. Maxey misses 3-pt jump shot from 25 ft,8-5, ,,1,5,8,-3,154.0
9:22.0, ,8-5,Defensive rebound by B. Adebayo,,1,5,8,-3,158.0
9:13.0, ,8-5,Turnover by T. Herro (bad pass; steal by D. Melton),,1,5,8,-3,167.0
9:06.0,D. Melton makes 2-pt layup from 2 ft,10-5, ,,1,5,10,-5,174.0
9:06.0,Shooting foul by C. Martin (drawn by D. Melton),10-5, ,,1,5,10,-5,174.0
9:06.0,Instant Replay (Challenge: Ruling Stands),10-5, ,,1,5,10,-5,174.0
9:06.0,Philadelphia full timeout,10-5, ,,1,5,10,-5,174.0
9:06.0,D. Melton makes free throw 1 of 1,11-5, ,,1,5,11,-6,174.0
8:44.0, ,11-5,Turnover by C. Martin (bad pass; steal by K. Oubre),,1,5,11,-6,196.0
8:36.0,P. Reed makes 2-pt hook shot from 5 ft (assist by K. Oubre),13-5, ,,1,5,13,-8,204.0
8:22.0, ,13-5,Shooting foul by P. Reed (drawn by B. Adebayo),,1,5,13,-8,218.0
8:22.0, ,13-5,B. Adebayo misses free throw 1 of 2,,1,5,13,-8,218.0
8:22.0, ,13-5,Offensive rebound by Team,,1,5,13,-8,218.0
8:22.0, ,13-6,B. Adebayo makes free throw 2 of 2,,1,6,13,-7,218.0
8:02.0,D. Melton misses 2-pt layup from 3 ft (block by B. Adebayo),13-6, ,,1,6,13,-7,238.0
8:01.0,Offensive rebound by Team,13-6, ,,1,6,13,-7,239.0
8:00.0,T. Harris misses 2-pt jump shot from 21 ft,13-6, ,,1,6,13,-7,240.0
7:59.0,Offensive rebound by Team,13-6, ,,1,6,13,-7,241.0
7:58.0,Turnover by Team (shot clock),13-6, ,,1,6,13,-7,242.0
7:49.0, ,13-6,T. Herro misses 2-pt layup from 10 ft (block by T. Maxey),,1,6,13,-7,251.0
7:46.0,Defensive rebound by T. Maxey,13-6, ,,1,6,13,-7,254.0
7:37.0,T. Maxey misses 3-pt jump shot from 29 ft,13-6, ,,1,6,13,-7,263.0
7:32.0, ,13-6,Defensive rebound by C. Martin,,1,6,13,-7,268.0
7:27.0, ,13-6,Shooting foul by P. Reed (drawn by B. Adebayo),,1,6,13,-7,273.0
7:27.0, ,13-7,B. Adebayo makes free throw 1 of 2,,1,7,13,-6,273.0
7:27.0, ,13-8,B. Adebayo makes free throw 2 of 2,,1,8,13,-5,273.0
7:15.0,K. Oubre makes 2-pt layup from 2 ft,15-8, ,,1,8,15,-7,285.0
7:15.0, ,15-8,Violation by Team (def goaltending),,1,8,15,-7,285.0
6:57.0, ,15-8,B. Adebayo misses 2-pt jump shot from 13 ft,,1,8,15,-7,303.0
6:54.0,Defensive rebound by K. Oubre,15-8, ,,1,8,15,-7,306.0
6:33.0,T. Harris makes 3-pt jump shot from 22 ft (assist by T. Maxey),18-8, ,,1,8,18,-10,327.0
6:24.0, ,18-8,Personal foul by D. Melton (drawn by T. Herro),,1,8,18,-10,336.0
6:24.0,M. Bamba enters the game for T. Harris,18-8, ,,1,8,18,-10,336.0
6:24.0,M. Morris enters the game for P. Reed,18-8, ,,1,8,18,-10,336.0
6:24.0, ,18-8,D. Robinson enters the game for K. Lowry,,1,8,18,-10,336.0
6:19.0, ,18-10,J. Jaquez makes 2-pt layup from 2 ft (assist by B. Adebayo),,1,10,18,-8,341.0
6:04.0,D. Melton misses 3-pt jump shot from 25 ft,18-10, ,,1,10,18,-8,356.0
6:01.0, ,18-10,Defensive rebound by C. Martin,,1,10,18,-8,359.0
5:59.0, ,18-12,T. Herro makes 2-pt dunk from 1 ft (assist by C. Martin),,1,12,18,-6,361.0
5:44.0,D. Melton misses 2-pt hook shot from 4 ft,18-12, ,,1,12,18,-6,376.0
5:41.0,Offensive rebound by D. Melton,18-12, ,,1,12,18,-6,379.0
5:40.0,K. Oubre makes 3-pt jump shot from 22 ft (assist by D. Melton),21-12, ,,1,12,21,-9,380.0
5:27.0, ,21-12,T. Herro misses 2-pt jump shot from 15 ft,,1,12,21,-9,393.0
5:24.0, ,21-12,Offensive rebound by T. Herro,,1,12,21,-9,396.0
5:23.0, ,21-12,T. Herro misses 2-pt jump shot from 11 ft,,1,12,21,-9,397.0
5:23.0, ,21-12,Offensive rebound by C. Martin,,1,12,21,-9,397.0
5:23.0,P. Beverley enters the game for D. Melton,21-12, ,,1,12,21,-9,397.0
5:23.0, ,21-12,K. Love enters the game for B. Adebayo,,1,12,21,-9,397.0
5:22.0,Jump ball: M. Bamba vs. C. Martin (T. Maxey gains possession),21-12,,,1,12,21,-9,398.0
5:22.0, ,21-12,Turnover by C. Martin (lost ball; steal by M. Bamba),,1,12,21,-9,398.0
5:09.0,T. Maxey misses 2-pt layup from 6 ft,21-12, ,,1,12,21,-9,411.0
5:06.0, ,21-12,Defensive rebound by C. Martin,,1,12,21,-9,414.0
5:04.0, ,21-12,Shooting foul by P. Beverley (drawn by C. Martin),,1,12,21,-9,416.0
5:04.0, ,21-12,C. Martin misses free throw 1 of 2,,1,12,21,-9,416.0
5:04.0, ,21-12,Offensive rebound by Team,,1,12,21,-9,416.0
5:04.0, ,21-13,C. Martin makes free throw 2 of 2,,1,13,21,-8,416.0
4:47.0,M. Morris misses 2-pt jump shot from 12 ft,21-13, ,,1,13,21,-8,433.0
4:44.0, ,21-13,Defensive rebound by T. Herro,,1,13,21,-8,436.0
4:37.0, ,21-13,K. Love misses 3-pt jump shot from 25 ft,,1,13,21,-8,443.0
4:31.0,Defensive rebound by P. Beverley,21-13, ,,1,13,21,-8,449.0
4:24.0,T. Maxey misses 2-pt layup from 2 ft,21-13, ,,1,13,21,-8,456.0
4:21.0, ,21-13,Defensive rebound by J. Jaquez,,1,13,21,-8,459.0
4:10.0, ,21-16,D. Robinson makes 3-pt jump shot from 26 ft (assist by J. Jaquez),,1,16,21,-5,470.0
3:51.0,P. Beverley misses 3-pt jump shot from 26 ft,21-16, ,,1,16,21,-5,489.0
3:46.0, ,21-16,Defensive rebound by D. Robinson,,1,16,21,-5,494.0
3:39.0, ,21-16,T. Herro misses 2-pt jump shot from 16 ft,,1,16,21,-5,501.0
3:36.0,Defensive rebound by M. Morris,21-16, ,,1,16,21,-5,504.0
3:21.0,T. Maxey misses 2-pt jump shot from 15 ft,21-16, ,,1,16,21,-5,519.0
3:18.0, ,21-16,Defensive rebound by C. Martin,,1,16,21,-5,522.0
3:17.0, ,21-16,Miami full timeout,,1,16,21,-5,523.0
3:17.0,T. Harris enters the game for T. Maxey,21-16, ,,1,16,21,-5,523.0
3:17.0,D. House enters the game for K. Oubre,21-16, ,,1,16,21,-5,523.0
3:17.0, ,21-16,J. Cain enters the game for C. Martin,,1,16,21,-5,523.0
3:09.0, ,21-18,J. Jaquez makes 2-pt hook shot from 7 ft (assist by K. Love),,1,18,21,-3,531.0
2:47.0,Turnover by D. House (bad pass; steal by J. Jaquez),21-18, ,,1,18,21,-3,553.0
2:39.0, ,21-18,D. Robinson misses 2-pt layup from 2 ft,,1,18,21,-3,561.0
2:36.0,Defensive rebound by P. Beverley,21-18, ,,1,18,21,-3,564.0
2:35.0,Shooting foul by J. Jaquez (drawn by D. House),21-18, ,,1,18,21,-3,565.0
2:35.0,D. House misses free throw 1 of 2,21-18, ,,1,18,21,-3,565.0
2:35.0,Offensive rebound by Team,21-18, ,,1,18,21,-3,565.0
2:35.0, ,21-18,K. Lowry enters the game for T. Herro,,1,18,21,-3,565.0
2:35.0,D. House makes free throw 2 of 2,22-18, ,,1,18,22,-4,565.0
2:28.0, ,22-20,J. Jaquez makes 2-pt hook shot from 2 ft,,1,20,22,-2,572.0
2:04.0,D. House misses 3-pt jump shot from 23 ft,22-20, ,,1,20,22,-2,596.0
1:59.0, ,22-20,Defensive rebound by K. Love,,1,20,22,-2,601.0
1:50.0, ,22-20,J. Cain misses 2-pt jump shot from 10 ft,,1,20,22,-2,610.0
1:47.0,Defensive rebound by M. Bamba,22-20, ,,1,20,22,-2,613.0
1:39.0,M. Morris misses 3-pt jump shot from 26 ft,22-20, ,,1,20,22,-2,621.0
1:35.0, ,22-20,Defensive rebound by K. Love,,1,20,22,-2,625.0
1:32.0, ,22-22,J. Jaquez makes 2-pt jump shot from 3 ft (assist by K. Love),Tie,1,22,22,0,628.0
1:12.0,Turnover by P. Beverley (bad pass; steal by K. Lowry),22-22, ,,1,22,22,0,648.0
1:06.0, ,22-22,J. Jaquez misses 2-pt layup from 2 ft,,1,22,22,0,654.0
1:03.0,Defensive rebound by T. Harris,22-22, ,,1,22,22,0,657.0
0:59.0,D. House misses 2-pt layup from 2 ft (block by K. Lowry),22-22, ,,1,22,22,0,661.0
