Time,Miami,Score,Philadelphia,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: B. Adebayo vs. P. Reed (D. Robinson gains possession),0-0,,,1,0,0,0,0.0
11:44.0,Turnover by N. Jović (lost ball; steal by K. Oubre),0-0, ,,1,0,0,0,16.0
11:39.0, ,0-2,T. Maxey makes 2-pt layup from 2 ft,,1,0,2,-2,21.0
11:17.0,C. Martin makes 2-pt layup from 1 ft,2-2, ,Tie,1,2,2,0,43.0
10:57.0, ,2-5,K. Martin makes 3-pt jump shot from 24 ft (assist by B. Hield),,1,2,5,-3,63.0
10:45.0,T. Herro makes 3-pt jump shot from 27 ft,5-5, ,Tie,1,5,5,0,75.0
10:28.0, ,5-7,K. Martin makes 2-pt dunk from 1 ft (assist by T. Maxey),,1,5,7,-2,92.0
10:16.0,Shooting foul by B. Hield (drawn by T. Herro),5-7, ,,1,5,7,-2,104.0
10:16.0,T. Herro makes free throw 1 of 2,6-7, ,,1,6,7,-1,104.0
10:16.0,T. Herro makes free throw 2 of 2,7-7, ,Tie,1,7,7,0,104.0
10:06.0, ,7-7,B. Hield misses 3-pt jump shot from 27 ft,,1,7,7,0,114.0
10:03.0,Defensive rebound by B. Adebayo,7-7, ,,1,7,7,0,117.0
9:49.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by D. Robinson),9-7, ,Lead change,1,9,7,2,131.0
9:38.0, ,9-9,T. Maxey makes 2-pt jump shot from 16 ft,Tie,1,9,9,0,142.0
9:38.0, ,9-9,Shooting foul by C. Martin (drawn by T. Maxey),,1,9,9,0,142.0
9:38.0, ,9-10,T. Maxey makes free throw 1 of 1,Lead change,1,9,10,-1,142.0
9:28.0,B. Adebayo makes 2-pt dunk at rim (assist by D. Robinson),11-10, ,Lead change,1,11,10,1,152.0
9:16.0, ,11-12,K. Oubre makes 2-pt jump shot from 13 ft (assist by K. Martin),Lead change,1,11,12,-1,164.0
9:04.0,N. Jović misses 3-pt jump shot from 24 ft,11-12, ,,1,11,12,-1,176.0
8:59.0, ,11-12,Defensive rebound by P. Reed,,1,11,12,-1,181.0
8:52.0, ,11-14,T. Maxey makes 2-pt jump shot from 20 ft,,1,11,14,-3,188.0
8:44.0,C. Martin misses 2-pt layup from 2 ft,11-14, ,,1,11,14,-3,196.0
8:41.0, ,11-14,Defensive rebound by K. Martin,,1,11,14,-3,199.0
8:37.0, ,11-17,B. Hield makes 3-pt jump shot from 24 ft,,1,11,17,-6,203.0
8:16.0,B. Adebayo makes 2-pt jump shot from 9 ft,13-17, ,,1,13,17,-4,224.0
7:57.0, ,13-17,K. Oubre misses 2-pt jump shot from 12 ft,,1,13,17,-4,243.0
7:55.0,Defensive rebound by B. Adebayo,13-17, ,,1,13,17,-4,245.0
7:43.0,B. Adebayo makes 2-pt layup from 3 ft,15-17, ,,1,15,17,-2,257.0
7:21.0, ,15-20,B. Hield makes 3-pt jump shot from 26 ft (assist by T. Maxey),,1,15,20,-5,279.0
7:07.0,T. Herro misses 2-pt jump shot from 15 ft,15-20, ,,1,15,20,-5,293.0
7:05.0, ,15-20,Defensive rebound by P. Reed,,1,15,20,-5,295.0
