Time,Cleveland,Score,Miami,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Allen vs. O. Robinson (M. Strus gains possession),0-0,,,1,0,0,0,0.0
11:41.0,D. Garland makes 2-pt jump shot from 11 ft (assist by J. Allen),2-0, ,,1,0,2,-2,19.0
11:41.0,Shooting foul by O. Robinson (drawn by D. Garland),2-0, ,,1,0,2,-2,19.0
11:41.0,D. Garland makes free throw 1 of 1,3-0, ,,1,0,3,-3,19.0
11:25.0, ,3-0,Def 3 sec tech foul by Team,,1,0,3,-3,35.0
11:25.0, ,3-1,J. Butler makes technical free throw,,1,1,3,-2,35.0
11:11.0, ,3-1,C. Martin misses 3-pt jump shot from 27 ft,,1,1,3,-2,49.0
11:08.0,Defensive rebound by D. Mitchell,3-1, ,,1,1,3,-2,52.0
11:03.0,D. Mitchell makes 2-pt jump shot from 10 ft,5-1, ,,1,1,5,-4,57.0
10:41.0, ,5-4,C. Martin makes 3-pt jump shot from 26 ft (assist by K. Lowry),,1,4,5,-1,79.0
10:15.0,J. Allen misses 2-pt hook shot from 5 ft,5-4, ,,1,4,5,-1,105.0
10:12.0, ,5-4,Defensive rebound by C. Martin,,1,4,5,-1,108.0
10:08.0, ,5-4,K. Lowry misses 3-pt jump shot from 30 ft,,1,4,5,-1,112.0
10:05.0,Defensive rebound by D. Wade,5-4, ,,1,4,5,-1,115.0
9:56.0,D. Mitchell misses 3-pt jump shot from 26 ft,5-4, ,,1,4,5,-1,124.0
9:54.0, ,5-4,Defensive rebound by Team,,1,4,5,-1,126.0
9:42.0, ,5-4,Turnover by D. Robinson (lost ball; steal by D. Garland),,1,4,5,-1,138.0
9:38.0,Shooting foul by C. Martin (drawn by D. Garland),5-4, ,,1,4,5,-1,142.0
9:38.0,D. Garland makes free throw 1 of 2,6-4, ,,1,4,6,-2,142.0
9:38.0,D. Garland misses free throw 2 of 2,6-4, ,,1,4,6,-2,142.0
9:35.0, ,6-4,Defensive rebound by C. Martin,,1,4,6,-2,145.0
9:25.0, ,6-4,D. Robinson misses 2-pt jump shot from 7 ft,,1,4,6,-2,155.0
9:21.0,Defensive rebound by D. Mitchell,6-4, ,,1,4,6,-2,159.0
9:16.0,D. Mitchell misses 2-pt jump shot from 14 ft,6-4, ,,1,4,6,-2,164.0
9:13.0,Offensive rebound by J. Allen,6-4, ,,1,4,6,-2,167.0
9:11.0,J. Allen misses 2-pt layup from 2 ft,6-4, ,,1,4,6,-2,169.0
9:07.0, ,6-4,Defensive rebound by O. Robinson,,1,4,6,-2,173.0
8:53.0, ,6-4,J. Butler misses 2-pt layup from 2 ft,,1,4,6,-2,187.0
8:52.0, ,6-4,Offensive rebound by J. Butler,,1,4,6,-2,188.0
8:52.0, ,6-4,Personal foul by D. Garland (drawn by J. Butler),,1,4,6,-2,188.0
8:42.0, ,6-4,J. Butler misses 2-pt jump shot from 13 ft,,1,4,6,-2,198.0
8:39.0,Defensive rebound by D. Wade,6-4, ,,1,4,6,-2,201.0
8:28.0,Turnover by D. Mitchell (bad pass),6-4, ,,1,4,6,-2,212.0
8:12.0, ,6-4,Turnover by D. Robinson (bad pass; steal by D. Wade),,1,4,6,-2,228.0
8:00.0,D. Garland misses 2-pt jump shot from 8 ft,6-4, ,,1,4,6,-2,240.0
7:56.0, ,6-4,Defensive rebound by C. Martin,,1,4,6,-2,244.0
7:54.0, ,6-4,C. Martin misses 2-pt layup from 4 ft,,1,4,6,-2,246.0
7:54.0, ,6-4,Offensive rebound by Team,,1,4,6,-2,246.0
7:48.0, ,6-4,Turnover by D. Robinson (bad pass; steal by M. Strus),,1,4,6,-2,252.0
7:42.0,J. Allen makes 2-pt dunk at rim (assist by D. Garland),8-4, ,,1,4,8,-4,258.0
7:25.0, ,8-6,K. Lowry makes 2-pt jump shot from 12 ft,,1,6,8,-2,275.0
7:11.0,Personal foul by O. Robinson (drawn by D. Garland),8-6, ,,1,6,8,-2,289.0
7:11.0,I. Okoro enters the game for D. Wade,8-6, ,,1,6,8,-2,289.0
7:11.0, ,8-6,K. Love enters the game for O. Robinson,,1,6,8,-2,289.0
7:03.0,I. Okoro misses 3-pt jump shot from 23 ft,8-6, ,,1,6,8,-2,297.0
6:59.0, ,8-6,Defensive rebound by K. Love,,1,6,8,-2,301.0
6:59.0, ,8-6,Personal foul by D. Garland (drawn by C. Martin),,1,6,8,-2,301.0
6:59.0, ,8-6,Miami full timeout,,1,6,8,-2,301.0
6:53.0, ,8-6,J. Butler misses 2-pt layup from 2 ft,,1,6,8,-2,307.0
6:51.0,Defensive rebound by M. Strus,8-6, ,,1,6,8,-2,309.0
6:46.0,D. Mitchell misses 2-pt layup from 2 ft (block by C. Martin),8-6, ,,1,6,8,-2,314.0
6:43.0, ,8-6,Defensive rebound by J. Butler,,1,6,8,-2,317.0
6:39.0, ,8-6,Personal foul by D. Garland (drawn by J. Butler),,1,6,8,-2,321.0
6:39.0,S. Merrill enters the game for D. Garland,8-6, ,,1,6,8,-2,321.0
6:35.0, ,8-6,Shooting foul by S. Merrill (drawn by J. Butler),,1,6,8,-2,325.0
6:35.0, ,8-7,J. Butler makes free throw 1 of 2,,1,7,8,-1,325.0
6:35.0, ,8-8,J. Butler makes free throw 2 of 2,Tie,1,8,8,0,325.0
6:23.0,M. Strus misses 3-pt jump shot from 28 ft,8-8, ,,1,8,8,0,337.0
6:19.0,Offensive rebound by J. Allen,8-8, ,,1,8,8,0,341.0
6:13.0,I. Okoro makes 2-pt layup from 2 ft (assist by S. Merrill),10-8, ,,1,8,10,-2,347.0
6:00.0, ,10-8,J. Butler misses 2-pt layup from 4 ft,,1,8,10,-2,360.0
5:57.0,Defensive rebound by J. Allen,10-8, ,,1,8,10,-2,363.0
5:46.0,I. Okoro makes 2-pt jump shot from 5 ft,12-8, ,,1,8,12,-4,374.0
5:39.0, ,12-8,Personal foul by S. Merrill (drawn by D. Robinson),,1,8,12,-4,381.0
5:39.0, ,12-9,D. Robinson makes free throw 1 of 2,,1,9,12,-3,381.0
5:39.0, ,12-9,J. Jaquez enters the game for K. Lowry,,1,9,12,-3,381.0
5:39.0, ,12-9,J. Richardson enters the game for C. Martin,,1,9,12,-3,381.0
5:39.0, ,12-9,D. Robinson misses free throw 2 of 2,,1,9,12,-3,381.0
5:37.0,Defensive rebound by S. Merrill,12-9, ,,1,9,12,-3,383.0
5:18.0,M. Strus misses 3-pt jump shot from 26 ft,12-9, ,,1,9,12,-3,402.0
5:14.0, ,12-9,Defensive rebound by K. Love,,1,9,12,-3,406.0
5:07.0, ,12-9,D. Robinson misses 3-pt jump shot from 26 ft,,1,9,12,-3,413.0
5:04.0,Defensive rebound by M. Strus,12-9, ,,1,9,12,-3,416.0
4:57.0,M. Strus misses 2-pt layup from 7 ft,12-9, ,,1,9,12,-3,423.0
4:54.0, ,12-9,Defensive rebound by K. Love,,1,9,12,-3,426.0
4:52.0, ,12-11,J. Butler makes 2-pt layup from 1 ft (assist by K. Love),,1,11,12,-1,428.0
4:26.0,J. Allen misses 2-pt layup from 3 ft (block by K. Love),12-11, ,,1,11,12,-1,454.0
4:22.0,Offensive rebound by S. Merrill,12-11, ,,1,11,12,-1,458.0
4:21.0,S. Merrill misses 3-pt jump shot from 22 ft,12-11, ,,1,11,12,-1,459.0
4:21.0, ,12-11,Defensive rebound by K. Love,,1,11,12,-1,459.0
4:21.0,D. Jones enters the game for J. Allen,12-11, ,,1,11,12,-1,459.0
4:21.0,G. Niang enters the game for M. Strus,12-11, ,,1,11,12,-1,459.0
4:21.0, ,12-11,K. Lowry enters the game for D. Robinson,,1,11,12,-1,459.0
4:12.0, ,12-14,J. Richardson makes 3-pt jump shot from 25 ft (assist by J. Butler),Lead change,1,14,12,2,468.0
3:54.0,G. Niang misses 2-pt layup from 5 ft,12-14, ,,1,14,12,2,486.0
3:53.0,Offensive rebound by G. Niang,12-14, ,,1,14,12,2,487.0
3:53.0,G. Niang misses 2-pt layup from 5 ft,12-14, ,,1,14,12,2,487.0
3:52.0, ,12-14,Defensive rebound by K. Love,,1,14,12,2,488.0
3:46.0, ,12-14,K. Lowry misses 2-pt jump shot from 12 ft,,1,14,12,2,494.0
3:45.0,Defensive rebound by D. Jones,12-14, ,,1,14,12,2,495.0
3:43.0,Turnover by D. Jones (lost ball; steal by K. Lowry),12-14, ,,1,14,12,2,497.0
3:43.0, ,12-14,Shooting foul by D. Jones (drawn by J. Butler),,1,14,12,2,497.0
3:43.0, ,12-15,J. Butler makes free throw 1 of 2,,1,15,12,3,497.0
3:43.0, ,12-16,J. Butler makes free throw 2 of 2,,1,16,12,4,497.0
3:35.0,D. Mitchell misses 3-pt jump shot from 26 ft,12-16, ,,1,16,12,4,505.0
3:32.0, ,12-16,Defensive rebound by K. Love,,1,16,12,4,508.0
3:28.0, ,12-18,J. Richardson makes 2-pt hook shot from 3 ft (assist by K. Love),,1,18,12,6,512.0
3:27.0,Cleveland full timeout,12-18, ,,1,18,12,6,513.0
3:27.0,C. Porter enters the game for D. Mitchell,12-18, ,,1,18,12,6,513.0
3:06.0,C. Porter misses 2-pt jump shot from 13 ft,12-18, ,,1,18,12,6,534.0
3:04.0, ,12-18,Defensive rebound by J. Butler,,1,18,12,6,536.0
2:52.0, ,12-21,J. Richardson makes 3-pt jump shot from 26 ft (assist by K. Love),,1,21,12,9,548.0
2:39.0,Turnover by G. Niang (bad pass; steal by K. Love),12-21, ,,1,21,12,9,561.0
2:19.0, ,12-21,J. Jaquez misses 2-pt jump shot from 9 ft,,1,21,12,9,581.0
2:16.0,Defensive rebound by Team,12-21, ,,1,21,12,9,584.0
2:03.0,S. Merrill misses 3-pt jump shot from 25 ft,12-21, ,,1,21,12,9,597.0
1:59.0, ,12-21,Defensive rebound by K. Love,,1,21,12,9,601.0
1:54.0, ,12-23,J. Jaquez makes 2-pt jump shot from 8 ft,,1,23,12,11,606.0
1:32.0,Turnover by G. Niang (bad pass; steal by J. Richardson),12-23, ,,1,23,12,11,628.0
1:28.0, ,12-23,Offensive foul by J. Richardson (drawn by S. Merrill),,1,23,12,11,632.0
1:28.0, ,12-23,Turnover by J. Richardson (offensive foul),,1,23,12,11,632.0
1:28.0, ,12-23,Instant Replay (Challenge: Stands),,1,23,12,11,632.0
1:28.0,M. Strus enters the game for D. Jones,12-23, ,,1,23,12,11,632.0
1:28.0, ,12-23,C. Martin enters the game for J. Butler,,1,23,12,11,632.0
1:17.0,C. Porter makes 2-pt layup from 1 ft,14-23, ,,1,23,14,9,643.0
0:58.0, ,14-23,Turnover by K. Love (lost ball; steal by C. Porter),,1,23,14,9,662.0
0:54.0,S. Merrill makes 3-pt jump shot from 26 ft (assist by G. Niang),17-23, ,,1,23,17,6,666.0
0:39.0, ,17-23,K. Love misses 3-pt jump shot from 26 ft,,1,23,17,6,681.0
0:36.0,Defensive rebound by M. Strus,17-23, ,,1,23,17,6,684.0
0:32.0,M. Strus misses 3-pt jump shot from 27 ft,17-23, ,,1,23,17,6,688.0
0:32.0, ,17-23,Defensive rebound by C. Martin,,1,23,17,6,688.0
0:10.0, ,17-23,K. Lowry misses 3-pt jump shot from 27 ft,,1,23,17,6,710.0
0:06.0,Defensive rebound by I. Okoro,17-23, ,,1,23,17,6,714.0
0:04.0,Offensive foul by I. Okoro (drawn by K. Love),17-23, ,,1,23,17,6,716.0
0:04.0,Turnover by I. Okoro (offensive foul),17-23, ,,1,23,17,6,716.0
0:04.0,J. Allen enters the game for S. Merrill,17-23, ,,1,23,17,6,716.0
0:04.0,D. Wade enters the game for G. Niang,17-23, ,,1,23,17,6,716.0
0:00.0, ,17-25,J. Jaquez makes 2-pt layup from 2 ft,,1,25,17,8,720.0
0:00.0, ,17-25,Instant Replay (Request: Ruling Stands),,1,25,17,8,720.0
