Time,Miami,Score,Toronto,Event,Quarter,MiamiScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: O. Robinson vs. J. Poeltl (S. Barnes gains possession),0-0,,,1,0,0,0,0.0
11:43.0, ,0-2,S. Barnes makes 2-pt jump shot from 7 ft (assist by J. Poeltl),,1,0,2,-2,17.0
11:20.0,C. Martin makes 3-pt jump shot from 26 ft (assist by D. Robinson),3-2, ,Lead change,1,3,2,1,40.0
11:08.0, ,3-2,D. Schröder misses 3-pt jump shot from 26 ft,,1,3,2,1,52.0
11:05.0,Defensive rebound by C. Martin,3-2, ,,1,3,2,1,55.0
10:48.0,K. Lowry misses 3-pt jump shot from 23 ft,3-2, ,,1,3,2,1,72.0
10:45.0, ,3-2,Defensive rebound by O. Anunoby,,1,3,2,1,75.0
10:42.0, ,3-2,Offensive foul by S. Barnes (drawn by C. Martin),,1,3,2,1,78.0
10:42.0, ,3-2,Turnover by S. Barnes (offensive foul),,1,3,2,1,78.0
10:24.0,C. Martin misses 2-pt jump shot from 7 ft (block by S. Barnes),3-2, ,,1,3,2,1,96.0
10:21.0,Offensive rebound by C. Martin,3-2, ,,1,3,2,1,99.0
10:18.0,J. Butler misses 2-pt layup from 2 ft,3-2, ,,1,3,2,1,102.0
10:15.0, ,3-2,Defensive rebound by S. Barnes,,1,3,2,1,105.0
10:12.0, ,3-2,Shooting foul by K. Lowry (drawn by J. Poeltl),,1,3,2,1,108.0
10:12.0, ,3-2,J. Poeltl misses free throw 1 of 2,,1,3,2,1,108.0
10:12.0, ,3-2,Offensive rebound by Team,,1,3,2,1,108.0
10:12.0, ,3-2,J. Poeltl misses free throw 2 of 2,,1,3,2,1,108.0
10:08.0,Defensive rebound by O. Robinson,3-2, ,,1,3,2,1,112.0
10:03.0,D. Robinson makes 3-pt jump shot from 24 ft (assist by J. Butler),6-2, ,,1,6,2,4,117.0
9:57.0, ,6-2,Turnover by S. Barnes (bad pass),,1,6,2,4,123.0
9:51.0,C. Martin misses 3-pt jump shot from 23 ft,6-2, ,,1,6,2,4,129.0
9:48.0, ,6-2,Defensive rebound by S. Barnes,,1,6,2,4,132.0
9:28.0, ,6-2,J. Poeltl misses 2-pt layup from 5 ft (block by C. Martin),,1,6,2,4,152.0
9:28.0, ,6-2,Offensive rebound by Team,,1,6,2,4,152.0
9:25.0, ,6-2,D. Schröder misses 2-pt jump shot from 16 ft,,1,6,2,4,155.0
9:22.0,Defensive rebound by O. Robinson,6-2, ,,1,6,2,4,158.0
9:16.0,D. Robinson misses 2-pt layup from 1 ft (block by J. Poeltl),6-2, ,,1,6,2,4,164.0
9:13.0,Offensive rebound by O. Robinson,6-2, ,,1,6,2,4,167.0
9:10.0,C. Martin makes 3-pt jump shot from 25 ft (assist by O. Robinson),9-2, ,,1,9,2,7,170.0
8:51.0, ,9-4,D. Schröder makes 2-pt layup from 2 ft (assist by P. Siakam),,1,9,4,5,189.0
8:27.0,J. Butler makes 3-pt jump shot from 23 ft (assist by O. Robinson),12-4, ,,1,12,4,8,213.0
8:13.0, ,12-4,S. Barnes misses 2-pt jump shot from 8 ft,,1,12,4,8,227.0
8:11.0, ,12-4,Offensive rebound by J. Poeltl,,1,12,4,8,229.0
7:59.0, ,12-4,D. Schröder misses 2-pt jump shot from 11 ft,,1,12,4,8,241.0
7:58.0,Defensive rebound by Team,12-4, ,,1,12,4,8,242.0
7:45.0,J. Butler misses 2-pt jump shot from 10 ft (block by J. Poeltl),12-4, ,,1,12,4,8,255.0
7:42.0,Offensive rebound by C. Martin,12-4, ,,1,12,4,8,258.0
7:40.0,C. Martin makes 3-pt jump shot from 25 ft (assist by K. Lowry),15-4, ,,1,15,4,11,260.0
7:39.0, ,15-4,Toronto full timeout,,1,15,4,11,261.0
7:14.0, ,15-4,P. Siakam misses 2-pt jump shot from 20 ft,,1,15,4,11,286.0
7:11.0, ,15-4,Offensive rebound by O. Anunoby,,1,15,4,11,289.0
7:09.0, ,15-7,D. Schröder makes 3-pt jump shot from 26 ft (assist by O. Anunoby),,1,15,7,8,291.0
