A,B,C,D,E,F,Event
1st Q
Time,Brooklyn,,Score,,Miami,
12:00.0,Jump ball: A. Drummond vs. B. Adebayo (P. Tucker gains possession),
11:38.0, , ,0-0, ,Turnover by J. Butler (lost ball; steal by A. Drummond),
11:33.0,S. Curry makes 3-pt jump shot from 25 ft (assist by B. Brown),+3,3-0, , ,
11:23.0, , ,3-0, ,Def 3 sec tech foul by Team,
11:23.0, , ,3-1,+1,J. Butler makes technical free throw,
11:16.0, , ,3-4,+3,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Butler),Lead change
10:57.0,S. Curry misses 2-pt jump shot from 14 ft, ,3-4, , ,
10:51.0,Offensive rebound by A. Drummond, ,3-4, , ,
10:51.0,A. Drummond misses 2-pt layup at rim, ,3-4, , ,
10:50.0, , ,3-4, ,Defensive rebound by D. Robinson,
10:46.0, , ,3-6,+2,B. Adebayo makes 2-pt jump shot from 10 ft (assist by J. Butler),
10:26.0,K. Durant misses 3-pt jump shot from 25 ft, ,3-6, , ,
10:23.0,Offensive rebound by A. Drummond, ,3-6, , ,
10:20.0,A. Drummond makes 2-pt hook shot from 6 ft,+2,5-6, , ,
9:56.0, , ,5-6, ,B. Adebayo misses 2-pt jump shot from 17 ft,
9:55.0,Defensive rebound by B. Brown, ,5-6, , ,
9:43.0, , ,5-6, ,Violation by Team (kicked ball),
9:30.0,K. Durant makes 2-pt jump shot from 12 ft,+2,7-6, , ,Lead change
9:26.0, , ,7-6, ,Shooting foul by B. Brown (drawn by J. Butler),
9:26.0, , ,7-7,+1,J. Butler makes free throw 1 of 2,Tie
9:26.0, , ,7-8,+1,J. Butler makes free throw 2 of 2,Lead change
9:13.0,K. Irving misses 3-pt jump shot from 27 ft, ,7-8, , ,
9:10.0, , ,7-8, ,Defensive rebound by B. Adebayo,
8:52.0, , ,7-10,+2,K. Lowry makes 2-pt jump shot from 11 ft (assist by B. Adebayo),
8:35.0,Turnover by K. Durant (bad pass; steal by K. Lowry), ,7-10, , ,
8:28.0, , ,7-10, ,D. Robinson misses 3-pt jump shot from 27 ft,
8:20.0, , ,7-10, ,Offensive rebound by B. Adebayo,
8:18.0, , ,7-12,+2,P. Tucker makes 2-pt layup from 2 ft (assist by J. Butler),
8:08.0,K. Durant misses 2-pt layup from 3 ft, ,7-12, , ,
