A,B,C,D,E,F,Event
1st Q
Time,Golden State,,Score,,Miami,
12:00.0,Jump ball: K. Looney vs. B. Adebayo (P. Tucker gains possession),
11:41.0, , ,0-3,+3,J. Butler makes 3-pt jump shot from 26 ft (assist by D. Robinson),
11:25.0,A. Wiggins misses 3-pt jump shot from 26 ft, ,0-3, , ,
11:23.0, , ,0-3, ,Defensive rebound by J. Butler,
11:16.0, , ,0-3, ,J. Butler misses 2-pt jump shot from 12 ft,
11:16.0,Defensive rebound by K. Looney, ,0-3, , ,
11:01.0,J. Kuminga makes 2-pt layup from 1 ft,+2,2-3, , ,
10:45.0, , ,2-3, ,K. Lowry misses 3-pt jump shot from 26 ft,
10:43.0,Defensive rebound by K. Looney, ,2-3, , ,
10:37.0,M. Moody misses 3-pt jump shot from 23 ft, ,2-3, , ,
10:33.0, , ,2-3, ,Defensive rebound by J. Butler,
10:27.0, , ,2-3, ,D. Robinson misses 3-pt jump shot from 24 ft,
10:25.0, , ,2-3, ,Offensive rebound by B. Adebayo,
10:19.0, , ,2-3, ,B. Adebayo misses 2-pt layup from 2 ft (block by M. Moody),
10:16.0, , ,2-3, ,Offensive rebound by B. Adebayo,
10:13.0, , ,2-3, ,Shooting foul by J. Kuminga (drawn by J. Butler),
10:13.0, , ,2-4,+1,J. Butler makes free throw 1 of 2,
10:13.0, , ,2-5,+1,J. Butler makes free throw 2 of 2,
9:51.0,A. Wiggins misses 2-pt jump shot from 20 ft, ,2-5, , ,
9:49.0,Offensive rebound by Team, ,2-5, , ,
9:49.0,Turnover by Team (shot clock), ,2-5, , ,
9:35.0, , ,2-5, ,Turnover by P. Tucker (traveling),
9:29.0,A. Wiggins makes 2-pt layup from 2 ft (assist by J. Poole),+2,4-5, , ,
9:18.0, , ,4-5, ,J. Butler misses 2-pt layup from 1 ft,
9:15.0,Defensive rebound by K. Looney, ,4-5, , ,
9:09.0,J. Kuminga misses 2-pt jump shot from 6 ft, ,4-5, , ,
9:07.0,Offensive rebound by J. Kuminga, ,4-5, , ,
9:07.0,Shooting foul by J. Butler (drawn by J. Kuminga), ,4-5, , ,
9:07.0,J. Kuminga makes free throw 1 of 2,+1,5-5, , ,Tie
9:07.0,J. Kuminga makes free throw 2 of 2,+1,6-5, , ,Lead change
8:51.0, , ,6-5, ,J. Butler misses 2-pt layup from 1 ft,
8:49.0,Defensive rebound by K. Looney, ,6-5, , ,
8:41.0,J. Poole makes 2-pt jump shot from 7 ft,+2,8-5, , ,
8:28.0, , ,8-7,+2,B. Adebayo makes 2-pt jump shot from 14 ft,
8:13.0,Turnover by J. Poole (lost ball; steal by B. Adebayo), ,8-7, , ,
8:07.0, , ,8-7, ,Turnover by B. Adebayo (out of bounds lost ball),
7:54.0,J. Kuminga misses 3-pt jump shot from 26 ft, ,8-7, , ,
7:51.0, , ,8-7, ,Defensive rebound by P. Tucker,
7:39.0, , ,8-10,+3,J. Butler makes 3-pt jump shot from 24 ft (assist by D. Robinson),Lead change
7:15.0,J. Kuminga misses 3-pt jump shot from 26 ft, ,8-10, , ,
7:13.0, , ,8-10, ,Defensive rebound by P. Tucker,
7:02.0, , ,8-13,+3,K. Lowry makes 3-pt jump shot from 27 ft (assist by J. Butler),
6:38.0,J. Poole misses 3-pt jump shot from 25 ft, ,8-13, , ,
6:36.0, , ,8-13, ,Defensive rebound by P. Tucker,
6:34.0, , ,8-13, ,Shooting foul by M. Moody (drawn by B. Adebayo),
6:34.0, , ,8-13, ,Miami full timeout,
6:34.0,D. Lee enters the game for M. Moody, ,8-13, , ,
6:34.0,G. Payton enters the game for A. Wiggins, ,8-13, , ,
6:34.0, , ,8-14,+1,B. Adebayo makes free throw 1 of 2,
6:34.0, , ,8-15,+1,B. Adebayo makes free throw 2 of 2,
6:13.0,D. Lee misses 3-pt jump shot from 23 ft, ,8-15, , ,
6:10.0, , ,8-15, ,Defensive rebound by J. Butler,
6:04.0, , ,8-18,+3,D. Robinson makes 3-pt jump shot from 27 ft (assist by J. Butler),
5:38.0,G. Payton makes 2-pt hook shot from 6 ft (assist by J. Poole),+2,10-18, , ,
5:26.0, , ,10-18, ,Personal foul by J. Poole (drawn by D. Robinson),
5:26.0, , ,10-18, ,M. Morris enters the game for B. Adebayo,
5:19.0, , ,10-18, ,D. Robinson misses 3-pt jump shot from 24 ft,
5:16.0,Defensive rebound by J. Poole, ,10-18, , ,
5:01.0,J. Kuminga makes 2-pt layup from 2 ft (assist by D. Lee),+2,12-18, , ,
4:46.0, , ,12-21,+3,D. Robinson makes 3-pt jump shot from 26 ft (assist by K. Lowry),
4:33.0,D. Lee misses 3-pt jump shot from 23 ft, ,12-21, , ,
4:28.0, , ,12-21, ,Defensive rebound by P. Tucker,
