A,B,C,D,E,F,Event
4:16.0,M. Garrett enters the game for D. Robinson, ,14-16, , ,
4:16.0,M. Strus enters the game for G. Vincent, ,14-16, , ,
4:16.0, , ,14-16, ,F. Jackson enters the game for H. Diallo,
4:16.0, , ,14-16, ,T. Lyles enters the game for I. Stewart,
3:51.0,K. Okpala misses 2-pt jump shot from 9 ft, ,14-16, , ,
3:49.0, , ,14-16, ,Defensive rebound by T. Lyles,
3:46.0, , ,14-16, ,Offensive foul by C. Cunningham (drawn by K. Lowry),
3:46.0, , ,14-16, ,Turnover by C. Cunningham (offensive foul),
3:30.0,M. Strus makes 3-pt jump shot from 24 ft (assist by K. Lowry),+3,17-16, , ,Lead change
3:08.0, , ,17-18,+2,T. Lyles makes 2-pt jump shot from 6 ft (assist by C. Cunningham),Lead change
2:49.0,K. Okpala misses 2-pt layup from 4 ft, ,17-18, , ,
2:45.0, , ,17-18, ,Defensive rebound by T. Lyles,
2:43.0, , ,17-18, ,Turnover by S. Lee (bad pass),
2:43.0,Miami full timeout, ,17-18, , ,
2:43.0, , ,17-18, ,C. Joseph enters the game for C. Cunningham,
2:21.0,M. Garrett makes 2-pt layup from 6 ft,+2,19-18, , ,Lead change
1:56.0, , ,19-18, ,T. Lyles misses 3-pt jump shot from 26 ft,
1:53.0,Defensive rebound by O. Yurtseven, ,19-18, , ,
1:40.0,K. Okpala makes 2-pt jump shot from 9 ft (assist by K. Lowry),+2,21-18, , ,
1:17.0, , ,21-18, ,Shooting foul by M. Strus (drawn by T. Lyles),
1:17.0, , ,21-19,+1,T. Lyles makes free throw 1 of 2,
1:17.0,P. Tucker enters the game for K. Lowry, ,21-19, , ,
1:17.0,G. Vincent enters the game for K. Okpala, ,21-19, , ,
1:17.0, , ,21-19, ,L. Garza enters the game for S. Bey,
1:17.0, , ,21-20,+1,T. Lyles makes free throw 2 of 2,
0:54.0,P. Tucker misses 2-pt jump shot from 6 ft, ,21-20, , ,
0:52.0, , ,21-20, ,Defensive rebound by C. Joseph,
0:42.0, , ,21-20, ,T. Lyles misses 3-pt jump shot from 26 ft,
0:39.0,Defensive rebound by O. Yurtseven, ,21-20, , ,
0:33.0,G. Vincent misses 2-pt jump shot from 15 ft, ,21-20, , ,
0:30.0, , ,21-20, ,Defensive rebound by T. Lyles,
0:17.0, , ,21-20, ,F. Jackson misses 3-pt jump shot from 24 ft,
0:14.0,Defensive rebound by O. Yurtseven, ,21-20, , ,
0:04.0,Personal foul by F. Jackson (drawn by M. Strus), ,21-20, , ,
0:04.0,D. Robinson enters the game for M. Garrett, ,21-20, , ,
0:04.0, , ,21-20, ,S. Bey enters the game for L. Garza,
0:03.0,G. Vincent makes 2-pt layup from 4 ft (assist by D. Robinson),+2,23-20, , ,
0:00.0, , ,23-20, ,C. Joseph misses 3-pt jump shot from 33 ft,
0:00.0, , ,23-20, ,Offensive rebound by Team,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Detroit,
12:00.0,Start of 2nd quarter,
11:45.0,Personal foul by C. Joseph (drawn by O. Yurtseven), ,23-20, , ,
11:38.0,M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent),+3,26-20, , ,
11:14.0, , ,26-20, ,C. Joseph misses 2-pt jump shot from 19 ft,
11:12.0, , ,26-20, ,Offensive rebound by L. Garza,
11:08.0, , ,26-20, ,L. Garza misses 3-pt jump shot from 26 ft,
11:04.0,Defensive rebound by O. Yurtseven, ,26-20, , ,
10:50.0,Personal foul by K. Hayes (drawn by O. Yurtseven), ,26-20, , ,
10:50.0, , ,26-20, ,S. Lee enters the game for K. Hayes,
10:35.0,O. Yurtseven misses 2-pt jump shot from 12 ft, ,26-20, , ,
10:32.0, , ,26-20, ,Defensive rebound by S. Lee,
10:23.0, , ,26-20, ,Shooting foul by G. Vincent (drawn by F. Jackson),
10:23.0, , ,26-21,+1,F. Jackson makes free throw 1 of 2,
10:23.0, , ,26-22,+1,F. Jackson makes free throw 2 of 2,
10:10.0,O. Yurtseven misses 2-pt jump shot from 4 ft, ,26-22, , ,
10:07.0, , ,26-22, ,Defensive rebound by T. Lyles,
10:04.0, , ,26-22, ,F. Jackson misses 3-pt jump shot from 23 ft,
10:00.0, , ,26-22, ,Offensive rebound by F. Jackson,
