A,B,C,D,E,F,Event
2:14.0, , ,27-18,+3,S. Barnes makes 3-pt jump shot from 23 ft (assist by F. VanVleet),
2:12.0,Miami full timeout, ,27-18, , ,
2:12.0,C. Martin enters the game for P. Tucker, ,27-18, , ,
2:12.0, , ,27-18, ,O. Anunoby enters the game for C. Boucher,
2:12.0, , ,27-18, ,J. Champagnie enters the game for G. Trent,
2:01.0,M. Strus makes 3-pt jump shot from 24 ft (assist by J. Butler),+3,30-18, , ,
1:33.0, , ,30-20,+2,O. Anunoby makes 2-pt jump shot from 20 ft (assist by P. Achiuwa),
1:16.0,M. Strus misses 3-pt jump shot from 26 ft, ,30-20, , ,
1:12.0,Offensive rebound by M. Strus, ,30-20, , ,
1:09.0,C. Martin misses 3-pt jump shot from 26 ft, ,30-20, , ,
1:07.0, , ,30-20, ,Defensive rebound by F. VanVleet,
1:03.0, , ,30-20, ,Offensive foul by P. Achiuwa (drawn by C. Martin),
1:03.0, , ,30-20, ,Turnover by P. Achiuwa (offensive foul),
1:03.0,G. Vincent enters the game for J. Butler, ,30-20, , ,
0:51.0,T. Herro makes 2-pt jump shot from 15 ft,+2,32-20, , ,
0:43.0, , ,32-22,+2,P. Achiuwa makes 2-pt dunk from 1 ft (assist by O. Anunoby),
0:27.0,Offensive foul by D. Dedmon (drawn by S. Barnes), ,32-22, , ,
0:27.0,Turnover by D. Dedmon (offensive foul), ,32-22, , ,
0:27.0, , ,32-22, ,G. Trent enters the game for J. Champagnie,
0:05.0, , ,32-22, ,S. Barnes misses 2-pt layup from 7 ft,
0:04.0, , ,32-22, ,Offensive rebound by S. Barnes,
0:02.0, , ,32-22, ,S. Barnes misses 2-pt layup from 4 ft,
0:01.0,Defensive rebound by T. Herro, ,32-22, , ,
0:00.0,D. Dedmon misses 3-pt jump shot from 30 ft, ,32-22, , ,
0:00.0,Offensive rebound by Team, ,32-22, , ,
0:00.0,End of 1st quarter,
2nd Q,
Time,Miami,,Score,,Toronto,
12:00.0,Start of 2nd quarter,
11:46.0, , ,32-24,+2,G. Trent makes 2-pt hook shot from 4 ft (assist by D. Banton),
11:28.0,T. Herro makes 2-pt jump shot from 9 ft,+2,34-24, , ,
11:09.0, , ,34-24, ,G. Trent misses 2-pt jump shot from 21 ft,
11:06.0,Defensive rebound by D. Dedmon, ,34-24, , ,
10:50.0,Turnover by C. Martin (step out of bounds), ,34-24, , ,
10:36.0, , ,34-24, ,P. Achiuwa misses 3-pt jump shot from 27 ft,
10:32.0, , ,34-24, ,Offensive rebound by P. Siakam,
10:31.0, , ,34-24, ,D. Banton misses 2-pt layup from 2 ft,
10:30.0, , ,34-24, ,Offensive rebound by D. Banton,
10:29.0, , ,34-24, ,D. Banton misses 2-pt layup at rim,
10:29.0, , ,34-24, ,Offensive rebound by P. Achiuwa,
10:28.0, , ,34-24, ,Shooting foul by D. Dedmon (drawn by P. Achiuwa),
10:28.0, , ,34-24, ,P. Achiuwa misses free throw 1 of 2,
10:28.0, , ,34-24, ,Offensive rebound by Team,
10:28.0, , ,34-24, ,P. Achiuwa misses free throw 2 of 2,
10:25.0, , ,34-24, ,Offensive rebound by P. Siakam,
10:16.0, , ,34-24, ,P. Siakam misses 2-pt layup from 6 ft,
10:14.0,Defensive rebound by C. Martin, ,34-24, , ,
10:01.0,Turnover by D. Dedmon (off goaltending), ,34-24, , ,
9:52.0, , ,34-24, ,P. Siakam misses 2-pt jump shot from 10 ft,
9:49.0, , ,34-24, ,Offensive rebound by P. Siakam,
9:48.0, , ,34-24, ,Shooting foul by D. Dedmon (drawn by P. Siakam),
9:48.0, , ,34-24, ,P. Siakam misses free throw 1 of 2,
9:48.0, , ,34-24, ,Offensive rebound by Team,
9:48.0,B. Adebayo enters the game for D. Dedmon, ,34-24, , ,
9:48.0, , ,34-25,+1,P. Siakam makes free throw 2 of 2,
9:27.0,C. Martin makes 2-pt layup from 3 ft (assist by T. Herro),+2,36-25, , ,
9:14.0, , ,36-25, ,Personal foul by T. Herro (drawn by P. Siakam),
9:01.0, , ,36-27,+2,G. Trent makes 2-pt jump shot from 13 ft,
8:47.0,M. Strus makes 3-pt jump shot from 24 ft (assist by T. Herro),+3,39-27, , ,
8:33.0, , ,39-30,+3,P. Achiuwa makes 3-pt jump shot from 24 ft (assist by D. Banton),
8:19.0,Shooting foul by P. Siakam (drawn by C. Martin), ,39-30, , ,
8:19.0,C. Martin makes free throw 1 of 2,+1,40-30, , ,
8:19.0, , ,40-30, ,O. Anunoby enters the game for D. Banton,
8:19.0, , ,40-30, ,S. Barnes enters the game for C. Boucher,
8:19.0,C. Martin misses free throw 2 of 2, ,40-30, , ,
8:17.0, , ,40-30, ,Defensive rebound by P. Achiuwa,
8:05.0, , ,40-32,+2,S. Barnes makes 2-pt jump shot from 5 ft (assist by P. Siakam),
7:40.0,Turnover by Team (shot clock), ,40-32, , ,
7:25.0, , ,40-32, ,Personal foul by G. Vincent (drawn by P. Siakam),
7:12.0, , ,40-32, ,S. Barnes misses 2-pt layup from 2 ft,
7:11.0, , ,40-32, ,Offensive rebound by P. Achiuwa,
7:11.0, , ,40-34,+2,P. Achiuwa makes 2-pt layup at rim,
7:11.0,Miami full timeout, ,40-34, , ,
7:11.0,J. Butler enters the game for C. Martin, ,40-34, , ,
7:11.0,P. Tucker enters the game for G. Vincent, ,40-34, , ,
6:54.0,M. Strus makes 3-pt jump shot from 26 ft (assist by T. Herro),+3,43-34, , ,
6:40.0, , ,43-34, ,G. Trent misses 3-pt jump shot from 27 ft,
6:37.0,Defensive rebound by P. Tucker, ,43-34, , ,
6:29.0,J. Butler makes 2-pt layup from 6 ft,+2,45-34, , ,
6:29.0,Shooting foul by P. Achiuwa (drawn by J. Butler), ,45-34, , ,
6:29.0, , ,45-34, ,F. VanVleet enters the game for P. Achiuwa,
6:29.0,J. Butler makes free throw 1 of 1,+1,46-34, , ,
6:10.0, , ,46-36,+2,O. Anunoby makes 2-pt dunk at rim (assist by P. Siakam),
5:54.0,T. Herro misses 2-pt layup from 3 ft, ,46-36, , ,
5:52.0, , ,46-36, ,Defensive rebound by P. Siakam,
5:51.0, , ,46-36, ,Offensive foul by G. Trent (drawn by M. Strus),
5:51.0, , ,46-36, ,Turnover by G. Trent (offensive foul),
5:31.0,B. Adebayo makes 2-pt jump shot from 15 ft (assist by J. Butler),+2,48-36, , ,
5:06.0, , ,48-36, ,P. Siakam misses 2-pt jump shot from 5 ft,
5:02.0,Defensive rebound by B. Adebayo, ,48-36, , ,
4:58.0,M. Strus misses 3-pt jump shot from 27 ft, ,48-36, , ,
4:55.0,Offensive rebound by Team, ,48-36, , ,
4:53.0,Turnover by J. Butler (bad pass; steal by P. Siakam), ,48-36, , ,
4:50.0, , ,48-38,+2,P. Siakam makes 2-pt dunk at rim,
4:32.0,T. Herro makes 3-pt jump shot from 26 ft (assist by P. Tucker),+3,51-38, , ,
4:18.0, , ,51-41,+3,G. Trent makes 3-pt jump shot from 23 ft (assist by O. Anunoby),
4:07.0,P. Tucker misses 2-pt jump shot from 8 ft, ,51-41, , ,
4:05.0, , ,51-41, ,Defensive rebound by F. VanVleet,
3:59.0, , ,51-41, ,P. Siakam misses 2-pt layup from 2 ft,
3:57.0,Defensive rebound by J. Butler, ,51-41, , ,
3:53.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),+2,53-41, , ,
3:53.0, , ,53-41, ,Toronto full timeout,
3:53.0,G. Vincent enters the game for T. Herro, ,53-41, , ,
3:53.0, , ,53-41, ,C. Boucher enters the game for O. Anunoby,
3:53.0, , ,53-41, ,J. Champagnie enters the game for P. Siakam,
3:39.0, , ,53-43,+2,F. VanVleet makes 2-pt jump shot from 15 ft,
3:09.0,G. Vincent misses 2-pt jump shot from 21 ft, ,53-43, , ,
3:06.0, , ,53-43, ,Defensive rebound by S. Barnes,
2:52.0, , ,53-46,+3,G. Trent makes 3-pt jump shot from 25 ft (assist by F. VanVleet),
2:25.0,P. Tucker misses 3-pt jump shot from 23 ft, ,53-46, , ,
2:22.0, , ,53-46, ,Defensive rebound by S. Barnes,
2:14.0, , ,53-46, ,S. Barnes misses 2-pt jump shot from 8 ft,
2:11.0,Defensive rebound by B. Adebayo, ,53-46, , ,
2:04.0,M. Strus misses 3-pt jump shot from 27 ft, ,53-46, , ,
2:01.0, , ,53-46, ,Defensive rebound by S. Barnes,
1:43.0, , ,53-46, ,Turnover by F. VanVleet (bad pass),
1:30.0,Shooting foul by C. Boucher (drawn by B. Adebayo), ,53-46, , ,
1:30.0,B. Adebayo makes free throw 1 of 2,+1,54-46, , ,
1:30.0,B. Adebayo makes free throw 2 of 2,+1,55-46, , ,
1:17.0, , ,55-46, ,Turnover by J. Champagnie (bad pass; steal by J. Butler),
1:13.0,B. Adebayo makes 2-pt dunk from 1 ft (assist by J. Butler),+2,57-46, , ,
0:56.0, , ,57-46, ,Personal foul by B. Adebayo (drawn by F. VanVleet),
0:56.0, , ,57-47,+1,F. VanVleet makes free throw 1 of 2,
0:56.0, , ,57-47, ,O. Anunoby enters the game for J. Champagnie,
0:56.0, , ,57-48,+1,F. VanVleet makes free throw 2 of 2,
0:34.0,J. Butler misses 3-pt jump shot from 25 ft, ,57-48, , ,
0:29.0,Offensive rebound by J. Butler, ,57-48, , ,
0:25.0,B. Adebayo makes 2-pt layup from 5 ft (assist by J. Butler),+2,59-48, , ,
0:04.0, , ,59-50,+2,C. Boucher makes 2-pt dunk from 1 ft (assist by F. VanVleet),
0:00.0,G. Vincent makes 3-pt jump shot from 25 ft,+3,62-50, , ,
0:00.0,Instant Replay (Request: Ruling Stands), ,62-50, , ,
0:00.0,End of 2nd quarter,
3rd Q,
Time,Miami,,Score,,Toronto,
12:00.0,Start of 3rd quarter,
11:49.0, , ,62-50, ,Turnover by O. Anunoby (bad pass),
11:34.0,G. Vincent misses 3-pt jump shot from 26 ft, ,62-50, , ,
11:33.0,Offensive rebound by Team, ,62-50, , ,
11:33.0, , ,62-50, ,Loose ball foul by S. Barnes (drawn by B. Adebayo),
11:20.0,B. Adebayo misses 3-pt jump shot from 28 ft, ,62-50, , ,
11:17.0, , ,62-50, ,Defensive rebound by P. Siakam,
11:05.0, , ,62-50, ,Turnover by P. Siakam (bad pass; steal by G. Vincent),
10:56.0,P. Tucker makes 3-pt jump shot from 23 ft (assist by J. Butler),+3,65-50, , ,
10:43.0, , ,65-53,+3,F. VanVleet makes 3-pt jump shot from 26 ft,
10:17.0,J. Butler makes 2-pt layup from 3 ft (assist by G. Vincent),+2,67-53, , ,
10:05.0, , ,67-53, ,Turnover by F. VanVleet (lost ball; steal by P. Tucker),
10:00.0,Turnover by P. Tucker (bad pass; steal by P. Siakam), ,67-53, , ,
9:53.0, , ,67-56,+3,F. VanVleet makes 3-pt jump shot from 25 ft (assist by P. Siakam),
9:23.0,P. Tucker misses 2-pt layup from 4 ft, ,67-56, , ,
9:23.0,Offensive rebound by P. Tucker, ,67-56, , ,
9:23.0,Shooting foul by F. VanVleet (drawn by P. Tucker), ,67-56, , ,
9:23.0,P. Tucker misses free throw 1 of 2, ,67-56, , ,
9:23.0,Offensive rebound by Team, ,67-56, , ,
9:23.0,P. Tucker makes free throw 2 of 2,+1,68-56, , ,
9:04.0, , ,68-56, ,G. Trent misses 3-pt jump shot from 26 ft,
9:02.0,Defensive rebound by Team, ,68-56, , ,
8:47.0,D. Robinson misses 3-pt jump shot from 26 ft, ,68-56, , ,
8:45.0, , ,68-56, ,Defensive rebound by O. Anunoby,
8:28.0, , ,68-56, ,O. Anunoby misses 2-pt layup from 2 ft,
8:27.0, , ,68-56, ,Offensive rebound by P. Siakam,
8:27.0, , ,68-56, ,Shooting foul by G. Vincent (drawn by F. VanVleet),
8:27.0, , ,68-57,+1,F. VanVleet makes free throw 1 of 3,
8:27.0, , ,68-58,+1,F. VanVleet makes free throw 2 of 3,
8:27.0, , ,68-59,+1,F. VanVleet makes free throw 3 of 3,
8:10.0,D. Robinson misses 3-pt jump shot from 26 ft, ,68-59, , ,
8:06.0, , ,68-59, ,Defensive rebound by F. VanVleet,
8:01.0, , ,68-61,+2,F. VanVleet makes 2-pt jump shot from 16 ft,
8:01.0, , ,68-61, ,Shooting foul by G. Vincent (drawn by F. VanVleet),
8:01.0, , ,68-61, ,F. VanVleet misses free throw 1 of 1,
8:00.0, , ,68-61, ,Offensive rebound by P. Siakam,
8:00.0, , ,68-63,+2,P. Siakam makes 2-pt layup from 2 ft,
8:00.0, , ,68-63, ,Shooting foul by P. Tucker (drawn by P. Siakam),
8:00.0, , ,68-64,+1,P. Siakam makes free throw 1 of 1,
