Time,Minnesota,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:49.0,K. Towns makes 3-pt jump shot from 28 ft (assist by A. Edwards),121-109, ,,4,109,121,-12,2711.0
2:30.0, ,121-109,J. Duren misses 2-pt hook shot from 2 ft,,4,109,121,-12,2730.0
2:28.0,Defensive rebound by R. Gobert,121-109, ,,4,109,121,-12,2732.0
2:13.0,A. Edwards makes 2-pt layup from 2 ft,123-109, ,,4,109,123,-14,2747.0
2:13.0, ,123-109,Detroit full timeout,,4,109,123,-14,2747.0
2:02.0, ,123-109,Shooting foul by R. Gobert (drawn by B. Bogdanović),,4,109,123,-14,2758.0
2:02.0, ,123-110,B. Bogdanović makes free throw 1 of 2,,4,110,123,-13,2758.0
2:02.0, ,123-111,B. Bogdanović makes free throw 2 of 2,,4,111,123,-12,2758.0
1:46.0,A. Edwards misses 3-pt jump shot from 25 ft,123-111, ,,4,111,123,-12,2774.0
1:44.0,Offensive rebound by J. McDaniels,123-111, ,,4,111,123,-12,2776.0
1:44.0,Turnover by J. McDaniels (step out of bounds),123-111, ,,4,111,123,-12,2776.0
1:44.0, ,123-111,A. Burks enters the game for A. Thompson,,4,111,123,-12,2776.0
1:33.0, ,123-111,J. Ivey misses 2-pt jump shot from 14 ft,,4,111,123,-12,2787.0
1:31.0,Defensive rebound by R. Gobert,123-111, ,,4,111,123,-12,2789.0
1:19.0,A. Edwards misses 3-pt jump shot from 24 ft,123-111, ,,4,111,123,-12,2801.0
1:16.0, ,123-111,Defensive rebound by B. Bogdanović,,4,111,123,-12,2804.0
1:11.0, ,123-111,B. Bogdanović misses 2-pt jump shot from 7 ft,,4,111,123,-12,2809.0
1:08.0,Defensive rebound by K. Towns,123-111, ,,4,111,123,-12,2812.0
1:07.0,Minnesota full timeout,123-111, ,,4,111,123,-12,2813.0
1:07.0,N. Alexander-Walker enters the game for M. Conley,123-111, ,,4,111,123,-12,2813.0
1:07.0,T. Brown enters the game for A. Edwards,123-111, ,,4,111,123,-12,2813.0
1:07.0,J. McLaughlin enters the game for R. Gobert,123-111, ,,4,111,123,-12,2813.0
1:07.0,S. Milton enters the game for J. McDaniels,123-111, ,,4,111,123,-12,2813.0
1:07.0,N. Reid enters the game for K. Towns,123-111, ,,4,111,123,-12,2813.0
1:07.0, ,123-111,A. Thompson enters the game for A. Burks,,4,111,123,-12,2813.0
0:57.0,Shooting foul by B. Bogdanović (drawn by N. Reid),123-111, ,,4,111,123,-12,2823.0
0:57.0,N. Reid misses free throw 1 of 2,123-111, ,,4,111,123,-12,2823.0
0:57.0,Offensive rebound by Team,123-111, ,,4,111,123,-12,2823.0
0:57.0, ,123-111,M. Muscala enters the game for B. Bogdanović,,4,111,123,-12,2823.0
0:57.0, ,123-111,M. Sasser enters the game for J. Duren,,4,111,123,-12,2823.0
0:57.0,N. Reid makes free throw 2 of 2,124-111, ,,4,111,124,-13,2823.0
0:40.0, ,124-114,M. Sasser makes 3-pt jump shot from 24 ft,,4,114,124,-10,2840.0
0:22.0,N. Alexander-Walker misses 3-pt jump shot from 24 ft,124-114, ,,4,114,124,-10,2858.0
0:18.0, ,124-114,Defensive rebound by J. Ivey,,4,114,124,-10,2862.0
0:14.0, ,124-117,J. Ivey makes 3-pt jump shot from 25 ft,,4,117,124,-7,2866.0
0:08.0,Personal foul by J. Ivey (drawn by J. McLaughlin),124-117, ,,4,117,124,-7,2872.0
0:08.0,J. McLaughlin misses free throw 1 of 2,124-117, ,,4,117,124,-7,2872.0
0:08.0,Offensive rebound by Team,124-117, ,,4,117,124,-7,2872.0
0:08.0,J. McLaughlin misses free throw 2 of 2,124-117, ,,4,117,124,-7,2872.0
0:05.0, ,124-117,Defensive rebound by A. Thompson,,4,117,124,-7,2875.0
0:01.0, ,124-117,M. Muscala misses 2-pt jump shot from 7 ft,,4,117,124,-7,2879.0
0:00.0,Defensive rebound by Team,124-117, ,,4,117,124,-7,2880.0
0:00.0,End of 4th quarter,124-117,,,4,117,124,-7,2880.0
