Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:06.0, ,9-9,J. Green makes free throw 1 of 2,Tie,1,9,9,0,234.0
8:06.0, ,9-10,J. Green makes free throw 2 of 2,Lead change,1,9,10,-1,234.0
7:52.0,C. Cunningham misses 3-pt jump shot from 28 ft,9-10, ,,1,9,10,-1,248.0
7:49.0, ,9-10,Defensive rebound by Team,,1,9,10,-1,251.0
7:32.0, ,9-12,J. Tate makes 2-pt layup from 1 ft (assist by A. Sengun),,1,9,12,-3,268.0
7:21.0,Turnover by J. Duren (lost ball; steal by A. Sengun),9-12, ,,1,9,12,-3,279.0
7:17.0, ,9-14,J. Tate makes 2-pt layup from 1 ft,,1,9,14,-5,283.0
7:16.0,Detroit full timeout,9-14, ,,1,9,14,-5,284.0
6:57.0,J. Ivey misses 2-pt layup from 2 ft,9-14, ,,1,9,14,-5,303.0
6:56.0,Offensive rebound by J. Duren,9-14, ,,1,9,14,-5,304.0
6:56.0,J. Duren makes 2-pt layup at rim,11-14, ,,1,11,14,-3,304.0
6:37.0, ,11-16,F. VanVleet makes 2-pt jump shot from 14 ft (assist by A. Sengun),,1,11,16,-5,323.0
6:22.0,C. Cunningham misses 3-pt jump shot from 27 ft,11-16, ,,1,11,16,-5,338.0
6:21.0, ,11-16,Defensive rebound by J. Smith,,1,11,16,-5,339.0
6:06.0, ,11-16,J. Green misses 2-pt jump shot from 6 ft,,1,11,16,-5,354.0
6:05.0,Defensive rebound by K. Knox,11-16, ,,1,11,16,-5,355.0
5:59.0,J. Ivey misses 2-pt layup from 3 ft,11-16, ,,1,11,16,-5,361.0
5:58.0, ,11-16,Defensive rebound by J. Smith,,1,11,16,-5,362.0
5:43.0, ,11-16,Personal foul by K. Knox (drawn by A. Sengun),,1,11,16,-5,377.0
5:43.0,I. Livers enters the game for K. Knox,11-16, ,,1,11,16,-5,377.0
5:43.0, ,11-16,T. Eason enters the game for J. Tate,,1,11,16,-5,377.0
5:41.0, ,11-16,Turnover by F. VanVleet (bad pass),,1,11,16,-5,379.0
5:30.0,Shooting foul by T. Eason (drawn by B. Bogdanović),11-16, ,,1,11,16,-5,390.0
5:30.0,B. Bogdanović misses free throw 1 of 2,11-16, ,,1,11,16,-5,390.0
5:30.0,Offensive rebound by Team,11-16, ,,1,11,16,-5,390.0
5:30.0, ,11-16,A. Thompson enters the game for J. Smith,,1,11,16,-5,390.0
5:30.0,B. Bogdanović makes free throw 2 of 2,12-16, ,,1,12,16,-4,390.0
5:17.0, ,12-19,F. VanVleet makes 3-pt jump shot from 26 ft (assist by A. Sengun),,1,12,19,-7,403.0
5:08.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by C. Cunningham),15-19, ,,1,15,19,-4,412.0
4:57.0, ,15-19,A. Sengun misses 3-pt jump shot from 26 ft,,1,15,19,-4,423.0
4:56.0,Defensive rebound by Team,15-19, ,,1,15,19,-4,424.0
4:56.0,A. Burks enters the game for B. Bogdanović,15-19, ,,1,15,19,-4,424.0
4:40.0,C. Cunningham misses 2-pt jump shot from 17 ft,15-19, ,,1,15,19,-4,440.0
4:39.0, ,15-19,Defensive rebound by J. Green,,1,15,19,-4,441.0
4:28.0, ,15-19,F. VanVleet misses 3-pt jump shot from 27 ft,,1,15,19,-4,452.0
4:24.0,Defensive rebound by A. Burks,15-19, ,,1,15,19,-4,456.0
4:07.0,J. Ivey makes 3-pt jump shot from 31 ft (assist by A. Burks),18-19, ,,1,18,19,-1,473.0
3:52.0, ,18-19,A. Sengun misses 2-pt dunk from 3 ft,,1,18,19,-1,488.0
3:51.0,Defensive rebound by J. Duren,18-19, ,,1,18,19,-1,489.0
3:46.0,I. Livers makes 2-pt layup from 1 ft (assist by J. Duren),20-19, ,Lead change,1,20,19,1,494.0
3:24.0, ,20-19,T. Eason misses 2-pt jump shot from 3 ft,,1,20,19,1,516.0
3:23.0, ,20-19,Offensive rebound by T. Eason,,1,20,19,1,517.0
3:23.0, ,20-21,T. Eason makes 2-pt layup at rim,Lead change,1,20,21,-1,517.0
3:13.0,C. Cunningham makes 2-pt layup from 1 ft (assist by J. Ivey),22-21, ,Lead change,1,22,21,1,527.0
2:56.0, ,22-23,F. VanVleet makes 2-pt jump shot from 13 ft,Lead change,1,22,23,-1,544.0
2:40.0,C. Cunningham misses 2-pt layup at rim,22-23, ,,1,22,23,-1,560.0
2:38.0, ,22-23,Defensive rebound by A. Sengun,,1,22,23,-1,562.0
2:34.0, ,22-23,F. VanVleet misses 2-pt layup from 2 ft,,1,22,23,-1,566.0
2:34.0,Defensive rebound by J. Ivey,22-23, ,,1,22,23,-1,566.0
2:15.0,J. Duren makes 2-pt hook shot from 4 ft (assist by C. Cunningham),24-23, ,Lead change,1,24,23,1,585.0
2:14.0, ,24-23,Houston full timeout,,1,24,23,1,586.0
2:14.0,A. Thompson enters the game for J. Duren,24-23, ,,1,24,23,1,586.0
2:14.0,J. Wiseman enters the game for J. Ivey,24-23, ,,1,24,23,1,586.0
2:14.0, ,24-23,J. Green enters the game for J. Green,,1,24,23,1,586.0
2:14.0, ,24-23,A. Holiday enters the game for A. Sengun,,1,24,23,1,586.0
2:14.0, ,24-23,J. Smith enters the game for F. VanVleet,,1,24,23,1,586.0
1:57.0, ,24-25,A. Thompson makes 2-pt layup from 2 ft,Lead change,1,24,25,-1,603.0
1:57.0, ,24-25,Shooting foul by A. Burks (drawn by A. Thompson),,1,24,25,-1,603.0
1:57.0, ,24-26,A. Thompson makes free throw 1 of 1,,1,24,26,-2,603.0
1:44.0,C. Cunningham misses 2-pt layup from 1 ft,24-26, ,,1,24,26,-2,616.0
1:43.0, ,24-26,Defensive rebound by J. Green,,1,24,26,-2,617.0
1:34.0, ,24-26,J. Green misses 3-pt jump shot from 24 ft,,1,24,26,-2,626.0
1:32.0, ,24-26,Offensive rebound by A. Holiday,,1,24,26,-2,628.0
1:23.0, ,24-29,T. Eason makes 3-pt jump shot from 26 ft (assist by A. Holiday),,1,24,29,-5,637.0
1:09.0,Turnover by A. Thompson (bad pass; steal by T. Eason),24-29, ,,1,24,29,-5,651.0
1:05.0, ,24-31,T. Eason makes 2-pt dunk from 2 ft,,1,24,31,-7,655.0
0:40.0,Shooting foul by T. Eason (drawn by J. Wiseman),24-31, ,,1,24,31,-7,680.0
0:40.0,J. Wiseman makes free throw 1 of 2,25-31, ,,1,25,31,-6,680.0
0:40.0,K. Hayes enters the game for C. Cunningham,25-31, ,,1,25,31,-6,680.0
0:40.0,J. Wiseman makes free throw 2 of 2,26-31, ,,1,26,31,-5,680.0
0:33.0, ,26-31,T. Eason misses 3-pt jump shot from 25 ft,,1,26,31,-5,687.0
0:31.0,Defensive rebound by Team,26-31, ,,1,26,31,-5,689.0
0:20.0,K. Hayes makes 3-pt jump shot from 25 ft,29-31, ,,1,29,31,-2,700.0
0:01.0, ,29-31,A. Holiday misses 3-pt jump shot from 26 ft,,1,29,31,-2,719.0
0:00.0, ,29-31,Offensive rebound by Team,,1,29,31,-2,720.0
0:00.0,End of 1st quarter,29-31,,,1,29,31,-2,720.0
12:00.0,Start of 2nd quarter,29-31,,,2,29,31,-2,720.0
11:43.0, ,29-33,J. Green makes 2-pt dunk from 1 ft (assist by R. Bullock),,2,29,33,-4,737.0
11:25.0,A. Burks misses 3-pt jump shot from 22 ft,29-33, ,,2,29,33,-4,755.0
11:23.0, ,29-33,Defensive rebound by A. Thompson,,2,29,33,-4,757.0
11:14.0, ,29-33,Shooting foul by A. Thompson (drawn by J. Tate),,2,29,33,-4,766.0
11:14.0, ,29-34,J. Tate makes free throw 1 of 2,,2,29,34,-5,766.0
11:14.0, ,29-35,J. Tate makes free throw 2 of 2,,2,29,35,-6,766.0
