Time,Detroit,Score,Houston,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:37.0, ,69-85,Turnover by A. Sengun (offensive foul),,3,69,85,-16,1823.0
5:37.0,A. Burks enters the game for B. Bogdanović,69-85, ,,3,69,85,-16,1823.0
5:37.0, ,69-85,A. Thompson enters the game for J. Smith,,3,69,85,-16,1823.0
5:27.0,Turnover by C. Cunningham (bad pass; steal by A. Sengun),69-85, ,,3,69,85,-16,1833.0
5:21.0, ,69-88,J. Green makes 3-pt jump shot from 24 ft (assist by T. Eason),,3,69,88,-19,1839.0
5:21.0,K. Hayes enters the game for C. Cunningham,69-88, ,,3,69,88,-19,1839.0
5:02.0,Shooting foul by F. VanVleet (drawn by K. Hayes),69-88, ,,3,69,88,-19,1858.0
5:02.0,K. Hayes misses free throw 1 of 2,69-88, ,,3,69,88,-19,1858.0
5:02.0,Offensive rebound by Team,69-88, ,,3,69,88,-19,1858.0
5:02.0,K. Hayes makes free throw 2 of 2,70-88, ,,3,70,88,-18,1858.0
4:53.0, ,70-90,A. Sengun makes 2-pt jump shot from 8 ft (assist by F. VanVleet),,3,70,90,-20,1867.0
4:53.0, ,70-90,Shooting foul by K. Hayes (drawn by A. Sengun),,3,70,90,-20,1867.0
4:53.0,A. Thompson enters the game for J. Ivey,70-90, ,,3,70,90,-20,1867.0
4:53.0, ,70-91,A. Sengun makes free throw 1 of 1,,3,70,91,-21,1867.0
4:39.0,I. Livers misses 2-pt layup from 2 ft,70-91, ,,3,70,91,-21,1881.0
4:38.0, ,70-91,Defensive rebound by J. Green,,3,70,91,-21,1882.0
4:25.0, ,70-94,J. Green makes 3-pt jump shot from 27 ft (assist by A. Sengun),,3,70,94,-24,1895.0
4:14.0,Personal foul by A. Thompson (drawn by K. Hayes),70-94, ,,3,70,94,-24,1906.0
4:14.0,K. Hayes misses free throw 1 of 2,70-94, ,,3,70,94,-24,1906.0
4:14.0,Offensive rebound by Team,70-94, ,,3,70,94,-24,1906.0
4:14.0,K. Hayes misses free throw 2 of 2,70-94, ,,3,70,94,-24,1906.0
4:14.0, ,70-94,Defensive rebound by T. Eason,,3,70,94,-24,1906.0
3:52.0, ,70-96,A. Sengun makes 2-pt jump shot from 12 ft (assist by F. VanVleet),,3,70,96,-26,1928.0
3:38.0,A. Burks misses 2-pt jump shot from 8 ft,70-96, ,,3,70,96,-26,1942.0
3:37.0, ,70-96,Defensive rebound by J. Green,,3,70,96,-26,1943.0
3:31.0, ,70-99,J. Green makes 3-pt jump shot from 28 ft (assist by F. VanVleet),,3,70,99,-29,1949.0
3:09.0,K. Hayes misses 2-pt jump shot from 18 ft,70-99, ,,3,70,99,-29,1971.0
3:08.0, ,70-99,Defensive rebound by J. Green,,3,70,99,-29,1972.0
2:53.0, ,70-99,T. Eason misses 3-pt jump shot from 23 ft,,3,70,99,-29,1987.0
2:50.0,Defensive rebound by A. Thompson,70-99, ,,3,70,99,-29,1990.0
2:41.0,K. Hayes makes 2-pt layup from 1 ft (assist by A. Thompson),72-99, ,,3,72,99,-27,1999.0
2:30.0, ,72-99,Shooting foul by J. Wiseman (drawn by A. Sengun),,3,72,99,-27,2010.0
2:30.0, ,72-99,Houston full timeout,,3,72,99,-27,2010.0
2:30.0, ,72-99,A. Holiday enters the game for F. VanVleet,,3,72,99,-27,2010.0
2:30.0, ,72-99,A. Sengun misses free throw 1 of 2,,3,72,99,-27,2010.0
2:30.0, ,72-99,Offensive rebound by Team,,3,72,99,-27,2010.0
2:30.0, ,72-100,A. Sengun makes free throw 2 of 2,,3,72,100,-28,2010.0
2:15.0,A. Burks makes 2-pt jump shot from 18 ft (assist by K. Hayes),74-100, ,,3,74,100,-26,2025.0
1:52.0, ,74-100,Shooting foul by J. Wiseman (drawn by J. Green),,3,74,100,-26,2048.0
1:52.0, ,74-100,J. Green misses free throw 1 of 2,,3,74,100,-26,2048.0
1:52.0, ,74-100,Offensive rebound by Team,,3,74,100,-26,2048.0
1:52.0, ,74-101,J. Green makes free throw 2 of 2,,3,74,101,-27,2048.0
1:40.0,Offensive foul by J. Wiseman (drawn by A. Holiday),74-101, ,,3,74,101,-27,2060.0
1:40.0,Turnover by J. Wiseman (offensive foul),74-101, ,,3,74,101,-27,2060.0
1:34.0, ,74-101,J. Green misses 3-pt jump shot from 27 ft,,3,74,101,-27,2066.0
1:32.0,Defensive rebound by Team,74-101, ,,3,74,101,-27,2068.0
1:32.0, ,74-101,Loose ball foul by A. Thompson (drawn by A. Burks),,3,74,101,-27,2068.0
1:32.0,A. Burks makes free throw 1 of 2,75-101, ,,3,75,101,-26,2068.0
1:32.0,A. Burks makes free throw 2 of 2,76-101, ,,3,76,101,-25,2068.0
1:16.0, ,76-101,A. Holiday misses 2-pt jump shot from 10 ft,,3,76,101,-25,2084.0
1:13.0,Defensive rebound by J. Wiseman,76-101, ,,3,76,101,-25,2087.0
1:10.0,Personal foul by A. Holiday (drawn by A. Burks),76-101, ,,3,76,101,-25,2090.0
1:10.0,A. Burks makes free throw 1 of 2,77-101, ,,3,77,101,-24,2090.0
1:10.0,A. Burks makes free throw 2 of 2,78-101, ,,3,78,101,-23,2090.0
0:48.0, ,78-103,A. Sengun makes 2-pt layup from 2 ft (assist by A. Thompson),,3,78,103,-25,2112.0
0:48.0, ,78-103,Shooting foul by J. Wiseman (drawn by A. Sengun),,3,78,103,-25,2112.0
0:48.0, ,78-104,A. Sengun makes free throw 1 of 1,,3,78,104,-26,2112.0
0:37.0,K. Hayes misses 2-pt jump shot from 8 ft,78-104, ,,3,78,104,-26,2123.0
0:35.0, ,78-104,Defensive rebound by A. Holiday,,3,78,104,-26,2125.0
0:31.0, ,78-106,T. Eason makes 2-pt layup from 1 ft (assist by A. Holiday),,3,78,106,-28,2129.0
0:11.0,A. Thompson makes 2-pt layup from 1 ft (assist by K. Hayes),80-106, ,,3,80,106,-26,2149.0
0:02.0, ,80-106,A. Thompson misses 2-pt layup from 1 ft,,3,80,106,-26,2158.0
0:01.0,Defensive rebound by J. Wiseman,80-106, ,,3,80,106,-26,2159.0
0:00.0,End of 3rd quarter,80-106,,,3,80,106,-26,2160.0
12:00.0,Start of 4th quarter,80-106,,,4,80,106,-26,2160.0
11:48.0,B. Bogdanović misses 2-pt jump shot from 10 ft,80-106, ,,4,80,106,-26,2172.0
11:46.0,Offensive rebound by Team,80-106, ,,4,80,106,-26,2174.0
11:43.0,Turnover by A. Burks (bad pass; steal by J. Tate),80-106, ,,4,80,106,-26,2177.0
11:38.0, ,80-106,T. Eason misses 2-pt layup from 4 ft (block by A. Thompson),,4,80,106,-26,2182.0
11:35.0, ,80-106,Offensive rebound by T. Eason,,4,80,106,-26,2185.0
11:34.0, ,80-106,T. Eason misses 2-pt layup from 3 ft,,4,80,106,-26,2186.0
11:32.0,Defensive rebound by J. Duren,80-106, ,,4,80,106,-26,2188.0
11:30.0,Shooting foul by J. Tate (drawn by B. Bogdanović),80-106, ,,4,80,106,-26,2190.0
11:30.0,B. Bogdanović makes free throw 1 of 2,81-106, ,,4,81,106,-25,2190.0
11:30.0,B. Bogdanović makes free throw 2 of 2,82-106, ,,4,82,106,-24,2190.0
11:11.0, ,82-108,J. Tate makes 2-pt jump shot from 5 ft,,4,82,108,-26,2209.0
11:02.0,A. Burks makes 3-pt jump shot from 24 ft (assist by C. Cunningham),85-108, ,,4,85,108,-23,2218.0
10:43.0, ,85-108,Turnover by J. Smith (step out of bounds),,4,85,108,-23,2237.0
10:34.0,B. Bogdanović makes 3-pt jump shot from 25 ft (assist by C. Cunningham),88-108, ,,4,88,108,-20,2246.0
10:32.0, ,88-108,Houston full timeout,,4,88,108,-20,2248.0
10:19.0, ,88-108,J. Smith misses 2-pt jump shot from 9 ft,,4,88,108,-20,2261.0
10:17.0,Defensive rebound by J. Duren,88-108, ,,4,88,108,-20,2263.0
10:05.0,A. Thompson misses 2-pt dunk from 2 ft,88-108, ,,4,88,108,-20,2275.0
10:04.0, ,88-108,Defensive rebound by A. Holiday,,4,88,108,-20,2276.0
9:59.0, ,88-110,T. Eason makes 2-pt layup from 1 ft (assist by A. Holiday),,4,88,110,-22,2281.0
9:49.0,Turnover by B. Bogdanović (bad pass; steal by A. Thompson),88-110, ,,4,88,110,-22,2291.0
9:43.0, ,88-112,T. Eason makes 2-pt layup at rim (assist by A. Thompson),,4,88,112,-24,2297.0
9:27.0,C. Cunningham makes 2-pt layup from 3 ft,90-112, ,,4,90,112,-22,2313.0
9:27.0, ,90-112,Violation by Team (def goaltending),,4,90,112,-22,2313.0
9:27.0,Shooting foul by T. Eason (drawn by C. Cunningham),90-112, ,,4,90,112,-22,2313.0
9:27.0,C. Cunningham misses free throw 1 of 1,90-112, ,,4,90,112,-22,2313.0
9:27.0, ,90-112,Defensive rebound by A. Thompson,,4,90,112,-22,2313.0
9:13.0, ,90-112,Shooting foul by J. Duren (drawn by J. Tate),,4,90,112,-22,2327.0
9:13.0, ,90-113,J. Tate makes free throw 1 of 2,,4,90,113,-23,2327.0
9:13.0,M. Bagley enters the game for A. Burks,90-113, ,,4,90,113,-23,2327.0
9:13.0,J. Ivey enters the game for J. Duren,90-113, ,,4,90,113,-23,2327.0
9:13.0, ,90-114,J. Tate makes free throw 2 of 2,,4,90,114,-24,2327.0
9:02.0,Turnover by C. Cunningham (bad pass; steal by T. Eason),90-114, ,,4,90,114,-24,2338.0
8:52.0, ,90-116,A. Thompson makes 2-pt dunk from 1 ft (assist by A. Holiday),,4,90,116,-26,2348.0
8:36.0,J. Ivey makes 2-pt jump shot from 8 ft (assist by B. Bogdanović),92-116, ,,4,92,116,-24,2364.0
8:21.0, ,92-116,A. Holiday misses 2-pt jump shot from 21 ft,,4,92,116,-24,2379.0
8:20.0,Defensive rebound by A. Thompson,92-116, ,,4,92,116,-24,2380.0
8:13.0,Turnover by A. Thompson (bad pass),92-116, ,,4,92,116,-24,2387.0
8:05.0, ,92-116,J. Smith misses 3-pt jump shot from 25 ft,,4,92,116,-24,2395.0
8:03.0,Defensive rebound by J. Ivey,92-116, ,,4,92,116,-24,2397.0
7:56.0,Turnover by J. Ivey (bad pass),92-116, ,,4,92,116,-24,2404.0
7:50.0, ,92-118,A. Thompson makes 2-pt jump shot from 9 ft,,4,92,118,-26,2410.0
7:36.0,B. Bogdanović misses 3-pt jump shot from 22 ft,92-118, ,,4,92,118,-26,2424.0
7:35.0,Offensive rebound by A. Thompson,92-118, ,,4,92,118,-26,2425.0
7:33.0,Shooting foul by J. Tate (drawn by A. Thompson),92-118, ,,4,92,118,-26,2427.0
7:33.0, ,92-118,C. Whitmore enters the game for J. Tate,,4,92,118,-26,2427.0
7:33.0,A. Thompson makes free throw 1 of 2,93-118, ,,4,93,118,-25,2427.0
7:33.0,A. Thompson misses free throw 2 of 2,93-118, ,,4,93,118,-25,2427.0
7:33.0, ,93-118,Defensive rebound by J. Smith,,4,93,118,-25,2427.0
7:22.0, ,93-121,C. Whitmore makes 3-pt jump shot from 25 ft (assist by J. Smith),,4,93,121,-28,2438.0
7:05.0,Turnover by C. Cunningham (lost ball; steal by A. Thompson),93-121, ,,4,93,121,-28,2455.0
6:58.0, ,93-121,Personal foul by A. Thompson (drawn by A. Holiday),,4,93,121,-28,2462.0
6:58.0, ,93-121,J. Landale enters the game for T. Eason,,4,93,121,-28,2462.0
6:52.0, ,93-123,C. Whitmore makes 2-pt dunk from 2 ft (assist by A. Thompson),,4,93,123,-30,2468.0
6:51.0,Detroit full timeout,93-123, ,,4,93,123,-30,2469.0
6:51.0,K. Hayes enters the game for B. Bogdanović,93-123, ,,4,93,123,-30,2469.0
6:51.0,K. Knox enters the game for C. Cunningham,93-123, ,,4,93,123,-30,2469.0
6:51.0,M. Sasser enters the game for J. Ivey,93-123, ,,4,93,123,-30,2469.0
6:51.0, ,93-123,R. Bullock enters the game for J. Smith,,4,93,123,-30,2469.0
6:35.0,M. Bagley misses 2-pt jump shot from 13 ft,93-123, ,,4,93,123,-30,2485.0
6:33.0, ,93-123,Defensive rebound by C. Whitmore,,4,93,123,-30,2487.0
6:20.0, ,93-126,R. Bullock makes 3-pt jump shot from 22 ft (assist by A. Thompson),,4,93,126,-33,2500.0
6:20.0, ,93-126,B. Marjanović enters the game for A. Holiday,,4,93,126,-33,2500.0
6:03.0,K. Knox misses 3-pt jump shot from 27 ft,93-126, ,,4,93,126,-33,2517.0
6:02.0, ,93-126,Defensive rebound by R. Bullock,,4,93,126,-33,2518.0
5:48.0, ,93-126,Turnover by A. Thompson (traveling),,4,93,126,-33,2532.0
5:26.0,M. Sasser makes 3-pt jump shot from 22 ft (assist by A. Thompson),96-126, ,,4,96,126,-30,2554.0
5:01.0, ,96-126,C. Whitmore misses 2-pt layup from 3 ft,,4,96,126,-30,2579.0
5:00.0, ,96-126,Offensive rebound by C. Whitmore,,4,96,126,-30,2580.0
4:59.0, ,96-128,C. Whitmore makes 2-pt layup from 2 ft,,4,96,128,-32,2581.0
4:48.0,M. Sasser makes 2-pt jump shot from 11 ft (assist by M. Bagley),98-128, ,,4,98,128,-30,2592.0
4:24.0, ,98-130,R. Bullock makes 2-pt layup from 2 ft (assist by B. Marjanović),,4,98,130,-32,2616.0
4:14.0,Shooting foul by A. Thompson (drawn by K. Knox),98-130, ,,4,98,130,-32,2626.0
4:14.0,K. Knox makes free throw 1 of 2,99-130, ,,4,99,130,-31,2626.0
4:14.0,K. Knox makes free throw 2 of 2,100-130, ,,4,100,130,-30,2626.0
3:59.0, ,100-132,C. Whitmore makes 2-pt dunk from 2 ft (assist by R. Bullock),,4,100,132,-32,2641.0
3:48.0,M. Bagley makes 2-pt jump shot from 13 ft (assist by M. Sasser),102-132, ,,4,102,132,-30,2652.0
3:31.0, ,102-134,R. Bullock makes 2-pt layup from 4 ft (assist by A. Thompson),,4,102,134,-32,2669.0
3:13.0,A. Thompson makes 2-pt layup from 4 ft (assist by M. Sasser),104-134, ,,4,104,134,-30,2687.0
2:53.0, ,104-134,R. Bullock misses 2-pt jump shot from 8 ft,,4,104,134,-30,2707.0
2:53.0,Defensive rebound by Team,104-134, ,,4,104,134,-30,2707.0
2:43.0,Shooting foul by B. Marjanović (drawn by M. Sasser),104-134, ,,4,104,134,-30,2717.0
2:43.0,M. Sasser misses free throw 1 of 2,104-134, ,,4,104,134,-30,2717.0
2:43.0,Offensive rebound by Team,104-134, ,,4,104,134,-30,2717.0
2:43.0,M. Sasser makes free throw 2 of 2,105-134, ,,4,105,134,-29,2717.0
2:24.0, ,105-136,A. Thompson makes 2-pt jump shot from 10 ft,,4,105,136,-31,2736.0
2:16.0,M. Sasser makes 3-pt jump shot from 25 ft,108-136, ,,4,108,136,-28,2744.0
1:56.0, ,108-136,B. Marjanović misses 2-pt jump shot from 12 ft,,4,108,136,-28,2764.0
1:55.0,Defensive rebound by K. Knox,108-136, ,,4,108,136,-28,2765.0
1:49.0,K. Knox misses 3-pt jump shot from 25 ft,108-136, ,,4,108,136,-28,2771.0
1:48.0, ,108-136,Defensive rebound by C. Whitmore,,4,108,136,-28,2772.0
1:37.0, ,108-136,Turnover by A. Thompson (bad pass; steal by K. Hayes),,4,108,136,-28,2783.0
1:34.0,K. Knox makes 2-pt dunk from 1 ft (assist by K. Hayes),110-136, ,,4,110,136,-26,2786.0
1:14.0, ,110-136,B. Marjanović misses 3-pt jump shot from 27 ft,,4,110,136,-26,2806.0
1:12.0,Defensive rebound by K. Knox,110-136, ,,4,110,136,-26,2808.0
1:04.0,A. Thompson misses 2-pt jump shot from 7 ft,110-136, ,,4,110,136,-26,2816.0
1:03.0, ,110-136,Defensive rebound by B. Marjanović,,4,110,136,-26,2817.0
0:52.0, ,110-136,Turnover by R. Bullock (bad pass; steal by M. Bagley),,4,110,136,-26,2828.0
0:46.0,K. Knox makes 3-pt jump shot from 24 ft (assist by M. Bagley),113-136, ,,4,113,136,-23,2834.0
0:22.0, ,113-136,Turnover by Team (shot clock),,4,113,136,-23,2858.0
0:17.0,K. Hayes misses 3-pt jump shot from 23 ft,113-136, ,,4,113,136,-23,2863.0
0:16.0, ,113-136,Defensive rebound by C. Whitmore,,4,113,136,-23,2864.0
0:00.0,End of 4th quarter,113-136,,,4,113,136,-23,2880.0
