Time,Brooklyn,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Claxton vs. J. Duren (J. Ivey gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,Turnover by B. Bogdanović (lost ball; steal by C. Johnson),,1,0,0,0,16.0
11:24.0,M. Bridges misses 2-pt layup from 2 ft,0-0, ,,1,0,0,0,36.0
11:22.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,38.0
11:17.0, ,0-0,J. Ivey misses 3-pt jump shot from 23 ft,,1,0,0,0,43.0
11:12.0, ,0-0,Offensive rebound by I. Stewart,,1,0,0,0,48.0
11:12.0, ,0-2,I. Stewart makes 2-pt layup at rim,,1,2,0,2,48.0
11:02.0,S. Dinwiddie misses 2-pt layup from 3 ft,0-2, ,,1,2,0,2,58.0
10:59.0, ,0-2,Defensive rebound by J. Duren,,1,2,0,2,61.0
10:57.0, ,0-2,B. Bogdanović misses 3-pt jump shot from 24 ft,,1,2,0,2,63.0
10:53.0, ,0-2,Offensive rebound by I. Stewart,,1,2,0,2,67.0
10:51.0, ,0-4,J. Duren makes 2-pt dunk from 1 ft (assist by I. Stewart),,1,4,0,4,69.0
10:34.0,Shooting foul by J. Duren (drawn by N. Claxton),0-4, ,,1,4,0,4,86.0
10:34.0,N. Claxton misses free throw 1 of 2,0-4, ,,1,4,0,4,86.0
10:34.0,Offensive rebound by Team,0-4, ,,1,4,0,4,86.0
10:34.0,N. Claxton makes free throw 2 of 2,1-4, ,,1,4,1,3,86.0
10:12.0, ,1-4,C. Cunningham misses 2-pt layup from 4 ft,,1,4,1,3,108.0
10:09.0,Defensive rebound by N. Claxton,1-4, ,,1,4,1,3,111.0
10:08.0,Turnover by C. Thomas (lost ball; steal by J. Ivey),1-4, ,,1,4,1,3,112.0
10:02.0, ,1-6,B. Bogdanović makes 2-pt layup from 1 ft (assist by J. Ivey),,1,6,1,5,118.0
9:50.0,C. Thomas misses 2-pt jump shot from 14 ft,1-6, ,,1,6,1,5,130.0
9:47.0, ,1-6,Defensive rebound by J. Duren,,1,6,1,5,133.0
9:41.0, ,1-6,Shooting foul by S. Dinwiddie (drawn by I. Stewart),,1,6,1,5,139.0
9:41.0, ,1-6,I. Stewart misses free throw 1 of 2,,1,6,1,5,139.0
9:41.0, ,1-6,Offensive rebound by Team,,1,6,1,5,139.0
9:41.0, ,1-7,I. Stewart makes free throw 2 of 2,,1,7,1,6,139.0
9:26.0,M. Bridges misses 2-pt jump shot from 8 ft,1-7, ,,1,7,1,6,154.0
9:24.0, ,1-7,Defensive rebound by I. Stewart,,1,7,1,6,156.0
9:14.0, ,1-7,J. Ivey misses 2-pt jump shot from 6 ft,,1,7,1,6,166.0
9:13.0, ,1-7,Offensive rebound by J. Duren,,1,7,1,6,167.0
9:12.0, ,1-7,J. Duren misses 2-pt layup from 2 ft,,1,7,1,6,168.0
9:08.0,Defensive rebound by S. Dinwiddie,1-7, ,,1,7,1,6,172.0
9:05.0,S. Dinwiddie misses 2-pt layup from 4 ft,1-7, ,,1,7,1,6,175.0
9:01.0, ,1-7,Defensive rebound by C. Cunningham,,1,7,1,6,179.0
9:00.0, ,1-9,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Cunningham),,1,9,1,8,180.0
9:00.0,Brooklyn full timeout,1-9, ,,1,9,1,8,180.0
8:45.0,C. Johnson makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie),4-9, ,,1,9,4,5,195.0
8:30.0, ,4-11,J. Duren makes 2-pt layup from 3 ft (assist by C. Cunningham),,1,11,4,7,210.0
8:18.0,M. Bridges misses 2-pt jump shot from 10 ft,4-11, ,,1,11,4,7,222.0
8:16.0, ,4-11,Defensive rebound by C. Cunningham,,1,11,4,7,224.0
8:11.0, ,4-11,Shooting foul by M. Bridges (drawn by J. Ivey),,1,11,4,7,229.0
8:11.0, ,4-12,J. Ivey makes free throw 1 of 2,,1,12,4,8,229.0
8:11.0, ,4-13,J. Ivey makes free throw 2 of 2,,1,13,4,9,229.0
7:57.0,Shooting foul by J. Ivey (drawn by C. Thomas),4-13, ,,1,13,4,9,243.0
7:57.0,C. Thomas makes free throw 1 of 2,5-13, ,,1,13,5,8,243.0
7:57.0,C. Thomas misses free throw 2 of 2,5-13, ,,1,13,5,8,243.0
7:53.0, ,5-13,Defensive rebound by J. Duren,,1,13,5,8,247.0
7:41.0, ,5-15,C. Cunningham makes 2-pt jump shot from 7 ft,,1,15,5,10,259.0
7:20.0,C. Thomas makes 2-pt jump shot from 6 ft,7-15, ,,1,15,7,8,280.0
7:07.0, ,7-15,I. Stewart misses 3-pt jump shot from 24 ft,,1,15,7,8,293.0
7:05.0,Defensive rebound by M. Bridges,7-15, ,,1,15,7,8,295.0
6:56.0,Turnover by M. Bridges (lost ball; steal by J. Ivey),7-15, ,,1,15,7,8,304.0
