Time,Detroit,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:05.0,Turnover by C. Cunningham (lost ball; steal by J. Butler),10-16, ,,1,10,16,-6,355.0
5:59.0, ,10-18,J. Butler makes 2-pt layup from 3 ft (assist by T. Rozier),,1,10,18,-8,361.0
5:48.0,J. Ivey makes 2-pt jump shot from 17 ft (assist by C. Cunningham),12-18, ,,1,12,18,-6,372.0
5:29.0, ,12-18,Turnover by T. Rozier (lost ball; steal by I. Stewart),,1,12,18,-6,391.0
5:24.0,I. Stewart makes 2-pt layup from 5 ft (assist by J. Ivey),14-18, ,,1,14,18,-4,396.0
5:08.0, ,14-20,N. Jović makes 2-pt jump shot from 15 ft (assist by J. Butler),,1,14,20,-6,412.0
4:44.0,J. Ivey makes 2-pt layup from 4 ft,16-20, ,,1,16,20,-4,436.0
4:32.0, ,16-22,B. Adebayo makes 2-pt hook shot from 7 ft (assist by T. Rozier),,1,16,22,-6,448.0
4:19.0,C. Cunningham makes 2-pt jump shot from 13 ft,18-22, ,,1,18,22,-4,461.0
4:09.0, ,18-22,T. Rozier misses 2-pt jump shot from 12 ft,,1,18,22,-4,471.0
4:05.0,Defensive rebound by J. Wiseman,18-22, ,,1,18,22,-4,475.0
3:59.0,J. Ivey makes 2-pt jump shot from 10 ft,20-22, ,,1,20,22,-2,481.0
3:38.0, ,20-24,T. Rozier makes 2-pt layup from 6 ft,,1,20,24,-4,502.0
3:19.0,Shooting foul by T. Rozier (drawn by I. Stewart),20-24, ,,1,20,24,-4,521.0
3:19.0,I. Stewart makes free throw 1 of 2,21-24, ,,1,21,24,-3,521.0
3:19.0,S. Fontecchio enters the game for J. Ivey,21-24, ,,1,21,24,-3,521.0
3:19.0, ,21-24,J. Jaquez enters the game for J. Butler,,1,21,24,-3,521.0
3:19.0, ,21-24,C. Martin enters the game for T. Rozier,,1,21,24,-3,521.0
3:19.0,I. Stewart makes free throw 2 of 2,22-24, ,,1,22,24,-2,521.0
3:08.0, ,22-27,D. Robinson makes 3-pt jump shot from 27 ft (assist by N. Jović),,1,22,27,-5,532.0
2:55.0,C. Cunningham misses 2-pt hook shot from 8 ft,22-27, ,,1,22,27,-5,545.0
2:52.0, ,22-27,Defensive rebound by C. Martin,,1,22,27,-5,548.0
2:42.0, ,22-29,C. Martin makes 2-pt layup from 6 ft,,1,22,29,-7,558.0
2:42.0,Detroit full timeout,22-29, ,,1,22,29,-7,558.0
2:42.0,E. Fournier enters the game for C. Cunningham,22-29, ,,1,22,29,-7,558.0
2:42.0,M. Sasser enters the game for I. Stewart,22-29, ,,1,22,29,-7,558.0
2:26.0,S. Fontecchio misses 2-pt layup from 6 ft,22-29, ,,1,22,29,-7,574.0
2:25.0,Offensive rebound by J. Wiseman,22-29, ,,1,22,29,-7,575.0
2:24.0,J. Wiseman makes 2-pt layup at rim,24-29, ,,1,24,29,-5,576.0
2:01.0, ,24-29,B. Adebayo misses 2-pt hook shot from 6 ft,,1,24,29,-5,599.0
1:59.0,Defensive rebound by S. Fontecchio,24-29, ,,1,24,29,-5,601.0
1:48.0,E. Fournier misses 3-pt jump shot from 26 ft,24-29, ,,1,24,29,-5,612.0
1:45.0, ,24-29,Defensive rebound by B. Adebayo,,1,24,29,-5,615.0
1:37.0, ,24-29,B. Adebayo misses 2-pt jump shot from 15 ft,,1,24,29,-5,623.0
1:34.0,Defensive rebound by A. Thompson,24-29, ,,1,24,29,-5,626.0
1:34.0,J. Ivey enters the game for A. Thompson,24-29, ,,1,24,29,-5,626.0
1:34.0, ,24-29,H. Highsmith enters the game for B. Adebayo,,1,24,29,-5,626.0
1:34.0, ,24-29,O. Robinson enters the game for D. Robinson,,1,24,29,-5,626.0
1:23.0,E. Fournier misses 3-pt jump shot from 28 ft,24-29, ,,1,24,29,-5,637.0
1:20.0, ,24-29,Defensive rebound by C. Martin,,1,24,29,-5,640.0
1:06.0, ,24-32,H. Highsmith makes 3-pt jump shot from 25 ft (assist by N. Jović),,1,24,32,-8,654.0
0:53.0,J. Ivey misses 2-pt layup from 4 ft,24-32, ,,1,24,32,-8,667.0
0:51.0, ,24-32,Defensive rebound by O. Robinson,,1,24,32,-8,669.0
0:43.0, ,24-32,Shooting foul by E. Fournier (drawn by J. Jaquez),,1,24,32,-8,677.0
0:43.0, ,24-33,J. Jaquez makes free throw 1 of 2,,1,24,33,-9,677.0
0:43.0, ,24-34,J. Jaquez makes free throw 2 of 2,,1,24,34,-10,677.0
0:34.0,J. Wiseman makes 2-pt jump shot from 7 ft (assist by J. Ivey),26-34, ,,1,26,34,-8,686.0
0:17.0, ,26-36,C. Martin makes 2-pt jump shot from 8 ft (assist by H. Highsmith),,1,26,36,-10,703.0
0:02.0,M. Sasser misses 3-pt jump shot from 27 ft,26-36, ,,1,26,36,-10,718.0
0:02.0,Offensive rebound by J. Wiseman,26-36, ,,1,26,36,-10,718.0
0:00.0,J. Wiseman misses 2-pt jump shot from 8 ft,26-36, ,,1,26,36,-10,720.0
0:00.0,Offensive rebound by Team,26-36, ,,1,26,36,-10,720.0
0:00.0,End of 1st quarter,26-36,,,1,26,36,-10,720.0
12:00.0,Start of 2nd quarter,26-36,,,2,26,36,-10,720.0
12:00.0, ,26-36,Technical foul by N. Jović,,2,26,36,-10,720.0
12:00.0,E. Fournier makes technical free throw,27-36, ,,2,27,36,-9,720.0
11:45.0,E. Fournier misses 3-pt jump shot from 24 ft,27-36, ,,2,27,36,-9,735.0
11:41.0, ,27-36,Defensive rebound by H. Highsmith,,2,27,36,-9,739.0
11:21.0, ,27-36,O. Robinson misses 2-pt hook shot from 6 ft,,2,27,36,-9,759.0
11:19.0,Defensive rebound by J. Wiseman,27-36, ,,2,27,36,-9,761.0
11:04.0,S. Fontecchio makes 3-pt jump shot from 28 ft (assist by J. Wiseman),30-36, ,,2,30,36,-6,776.0
11:04.0,Shooting foul by N. Jović (drawn by S. Fontecchio),30-36, ,,2,30,36,-6,776.0
11:04.0, ,30-36,J. Butler enters the game for N. Jović,,2,30,36,-6,776.0
11:04.0,S. Fontecchio makes free throw 1 of 1,31-36, ,,2,31,36,-5,776.0
10:43.0, ,31-36,Turnover by J. Butler (lost ball; steal by M. Sasser),,2,31,36,-5,797.0
10:34.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by M. Sasser),34-36, ,,2,34,36,-2,806.0
10:17.0, ,34-36,C. Martin misses 3-pt jump shot from 26 ft,,2,34,36,-2,823.0
10:13.0, ,34-36,Offensive rebound by O. Robinson,,2,34,36,-2,827.0
10:12.0, ,34-38,O. Robinson makes 2-pt layup from 3 ft,,2,34,38,-4,828.0
10:06.0,J. Ivey makes 2-pt layup from 5 ft (assist by M. Sasser),36-38, ,,2,36,38,-2,834.0
9:48.0, ,36-38,J. Jaquez misses 2-pt layup from 7 ft,,2,36,38,-2,852.0
9:46.0,Defensive rebound by J. Wiseman,36-38, ,,2,36,38,-2,854.0
9:39.0,S. Fontecchio misses 3-pt jump shot from 23 ft,36-38, ,,2,36,38,-2,861.0
9:38.0, ,36-38,Defensive rebound by J. Jaquez,,2,36,38,-2,862.0
9:25.0, ,36-38,O. Robinson misses 2-pt jump shot from 7 ft,,2,36,38,-2,875.0
9:23.0, ,36-38,Offensive rebound by O. Robinson,,2,36,38,-2,877.0
9:19.0, ,36-41,C. Martin makes 3-pt jump shot from 26 ft (assist by O. Robinson),,2,36,41,-5,881.0
9:00.0,Shooting foul by C. Martin (drawn by S. Fontecchio),36-41, ,,2,36,41,-5,900.0
9:00.0,S. Fontecchio makes free throw 1 of 2,37-41, ,,2,37,41,-4,900.0
9:00.0,S. Fontecchio makes free throw 2 of 2,38-41, ,,2,38,41,-3,900.0
9:00.0,I. Stewart enters the game for J. Ivey,38-41, ,,2,38,41,-3,900.0
9:00.0, ,38-41,D. Robinson enters the game for H. Highsmith,,2,38,41,-3,900.0
8:52.0, ,38-41,Personal foul by M. Sasser (drawn by J. Butler),,2,38,41,-3,908.0
8:47.0, ,38-41,Turnover by O. Robinson (bad pass),,2,38,41,-3,913.0
8:35.0,I. Stewart misses 3-pt jump shot from 25 ft,38-41, ,,2,38,41,-3,925.0
8:32.0, ,38-41,Defensive rebound by O. Robinson,,2,38,41,-3,928.0
8:22.0, ,38-41,Shooting foul by J. Wiseman (drawn by C. Martin),,2,38,41,-3,938.0
8:22.0, ,38-42,C. Martin makes free throw 1 of 2,,2,38,42,-4,938.0
8:22.0,J. Duren enters the game for J. Wiseman,38-42, ,,2,38,42,-4,938.0
8:22.0, ,38-43,C. Martin makes free throw 2 of 2,,2,38,43,-5,938.0
8:06.0,E. Fournier misses 2-pt layup from 3 ft,38-43, ,,2,38,43,-5,954.0
8:02.0, ,38-43,Defensive rebound by O. Robinson,,2,38,43,-5,958.0
7:57.0, ,38-45,J. Jaquez makes 2-pt dunk from 4 ft,,2,38,45,-7,963.0
7:49.0,Shooting foul by C. Martin (drawn by J. Duren),38-45, ,,2,38,45,-7,971.0
7:49.0,J. Duren makes free throw 1 of 2,39-45, ,,2,39,45,-6,971.0
7:49.0,A. Thompson enters the game for E. Fournier,39-45, ,,2,39,45,-6,971.0
7:49.0,J. Duren makes free throw 2 of 2,40-45, ,,2,40,45,-5,971.0
7:35.0, ,40-48,C. Martin makes 3-pt jump shot from 27 ft (assist by D. Robinson),,2,40,48,-8,985.0
7:22.0,S. Fontecchio makes 2-pt jump shot from 8 ft (assist by M. Sasser),42-48, ,,2,42,48,-6,998.0
7:09.0, ,42-51,C. Martin makes 3-pt jump shot from 26 ft (assist by J. Butler),,2,42,51,-9,1011.0
6:47.0,M. Sasser misses 3-pt jump shot from 26 ft,42-51, ,,2,42,51,-9,1033.0
6:44.0, ,42-51,Defensive rebound by D. Robinson,,2,42,51,-9,1036.0
6:34.0, ,42-51,D. Robinson misses 3-pt jump shot from 26 ft,,2,42,51,-9,1046.0
6:30.0,Defensive rebound by A. Thompson,42-51, ,,2,42,51,-9,1050.0
6:10.0,A. Thompson misses 2-pt jump shot from 6 ft,42-51, ,,2,42,51,-9,1070.0
