Time,Detroit,Score,LA Lakers,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:38.0,C. Cunningham enters the game for S. Milton,102-115, ,,4,102,115,-13,2602.0
4:38.0,J. Duren enters the game for J. Wiseman,102-115, ,,4,102,115,-13,2602.0
4:38.0, ,102-116,C. Wood makes free throw 2 of 2,,4,102,116,-14,2602.0
4:26.0,Turnover by E. Fournier (bad pass; steal by S. Dinwiddie),102-116, ,,4,102,116,-14,2614.0
4:03.0, ,102-116,S. Dinwiddie misses 3-pt jump shot from 28 ft,,4,102,116,-14,2637.0
3:59.0, ,102-116,Offensive rebound by R. Hachimura,,4,102,116,-14,2641.0
3:49.0, ,102-118,C. Wood makes 2-pt layup from 3 ft (assist by R. Hachimura),,4,102,118,-16,2651.0
3:49.0,Detroit full timeout,102-118, ,,4,102,118,-16,2651.0
3:33.0,J. Ivey misses 3-pt jump shot from 26 ft,102-118, ,,4,102,118,-16,2667.0
3:29.0, ,102-118,Defensive rebound by A. Reaves,,4,102,118,-16,2671.0
3:19.0, ,102-118,Personal foul by J. Ivey (drawn by R. Hachimura),,4,102,118,-16,2681.0
3:19.0, ,102-118,R. Hachimura misses free throw 1 of 2,,4,102,118,-16,2681.0
3:19.0, ,102-118,Offensive rebound by Team,,4,102,118,-16,2681.0
3:19.0, ,102-118,R. Hachimura misses free throw 2 of 2,,4,102,118,-16,2681.0
3:16.0,Defensive rebound by E. Fournier,102-118, ,,4,102,118,-16,2684.0
3:11.0,A. Thompson makes 2-pt dunk from 5 ft (assist by C. Cunningham),104-118, ,,4,104,118,-14,2689.0
2:51.0, ,104-121,C. Wood makes 3-pt jump shot from 26 ft (assist by A. Reaves),,4,104,121,-17,2709.0
2:38.0,Shooting foul by C. Wood (drawn by C. Cunningham),104-121, ,,4,104,121,-17,2722.0
2:38.0,C. Cunningham makes free throw 1 of 2,105-121, ,,4,105,121,-16,2722.0
2:38.0,C. Cunningham makes free throw 2 of 2,106-121, ,,4,106,121,-15,2722.0
2:18.0, ,106-121,Personal foul by J. Ivey (drawn by A. Reaves),,4,106,121,-15,2742.0
2:18.0, ,106-122,A. Reaves makes free throw 1 of 2,,4,106,122,-16,2742.0
2:18.0,T. Brown enters the game for C. Cunningham,106-122, ,,4,106,122,-16,2742.0
2:18.0,M. Flynn enters the game for J. Duren,106-122, ,,4,106,122,-16,2742.0
2:18.0,S. Milton enters the game for E. Fournier,106-122, ,,4,106,122,-16,2742.0
2:18.0,M. Sasser enters the game for J. Ivey,106-122, ,,4,106,122,-16,2742.0
2:18.0,J. Wiseman enters the game for A. Thompson,106-122, ,,4,106,122,-16,2742.0
2:18.0, ,106-122,J. Hood-Schifino enters the game for R. Hachimura,,4,106,122,-16,2742.0
2:18.0, ,106-122,M. Lewis enters the game for T. Prince,,4,106,122,-16,2742.0
2:18.0, ,106-123,A. Reaves makes free throw 2 of 2,,4,106,123,-17,2742.0
1:55.0,S. Milton misses 2-pt jump shot from 5 ft,106-123, ,,4,106,123,-17,2765.0
1:51.0, ,106-123,Defensive rebound by C. Wood,,4,106,123,-17,2769.0
1:33.0, ,106-125,J. Hood-Schifino makes 2-pt dunk from 3 ft (assist by S. Dinwiddie),,4,106,125,-19,2787.0
1:26.0,T. Brown misses 2-pt layup from 3 ft,106-125, ,,4,106,125,-19,2794.0
1:25.0, ,106-125,Defensive rebound by S. Dinwiddie,,4,106,125,-19,2795.0
1:25.0, ,106-125,LA Lakers full timeout,,4,106,125,-19,2795.0
1:25.0, ,106-125,C. Castleton enters the game for A. Reaves,,4,106,125,-19,2795.0
1:11.0, ,106-125,C. Wood misses 2-pt jump shot from 18 ft,,4,106,125,-19,2809.0
1:09.0,Defensive rebound by M. Flynn,106-125, ,,4,106,125,-19,2811.0
0:52.0,Shooting foul by C. Castleton (drawn by J. Wiseman),106-125, ,,4,106,125,-19,2828.0
0:52.0,J. Wiseman makes free throw 1 of 2,107-125, ,,4,107,125,-18,2828.0
0:52.0,J. Wiseman makes free throw 2 of 2,108-125, ,,4,108,125,-17,2828.0
0:36.0, ,108-125,J. Hood-Schifino misses 2-pt jump shot from 13 ft,,4,108,125,-17,2844.0
0:33.0,Defensive rebound by M. Sasser,108-125, ,,4,108,125,-17,2847.0
0:25.0,M. Sasser makes 3-pt jump shot from 27 ft (assist by S. Milton),111-125, ,,4,111,125,-14,2855.0
0:01.0, ,111-125,Turnover by Team (shot clock),,4,111,125,-14,2879.0
0:00.0,End of 4th quarter,111-125,,,4,111,125,-14,2880.0
