Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
3:55.0, ,73-62,K. Kuzma misses 2-pt hook shot from 4 ft,,3,73,62,11,1925.0
3:55.0,Defensive rebound by J. Duren,73-62, ,,3,73,62,11,1925.0
3:48.0,Personal foul by C. Kispert (drawn by C. Cunningham),73-62, ,,3,73,62,11,1932.0
3:48.0,E. Fournier enters the game for J. Duren,73-62, ,,3,73,62,11,1932.0
3:48.0,J. Wiseman enters the game for J. Ivey,73-62, ,,3,73,62,11,1932.0
3:48.0, ,73-62,D. Avdija enters the game for K. Kuzma,,3,73,62,11,1932.0
3:41.0,C. Metu misses 3-pt jump shot from 28 ft,73-62, ,,3,73,62,11,1939.0
3:38.0, ,73-62,Defensive rebound by D. Avdija,,3,73,62,11,1942.0
3:31.0, ,73-65,D. Avdija makes 3-pt jump shot from 27 ft,,3,73,65,8,1949.0
3:16.0,Personal foul by A. Gill (drawn by C. Cunningham),73-65, ,,3,73,65,8,1964.0
3:16.0,M. Flynn enters the game for T. Evbuomwan,73-65, ,,3,73,65,8,1964.0
3:07.0,C. Metu makes 2-pt layup from 2 ft (assist by C. Cunningham),75-65, ,,3,75,65,10,1973.0
3:01.0, ,75-68,C. Kispert makes 3-pt jump shot from 31 ft (assist by D. Avdija),,3,75,68,7,1979.0
2:44.0,Turnover by C. Cunningham (bad pass),75-68, ,,3,75,68,7,1996.0
2:44.0, ,75-68,Washington full timeout,,3,75,68,7,1996.0
2:42.0, ,75-68,Turnover by D. Avdija (bad pass; steal by M. Flynn),,3,75,68,7,1998.0
2:37.0,E. Fournier makes 3-pt jump shot from 27 ft (assist by C. Metu),78-68, ,,3,78,68,10,2003.0
2:11.0, ,78-68,A. Gill misses 2-pt hook shot from 3 ft,,3,78,68,10,2029.0
2:07.0, ,78-68,Offensive rebound by A. Gill,,3,78,68,10,2033.0
2:07.0, ,78-70,A. Gill makes 2-pt layup at rim,,3,78,70,8,2033.0
1:55.0,J. Wiseman misses 2-pt hook shot from 9 ft,78-70, ,,3,78,70,8,2045.0
1:52.0, ,78-70,Defensive rebound by C. Kispert,,3,78,70,8,2048.0
1:47.0, ,78-70,J. Poole misses 2-pt layup from 4 ft,,3,78,70,8,2053.0
1:43.0,Defensive rebound by M. Flynn,78-70, ,,3,78,70,8,2057.0
1:39.0,C. Cunningham makes 2-pt layup from 1 ft (assist by M. Flynn),80-70, ,,3,80,70,10,2061.0
1:21.0, ,80-72,A. Gill makes 2-pt layup from 2 ft (assist by J. Poole),,3,80,72,8,2079.0
1:06.0,Personal foul by D. Avdija (drawn by J. Wiseman),80-72, ,,3,80,72,8,2094.0
1:06.0,J. Ivey enters the game for C. Cunningham,80-72, ,,3,80,72,8,2094.0
1:06.0, ,80-72,J. Davis enters the game for C. Kispert,,3,80,72,8,2094.0
0:54.0,E. Fournier misses 3-pt jump shot from 28 ft,80-72, ,,3,80,72,8,2106.0
0:48.0, ,80-72,Defensive rebound by J. Poole,,3,80,72,8,2112.0
0:38.0, ,80-72,Turnover by J. Poole (bad pass),,3,80,72,8,2122.0
0:17.0,M. Flynn misses 3-pt jump shot from 32 ft,80-72, ,,3,80,72,8,2143.0
0:14.0, ,80-72,Defensive rebound by D. Avdija,,3,80,72,8,2146.0
0:00.0, ,80-75,D. Avdija makes 3-pt jump shot from 27 ft,,3,80,75,5,2160.0
0:00.0,End of 3rd quarter,80-75,,,3,80,75,5,2160.0
12:00.0,Start of 4th quarter,80-75,,,4,80,75,5,2160.0
11:47.0,Turnover by J. Ivey (bad pass; steal by J. Butler),80-75, ,,4,80,75,5,2173.0
11:43.0, ,80-77,J. Butler makes 2-pt layup from 1 ft,,4,80,77,3,2177.0
11:28.0,C. Metu misses 2-pt jump shot from 10 ft,80-77, ,,4,80,77,3,2192.0
11:27.0, ,80-77,Defensive rebound by Team,,4,80,77,3,2193.0
11:27.0,Loose ball foul by J. Wiseman (drawn by M. Bagley),80-77, ,,4,80,77,3,2193.0
11:06.0, ,80-79,M. Bagley makes 2-pt layup from 2 ft (assist by D. Avdija),,4,80,79,1,2214.0
10:49.0,J. Wiseman misses 2-pt hook shot from 8 ft,80-79, ,,4,80,79,1,2231.0
10:49.0, ,80-79,Defensive rebound by Team,,4,80,79,1,2231.0
10:25.0, ,80-79,D. Avdija misses 2-pt jump shot from 21 ft,,4,80,79,1,2255.0
10:22.0,Defensive rebound by J. Ivey,80-79, ,,4,80,79,1,2258.0
10:20.0,Offensive foul by J. Wiseman (drawn by J. Butler),80-79, ,,4,80,79,1,2260.0
10:20.0,Turnover by J. Wiseman (offensive foul),80-79, ,,4,80,79,1,2260.0
10:20.0,J. Duren enters the game for J. Wiseman,80-79, ,,4,80,79,1,2260.0
10:03.0, ,80-81,J. Poole makes 2-pt layup from 1 ft (assist by D. Avdija),Lead change,4,80,81,-1,2277.0
9:51.0,C. Metu misses 3-pt jump shot from 25 ft,80-81, ,,4,80,81,-1,2289.0
9:48.0, ,80-81,Defensive rebound by M. Bagley,,4,80,81,-1,2292.0
9:44.0, ,80-81,J. Poole misses 3-pt jump shot from 32 ft,,4,80,81,-1,2296.0
9:41.0,Defensive rebound by J. Duren,80-81, ,,4,80,81,-1,2299.0
9:20.0,J. Ivey misses 3-pt jump shot from 27 ft,80-81, ,,4,80,81,-1,2320.0
9:16.0, ,80-81,Defensive rebound by D. Avdija,,4,80,81,-1,2324.0
9:05.0, ,80-81,Turnover by D. Avdija (out of bounds lost ball),,4,80,81,-1,2335.0
9:05.0,C. Cunningham enters the game for M. Flynn,80-81, ,,4,80,81,-1,2335.0
8:49.0,C. Cunningham misses 2-pt jump shot from 18 ft,80-81, ,,4,80,81,-1,2351.0
8:46.0, ,80-81,Defensive rebound by D. Avdija,,4,80,81,-1,2354.0
8:32.0, ,80-81,Turnover by J. Butler (bad pass; steal by C. Metu),,4,80,81,-1,2368.0
8:24.0,C. Cunningham misses 2-pt layup from 5 ft,80-81, ,,4,80,81,-1,2376.0
8:22.0, ,80-81,Defensive rebound by M. Bagley,,4,80,81,-1,2378.0
8:11.0, ,80-81,Turnover by J. Poole (lost ball; steal by C. Cunningham),,4,80,81,-1,2389.0
8:08.0,C. Cunningham misses 2-pt layup from 4 ft,80-81, ,,4,80,81,-1,2392.0
8:05.0, ,80-81,Defensive rebound by M. Bagley,,4,80,81,-1,2395.0
8:03.0, ,80-81,Offensive foul by D. Avdija (drawn by E. Fournier),,4,80,81,-1,2397.0
8:03.0, ,80-81,Turnover by D. Avdija (offensive foul),,4,80,81,-1,2397.0
8:03.0,T. Brown enters the game for C. Metu,80-81, ,,4,80,81,-1,2397.0
8:03.0, ,80-81,J. Davis enters the game for M. Bagley,,4,80,81,-1,2397.0
7:51.0,C. Cunningham misses 2-pt layup from 4 ft,80-81, ,,4,80,81,-1,2409.0
7:47.0,Offensive rebound by J. Duren,80-81, ,,4,80,81,-1,2413.0
7:46.0,J. Duren makes 2-pt layup from 4 ft,82-81, ,Lead change,4,82,81,1,2414.0
7:40.0, ,82-81,Washington full timeout,,4,82,81,1,2420.0
7:40.0, ,82-81,C. Kispert enters the game for D. Avdija,,4,82,81,1,2420.0
7:40.0, ,82-81,K. Kuzma enters the game for J. Butler,,4,82,81,1,2420.0
7:26.0, ,82-81,J. Poole misses 3-pt jump shot from 30 ft,,4,82,81,1,2434.0
7:23.0,Defensive rebound by J. Duren,82-81, ,,4,82,81,1,2437.0
7:07.0,Offensive foul by J. Duren (drawn by K. Kuzma),82-81, ,,4,82,81,1,2453.0
7:07.0,Turnover by J. Duren (offensive foul),82-81, ,,4,82,81,1,2453.0
6:50.0, ,82-83,A. Gill makes 2-pt layup from 2 ft (assist by K. Kuzma),Lead change,4,82,83,-1,2470.0
6:36.0,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),84-83, ,Lead change,4,84,83,1,2484.0
6:19.0, ,84-83,A. Gill misses 3-pt jump shot from 23 ft,,4,84,83,1,2501.0
6:15.0,Defensive rebound by C. Cunningham,84-83, ,,4,84,83,1,2505.0
6:04.0,C. Cunningham misses 2-pt layup from 5 ft,84-83, ,,4,84,83,1,2516.0
6:01.0, ,84-83,Defensive rebound by A. Gill,,4,84,83,1,2519.0
5:58.0, ,84-83,Personal foul by C. Cunningham (drawn by J. Davis),,4,84,83,1,2522.0
5:58.0,T. Evbuomwan enters the game for T. Brown,84-83, ,,4,84,83,1,2522.0
5:58.0, ,84-83,D. Avdija enters the game for J. Davis,,4,84,83,1,2522.0
5:50.0, ,84-83,J. Poole misses 3-pt jump shot from 29 ft,,4,84,83,1,2530.0
5:47.0,Defensive rebound by T. Evbuomwan,84-83, ,,4,84,83,1,2533.0
5:31.0,C. Cunningham misses 2-pt jump shot from 6 ft,84-83, ,,4,84,83,1,2549.0
5:28.0,Offensive rebound by J. Duren,84-83, ,,4,84,83,1,2552.0
5:21.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),86-83, ,,4,86,83,3,2559.0
5:07.0, ,86-83,K. Kuzma misses 3-pt jump shot from 28 ft,,4,86,83,3,2573.0
5:05.0,Defensive rebound by J. Ivey,86-83, ,,4,86,83,3,2575.0
4:53.0,Personal foul by J. Poole (drawn by J. Ivey),86-83, ,,4,86,83,3,2587.0
4:53.0, ,86-83,M. Bagley enters the game for A. Gill,,4,86,83,3,2587.0
4:48.0,C. Cunningham makes 2-pt layup from 4 ft,88-83, ,,4,88,83,5,2592.0
4:48.0,Shooting foul by C. Kispert (drawn by C. Cunningham),88-83, ,,4,88,83,5,2592.0
4:48.0,C. Cunningham makes free throw 1 of 1,89-83, ,,4,89,83,6,2592.0
4:26.0, ,89-83,K. Kuzma misses 3-pt jump shot from 27 ft,,4,89,83,6,2614.0
4:25.0, ,89-83,Offensive rebound by Team,,4,89,83,6,2615.0
4:25.0,Loose ball foul by J. Ivey (drawn by M. Bagley),89-83, ,,4,89,83,6,2615.0
4:21.0, ,89-83,K. Kuzma misses 2-pt hook shot from 6 ft,,4,89,83,6,2619.0
4:16.0, ,89-83,Offensive rebound by C. Kispert,,4,89,83,6,2624.0
4:16.0, ,89-85,C. Kispert makes 2-pt layup from 1 ft,,4,89,85,4,2624.0
3:56.0,J. Ivey misses 2-pt layup from 7 ft (block by M. Bagley),89-85, ,,4,89,85,4,2644.0
3:53.0, ,89-85,Defensive rebound by D. Avdija,,4,89,85,4,2647.0
3:51.0, ,89-85,J. Poole misses 2-pt layup from 6 ft,,4,89,85,4,2649.0
3:43.0,Defensive rebound by E. Fournier,89-85, ,,4,89,85,4,2657.0
3:42.0,J. Duren makes 2-pt dunk from 2 ft (assist by J. Ivey),91-85, ,,4,91,85,6,2658.0
3:29.0, ,91-85,D. Avdija misses 2-pt hook shot from 2 ft,,4,91,85,6,2671.0
3:27.0, ,91-85,Offensive rebound by D. Avdija,,4,91,85,6,2673.0
3:24.0, ,91-87,C. Kispert makes 2-pt layup at rim (assist by D. Avdija),,4,91,87,4,2676.0
3:24.0,Detroit full timeout,91-87, ,,4,91,87,4,2676.0
3:07.0,C. Cunningham misses 2-pt hook shot from 7 ft,91-87, ,,4,91,87,4,2693.0
3:05.0, ,91-87,Defensive rebound by M. Bagley,,4,91,87,4,2695.0
2:50.0, ,91-87,Personal foul by C. Cunningham (drawn by D. Avdija),,4,91,87,4,2710.0
2:40.0, ,91-87,K. Kuzma misses 2-pt hook shot from 5 ft (block by J. Duren),,4,91,87,4,2720.0
2:36.0,Defensive rebound by C. Cunningham,91-87, ,,4,91,87,4,2724.0
2:34.0,C. Cunningham makes 2-pt layup from 2 ft,93-87, ,,4,93,87,6,2726.0
2:18.0, ,93-87,J. Poole misses 3-pt jump shot from 26 ft,,4,93,87,6,2742.0
2:13.0,Defensive rebound by C. Cunningham,93-87, ,,4,93,87,6,2747.0
2:03.0,C. Cunningham misses 3-pt jump shot from 28 ft,93-87, ,,4,93,87,6,2757.0
2:01.0, ,93-87,Defensive rebound by M. Bagley,,4,93,87,6,2759.0
1:55.0, ,93-87,Turnover by J. Poole (bad pass; steal by C. Cunningham),,4,93,87,6,2765.0
1:38.0,J. Ivey misses 2-pt jump shot from 12 ft,93-87, ,,4,93,87,6,2782.0
1:31.0,Offensive rebound by J. Ivey,93-87, ,,4,93,87,6,2789.0
1:31.0,J. Ivey misses 2-pt layup at rim,93-87, ,,4,93,87,6,2789.0
1:30.0, ,93-87,Defensive rebound by M. Bagley,,4,93,87,6,2790.0
1:28.0, ,93-87,K. Kuzma misses 3-pt jump shot from 24 ft,,4,93,87,6,2792.0
1:25.0,Defensive rebound by J. Duren,93-87, ,,4,93,87,6,2795.0
1:06.0,C. Cunningham misses 2-pt jump shot from 8 ft,93-87, ,,4,93,87,6,2814.0
1:03.0,Offensive rebound by C. Cunningham,93-87, ,,4,93,87,6,2817.0
0:52.0,J. Ivey misses 3-pt jump shot from 27 ft,93-87, ,,4,93,87,6,2828.0
0:49.0, ,93-87,Defensive rebound by C. Kispert,,4,93,87,6,2831.0
0:47.0, ,93-87,J. Poole misses 3-pt jump shot from 29 ft,,4,93,87,6,2833.0
0:43.0,Defensive rebound by J. Duren,93-87, ,,4,93,87,6,2837.0
0:24.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by J. Ivey),96-87, ,,4,96,87,9,2856.0
0:24.0, ,96-87,Washington full timeout,,4,96,87,9,2856.0
0:24.0, ,96-87,J. Butler enters the game for D. Avdija,,4,96,87,9,2856.0
0:18.0, ,96-87,K. Kuzma misses 3-pt jump shot from 25 ft,,4,96,87,9,2862.0
0:16.0,Defensive rebound by E. Fournier,96-87, ,,4,96,87,9,2864.0
0:00.0,End of 4th quarter,96-87,,,4,96,87,9,2880.0
