Time,Detroit,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
10:09.0, ,86-118,B. Portis makes 2-pt layup from 3 ft (assist by C. Payne),,4,86,118,-32,2271.0
10:09.0, ,86-118,Shooting foul by J. Harris (drawn by B. Portis),,4,86,118,-32,2271.0
10:09.0, ,86-119,B. Portis makes free throw 1 of 1,,4,86,119,-33,2271.0
9:52.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Sasser),89-119, ,,4,89,119,-30,2288.0
9:30.0, ,89-119,A. Jackson misses 3-pt jump shot from 23 ft,,4,89,119,-30,2310.0
9:27.0, ,89-119,Offensive rebound by B. Portis,,4,89,119,-30,2313.0
9:20.0, ,89-121,B. Portis makes 2-pt jump shot from 14 ft,,4,89,121,-32,2320.0
9:12.0,Shooting foul by C. Payne (drawn by M. Sasser),89-121, ,,4,89,121,-32,2328.0
9:12.0,M. Sasser makes free throw 1 of 2,90-121, ,,4,90,121,-31,2328.0
9:12.0,B. Bogdanović enters the game for J. Harris,90-121, ,,4,90,121,-31,2328.0
9:12.0,C. Cunningham enters the game for I. Livers,90-121, ,,4,90,121,-31,2328.0
9:12.0, ,90-121,M. Beauchamp enters the game for A. Jackson,,4,90,121,-31,2328.0
9:12.0,M. Sasser makes free throw 2 of 2,91-121, ,,4,91,121,-30,2328.0
9:03.0, ,91-121,Shooting foul by M. Sasser (drawn by C. Payne),,4,91,121,-30,2337.0
9:03.0, ,91-122,C. Payne makes free throw 1 of 2,,4,91,122,-31,2337.0
9:03.0,A. Thompson enters the game for M. Sasser,91-122, ,,4,91,122,-31,2337.0
9:03.0, ,91-122,C. Livingston enters the game for B. Lopez,,4,91,122,-31,2337.0
9:03.0, ,91-123,C. Payne makes free throw 2 of 2,,4,91,123,-32,2337.0
8:51.0,Shooting foul by C. Livingston (drawn by C. Cunningham),91-123, ,,4,91,123,-32,2349.0
8:51.0,C. Cunningham makes free throw 1 of 2,92-123, ,,4,92,123,-31,2349.0
8:51.0,C. Cunningham makes free throw 2 of 2,93-123, ,,4,93,123,-30,2349.0
8:39.0, ,93-126,B. Portis makes 3-pt jump shot from 25 ft (assist by C. Payne),,4,93,126,-33,2361.0
8:22.0,A. Thompson misses 3-pt jump shot from 23 ft,93-126, ,,4,93,126,-33,2378.0
8:19.0, ,93-126,Defensive rebound by B. Portis,,4,93,126,-33,2381.0
8:18.0, ,93-126,Turnover by B. Portis (lost ball),,4,93,126,-33,2382.0
8:18.0, ,93-126,Loose ball foul by B. Portis (drawn by A. Thompson),,4,93,126,-33,2382.0
8:18.0, ,93-126,Instant Replay (Request: Ruling Stands),,4,93,126,-33,2382.0
8:08.0,Personal foul by A. Green (drawn by B. Bogdanović),93-126, ,,4,93,126,-33,2392.0
8:02.0,Personal foul by C. Payne (drawn by J. Wiseman),93-126, ,,4,93,126,-33,2398.0
8:02.0,J. Wiseman makes free throw 1 of 2,94-126, ,,4,94,126,-32,2398.0
8:02.0,J. Wiseman makes free throw 2 of 2,95-126, ,,4,95,126,-31,2398.0
7:46.0, ,95-129,C. Payne makes 3-pt jump shot from 27 ft,,4,95,129,-34,2414.0
7:35.0,C. Cunningham misses 2-pt hook shot from 4 ft,95-129, ,,4,95,129,-34,2425.0
7:31.0,Offensive rebound by J. Wiseman,95-129, ,,4,95,129,-34,2429.0
7:31.0,J. Wiseman makes 2-pt layup at rim,97-129, ,,4,97,129,-32,2429.0
7:20.0, ,97-131,C. Payne makes 2-pt jump shot from 9 ft,,4,97,131,-34,2440.0
7:09.0,J. Ivey misses 3-pt jump shot from 27 ft,97-131, ,,4,97,131,-34,2451.0
7:06.0,Offensive rebound by B. Bogdanović,97-131, ,,4,97,131,-34,2454.0
7:03.0,B. Bogdanović makes 2-pt jump shot from 10 ft (assist by C. Cunningham),99-131, ,,4,99,131,-32,2457.0
7:03.0,Shooting foul by A. Green (drawn by B. Bogdanović),99-131, ,,4,99,131,-32,2457.0
7:03.0, ,99-131,A. Jackson enters the game for A. Green,,4,99,131,-32,2457.0
7:03.0,B. Bogdanović makes free throw 1 of 1,100-131, ,,4,100,131,-31,2457.0
6:47.0, ,100-131,M. Beauchamp misses 2-pt layup from 5 ft (block by J. Ivey),,4,100,131,-31,2473.0
6:42.0,Defensive rebound by A. Thompson,100-131, ,,4,100,131,-31,2478.0
6:41.0,A. Thompson misses 2-pt layup from 3 ft,100-131, ,,4,100,131,-31,2479.0
6:39.0, ,100-131,Defensive rebound by C. Livingston,,4,100,131,-31,2481.0
6:33.0, ,100-133,B. Portis makes 2-pt jump shot from 15 ft (assist by C. Payne),,4,100,133,-33,2487.0
6:13.0,C. Cunningham misses 2-pt jump shot from 17 ft,100-133, ,,4,100,133,-33,2507.0
6:10.0, ,100-133,Defensive rebound by M. Beauchamp,,4,100,133,-33,2510.0
6:03.0, ,100-133,C. Payne misses 3-pt jump shot from 26 ft,,4,100,133,-33,2517.0
6:00.0,Defensive rebound by J. Wiseman,100-133, ,,4,100,133,-33,2520.0
6:00.0,Personal foul by B. Portis (drawn by C. Cunningham),100-133, ,,4,100,133,-33,2520.0
6:00.0, ,100-133,Milwaukee full timeout,,4,100,133,-33,2520.0
6:00.0, ,100-133,R. Lopez enters the game for B. Portis,,4,100,133,-33,2520.0
6:00.0,C. Cunningham makes free throw 1 of 1,101-133, ,,4,101,133,-32,2520.0
5:42.0,J. Ivey misses 2-pt jump shot from 14 ft,101-133, ,,4,101,133,-32,2538.0
5:39.0, ,101-133,Defensive rebound by A. Jackson,,4,101,133,-32,2541.0
5:28.0, ,101-133,M. Beauchamp misses 2-pt jump shot from 16 ft,,4,101,133,-32,2552.0
5:25.0,Defensive rebound by B. Bogdanović,101-133, ,,4,101,133,-32,2555.0
5:19.0,C. Cunningham makes 2-pt layup from 1 ft,103-133, ,,4,103,133,-30,2561.0
4:58.0, ,103-133,Shooting foul by A. Thompson (drawn by C. Payne),,4,103,133,-30,2582.0
4:58.0, ,103-134,C. Payne makes free throw 1 of 2,,4,103,134,-31,2582.0
4:58.0,K. Knox enters the game for B. Bogdanović,103-134, ,,4,103,134,-31,2582.0
4:58.0,I. Livers enters the game for C. Cunningham,103-134, ,,4,103,134,-31,2582.0
4:58.0, ,103-134,L. Wigginton enters the game for A. Jackson,,4,103,134,-31,2582.0
4:58.0, ,103-135,C. Payne makes free throw 2 of 2,,4,103,135,-32,2582.0
4:43.0,A. Thompson makes 2-pt jump shot from 5 ft (assist by J. Wiseman),105-135, ,,4,105,135,-30,2597.0
4:27.0, ,105-135,L. Wigginton misses 2-pt layup from 4 ft,,4,105,135,-30,2613.0
4:24.0,Defensive rebound by A. Thompson,105-135, ,,4,105,135,-30,2616.0
4:23.0,J. Wiseman makes 2-pt dunk from 2 ft (assist by A. Thompson),107-135, ,,4,107,135,-28,2617.0
4:23.0,Shooting foul by C. Livingston (drawn by J. Wiseman),107-135, ,,4,107,135,-28,2617.0
4:23.0,J. Wiseman makes free throw 1 of 1,108-135, ,,4,108,135,-27,2617.0
4:10.0, ,108-137,L. Wigginton makes 2-pt layup from 2 ft,,4,108,137,-29,2630.0
3:59.0,J. Wiseman misses 2-pt jump shot from 15 ft,108-137, ,,4,108,137,-29,2641.0
3:55.0,Offensive rebound by I. Livers,108-137, ,,4,108,137,-29,2645.0
3:52.0,K. Knox misses 3-pt jump shot from 26 ft,108-137, ,,4,108,137,-29,2648.0
3:50.0, ,108-137,Defensive rebound by Team,,4,108,137,-29,2650.0
3:30.0, ,108-137,L. Wigginton misses 3-pt jump shot from 27 ft,,4,108,137,-29,2670.0
3:26.0,Defensive rebound by J. Wiseman,108-137, ,,4,108,137,-29,2674.0
3:20.0,I. Livers misses 3-pt jump shot from 23 ft,108-137, ,,4,108,137,-29,2680.0
3:16.0, ,108-137,Defensive rebound by C. Payne,,4,108,137,-29,2684.0
3:04.0, ,108-137,Shooting foul by J. Wiseman (drawn by L. Wigginton),,4,108,137,-29,2696.0
3:04.0, ,108-138,L. Wigginton makes free throw 1 of 2,,4,108,138,-30,2696.0
3:04.0, ,108-138,T. Antetokounmpo enters the game for M. Beauchamp,,4,108,138,-30,2696.0
3:04.0, ,108-138,A. Green enters the game for C. Payne,,4,108,138,-30,2696.0
3:04.0, ,108-139,L. Wigginton makes free throw 2 of 2,,4,108,139,-31,2696.0
2:51.0,J. Ivey misses 2-pt layup from 7 ft (block by R. Lopez),108-139, ,,4,108,139,-31,2709.0
2:46.0, ,108-139,Defensive rebound by C. Livingston,,4,108,139,-31,2714.0
2:27.0, ,108-139,R. Lopez misses 2-pt hook shot from 6 ft,,4,108,139,-31,2733.0
2:24.0,Defensive rebound by A. Thompson,108-139, ,,4,108,139,-31,2736.0
2:24.0,Detroit full timeout,108-139, ,,4,108,139,-31,2736.0
2:21.0,K. Knox misses 2-pt jump shot from 15 ft,108-139, ,,4,108,139,-31,2739.0
2:17.0, ,108-139,Defensive rebound by C. Livingston,,4,108,139,-31,2743.0
2:00.0, ,108-142,A. Green makes 3-pt jump shot from 23 ft (assist by R. Lopez),,4,108,142,-34,2760.0
1:42.0,J. Ivey misses 2-pt jump shot from 12 ft,108-142, ,,4,108,142,-34,2778.0
1:40.0,Offensive rebound by J. Wiseman,108-142, ,,4,108,142,-34,2780.0
1:40.0,J. Wiseman makes 2-pt dunk at rim,110-142, ,,4,110,142,-32,2780.0
1:28.0, ,110-144,L. Wigginton makes 2-pt layup from 1 ft,,4,110,144,-34,2792.0
1:14.0,J. Ivey makes 2-pt jump shot from 14 ft (assist by J. Wiseman),112-144, ,,4,112,144,-32,2806.0
0:56.0, ,112-144,R. Lopez misses 3-pt jump shot from 26 ft,,4,112,144,-32,2824.0
0:53.0,Defensive rebound by J. Ivey,112-144, ,,4,112,144,-32,2827.0
0:53.0,J. Wiseman makes 2-pt dunk from 1 ft (assist by J. Ivey),114-144, ,,4,114,144,-30,2827.0
0:31.0, ,114-146,C. Livingston makes 2-pt layup from 2 ft,,4,114,146,-32,2849.0
0:14.0,I. Livers misses 3-pt jump shot from 23 ft,114-146, ,,4,114,146,-32,2866.0
0:11.0,Offensive rebound by I. Livers,114-146, ,,4,114,146,-32,2869.0
0:09.0,I. Livers misses 2-pt layup from 4 ft,114-146, ,,4,114,146,-32,2871.0
0:06.0, ,114-146,Defensive rebound by T. Antetokounmpo,,4,114,146,-32,2874.0
0:00.0,End of 4th quarter,114-146,,,4,114,146,-32,2880.0
