Time,Detroit,Score,Chicago,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. N. Vučević (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:42.0,C. Cunningham makes 2-pt jump shot from 14 ft (assist by J. Duren),2-0, ,,1,2,0,2,18.0
11:23.0, ,2-0,N. Vučević misses 3-pt jump shot from 26 ft,,1,2,0,2,37.0
11:21.0,Defensive rebound by A. Thompson,2-0, ,,1,2,0,2,39.0
11:14.0,I. Stewart makes 2-pt layup at rim (assist by J. Duren),4-0, ,,1,4,0,4,46.0
10:59.0, ,4-0,Personal foul by I. Stewart (drawn by D. DeRozan),,1,4,0,4,61.0
10:52.0, ,4-0,Turnover by A. Dosunmu (discontinued dribble),,1,4,0,4,68.0
10:52.0,Turnover by J. Ivey (bad pass; steal by A. Caruso),4-0, ,,1,4,0,4,68.0
10:50.0, ,4-2,A. Caruso makes 2-pt dunk at rim,,1,4,2,2,70.0
10:22.0,I. Stewart misses 3-pt jump shot from 25 ft,4-2, ,,1,4,2,2,98.0
10:19.0, ,4-2,Defensive rebound by A. Dosunmu,,1,4,2,2,101.0
10:10.0, ,4-2,A. Caruso misses 3-pt jump shot from 24 ft,,1,4,2,2,110.0
10:07.0,Defensive rebound by I. Stewart,4-2, ,,1,4,2,2,113.0
9:58.0,C. Cunningham makes 2-pt jump shot from 20 ft,6-2, ,,1,6,2,4,122.0
9:35.0, ,6-4,N. Vučević makes 2-pt hook shot from 7 ft,,1,6,4,2,145.0
9:27.0,Offensive foul by J. Duren (drawn by A. Caruso),6-4, ,,1,6,4,2,153.0
9:27.0,Turnover by J. Duren (offensive foul),6-4, ,,1,6,4,2,153.0
9:19.0, ,6-6,N. Vučević makes 2-pt jump shot from 16 ft (assist by C. White),Tie,1,6,6,0,161.0
8:56.0,Personal foul by A. Caruso (drawn by I. Stewart),6-6, ,,1,6,6,0,184.0
8:48.0,J. Duren makes 2-pt layup from 1 ft (assist by C. Cunningham),8-6, ,,1,8,6,2,192.0
8:28.0, ,8-6,C. White misses 2-pt layup from 6 ft (block by I. Stewart),,1,8,6,2,212.0
8:26.0, ,8-6,Offensive rebound by A. Caruso,,1,8,6,2,214.0
8:23.0, ,8-6,Turnover by A. Caruso (bad pass; steal by J. Duren),,1,8,6,2,217.0
8:12.0,I. Stewart misses 3-pt jump shot from 23 ft,8-6, ,,1,8,6,2,228.0
8:08.0, ,8-6,Defensive rebound by A. Caruso,,1,8,6,2,232.0
7:53.0, ,8-6,Personal foul by J. Duren (drawn by N. Vučević),,1,8,6,2,247.0
7:53.0,J. Wiseman enters the game for J. Duren,8-6, ,,1,8,6,2,247.0
7:53.0, ,8-6,T. Taylor enters the game for A. Caruso,,1,8,6,2,247.0
7:46.0, ,8-8,N. Vučević makes 2-pt jump shot from 6 ft (assist by A. Dosunmu),Tie,1,8,8,0,254.0
7:30.0,Turnover by A. Thompson (bad pass; steal by A. Dosunmu),8-8, ,,1,8,8,0,270.0
7:20.0, ,8-8,A. Dosunmu misses 2-pt jump shot from 10 ft,,1,8,8,0,280.0
7:18.0,Defensive rebound by J. Wiseman,8-8, ,,1,8,8,0,282.0
7:13.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Ivey),10-8, ,,1,10,8,2,287.0
6:57.0, ,10-8,A. Dosunmu misses 3-pt jump shot from 24 ft,,1,10,8,2,303.0
6:54.0,Defensive rebound by J. Wiseman,10-8, ,,1,10,8,2,306.0
6:44.0,J. Ivey misses 3-pt jump shot from 25 ft,10-8, ,,1,10,8,2,316.0
6:43.0, ,10-8,Defensive rebound by N. Vučević,,1,10,8,2,317.0
6:26.0, ,10-8,Turnover by A. Dosunmu (step out of bounds),,1,10,8,2,334.0
6:26.0, ,10-8,Chicago full timeout,,1,10,8,2,334.0
6:19.0,A. Thompson makes 2-pt layup from 1 ft (assist by J. Ivey),12-8, ,,1,12,8,4,341.0
6:04.0, ,12-8,N. Vučević misses 2-pt jump shot from 15 ft,,1,12,8,4,356.0
6:02.0,Defensive rebound by A. Thompson,12-8, ,,1,12,8,4,358.0
5:53.0,Personal foul by T. Taylor (drawn by I. Stewart),12-8, ,,1,12,8,4,367.0
5:53.0, ,12-8,A. Drummond enters the game for D. DeRozan,,1,12,8,4,367.0
5:53.0, ,12-8,D. Terry enters the game for T. Taylor,,1,12,8,4,367.0
5:48.0,I. Stewart misses 3-pt jump shot from 26 ft,12-8, ,,1,12,8,4,372.0
5:45.0, ,12-8,Defensive rebound by Team,,1,12,8,4,375.0
5:45.0,Jump ball: A. Drummond vs. J. Wiseman (C. White gains possession),12-8,,,1,12,8,4,375.0
5:30.0, ,12-8,A. Drummond misses 2-pt hook shot from 5 ft,,1,12,8,4,390.0
5:28.0,Defensive rebound by I. Stewart,12-8, ,,1,12,8,4,392.0
5:15.0,J. Wiseman makes 2-pt layup from 2 ft (assist by J. Ivey),14-8, ,,1,14,8,6,405.0
5:06.0, ,14-8,Personal foul by A. Thompson (drawn by C. White),,1,14,8,6,414.0
4:58.0, ,14-10,A. Dosunmu makes 2-pt layup from 1 ft,,1,14,10,4,422.0
4:38.0,C. Cunningham misses 2-pt jump shot from 5 ft,14-10, ,,1,14,10,4,442.0
4:35.0, ,14-10,Defensive rebound by N. Vučević,,1,14,10,4,445.0
4:23.0, ,14-10,C. White misses 3-pt jump shot from 26 ft,,1,14,10,4,457.0
4:22.0, ,14-10,Offensive rebound by A. Drummond,,1,14,10,4,458.0
4:21.0, ,14-10,Shooting foul by I. Stewart (drawn by A. Drummond),,1,14,10,4,459.0
4:21.0, ,14-11,A. Drummond makes free throw 1 of 2,,1,14,11,3,459.0
4:21.0,S. Fontecchio enters the game for J. Ivey,14-11, ,,1,14,11,3,459.0
4:21.0,Q. Grimes enters the game for I. Stewart,14-11, ,,1,14,11,3,459.0
4:21.0, ,14-12,A. Drummond makes free throw 2 of 2,,1,14,12,2,459.0
3:57.0,Q. Grimes misses 3-pt jump shot from 24 ft,14-12, ,,1,14,12,2,483.0
