Time,Dallas,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:57.0,L. Dončić makes free throw 1 of 2,123-101, ,,4,101,123,-22,2583.0
4:57.0,J. Green enters the game for D. Gafford,123-101, ,,4,101,123,-22,2583.0
4:57.0,D. Powell enters the game for D. Jones,123-101, ,,4,101,123,-22,2583.0
4:57.0,L. Dončić makes free throw 2 of 2,124-101, ,,4,101,124,-23,2583.0
4:43.0, ,124-101,Turnover by J. Ivey (bad pass; steal by P. Washington),,4,101,124,-23,2597.0
4:40.0,T. Hardaway makes 2-pt layup from 3 ft (assist by J. Green),126-101, ,,4,101,126,-25,2600.0
4:29.0, ,126-104,I. Stewart makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,4,104,126,-22,2611.0
4:10.0,Offensive foul by D. Powell (drawn by S. Fontecchio),126-104, ,,4,104,126,-22,2630.0
4:10.0,Turnover by D. Powell (offensive foul),126-104, ,,4,104,126,-22,2630.0
4:10.0,J. Hardy enters the game for T. Hardaway,126-104, ,,4,104,126,-22,2630.0
4:00.0, ,126-106,J. Wiseman makes 2-pt layup from 4 ft (assist by C. Cunningham),,4,106,126,-20,2640.0
3:48.0,Turnover by J. Hardy (bad pass; steal by I. Stewart),126-106, ,,4,106,126,-20,2652.0
3:43.0, ,126-108,S. Fontecchio makes 2-pt dunk from 2 ft (assist by C. Cunningham),,4,108,126,-18,2657.0
3:33.0,Shooting foul by J. Wiseman (drawn by J. Hardy),126-108, ,,4,108,126,-18,2667.0
3:33.0,J. Hardy makes free throw 1 of 2,127-108, ,,4,108,127,-19,2667.0
3:33.0,J. Hardy makes free throw 2 of 2,128-108, ,,4,108,128,-20,2667.0
3:19.0, ,128-108,J. Ivey misses 3-pt jump shot from 29 ft,,4,108,128,-20,2681.0
3:14.0, ,128-108,Offensive rebound by S. Fontecchio,,4,108,128,-20,2686.0
3:14.0, ,128-108,S. Fontecchio misses 2-pt dunk at rim,,4,108,128,-20,2686.0
3:14.0,Defensive rebound by L. Dončić,128-108, ,,4,108,128,-20,2686.0
3:14.0,Dallas full timeout,128-108, ,,4,108,128,-20,2686.0
3:14.0,A. Lawson enters the game for L. Dončić,128-108, ,,4,108,128,-20,2686.0
3:14.0,M. Morris enters the game for P. Washington,128-108, ,,4,108,128,-20,2686.0
3:11.0,Turnover by M. Morris (bad pass; steal by J. Ivey),128-108, ,,4,108,128,-20,2689.0
3:04.0, ,128-110,J. Ivey makes 2-pt layup from 5 ft,,4,110,128,-18,2696.0
2:55.0,J. Hardy misses 2-pt layup from 4 ft,128-110, ,,4,110,128,-18,2705.0
2:52.0, ,128-110,Defensive rebound by J. Wiseman,,4,110,128,-18,2708.0
2:49.0, ,128-110,Shooting foul by D. Powell (drawn by C. Cunningham),,4,110,128,-18,2711.0
2:49.0, ,128-111,C. Cunningham makes free throw 1 of 2,,4,111,128,-17,2711.0
2:49.0, ,128-112,C. Cunningham makes free throw 2 of 2,,4,112,128,-16,2711.0
2:37.0,M. Morris makes 3-pt jump shot from 25 ft (assist by J. Hardy),131-112, ,,4,112,131,-19,2723.0
2:18.0, ,131-114,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Wiseman),,4,114,131,-17,2742.0
2:18.0, ,131-114,Shooting foul by J. Green (drawn by C. Cunningham),,4,114,131,-17,2742.0
2:18.0, ,131-114,T. Brown enters the game for S. Fontecchio,,4,114,131,-17,2742.0
2:18.0, ,131-114,M. Flynn enters the game for J. Ivey,,4,114,131,-17,2742.0
2:18.0, ,131-114,S. Umude enters the game for I. Stewart,,4,114,131,-17,2742.0
2:18.0, ,131-115,C. Cunningham makes free throw 1 of 1,,4,115,131,-16,2742.0
2:06.0,J. Hardy makes 2-pt jump shot from 14 ft,133-115, ,,4,115,133,-18,2754.0
1:55.0, ,133-118,S. Umude makes 3-pt jump shot from 23 ft (assist by M. Flynn),,4,118,133,-15,2765.0
1:50.0,Personal foul by M. Flynn (drawn by J. Hardy),133-118, ,,4,118,133,-15,2770.0
1:50.0,J. Hardy makes free throw 1 of 2,134-118, ,,4,118,134,-16,2770.0
1:50.0, ,134-118,M. Sasser enters the game for C. Cunningham,,4,118,134,-16,2770.0
1:50.0,J. Hardy makes free throw 2 of 2,135-118, ,,4,118,135,-17,2770.0
1:34.0, ,135-120,J. Wiseman makes 2-pt dunk from 1 ft (assist by T. Brown),,4,120,135,-15,2786.0
1:21.0,J. Hardy makes 2-pt jump shot from 16 ft,137-120, ,,4,120,137,-17,2799.0
1:15.0, ,137-120,J. Wiseman misses 2-pt jump shot from 7 ft,,4,120,137,-17,2805.0
1:13.0,Defensive rebound by J. Hardy,137-120, ,,4,120,137,-17,2807.0
1:08.0,J. Hardy misses 2-pt layup from 3 ft,137-120, ,,4,120,137,-17,2812.0
1:04.0, ,137-120,Defensive rebound by J. Wiseman,,4,120,137,-17,2816.0
0:56.0, ,137-122,M. Flynn makes 2-pt jump shot from 8 ft,,4,122,137,-15,2824.0
0:39.0,M. Morris makes 3-pt jump shot from 30 ft,140-122, ,,4,122,140,-18,2841.0
0:29.0, ,140-124,M. Sasser makes 2-pt jump shot from 10 ft (assist by J. Wiseman),,4,124,140,-16,2851.0
0:20.0,A. Lawson makes 2-pt layup from 4 ft,142-124, ,,4,124,142,-18,2860.0
0:09.0, ,142-124,Turnover by M. Flynn (lost ball; steal by J. Green),,4,124,142,-18,2871.0
0:00.0,End of 4th quarter,142-124,,,4,124,142,-18,2880.0
