Time,Phoenix,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:38.0,C. Metu enters the game for G. Allen,116-97, ,,4,97,116,-19,2782.0
1:25.0, ,116-99,M. Sasser makes 2-pt jump shot from 12 ft,,4,99,116,-17,2795.0
1:15.0,Turnover by J. Okogie (out of bounds lost ball),116-99, ,,4,99,116,-17,2805.0
1:02.0, ,116-99,Shooting foul by J. Okogie (drawn by M. Bagley),,4,99,116,-17,2818.0
1:02.0, ,116-100,M. Bagley makes free throw 1 of 2,,4,100,116,-16,2818.0
1:02.0, ,116-101,M. Bagley makes free throw 2 of 2,,4,101,116,-15,2818.0
0:48.0,S. Lee makes 2-pt jump shot from 10 ft,118-101, ,,4,101,118,-17,2832.0
0:40.0, ,118-103,M. Bagley makes 2-pt jump shot from 3 ft (assist by M. Sasser),,4,103,118,-15,2840.0
0:40.0, ,118-103,Shooting foul by U. Azubuike (drawn by M. Bagley),,4,103,118,-15,2840.0
0:40.0, ,118-104,M. Bagley makes free throw 1 of 1,,4,104,118,-14,2840.0
0:26.0,S. Lee makes 2-pt jump shot from 10 ft,120-104, ,,4,104,120,-16,2854.0
0:15.0, ,120-106,M. Sasser makes 2-pt layup at rim,,4,106,120,-14,2865.0
0:00.0,End of 4th quarter,120-106,,,4,106,120,-14,2880.0
