Time,Detroit,Score,Washington,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. D. Gafford (J. Poole gains possession),0-0,,,1,0,0,0,0.0
11:44.0, ,0-0,Shooting foul by K. Hayes (drawn by D. Avdija),,1,0,0,0,16.0
11:44.0, ,0-1,D. Avdija makes free throw 1 of 2,,1,0,1,-1,16.0
11:44.0, ,0-1,D. Avdija misses free throw 2 of 2,,1,0,1,-1,16.0
11:42.0,Defensive rebound by J. Duren,0-1, ,,1,0,1,-1,18.0
11:29.0,Offensive foul by I. Stewart (drawn by K. Kuzma),0-1, ,,1,0,1,-1,31.0
11:29.0,Turnover by I. Stewart (offensive foul),0-1, ,,1,0,1,-1,31.0
11:11.0, ,0-3,D. Avdija makes 2-pt hook shot from 9 ft,,1,0,3,-3,49.0
10:57.0,I. Stewart misses 3-pt jump shot from 27 ft,0-3, ,,1,0,3,-3,63.0
10:54.0, ,0-3,Defensive rebound by D. Gafford,,1,0,3,-3,66.0
10:46.0, ,0-3,K. Kuzma misses 3-pt jump shot from 23 ft,,1,0,3,-3,74.0
10:42.0,Defensive rebound by J. Duren,0-3, ,,1,0,3,-3,78.0
10:35.0,K. Hayes misses 3-pt jump shot from 25 ft,0-3, ,,1,0,3,-3,85.0
10:33.0, ,0-3,Defensive rebound by Team,,1,0,3,-3,87.0
10:18.0, ,0-3,Turnover by D. Avdija (out of bounds lost ball),,1,0,3,-3,102.0
10:10.0,J. Ivey makes 3-pt jump shot from 26 ft (assist by J. Duren),3-3, ,Tie,1,3,3,0,110.0
9:49.0, ,3-3,T. Jones misses 3-pt jump shot from 26 ft,,1,3,3,0,131.0
9:46.0,Defensive rebound by J. Ivey,3-3, ,,1,3,3,0,134.0
9:40.0,J. Ivey makes 2-pt jump shot from 16 ft,5-3, ,Lead change,1,5,3,2,140.0
9:14.0, ,5-3,T. Jones misses 2-pt jump shot from 18 ft,,1,5,3,2,166.0
9:12.0,Defensive rebound by K. Hayes,5-3, ,,1,5,3,2,168.0
9:02.0,J. Ivey makes 3-pt jump shot from 27 ft (assist by K. Hayes),8-3, ,,1,8,3,5,178.0
8:48.0, ,8-3,K. Kuzma misses 2-pt jump shot from 20 ft,,1,8,3,5,192.0
8:45.0,Defensive rebound by J. Duren,8-3, ,,1,8,3,5,195.0
8:44.0,J. Duren makes 2-pt layup from 2 ft,10-3, ,,1,10,3,7,196.0
8:44.0,Shooting foul by J. Poole (drawn by J. Duren),10-3, ,,1,10,3,7,196.0
8:44.0,J. Duren misses free throw 1 of 1,10-3, ,,1,10,3,7,196.0
8:41.0, ,10-3,Defensive rebound by D. Avdija,,1,10,3,7,199.0
8:30.0, ,10-3,J. Poole misses 2-pt jump shot from 15 ft,,1,10,3,7,210.0
8:28.0, ,10-3,Offensive rebound by Team,,1,10,3,7,212.0
8:28.0,Loose ball foul by J. Duren (drawn by D. Gafford),10-3, ,,1,10,3,7,212.0
8:28.0, ,10-3,Violation by Team (delay of game),,1,10,3,7,212.0
8:19.0, ,10-3,D. Avdija misses 2-pt jump shot from 9 ft,,1,10,3,7,221.0
8:16.0,Defensive rebound by J. Duren,10-3, ,,1,10,3,7,224.0
8:08.0,J. Ivey misses 2-pt layup from 4 ft (block by D. Gafford),10-3, ,,1,10,3,7,232.0
8:06.0, ,10-3,Defensive rebound by K. Kuzma,,1,10,3,7,234.0
7:59.0, ,10-5,D. Avdija makes 2-pt dunk from 2 ft (assist by T. Jones),,1,10,5,5,241.0
7:43.0,J. Ivey misses 3-pt jump shot from 24 ft,10-5, ,,1,10,5,5,257.0
7:40.0,Offensive rebound by J. Duren,10-5, ,,1,10,5,5,260.0
7:38.0,J. Duren makes 2-pt jump shot from 7 ft,12-5, ,,1,12,5,7,262.0
