Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:46.0, ,82-87,A. Thompson enters the game for I. Stewart,,3,87,82,5,1874.0
4:26.0,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,82-87, ,,3,87,82,5,1894.0
4:21.0,Offensive rebound by J. Williams,82-87, ,,3,87,82,5,1899.0
4:21.0,J. Williams makes 2-pt layup at rim,84-87, ,,3,87,84,3,1899.0
4:15.0, ,84-87,Personal foul by K. Johnson (drawn by A. Burks),,3,87,84,3,1905.0
4:15.0,C. Wallace enters the game for L. Dort,84-87, ,,3,87,84,3,1905.0
4:15.0, ,84-87,M. Muscala enters the game for J. Duren,,3,87,84,3,1905.0
4:03.0, ,84-90,M. Muscala makes 3-pt jump shot from 25 ft (assist by M. Morris),,3,90,84,6,1917.0
3:45.0,S. Gilgeous-Alexander misses 2-pt jump shot from 20 ft,84-90, ,,3,90,84,6,1935.0
3:41.0,Offensive rebound by K. Johnson,84-90, ,,3,90,84,6,1939.0
3:37.0,S. Gilgeous-Alexander makes 2-pt layup from 5 ft (assist by J. Williams),86-90, ,,3,90,86,4,1943.0
3:11.0, ,86-92,J. Ivey makes 2-pt jump shot from 12 ft,,3,92,86,6,1969.0
2:51.0,J. Williams misses 3-pt jump shot from 24 ft,86-92, ,,3,92,86,6,1989.0
2:48.0, ,86-92,Defensive rebound by A. Burks,,3,92,86,6,1992.0
2:40.0, ,86-95,J. Ivey makes 3-pt jump shot from 23 ft (assist by M. Morris),,3,95,86,9,2000.0
2:24.0,Turnover by S. Gilgeous-Alexander (bad pass; steal by M. Morris),86-95, ,,3,95,86,9,2016.0
2:22.0, ,86-95,Shooting foul by K. Williams (drawn by A. Thompson),,3,95,86,9,2018.0
2:22.0, ,86-96,A. Thompson makes free throw 1 of 2,,3,96,86,10,2018.0
2:22.0,I. Joe enters the game for K. Johnson,86-96, ,,3,96,86,10,2018.0
2:22.0,J. Williams enters the game for J. Williams,86-96, ,,3,96,86,10,2018.0
2:22.0, ,86-97,A. Thompson makes free throw 2 of 2,,3,97,86,11,2018.0
2:11.0,K. Williams misses 3-pt jump shot from 22 ft,86-97, ,,3,97,86,11,2029.0
2:07.0, ,86-97,Defensive rebound by A. Thompson,,3,97,86,11,2033.0
1:54.0, ,86-97,J. Ivey misses 2-pt jump shot from 14 ft,,3,97,86,11,2046.0
1:47.0, ,86-97,Offensive rebound by A. Thompson,,3,97,86,11,2053.0
1:47.0, ,86-97,A. Thompson misses 2-pt layup at rim,,3,97,86,11,2053.0
1:46.0,Defensive rebound by I. Joe,86-97, ,,3,97,86,11,2054.0
1:44.0,J. Williams misses 2-pt jump shot from 15 ft,86-97, ,,3,97,86,11,2056.0
1:41.0, ,86-97,Defensive rebound by A. Burks,,3,97,86,11,2059.0
1:30.0, ,86-100,M. Morris makes 3-pt jump shot from 29 ft (assist by J. Ivey),,3,100,86,14,2070.0
1:29.0,Oklahoma City full timeout,86-100, ,,3,100,86,14,2071.0
1:29.0,C. Holmgren enters the game for K. Williams,86-100, ,,3,100,86,14,2071.0
1:13.0,C. Holmgren misses 2-pt layup from 2 ft (block by A. Thompson),86-100, ,,3,100,86,14,2087.0
1:09.0,Offensive rebound by C. Holmgren,86-100, ,,3,100,86,14,2091.0
1:09.0,C. Holmgren misses 2-pt layup from 1 ft,86-100, ,,3,100,86,14,2091.0
1:08.0, ,86-100,Defensive rebound by J. Ivey,,3,100,86,14,2092.0
0:49.0, ,86-100,A. Burks misses 3-pt jump shot from 25 ft,,3,100,86,14,2111.0
0:45.0,Defensive rebound by J. Williams,86-100, ,,3,100,86,14,2115.0
0:36.0,Personal foul by A. Burks (drawn by I. Joe),86-100, ,,3,100,86,14,2124.0
0:36.0, ,86-100,K. Knox enters the game for J. Ivey,,3,100,86,14,2124.0
0:36.0, ,86-100,I. Stewart enters the game for M. Muscala,,3,100,86,14,2124.0
0:27.0,Turnover by I. Joe (lost ball; steal by A. Burks),86-100, ,,3,100,86,14,2133.0
0:03.0, ,86-100,I. Stewart misses 3-pt jump shot from 26 ft,,3,100,86,14,2157.0
0:00.0,Defensive rebound by C. Holmgren,86-100, ,,3,100,86,14,2160.0
0:00.0,End of 3rd quarter,86-100,,,3,100,86,14,2160.0
12:00.0,Start of 4th quarter,86-100,,,4,100,86,14,2160.0
11:39.0, ,86-102,M. Morris makes 2-pt jump shot from 10 ft,,4,102,86,16,2181.0
11:26.0,J. Williams makes 2-pt layup from 3 ft (assist by J. Giddey),88-102, ,,4,102,88,14,2194.0
11:09.0, ,88-102,M. Morris misses 2-pt jump shot from 20 ft,,4,102,88,14,2211.0
11:06.0,Defensive rebound by C. Holmgren,88-102, ,,4,102,88,14,2214.0
10:49.0,Turnover by C. Holmgren (lost ball; steal by A. Thompson),88-102, ,,4,102,88,14,2231.0
10:45.0, ,88-104,A. Thompson makes 2-pt dunk from 4 ft (assist by A. Burks),,4,104,88,16,2235.0
10:25.0,A. Wiggins misses 3-pt jump shot from 28 ft,88-104, ,,4,104,88,16,2255.0
10:22.0, ,88-104,Defensive rebound by I. Stewart,,4,104,88,16,2258.0
10:10.0, ,88-104,I. Stewart misses 2-pt jump shot from 12 ft,,4,104,88,16,2270.0
10:06.0,Defensive rebound by C. Wallace,88-104, ,,4,104,88,16,2274.0
9:52.0,Shooting foul by K. Knox (drawn by J. Williams),88-104, ,,4,104,88,16,2288.0
9:52.0,J. Williams misses free throw 1 of 2,88-104, ,,4,104,88,16,2288.0
9:52.0,Offensive rebound by Team,88-104, ,,4,104,88,16,2288.0
9:52.0,L. Waters enters the game for C. Holmgren,88-104, ,,4,104,88,16,2288.0
9:52.0,J. Williams misses free throw 2 of 2,88-104, ,,4,104,88,16,2288.0
9:48.0, ,88-104,Defensive rebound by A. Burks,,4,104,88,16,2292.0
9:38.0, ,88-104,Turnover by K. Knox (traveling),,4,104,88,16,2302.0
9:24.0,J. Giddey misses 2-pt jump shot from 23 ft,88-104, ,,4,104,88,16,2316.0
9:21.0, ,88-104,Defensive rebound by K. Knox,,4,104,88,16,2319.0
9:15.0, ,88-104,Turnover by A. Burks (bad pass; steal by C. Wallace),,4,104,88,16,2325.0
9:10.0,L. Waters makes 2-pt layup from 1 ft (assist by C. Wallace),90-104, ,,4,104,90,14,2330.0
9:10.0, ,90-104,Detroit full timeout,,4,104,90,14,2330.0
9:10.0, ,90-104,J. Duren enters the game for M. Morris,,4,104,90,14,2330.0
9:10.0, ,90-104,M. Sasser enters the game for I. Stewart,,4,104,90,14,2330.0
8:51.0, ,90-104,Turnover by K. Knox (bad pass; steal by A. Wiggins),,4,104,90,14,2349.0
8:37.0,Turnover by A. Wiggins (out of bounds lost ball),90-104, ,,4,104,90,14,2363.0
8:37.0, ,90-104,B. Bogdanović enters the game for K. Knox,,4,104,90,14,2363.0
8:37.0, ,90-104,J. Ivey enters the game for A. Thompson,,4,104,90,14,2363.0
8:14.0, ,90-107,J. Ivey makes 3-pt jump shot from 24 ft (assist by J. Duren),,4,107,90,17,2386.0
8:08.0,J. Williams makes 3-pt jump shot from 25 ft,93-107, ,,4,107,93,14,2392.0
7:39.0, ,93-107,Personal foul by J. Williams (drawn by J. Duren),,4,107,93,14,2421.0
7:23.0, ,93-109,A. Burks makes 2-pt layup from 5 ft (assist by J. Duren),,4,109,93,16,2437.0
7:14.0,J. Williams misses 2-pt jump shot from 6 ft,93-109, ,,4,109,93,16,2446.0
7:10.0,Offensive rebound by A. Wiggins,93-109, ,,4,109,93,16,2450.0
7:10.0,A. Wiggins misses 2-pt layup at rim,93-109, ,,4,109,93,16,2450.0
7:10.0, ,93-109,Defensive rebound by M. Sasser,,4,109,93,16,2450.0
7:05.0, ,93-109,M. Sasser misses 2-pt layup from 4 ft (block by J. Giddey),,4,109,93,16,2455.0
7:02.0,Defensive rebound by J. Giddey,93-109, ,,4,109,93,16,2458.0
6:57.0,C. Wallace misses 2-pt jump shot from 13 ft,93-109, ,,4,109,93,16,2463.0
6:53.0, ,93-109,Defensive rebound by J. Duren,,4,109,93,16,2467.0
6:33.0, ,93-109,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,109,93,16,2487.0
6:30.0, ,93-109,Offensive rebound by J. Duren,,4,109,93,16,2490.0
6:25.0, ,93-109,J. Ivey misses 3-pt jump shot from 29 ft,,4,109,93,16,2495.0
6:22.0, ,93-109,Offensive rebound by J. Duren,,4,109,93,16,2498.0
6:20.0, ,93-109,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,109,93,16,2500.0
6:20.0,Defensive rebound by J. Giddey,93-109, ,,4,109,93,16,2500.0
6:14.0,J. Giddey misses 2-pt jump shot from 4 ft,93-109, ,,4,109,93,16,2506.0
6:12.0,Offensive rebound by J. Giddey,93-109, ,,4,109,93,16,2508.0
6:11.0,Shooting foul by J. Duren (drawn by J. Giddey),93-109, ,,4,109,93,16,2509.0
6:11.0,J. Giddey makes free throw 1 of 2,94-109, ,,4,109,94,15,2509.0
6:11.0,J. Williams enters the game for C. Wallace,94-109, ,,4,109,94,15,2509.0
6:11.0,J. Giddey makes free throw 2 of 2,95-109, ,,4,109,95,14,2509.0
5:56.0, ,95-109,M. Sasser misses 2-pt jump shot from 16 ft,,4,109,95,14,2524.0
5:52.0,Defensive rebound by J. Giddey,95-109, ,,4,109,95,14,2528.0
5:47.0,A. Wiggins misses 3-pt jump shot from 24 ft,95-109, ,,4,109,95,14,2533.0
5:41.0, ,95-109,Defensive rebound by J. Ivey,,4,109,95,14,2539.0
5:32.0, ,95-109,J. Ivey misses 2-pt jump shot from 10 ft,,4,109,95,14,2548.0
5:30.0, ,95-109,Offensive rebound by J. Duren,,4,109,95,14,2550.0
5:30.0, ,95-111,J. Duren makes 2-pt layup from 2 ft,,4,111,95,16,2550.0
5:30.0, ,95-111,Shooting foul by A. Wiggins (drawn by J. Duren),,4,111,95,16,2550.0
5:30.0,K. Johnson enters the game for J. Williams,95-111, ,,4,111,95,16,2550.0
5:30.0,O. Sarr enters the game for J. Williams,95-111, ,,4,111,95,16,2550.0
5:30.0, ,95-112,J. Duren makes free throw 1 of 1,,4,112,95,17,2550.0
5:10.0,J. Giddey misses 2-pt jump shot from 19 ft,95-112, ,,4,112,95,17,2570.0
5:05.0,Offensive rebound by O. Sarr,95-112, ,,4,112,95,17,2575.0
5:00.0,A. Wiggins misses 2-pt jump shot from 10 ft,95-112, ,,4,112,95,17,2580.0
4:57.0, ,95-112,Defensive rebound by J. Duren,,4,112,95,17,2583.0
4:52.0, ,95-112,J. Ivey misses 2-pt layup from 7 ft (block by L. Waters),,4,112,95,17,2588.0
4:48.0,Defensive rebound by L. Waters,95-112, ,,4,112,95,17,2592.0
4:46.0,L. Waters misses 3-pt jump shot from 25 ft,95-112, ,,4,112,95,17,2594.0
4:42.0, ,95-112,Defensive rebound by A. Burks,,4,112,95,17,2598.0
4:27.0, ,95-114,M. Sasser makes 2-pt jump shot from 10 ft,,4,114,95,19,2613.0
4:11.0,K. Johnson makes 3-pt jump shot from 24 ft (assist by J. Giddey),98-114, ,,4,114,98,16,2629.0
3:51.0, ,98-117,M. Sasser makes 3-pt jump shot from 26 ft,,4,117,98,19,2649.0
3:36.0,J. Giddey makes 2-pt jump shot from 8 ft,100-117, ,,4,117,100,17,2664.0
3:35.0, ,100-117,Detroit full timeout,,4,117,100,17,2665.0
3:21.0, ,100-119,M. Sasser makes 2-pt jump shot from 9 ft,,4,119,100,19,2679.0
2:56.0,J. Giddey misses 3-pt jump shot from 26 ft,100-119, ,,4,119,100,19,2704.0
2:52.0, ,100-119,Defensive rebound by J. Ivey,,4,119,100,19,2708.0
2:40.0, ,100-119,M. Sasser misses 3-pt jump shot from 24 ft,,4,119,100,19,2720.0
2:35.0,Defensive rebound by J. Giddey,100-119, ,,4,119,100,19,2725.0
2:30.0,O. Sarr misses 2-pt layup from 3 ft,100-119, ,,4,119,100,19,2730.0
2:28.0,Offensive rebound by J. Giddey,100-119, ,,4,119,100,19,2732.0
2:25.0,J. Giddey makes 2-pt layup from 4 ft,102-119, ,,4,119,102,17,2735.0
2:19.0, ,102-119,Personal foul by L. Waters (drawn by M. Sasser),,4,119,102,17,2741.0
2:19.0,C. Wallace enters the game for J. Giddey,102-119, ,,4,119,102,17,2741.0
2:02.0, ,102-119,J. Ivey misses 2-pt jump shot from 10 ft,,4,119,102,17,2758.0
2:01.0, ,102-119,Offensive rebound by J. Duren,,4,119,102,17,2759.0
2:01.0, ,102-119,Shooting foul by O. Sarr (drawn by J. Duren),,4,119,102,17,2759.0
2:01.0, ,102-119,J. Duren misses free throw 1 of 2,,4,119,102,17,2759.0
2:01.0, ,102-119,Offensive rebound by Team,,4,119,102,17,2759.0
2:01.0, ,102-120,J. Duren makes free throw 2 of 2,,4,120,102,18,2759.0
1:49.0,A. Wiggins misses 2-pt layup from 4 ft,102-120, ,,4,120,102,18,2771.0
1:47.0, ,102-120,Defensive rebound by J. Duren,,4,120,102,18,2773.0
1:30.0, ,102-120,Turnover by A. Burks (bad pass; steal by C. Wallace),,4,120,102,18,2790.0
1:26.0,K. Johnson misses 2-pt layup from 3 ft,102-120, ,,4,120,102,18,2794.0
1:23.0, ,102-120,Defensive rebound by J. Duren,,4,120,102,18,2797.0
1:05.0, ,102-120,Turnover by M. Sasser (lost ball; steal by A. Wiggins),,4,120,102,18,2815.0
1:01.0,A. Wiggins makes 2-pt layup from 1 ft,104-120, ,,4,120,104,16,2819.0
0:38.0, ,104-120,J. Ivey misses 2-pt jump shot from 19 ft,,4,120,104,16,2842.0
0:35.0,Defensive rebound by L. Waters,104-120, ,,4,120,104,16,2845.0
0:22.0,Turnover by A. Wiggins (bad pass),104-120, ,,4,120,104,16,2858.0
0:00.0,End of 4th quarter,104-120,,,4,120,104,16,2880.0
