Time,Oklahoma City,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:20.0,Defensive rebound by C. Holmgren,23-16, ,,1,16,23,-7,400.0
5:15.0,L. Dort misses 3-pt jump shot from 26 ft,23-16, ,,1,16,23,-7,405.0
5:12.0, ,23-16,Defensive rebound by J. Ivey,,1,16,23,-7,408.0
5:04.0, ,23-16,J. Duren misses 2-pt jump shot from 13 ft,,1,16,23,-7,416.0
5:01.0,Defensive rebound by L. Dort,23-16, ,,1,16,23,-7,419.0
4:54.0,Turnover by S. Gilgeous-Alexander (discontinued dribble),23-16, ,,1,16,23,-7,426.0
4:54.0,I. Joe enters the game for J. Giddey,23-16, ,,1,16,23,-7,426.0
4:54.0, ,23-16,A. Burks enters the game for K. Hayes,,1,16,23,-7,426.0
4:46.0, ,23-19,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Ivey),,1,19,23,-4,434.0
4:30.0,I. Joe makes 2-pt layup from 2 ft (assist by S. Gilgeous-Alexander),25-19, ,,1,19,25,-6,450.0
4:17.0, ,25-19,J. Ivey misses 3-pt jump shot from 27 ft,,1,19,25,-6,463.0
4:14.0,Defensive rebound by C. Holmgren,25-19, ,,1,19,25,-6,466.0
3:57.0,C. Holmgren misses 3-pt jump shot from 25 ft,25-19, ,,1,19,25,-6,483.0
3:54.0, ,25-19,Defensive rebound by J. Duren,,1,19,25,-6,486.0
3:40.0, ,25-19,J. Duren misses 2-pt layup from 1 ft,,1,19,25,-6,500.0
3:38.0,Defensive rebound by C. Holmgren,25-19, ,,1,19,25,-6,502.0
3:26.0,I. Joe misses 3-pt jump shot from 27 ft,25-19, ,,1,19,25,-6,514.0
3:23.0, ,25-19,Defensive rebound by A. Burks,,1,19,25,-6,517.0
3:20.0, ,25-19,B. Bogdanović misses 3-pt jump shot from 27 ft,,1,19,25,-6,520.0
3:12.0, ,25-19,Offensive rebound by J. Ivey,,1,19,25,-6,528.0
3:11.0, ,25-22,A. Burks makes 3-pt jump shot from 24 ft (assist by J. Ivey),,1,22,25,-3,529.0
3:11.0,Oklahoma City full timeout,25-22, ,,1,22,25,-3,529.0
3:11.0,C. Wallace enters the game for L. Dort,25-22, ,,1,22,25,-3,529.0
3:11.0,J. Williams enters the game for C. Holmgren,25-22, ,,1,22,25,-3,529.0
