Time,Detroit,Score,Portland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:43.0,Defensive rebound by Team,99-111, ,,4,99,111,-12,2477.0
6:32.0,Shooting foul by J. Walker (drawn by J. Duren),99-111, ,,4,99,111,-12,2488.0
6:32.0,J. Duren makes free throw 1 of 2,100-111, ,,4,100,111,-11,2488.0
6:32.0,J. Duren makes free throw 2 of 2,101-111, ,,4,101,111,-10,2488.0
6:20.0, ,101-111,J. Grant misses 2-pt hook shot from 3 ft,,4,101,111,-10,2500.0
6:19.0,Defensive rebound by J. Duren,101-111, ,,4,101,111,-10,2501.0
6:13.0,J. Ivey misses 2-pt layup from 2 ft,101-111, ,,4,101,111,-10,2507.0
6:13.0,Offensive rebound by J. Duren,101-111, ,,4,101,111,-10,2507.0
6:12.0,J. Duren makes 2-pt dunk at rim,103-111, ,,4,103,111,-8,2508.0
5:46.0, ,103-111,Turnover by J. Grant (lost ball; steal by A. Thompson),,4,103,111,-8,2534.0
5:32.0,M. Sasser makes 2-pt jump shot from 13 ft (assist by J. Duren),105-111, ,,4,105,111,-6,2548.0
5:10.0, ,105-111,J. Grant misses 2-pt jump shot from 20 ft,,4,105,111,-6,2570.0
5:08.0, ,105-111,Offensive rebound by T. Camara,,4,105,111,-6,2572.0
5:08.0, ,105-111,T. Camara misses 2-pt layup from 3 ft,,4,105,111,-6,2572.0
5:06.0,Defensive rebound by J. Duren,105-111, ,,4,105,111,-6,2574.0
5:01.0,M. Sasser misses 3-pt jump shot from 24 ft,105-111, ,,4,105,111,-6,2579.0
4:58.0, ,105-111,Defensive rebound by T. Camara,,4,105,111,-6,2582.0
4:52.0, ,105-111,Portland full timeout,,4,105,111,-6,2588.0
4:52.0, ,105-111,M. Thybulle enters the game for K. Murray,,4,105,111,-6,2588.0
4:44.0, ,105-113,J. Grant makes 2-pt layup from 2 ft (assist by J. Walker),,4,105,113,-8,2596.0
4:25.0,J. Duren makes 2-pt hook shot from 5 ft,107-113, ,,4,107,113,-6,2615.0
3:58.0, ,107-113,Turnover by Team (shot clock),,4,107,113,-6,2642.0
3:37.0,J. Duren makes 2-pt hook shot from 8 ft,109-113, ,,4,109,113,-4,2663.0
3:20.0, ,109-113,J. Walker misses 3-pt jump shot from 26 ft,,4,109,113,-4,2680.0
3:18.0,Defensive rebound by J. Duren,109-113, ,,4,109,113,-4,2682.0
3:09.0,J. Duren misses 2-pt layup from 4 ft,109-113, ,,4,109,113,-4,2691.0
3:06.0,Offensive rebound by J. Duren,109-113, ,,4,109,113,-4,2694.0
3:06.0,J. Duren makes 2-pt layup at rim,111-113, ,,4,111,113,-2,2694.0
2:51.0, ,111-115,J. Grant makes 2-pt layup from 1 ft,,4,111,115,-4,2709.0
2:27.0,Shooting foul by T. Camara (drawn by C. Cunningham),111-115, ,,4,111,115,-4,2733.0
2:27.0,C. Cunningham makes free throw 1 of 2,112-115, ,,4,112,115,-3,2733.0
2:27.0,C. Cunningham makes free throw 2 of 2,113-115, ,,4,113,115,-2,2733.0
2:16.0, ,113-117,J. Grant makes 2-pt jump shot from 6 ft (assist by A. Hagans),,4,113,117,-4,2744.0
2:16.0, ,113-117,Shooting foul by J. Ivey (drawn by J. Grant),,4,113,117,-4,2744.0
2:16.0, ,113-118,J. Grant makes free throw 1 of 1,,4,113,118,-5,2744.0
2:01.0,J. Ivey misses 2-pt jump shot from 11 ft,113-118, ,,4,113,118,-5,2759.0
1:58.0, ,113-118,Defensive rebound by J. Grant,,4,113,118,-5,2762.0
1:36.0, ,113-118,Turnover by J. Grant (lost ball; steal by M. Sasser),,4,113,118,-5,2784.0
1:29.0,M. Sasser makes 3-pt jump shot from 25 ft,116-118, ,,4,116,118,-2,2791.0
1:11.0, ,116-118,Personal foul by A. Thompson (drawn by J. Grant),,4,116,118,-2,2809.0
1:11.0, ,116-119,J. Grant makes free throw 1 of 2,,4,116,119,-3,2809.0
1:11.0,Detroit full timeout,116-119, ,,4,116,119,-3,2809.0
1:11.0, ,116-120,J. Grant makes free throw 2 of 2,,4,116,120,-4,2809.0
0:53.0,C. Cunningham makes 2-pt jump shot from 18 ft,118-120, ,,4,118,120,-2,2827.0
0:32.0, ,118-120,Portland full timeout,,4,118,120,-2,2848.0
0:27.0, ,118-120,J. Grant misses 2-pt jump shot from 21 ft,,4,118,120,-2,2853.0
0:25.0,Defensive rebound by J. Duren,118-120, ,,4,118,120,-2,2855.0
0:21.0,A. Thompson makes 2-pt dunk from 1 ft (assist by M. Sasser),120-120, ,Tie,4,120,120,0,2859.0
0:14.0, ,120-120,Portland full timeout,,4,120,120,0,2866.0
0:01.0, ,120-120,Turnover by J. Grant (lost ball; steal by M. Sasser),,4,120,120,0,2879.0
0:00.0,M. Sasser misses 2-pt layup from 1 ft,120-120, ,,4,120,120,0,2880.0
0:00.0,Offensive rebound by Team,120-120, ,,4,120,120,0,2880.0
0:00.0,End of 4th quarter,120-120,,,4,120,120,0,2880.0
5:00.0,Start of 1st overtime,120-120,,,5,120,120,0,2880.0
5:00.0,Jump ball: J. Duren vs. J. Walker (M. Thybulle gains possession),120-120,,,5,120,120,0,2880.0
4:40.0, ,120-120,J. Grant misses 2-pt jump shot from 10 ft,,5,120,120,0,2900.0
4:38.0, ,120-120,Offensive rebound by Team,,5,120,120,0,2902.0
4:35.0, ,120-122,J. Grant makes 2-pt jump shot from 14 ft (assist by A. Hagans),,5,120,122,-2,2905.0
4:10.0,C. Cunningham misses 3-pt jump shot from 23 ft,120-122, ,,5,120,122,-2,2930.0
4:08.0, ,120-122,Defensive rebound by Team,,5,120,122,-2,2932.0
4:08.0,Loose ball foul by J. Duren (drawn by A. Hagans),120-122, ,,5,120,122,-2,2932.0
3:56.0, ,120-122,Offensive foul by J. Grant (drawn by M. Sasser),,5,120,122,-2,2944.0
3:56.0, ,120-122,Turnover by J. Grant (offensive foul),,5,120,122,-2,2944.0
3:40.0,Shooting foul by J. Grant (drawn by J. Duren),120-122, ,,5,120,122,-2,2960.0
3:40.0,J. Duren makes free throw 1 of 2,121-122, ,,5,121,122,-1,2960.0
3:40.0,J. Duren misses free throw 2 of 2,121-122, ,,5,121,122,-1,2960.0
3:37.0,Offensive rebound by J. Duren,121-122, ,,5,121,122,-1,2963.0
3:29.0,A. Thompson misses 2-pt jump shot from 5 ft,121-122, ,,5,121,122,-1,2971.0
3:26.0,Offensive rebound by A. Thompson,121-122, ,,5,121,122,-1,2974.0
3:26.0,A. Thompson misses 2-pt layup at rim,121-122, ,,5,121,122,-1,2974.0
3:25.0, ,121-122,Defensive rebound by J. Grant,,5,121,122,-1,2975.0
3:13.0, ,121-122,A. Hagans misses 2-pt layup from 3 ft (block by J. Duren),,5,121,122,-1,2987.0
3:10.0,Defensive rebound by J. Ivey,121-122, ,,5,121,122,-1,2990.0
3:08.0,M. Sasser makes 3-pt jump shot from 26 ft (assist by J. Ivey),124-122, ,Lead change,5,124,122,2,2992.0
2:52.0, ,124-122,M. Thybulle misses 2-pt jump shot from 6 ft (block by J. Duren),,5,124,122,2,3008.0
2:52.0, ,124-122,Offensive rebound by Team,,5,124,122,2,3008.0
2:45.0,Jump ball: J. Grant vs. A. Thompson (T. Camara gains possession),124-122,,,5,124,122,2,3015.0
2:41.0, ,124-122,A. Hagans misses 3-pt jump shot from 29 ft,,5,124,122,2,3019.0
2:39.0, ,124-122,Offensive rebound by Team,,5,124,122,2,3021.0
2:39.0, ,124-122,Turnover by Team (shot clock),,5,124,122,2,3021.0
2:25.0,Turnover by C. Cunningham (bad pass; steal by M. Thybulle),124-122, ,,5,124,122,2,3035.0
2:09.0, ,124-122,M. Thybulle misses 3-pt jump shot from 27 ft,,5,124,122,2,3051.0
2:07.0,Defensive rebound by J. Duren,124-122, ,,5,124,122,2,3053.0
1:48.0,J. Ivey misses 2-pt layup from 2 ft,124-122, ,,5,124,122,2,3072.0
1:47.0,Offensive rebound by J. Duren,124-122, ,,5,124,122,2,3073.0
1:47.0,J. Duren makes 2-pt dunk at rim,126-122, ,,5,126,122,4,3073.0
1:37.0, ,126-122,Personal foul by M. Sasser (drawn by J. Grant),,5,126,122,4,3083.0
1:30.0, ,126-122,A. Hagans misses 3-pt jump shot from 30 ft,,5,126,122,4,3090.0
1:26.0,Defensive rebound by J. Ivey,126-122, ,,5,126,122,4,3094.0
1:24.0,A. Thompson makes 2-pt dunk from 1 ft (assist by M. Sasser),128-122, ,,5,128,122,6,3096.0
1:24.0, ,128-122,Portland full timeout,,5,128,122,6,3096.0
1:15.0, ,128-122,J. Grant misses 2-pt jump shot from 17 ft,,5,128,122,6,3105.0
1:12.0,Defensive rebound by J. Duren,128-122, ,,5,128,122,6,3108.0
0:57.0,Personal foul by T. Camara (drawn by C. Cunningham),128-122, ,,5,128,122,6,3123.0
0:43.0,J. Ivey misses 2-pt jump shot from 11 ft,128-122, ,,5,128,122,6,3137.0
0:41.0,Offensive rebound by J. Duren,128-122, ,,5,128,122,6,3139.0
0:40.0,A. Thompson misses 2-pt layup from 8 ft,128-122, ,,5,128,122,6,3140.0
0:38.0, ,128-122,Defensive rebound by J. Walker,,5,128,122,6,3142.0
0:29.0, ,128-122,J. Walker misses 3-pt jump shot from 26 ft,,5,128,122,6,3151.0
0:26.0,Defensive rebound by A. Thompson,128-122, ,,5,128,122,6,3154.0
0:02.0,J. Duren misses 3-pt jump shot from 31 ft,128-122, ,,5,128,122,6,3178.0
0:00.0, ,128-122,Defensive rebound by T. Camara,,5,128,122,6,3180.0
0:00.0,End of 1st overtime,128-122,,,5,128,122,6,3180.0
