Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Vučević vs. J. Duren (A. Thompson gains possession),0-0,,,1,0,0,0,0.0
11:38.0, ,0-0,J. Duren misses 2-pt layup from 3 ft,,1,0,0,0,22.0
11:36.0,Defensive rebound by N. Vučević,0-0, ,,1,0,0,0,24.0
11:31.0,Z. LaVine makes 2-pt jump shot from 17 ft,2-0, ,,1,0,2,-2,29.0
11:05.0, ,2-0,I. Stewart misses 2-pt layup from 2 ft,,1,0,2,-2,55.0
11:05.0,Defensive rebound by Team,2-0, ,,1,0,2,-2,55.0
10:52.0,Turnover by C. White (bad pass; steal by K. Hayes),2-0, ,,1,0,2,-2,68.0
10:48.0, ,2-2,J. Duren makes 2-pt dunk from 1 ft (assist by A. Thompson),Tie,1,2,2,0,72.0
10:25.0,P. Williams misses 2-pt jump shot from 18 ft,2-2, ,,1,2,2,0,95.0
10:22.0, ,2-2,Defensive rebound by C. Cunningham,,1,2,2,0,98.0
10:19.0, ,2-4,C. Cunningham makes 2-pt layup from 3 ft,Lead change,1,4,2,2,101.0
10:19.0, ,2-4,Shooting foul by Z. LaVine (drawn by C. Cunningham),,1,4,2,2,101.0
10:19.0, ,2-4,C. Cunningham misses free throw 1 of 1,,1,4,2,2,101.0
10:16.0,Defensive rebound by P. Williams,2-4, ,,1,4,2,2,104.0
9:56.0,D. DeRozan makes 2-pt jump shot from 3 ft,4-4, ,Tie,1,4,4,0,124.0
9:39.0, ,4-7,K. Hayes makes 3-pt jump shot from 24 ft (assist by C. Cunningham),,1,7,4,3,141.0
9:24.0,Z. LaVine makes 3-pt jump shot from 28 ft,7-7, ,Tie,1,7,7,0,156.0
9:17.0, ,7-9,C. Cunningham makes 2-pt layup from 3 ft (assist by K. Hayes),,1,9,7,2,163.0
9:17.0, ,7-9,Shooting foul by N. Vučević (drawn by C. Cunningham),,1,9,7,2,163.0
9:17.0, ,7-10,C. Cunningham makes free throw 1 of 1,,1,10,7,3,163.0
9:00.0,N. Vučević misses 2-pt jump shot from 9 ft,7-10, ,,1,10,7,3,180.0
8:56.0, ,7-10,Defensive rebound by I. Stewart,,1,10,7,3,184.0
8:43.0, ,7-10,C. Cunningham misses 3-pt jump shot from 26 ft,,1,10,7,3,197.0
8:37.0,Defensive rebound by Z. LaVine,7-10, ,,1,10,7,3,203.0
8:33.0,Z. LaVine makes 2-pt layup from 3 ft,9-10, ,,1,10,9,1,207.0
8:20.0, ,9-12,I. Stewart makes 2-pt layup from 3 ft (assist by J. Duren),,1,12,9,3,220.0
8:06.0,Z. LaVine makes 2-pt jump shot from 15 ft,11-12, ,,1,12,11,1,234.0
7:51.0, ,11-14,I. Stewart makes 2-pt hook shot from 3 ft (assist by J. Duren),,1,14,11,3,249.0
7:33.0,N. Vučević misses 2-pt jump shot from 10 ft,11-14, ,,1,14,11,3,267.0
7:30.0, ,11-14,Defensive rebound by C. Cunningham,,1,14,11,3,270.0
7:13.0, ,11-14,I. Stewart misses 3-pt jump shot from 23 ft,,1,14,11,3,287.0
7:07.0,Defensive rebound by D. DeRozan,11-14, ,,1,14,11,3,293.0
7:02.0,Z. LaVine makes 3-pt jump shot from 28 ft,14-14, ,Tie,1,14,14,0,298.0
6:45.0, ,14-16,A. Thompson makes 2-pt dunk from 3 ft (assist by J. Duren),,1,16,14,2,315.0
6:20.0,P. Williams misses 3-pt jump shot from 30 ft,14-16, ,,1,16,14,2,340.0
6:19.0,Offensive rebound by Z. LaVine,14-16, ,,1,16,14,2,341.0
6:18.0,Personal foul by C. Cunningham (drawn by P. Williams),14-16, ,,1,16,14,2,342.0
6:18.0, ,14-16,Detroit full timeout,,1,16,14,2,342.0
6:11.0,Z. LaVine misses 3-pt jump shot from 31 ft,14-16, ,,1,16,14,2,349.0
6:03.0, ,14-16,Defensive rebound by J. Duren,,1,16,14,2,357.0
5:51.0, ,14-16,A. Thompson misses 2-pt layup from 7 ft (block by D. DeRozan),,1,16,14,2,369.0
5:46.0,Defensive rebound by Z. LaVine,14-16, ,,1,16,14,2,374.0
5:37.0,N. Vučević makes 2-pt hook shot from 4 ft (assist by P. Williams),16-16, ,Tie,1,16,16,0,383.0
5:37.0,Shooting foul by A. Thompson (drawn by N. Vučević),16-16, ,,1,16,16,0,383.0
5:37.0,N. Vučević makes free throw 1 of 1,17-16, ,Lead change,1,16,17,-1,383.0
5:37.0,T. Craig enters the game for D. DeRozan,17-16, ,,1,16,17,-1,383.0
5:37.0, ,17-16,A. Burks enters the game for K. Hayes,,1,16,17,-1,383.0
5:19.0, ,17-16,Personal foul by T. Craig (drawn by A. Burks),,1,16,17,-1,401.0
5:08.0, ,17-16,Turnover by C. Cunningham (lost ball; steal by P. Williams),,1,16,17,-1,412.0
5:06.0,Shooting foul by I. Stewart (drawn by Z. LaVine),17-16, ,,1,16,17,-1,414.0
5:06.0,Z. LaVine makes free throw 1 of 2,18-16, ,,1,16,18,-2,414.0
5:06.0,Z. LaVine misses free throw 2 of 2,18-16, ,,1,16,18,-2,414.0
5:03.0, ,18-16,Defensive rebound by I. Stewart,,1,16,18,-2,417.0
4:54.0, ,18-18,J. Duren makes 2-pt layup from 2 ft,Tie,1,18,18,0,426.0
4:40.0,Personal foul by I. Stewart (drawn by N. Vučević),18-18, ,,1,18,18,0,440.0
4:40.0, ,18-18,M. Bagley enters the game for J. Duren,,1,18,18,0,440.0
4:40.0, ,18-18,J. Ivey enters the game for A. Thompson,,1,18,18,0,440.0
4:35.0,Z. LaVine misses 3-pt jump shot from 29 ft,18-18, ,,1,18,18,0,445.0
4:30.0, ,18-18,Defensive rebound by M. Bagley,,1,18,18,0,450.0
4:17.0, ,18-20,M. Bagley makes 2-pt dunk from 2 ft (assist by J. Ivey),Lead change,1,20,18,2,463.0
4:00.0,N. Vučević makes 2-pt layup from 4 ft,20-20, ,Tie,1,20,20,0,480.0
3:48.0, ,20-20,A. Burks misses 3-pt jump shot from 28 ft,,1,20,20,0,492.0
3:45.0,Defensive rebound by P. Williams,20-20, ,,1,20,20,0,495.0
3:38.0,Z. LaVine makes 2-pt jump shot from 17 ft,22-20, ,Lead change,1,20,22,-2,502.0
3:10.0, ,22-20,C. Cunningham misses 2-pt layup from 2 ft,,1,20,22,-2,530.0
3:08.0,Defensive rebound by Z. LaVine,22-20, ,,1,20,22,-2,532.0
3:00.0,Z. LaVine makes 2-pt jump shot from 13 ft,24-20, ,,1,20,24,-4,540.0
2:42.0, ,24-23,M. Bagley makes 3-pt jump shot from 27 ft (assist by C. Cunningham),,1,23,24,-1,558.0
2:20.0,P. Williams misses 2-pt jump shot from 12 ft,24-23, ,,1,23,24,-1,580.0
2:20.0, ,24-23,Defensive rebound by Team,,1,23,24,-1,580.0
2:20.0,Chicago full timeout,24-23, ,,1,23,24,-1,580.0
2:20.0,J. Carter enters the game for N. Vučević,24-23, ,,1,23,24,-1,580.0
2:20.0,A. Caruso enters the game for C. White,24-23, ,,1,23,24,-1,580.0
2:20.0,A. Drummond enters the game for P. Williams,24-23, ,,1,23,24,-1,580.0
2:20.0, ,24-23,J. Harris enters the game for C. Cunningham,,1,23,24,-1,580.0
2:20.0, ,24-23,M. Sasser enters the game for I. Stewart,,1,23,24,-1,580.0
2:04.0, ,24-26,A. Burks makes 3-pt jump shot from 27 ft (assist by J. Ivey),Lead change,1,26,24,2,596.0
1:36.0,Z. LaVine misses 3-pt jump shot from 26 ft,24-26, ,,1,26,24,2,624.0
1:32.0,Offensive rebound by A. Caruso,24-26, ,,1,26,24,2,628.0
1:28.0,J. Carter misses 3-pt jump shot from 27 ft,24-26, ,,1,26,24,2,632.0
1:25.0, ,24-26,Defensive rebound by A. Burks,,1,26,24,2,635.0
1:21.0, ,24-29,J. Harris makes 3-pt jump shot from 24 ft (assist by J. Ivey),,1,29,24,5,639.0
1:03.0,Z. LaVine makes 2-pt layup from 4 ft (assist by A. Drummond),26-29, ,,1,29,26,3,657.0
1:03.0,Shooting foul by M. Bagley (drawn by Z. LaVine),26-29, ,,1,29,26,3,657.0
1:03.0,A. Dosunmu enters the game for A. Caruso,26-29, ,,1,29,26,3,657.0
1:03.0,Z. LaVine misses free throw 1 of 1,26-29, ,,1,29,26,3,657.0
1:02.0, ,26-29,Defensive rebound by Team,,1,29,26,3,658.0
0:46.0, ,26-29,Turnover by J. Ivey (bad pass; steal by A. Drummond),,1,29,26,3,674.0
0:37.0,T. Craig misses 3-pt jump shot from 24 ft,26-29, ,,1,29,26,3,683.0
0:34.0,Offensive rebound by A. Dosunmu,26-29, ,,1,29,26,3,686.0
0:33.0,A. Dosunmu misses 2-pt layup from 2 ft,26-29, ,,1,29,26,3,687.0
0:33.0, ,26-29,Defensive rebound by M. Bagley,,1,29,26,3,687.0
0:11.0, ,26-29,J. Ivey misses 3-pt jump shot from 28 ft,,1,29,26,3,709.0
0:09.0,Defensive rebound by T. Craig,26-29, ,,1,29,26,3,711.0
0:00.0,Z. LaVine misses 2-pt layup from 5 ft,26-29, ,,1,29,26,3,720.0
0:00.0, ,26-29,Defensive rebound by Team,,1,29,26,3,720.0
0:00.0,End of 1st quarter,26-29,,,1,29,26,3,720.0
12:00.0,Start of 2nd quarter,26-29,,,2,29,26,3,720.0
12:00.0,Technical foul by Z. LaVine,26-29, ,,2,29,26,3,720.0
12:00.0, ,26-29,A. Burks misses technical free throw,,2,29,26,3,720.0
12:00.0,Defensive rebound by Team,26-29, ,,2,29,26,3,720.0
11:44.0,A. Drummond makes 2-pt hook shot from 7 ft (assist by D. DeRozan),28-29, ,,2,29,28,1,736.0
11:22.0, ,28-29,Shooting foul by T. Craig (drawn by J. Duren),,2,29,28,1,758.0
11:22.0, ,28-30,J. Duren makes free throw 1 of 2,,2,30,28,2,758.0
11:22.0, ,28-30,A. Thompson enters the game for J. Harris,,2,30,28,2,758.0
11:22.0, ,28-31,J. Duren makes free throw 2 of 2,,2,31,28,3,758.0
11:09.0,D. DeRozan misses 2-pt jump shot from 15 ft,28-31, ,,2,31,28,3,771.0
11:06.0, ,28-31,Defensive rebound by J. Duren,,2,31,28,3,774.0
10:59.0, ,28-31,Personal foul by D. DeRozan (drawn by A. Thompson),,2,31,28,3,781.0
10:50.0, ,28-31,Turnover by C. Cunningham (bad pass; steal by A. Drummond),,2,31,28,3,790.0
10:35.0,J. Carter misses 2-pt jump shot from 14 ft,28-31, ,,2,31,28,3,805.0
10:33.0,Offensive rebound by A. Drummond,28-31, ,,2,31,28,3,807.0
10:32.0,A. Drummond misses 2-pt layup from 2 ft,28-31, ,,2,31,28,3,808.0
10:31.0,Offensive rebound by J. Carter,28-31, ,,2,31,28,3,809.0
10:25.0,A. Dosunmu makes 2-pt jump shot from 5 ft (assist by D. DeRozan),30-31, ,,2,31,30,1,815.0
10:14.0, ,30-33,J. Ivey makes 2-pt dunk from 3 ft,,2,33,30,3,826.0
10:00.0,J. Carter misses 2-pt jump shot from 12 ft,30-33, ,,2,33,30,3,840.0
9:56.0, ,30-33,Defensive rebound by J. Duren,,2,33,30,3,844.0
9:50.0, ,30-35,A. Thompson makes 2-pt layup from 3 ft (assist by C. Cunningham),,2,35,30,5,850.0
9:50.0,Chicago full timeout,30-35, ,,2,35,30,5,850.0
9:36.0,Turnover by D. DeRozan (bad pass; steal by J. Ivey),30-35, ,,2,35,30,5,864.0
9:32.0, ,30-35,J. Ivey misses 2-pt dunk from 2 ft,,2,35,30,5,868.0
9:32.0,Defensive rebound by Team,30-35, ,,2,35,30,5,868.0
9:17.0,J. Carter makes 3-pt jump shot from 26 ft (assist by D. DeRozan),33-35, ,,2,35,33,2,883.0
8:59.0, ,33-35,Offensive foul by J. Duren (drawn by A. Dosunmu),,2,35,33,2,901.0
8:59.0, ,33-35,Turnover by J. Duren (offensive foul),,2,35,33,2,901.0
8:59.0, ,33-35,I. Stewart enters the game for A. Burks,,2,35,33,2,901.0
8:44.0,T. Craig misses 3-pt jump shot from 24 ft,33-35, ,,2,35,33,2,916.0
8:39.0, ,33-35,Defensive rebound by I. Stewart,,2,35,33,2,921.0
8:16.0, ,33-35,C. Cunningham misses 3-pt jump shot from 26 ft,,2,35,33,2,944.0
8:14.0,Defensive rebound by A. Drummond,33-35, ,,2,35,33,2,946.0
7:58.0,T. Craig misses 2-pt jump shot from 7 ft,33-35, ,,2,35,33,2,962.0
7:55.0, ,33-35,Defensive rebound by A. Thompson,,2,35,33,2,965.0
7:40.0, ,33-35,I. Stewart misses 3-pt jump shot from 23 ft,,2,35,33,2,980.0
7:36.0,Defensive rebound by A. Dosunmu,33-35, ,,2,35,33,2,984.0
7:31.0,A. Dosunmu makes 3-pt jump shot from 28 ft (assist by D. DeRozan),36-35, ,Lead change,2,35,36,-1,989.0
7:15.0, ,36-37,J. Duren makes 2-pt dunk from 3 ft (assist by C. Cunningham),Lead change,2,37,36,1,1005.0
7:07.0,J. Carter misses 3-pt jump shot from 29 ft,36-37, ,,2,37,36,1,1013.0
7:04.0, ,36-37,Defensive rebound by J. Duren,,2,37,36,1,1016.0
6:50.0, ,36-39,J. Ivey makes 2-pt layup from 2 ft,,2,39,36,3,1030.0
6:23.0,T. Craig misses 2-pt layup from 4 ft,36-39, ,,2,39,36,3,1057.0
6:20.0, ,36-39,Defensive rebound by A. Thompson,,2,39,36,3,1060.0
6:17.0, ,36-39,A. Thompson misses 2-pt layup from 4 ft (block by T. Craig),,2,39,36,3,1063.0
6:17.0, ,36-39,Offensive rebound by Team,,2,39,36,3,1063.0
6:17.0,A. Caruso enters the game for J. Carter,36-39, ,,2,39,36,3,1063.0
6:17.0,Z. LaVine enters the game for T. Craig,36-39, ,,2,39,36,3,1063.0
6:17.0,N. Vučević enters the game for A. Dosunmu,36-39, ,,2,39,36,3,1063.0
6:17.0,P. Williams enters the game for A. Drummond,36-39, ,,2,39,36,3,1063.0
6:17.0, ,36-39,K. Hayes enters the game for J. Ivey,,2,39,36,3,1063.0
6:12.0, ,36-41,A. Thompson makes 2-pt layup from 2 ft (assist by K. Hayes),,2,41,36,5,1068.0
6:00.0,N. Vučević misses 2-pt jump shot from 20 ft,36-41, ,,2,41,36,5,1080.0
5:57.0,Offensive rebound by D. DeRozan,36-41, ,,2,41,36,5,1083.0
5:52.0,D. DeRozan makes 2-pt jump shot from 9 ft,38-41, ,,2,41,38,3,1088.0
5:37.0, ,38-43,C. Cunningham makes 2-pt jump shot from 10 ft,,2,43,38,5,1103.0
5:20.0,Z. LaVine misses 3-pt jump shot from 30 ft,38-43, ,,2,43,38,5,1120.0
5:18.0, ,38-43,Defensive rebound by J. Duren,,2,43,38,5,1122.0
5:01.0, ,38-43,Turnover by A. Thompson (bad pass; steal by A. Caruso),,2,43,38,5,1139.0
4:53.0,D. DeRozan makes 2-pt layup from 3 ft,40-43, ,,2,43,40,3,1147.0
4:53.0,Violation by Team (delay of game),40-43, ,,2,43,40,3,1147.0
4:53.0, ,40-43,Detroit full timeout,,2,43,40,3,1147.0
4:53.0,C. White enters the game for D. DeRozan,40-43, ,,2,43,40,3,1147.0
