Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. J. Allen (E. Mobley gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,M. Strus misses 3-pt jump shot from 23 ft,,1,0,0,0,20.0
11:37.0, ,0-0,Offensive rebound by E. Mobley,,1,0,0,0,23.0
11:37.0, ,0-0,E. Mobley misses 2-pt hook shot from 5 ft,,1,0,0,0,23.0
11:34.0,Defensive rebound by M. Muscala,0-0, ,,1,0,0,0,26.0
11:18.0,C. Cunningham makes 2-pt layup from 1 ft,2-0, ,,1,2,0,2,42.0
11:09.0, ,2-2,J. Allen makes 2-pt layup from 3 ft (assist by D. Mitchell),Tie,1,2,2,0,51.0
11:09.0,Violation by Team (def goaltending),2-2, ,,1,2,2,0,51.0
10:50.0,B. Bogdanović misses 2-pt jump shot from 2 ft,2-2, ,,1,2,2,0,70.0
10:50.0, ,2-2,Defensive rebound by E. Mobley,,1,2,2,0,70.0
10:41.0, ,2-2,J. Allen misses 2-pt dunk from 2 ft,,1,2,2,0,79.0
10:39.0, ,2-2,Offensive rebound by J. Allen,,1,2,2,0,81.0
10:34.0, ,2-4,E. Mobley makes 2-pt layup from 2 ft (assist by D. Garland),Lead change,1,2,4,-2,86.0
10:18.0,B. Bogdanović misses 3-pt jump shot from 25 ft,2-4, ,,1,2,4,-2,102.0
10:14.0, ,2-4,Defensive rebound by D. Mitchell,,1,2,4,-2,106.0
10:07.0, ,2-4,D. Mitchell misses 3-pt jump shot from 25 ft,,1,2,4,-2,113.0
10:05.0, ,2-4,Offensive rebound by J. Allen,,1,2,4,-2,115.0
9:59.0, ,2-4,D. Garland misses 3-pt jump shot from 30 ft,,1,2,4,-2,121.0
9:55.0,Defensive rebound by C. Cunningham,2-4, ,,1,2,4,-2,125.0
9:51.0,M. Muscala misses 3-pt jump shot from 29 ft,2-4, ,,1,2,4,-2,129.0
9:47.0, ,2-4,Defensive rebound by J. Allen,,1,2,4,-2,133.0
9:41.0, ,2-4,Personal foul by M. Muscala (drawn by E. Mobley),,1,2,4,-2,139.0
9:29.0, ,2-4,Turnover by D. Mitchell (bad pass; steal by J. Ivey),,1,2,4,-2,151.0
9:25.0,Shooting foul by D. Mitchell (drawn by B. Bogdanović),2-4, ,,1,2,4,-2,155.0
9:25.0,B. Bogdanović misses free throw 1 of 2,2-4, ,,1,2,4,-2,155.0
9:25.0,Offensive rebound by Team,2-4, ,,1,2,4,-2,155.0
9:25.0,B. Bogdanović makes free throw 2 of 2,3-4, ,,1,3,4,-1,155.0
9:08.0, ,3-6,D. Garland makes 2-pt jump shot from 14 ft,,1,3,6,-3,172.0
8:52.0,J. Ivey makes 2-pt jump shot from 13 ft,5-6, ,,1,5,6,-1,188.0
8:52.0,Shooting foul by D. Garland (drawn by J. Ivey),5-6, ,,1,5,6,-1,188.0
8:52.0,J. Ivey makes free throw 1 of 1,6-6, ,Tie,1,6,6,0,188.0
8:41.0, ,6-6,D. Garland misses 3-pt jump shot from 25 ft,,1,6,6,0,199.0
8:38.0,Defensive rebound by J. Duren,6-6, ,,1,6,6,0,202.0
8:33.0,M. Muscala makes 3-pt jump shot from 23 ft (assist by J. Ivey),9-6, ,Lead change,1,9,6,3,207.0
8:20.0, ,9-8,E. Mobley makes 2-pt hook shot from 6 ft (assist by D. Mitchell),,1,9,8,1,220.0
8:06.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by J. Ivey),12-8, ,,1,12,8,4,234.0
7:46.0, ,12-11,D. Garland makes 3-pt jump shot from 26 ft (assist by D. Mitchell),,1,12,11,1,254.0
7:46.0, ,12-11,Shooting foul by C. Cunningham (drawn by D. Garland),,1,12,11,1,254.0
7:46.0,K. Knox enters the game for M. Muscala,12-11, ,,1,12,11,1,254.0
7:46.0, ,12-11,D. Wade enters the game for E. Mobley,,1,12,11,1,254.0
7:46.0, ,12-12,D. Garland makes free throw 1 of 1,Tie,1,12,12,0,254.0
7:29.0,J. Ivey makes 3-pt jump shot from 24 ft (assist by C. Cunningham),15-12, ,,1,15,12,3,271.0
7:17.0, ,15-15,D. Mitchell makes 3-pt jump shot from 25 ft (assist by M. Strus),Tie,1,15,15,0,283.0
7:13.0,Turnover by J. Duren (bad pass; steal by D. Garland),15-15, ,,1,15,15,0,287.0
7:11.0, ,15-17,D. Garland makes 2-pt layup from 2 ft,Lead change,1,15,17,-2,289.0
6:51.0,B. Bogdanović misses 2-pt jump shot from 8 ft,15-17, ,,1,15,17,-2,309.0
6:46.0,Offensive rebound by J. Duren,15-17, ,,1,15,17,-2,314.0
6:46.0,J. Duren misses 2-pt layup at rim,15-17, ,,1,15,17,-2,314.0
6:45.0, ,15-17,Defensive rebound by D. Wade,,1,15,17,-2,315.0
6:37.0, ,15-17,D. Mitchell misses 3-pt jump shot from 24 ft,,1,15,17,-2,323.0
6:37.0,Defensive rebound by J. Duren,15-17, ,,1,15,17,-2,323.0
6:27.0,C. Cunningham misses 3-pt jump shot from 28 ft,15-17, ,,1,15,17,-2,333.0
6:25.0, ,15-17,Defensive rebound by J. Allen,,1,15,17,-2,335.0
6:15.0, ,15-17,Shooting foul by K. Knox (drawn by D. Mitchell),,1,15,17,-2,345.0
6:15.0, ,15-17,Cleveland full timeout,,1,15,17,-2,345.0
6:15.0, ,15-17,C. LeVert enters the game for D. Garland,,1,15,17,-2,345.0
6:15.0, ,15-17,I. Okoro enters the game for M. Strus,,1,15,17,-2,345.0
6:15.0, ,15-17,D. Mitchell misses free throw 1 of 2,,1,15,17,-2,345.0
