Time,Detroit,Score,Miami,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. B. Adebayo (A. Thompson gains possession),0-0,,,1,0,0,0,0.0
11:43.0,I. Stewart makes 2-pt hook shot from 5 ft (assist by J. Duren),2-0, ,,1,2,0,2,17.0
11:20.0, ,2-0,T. Herro misses 2-pt jump shot from 17 ft,,1,2,0,2,40.0
11:18.0,Defensive rebound by J. Duren,2-0, ,,1,2,0,2,42.0
11:08.0,J. Duren makes 2-pt dunk from 1 ft (assist by I. Stewart),4-0, ,,1,4,0,4,52.0
10:54.0, ,4-0,T. Herro misses 2-pt layup from 4 ft (block by A. Thompson),,1,4,0,4,66.0
10:51.0,Defensive rebound by J. Duren,4-0, ,,1,4,0,4,69.0
10:50.0,Turnover by J. Duren (bad pass),4-0, ,,1,4,0,4,70.0
10:29.0, ,4-0,J. Butler misses 2-pt layup from 1 ft (block by A. Thompson),,1,4,0,4,91.0
10:25.0, ,4-0,Offensive rebound by J. Butler,,1,4,0,4,95.0
10:22.0, ,4-0,J. Butler misses 2-pt layup from 5 ft (block by A. Thompson),,1,4,0,4,98.0
10:19.0, ,4-0,Offensive rebound by J. Butler,,1,4,0,4,101.0
10:18.0, ,4-2,J. Butler makes 2-pt layup from 3 ft,,1,4,2,2,102.0
10:13.0,K. Hayes misses 2-pt jump shot from 13 ft,4-2, ,,1,4,2,2,107.0
10:13.0, ,4-2,Defensive rebound by K. Love,,1,4,2,2,107.0
9:57.0, ,4-5,K. Love makes 3-pt jump shot from 26 ft (assist by T. Herro),Lead change,1,4,5,-1,123.0
9:47.0,Shooting foul by T. Herro (drawn by K. Hayes),4-5, ,,1,4,5,-1,133.0
9:47.0,K. Hayes makes free throw 1 of 2,5-5, ,Tie,1,5,5,0,133.0
9:47.0,K. Hayes makes free throw 2 of 2,6-5, ,Lead change,1,6,5,1,133.0
9:29.0, ,6-5,B. Adebayo misses 2-pt hook shot from 7 ft,,1,6,5,1,151.0
9:26.0,Defensive rebound by A. Thompson,6-5, ,,1,6,5,1,154.0
9:23.0, ,6-5,Violation by Team (kicked ball),,1,6,5,1,157.0
9:16.0,I. Stewart makes 3-pt jump shot from 27 ft (assist by C. Cunningham),9-5, ,,1,9,5,4,164.0
8:56.0, ,9-5,K. Love misses 2-pt jump shot from 18 ft,,1,9,5,4,184.0
8:54.0,Defensive rebound by I. Stewart,9-5, ,,1,9,5,4,186.0
8:47.0,C. Cunningham misses 2-pt jump shot from 17 ft,9-5, ,,1,9,5,4,193.0
8:43.0,Offensive rebound by J. Duren,9-5, ,,1,9,5,4,197.0
8:40.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by J. Duren),12-5, ,,1,12,5,7,200.0
8:28.0, ,12-8,T. Herro makes 3-pt jump shot from 27 ft,,1,12,8,4,212.0
8:21.0,Turnover by C. Cunningham (bad pass; steal by T. Herro),12-8, ,,1,12,8,4,219.0
8:15.0, ,12-8,T. Herro misses 2-pt layup from 4 ft (block by J. Duren),,1,12,8,4,225.0
8:09.0, ,12-8,Offensive rebound by B. Adebayo,,1,12,8,4,231.0
8:09.0, ,12-10,B. Adebayo makes 2-pt dunk at rim,,1,12,10,2,231.0
7:56.0,K. Hayes misses 3-pt jump shot from 26 ft,12-10, ,,1,12,10,2,244.0
7:56.0, ,12-10,Defensive rebound by B. Adebayo,,1,12,10,2,244.0
