Time,Detroit,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:37.0,A. Thompson makes 2-pt jump shot from 21 ft,18-9, ,,1,18,9,9,443.0
4:14.0, ,18-9,T. Rozier misses 3-pt jump shot from 24 ft,,1,18,9,9,466.0
4:12.0,Defensive rebound by C. Cunningham,18-9, ,,1,18,9,9,468.0
4:09.0,Offensive foul by I. Stewart (drawn by P. Washington),18-9, ,,1,18,9,9,471.0
4:09.0,Turnover by I. Stewart (offensive foul),18-9, ,,1,18,9,9,471.0
4:09.0,J. Ivey enters the game for C. Cunningham,18-9, ,,1,18,9,9,471.0
4:09.0, ,18-9,J. Thor enters the game for P. Washington,,1,18,9,9,471.0
3:49.0, ,18-9,Turnover by G. Hayward (traveling),,1,18,9,9,491.0
3:49.0,M. Bagley enters the game for J. Duren,18-9, ,,1,18,9,9,491.0
3:49.0,J. Harris enters the game for I. Stewart,18-9, ,,1,18,9,9,491.0
3:49.0, ,18-9,T. Maledon enters the game for G. Hayward,,1,18,9,9,491.0
3:49.0, ,18-9,N. Richards enters the game for M. Williams,,1,18,9,9,491.0
3:30.0,M. Bagley makes 2-pt layup from 3 ft,20-9, ,,1,20,9,11,510.0
3:14.0, ,20-12,B. Miller makes 3-pt jump shot from 26 ft,,1,20,12,8,526.0
2:59.0,Shooting foul by N. Richards (drawn by A. Burks),20-12, ,,1,20,12,8,541.0
2:59.0,Detroit full timeout,20-12, ,,1,20,12,8,541.0
2:59.0,M. Sasser enters the game for A. Thompson,20-12, ,,1,20,12,8,541.0
2:59.0, ,20-12,L. Ball enters the game for T. Rozier,,1,20,12,8,541.0
2:59.0,A. Burks makes free throw 1 of 2,21-12, ,,1,21,12,9,541.0
2:59.0,A. Burks makes free throw 2 of 2,22-12, ,,1,22,12,10,541.0
2:48.0, ,22-14,L. Ball makes 2-pt layup from 2 ft,,1,22,14,8,552.0
2:32.0,M. Bagley misses 2-pt jump shot from 6 ft,22-14, ,,1,22,14,8,568.0
2:30.0, ,22-14,Defensive rebound by L. Ball,,1,22,14,8,570.0
2:23.0, ,22-16,B. Miller makes 2-pt jump shot from 11 ft (assist by L. Ball),,1,22,16,6,577.0
2:14.0,Def 3 sec tech foul by Team,22-16, ,,1,22,16,6,586.0
