Time,Detroit,Score,Charlotte,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:01.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by K. Hayes),64-55, ,,3,64,55,9,1679.0
7:49.0, ,64-57,P. Washington makes 2-pt hook shot from 7 ft (assist by G. Hayward),,3,64,57,7,1691.0
7:32.0,K. Hayes makes 3-pt jump shot from 25 ft (assist by J. Duren),67-57, ,,3,67,57,10,1708.0
7:20.0, ,67-59,P. Washington makes 2-pt layup from 1 ft (assist by L. Ball),,3,67,59,8,1720.0
7:00.0,K. Hayes misses 2-pt jump shot from 11 ft,67-59, ,,3,67,59,8,1740.0
6:58.0, ,67-59,Defensive rebound by L. Ball,,3,67,59,8,1742.0
6:48.0, ,67-59,P. Washington misses 3-pt jump shot from 25 ft,,3,67,59,8,1752.0
6:45.0,Defensive rebound by A. Burks,67-59, ,,3,67,59,8,1755.0
6:40.0,A. Burks misses 3-pt jump shot from 25 ft,67-59, ,,3,67,59,8,1760.0
6:37.0, ,67-59,Defensive rebound by P. Washington,,3,67,59,8,1763.0
6:29.0, ,67-61,T. Rozier makes 2-pt jump shot from 2 ft,,3,67,61,6,1771.0
6:29.0,Detroit full timeout,67-61, ,,3,67,61,6,1771.0
6:29.0, ,67-61,B. Miller enters the game for L. Ball,,3,67,61,6,1771.0
6:08.0,I. Stewart misses 2-pt hook shot from 2 ft,67-61, ,,3,67,61,6,1792.0
6:07.0,Offensive rebound by J. Duren,67-61, ,,3,67,61,6,1793.0
6:00.0,J. Ivey misses 3-pt jump shot from 22 ft,67-61, ,,3,67,61,6,1800.0
5:58.0, ,67-61,Defensive rebound by G. Hayward,,3,67,61,6,1802.0
5:44.0, ,67-61,G. Hayward misses 2-pt jump shot from 19 ft,,3,67,61,6,1816.0
5:41.0,Defensive rebound by J. Duren,67-61, ,,3,67,61,6,1819.0
5:29.0,J. Ivey misses 2-pt layup from 2 ft (block by J. Thor),67-61, ,,3,67,61,6,1831.0
5:27.0, ,67-61,Defensive rebound by B. Miller,,3,67,61,6,1833.0
5:22.0, ,67-61,G. Hayward misses 2-pt layup from 4 ft,,3,67,61,6,1838.0
5:19.0,Defensive rebound by K. Hayes,67-61, ,,3,67,61,6,1841.0
5:18.0,J. Ivey makes 2-pt layup from 2 ft (assist by K. Hayes),69-61, ,,3,69,61,8,1842.0
4:50.0, ,69-61,J. Thor misses 2-pt layup from 5 ft (block by A. Burks),,3,69,61,8,1870.0
4:50.0, ,69-61,Offensive rebound by Team,,3,69,61,8,1870.0
4:50.0,M. Bagley enters the game for J. Duren,69-61, ,,3,69,61,8,1870.0
4:50.0, ,69-61,Away from play foul by J. Ivey (drawn by B. Miller),,3,69,61,8,1870.0
4:50.0, ,69-61,Instant Replay (Request: Ruling Stands),,3,69,61,8,1870.0
4:50.0, ,69-62,T. Rozier makes free throw 1 of 1,,3,69,62,7,1870.0
4:46.0, ,69-62,T. Rozier misses 2-pt layup from 1 ft,,3,69,62,7,1874.0
4:44.0,Defensive rebound by M. Bagley,69-62, ,,3,69,62,7,1876.0
4:27.0,J. Ivey makes 2-pt jump shot from 17 ft,71-62, ,,3,71,62,9,1893.0
4:10.0, ,71-64,P. Washington makes 2-pt hook shot from 3 ft,,3,71,64,7,1910.0
3:57.0,Turnover by K. Hayes (bad pass; steal by G. Hayward),71-64, ,,3,71,64,7,1923.0
3:53.0, ,71-64,B. Miller misses 2-pt jump shot from 3 ft,,3,71,64,7,1927.0
3:51.0, ,71-64,Offensive rebound by J. Thor,,3,71,64,7,1929.0
3:50.0, ,71-66,J. Thor makes 2-pt layup from 2 ft,,3,71,66,5,1930.0
3:30.0,M. Bagley misses 2-pt layup at rim,71-66, ,,3,71,66,5,1950.0
3:27.0, ,71-66,Defensive rebound by B. Miller,,3,71,66,5,1953.0
3:24.0, ,71-69,G. Hayward makes 3-pt jump shot from 26 ft (assist by B. Miller),,3,71,69,2,1956.0
3:01.0,A. Burks makes 2-pt layup from 2 ft,73-69, ,,3,73,69,4,1979.0
2:45.0, ,73-69,Turnover by T. Rozier (bad pass; steal by K. Hayes),,3,73,69,4,1995.0
2:42.0,K. Hayes misses 2-pt layup from 2 ft (block by P. Washington),73-69, ,,3,73,69,4,1998.0
2:42.0,Offensive rebound by Team,73-69, ,,3,73,69,4,1998.0
2:42.0, ,73-69,Charlotte full timeout,,3,73,69,4,1998.0
2:42.0, ,73-69,Instant Replay (Challenge: Ruling Stands),,3,73,69,4,1998.0
2:42.0,J. Harris enters the game for I. Stewart,73-69, ,,3,73,69,4,1998.0
2:42.0, ,73-69,L. Ball enters the game for G. Hayward,,3,73,69,4,1998.0
2:42.0, ,73-69,T. Maledon enters the game for T. Rozier,,3,73,69,4,1998.0
2:40.0,Jump ball: M. Bagley vs. J. Thor (P. Washington gains possession),73-69,,,3,73,69,4,2000.0
2:25.0,Shooting foul by P. Washington (drawn by M. Bagley),73-69, ,,3,73,69,4,2015.0
2:25.0,M. Bagley makes free throw 1 of 2,74-69, ,,3,74,69,5,2015.0
2:25.0,M. Sasser enters the game for K. Hayes,74-69, ,,3,74,69,5,2015.0
2:25.0, ,74-69,M. Williams enters the game for P. Washington,,3,74,69,5,2015.0
2:25.0,M. Bagley makes free throw 2 of 2,75-69, ,,3,75,69,6,2015.0
2:15.0, ,75-69,M. Williams misses 2-pt layup from 2 ft,,3,75,69,6,2025.0
2:10.0, ,75-69,Offensive rebound by M. Williams,,3,75,69,6,2030.0
2:10.0, ,75-69,M. Williams misses 2-pt layup at rim,,3,75,69,6,2030.0
2:09.0, ,75-69,Offensive rebound by M. Williams,,3,75,69,6,2031.0
2:09.0, ,75-69,M. Williams misses 2-pt layup at rim,,3,75,69,6,2031.0
2:09.0,Defensive rebound by J. Ivey,75-69, ,,3,75,69,6,2031.0
2:00.0,M. Bagley misses 2-pt jump shot from 2 ft,75-69, ,,3,75,69,6,2040.0
1:59.0, ,75-69,Defensive rebound by J. Thor,,3,75,69,6,2041.0
1:52.0, ,75-69,Shooting foul by J. Ivey (drawn by L. Ball),,3,75,69,6,2048.0
1:52.0, ,75-70,L. Ball makes free throw 1 of 2,,3,75,70,5,2048.0
1:52.0, ,75-71,L. Ball makes free throw 2 of 2,,3,75,71,4,2048.0
1:40.0,Shooting foul by B. Miller (drawn by A. Burks),75-71, ,,3,75,71,4,2060.0
1:40.0,A. Burks makes free throw 1 of 2,76-71, ,,3,76,71,5,2060.0
1:40.0,A. Burks makes free throw 2 of 2,77-71, ,,3,77,71,6,2060.0
1:28.0, ,77-71,L. Ball misses 3-pt jump shot from 28 ft,,3,77,71,6,2072.0
1:26.0,Defensive rebound by M. Bagley,77-71, ,,3,77,71,6,2074.0
1:12.0,M. Bagley makes 2-pt dunk from 1 ft (assist by J. Ivey),79-71, ,,3,79,71,8,2088.0
0:57.0, ,79-71,Personal foul by A. Burks (drawn by B. Miller),,3,79,71,8,2103.0
0:57.0, ,79-71,B. Miller misses free throw 1 of 2,,3,79,71,8,2103.0
0:57.0, ,79-71,Offensive rebound by Team,,3,79,71,8,2103.0
0:57.0, ,79-72,B. Miller makes free throw 2 of 2,,3,79,72,7,2103.0
0:35.0,M. Bagley makes 2-pt jump shot from 5 ft (assist by J. Ivey),81-72, ,,3,81,72,9,2125.0
0:16.0, ,81-72,L. Ball misses 2-pt layup from 2 ft,,3,81,72,9,2144.0
0:14.0,Defensive rebound by M. Sasser,81-72, ,,3,81,72,9,2146.0
0:07.0,J. Harris makes 2-pt layup from 1 ft (assist by J. Ivey),83-72, ,,3,83,72,11,2153.0
0:03.0, ,83-72,Personal foul by J. Harris (drawn by L. Ball),,3,83,72,11,2157.0
0:03.0, ,83-73,L. Ball makes free throw 1 of 2,,3,83,73,10,2157.0
0:03.0, ,83-73,L. Ball misses free throw 2 of 2,,3,83,73,10,2157.0
0:02.0, ,83-73,Offensive rebound by L. Ball,,3,83,73,10,2158.0
0:02.0, ,83-73,Shooting foul by J. Harris (drawn by L. Ball),,3,83,73,10,2158.0
0:02.0, ,83-74,L. Ball makes free throw 1 of 2,,3,83,74,9,2158.0
0:02.0, ,83-75,L. Ball makes free throw 2 of 2,,3,83,75,8,2158.0
0:00.0,J. Ivey misses 3-pt jump shot from 60 ft,83-75, ,,3,83,75,8,2160.0
0:00.0,Offensive rebound by Team,83-75, ,,3,83,75,8,2160.0
0:00.0,End of 3rd quarter,83-75,,,3,83,75,8,2160.0
12:00.0,Start of 4th quarter,83-75,,,4,83,75,8,2160.0
11:47.0, ,83-75,Shooting foul by M. Sasser (drawn by L. Ball),,4,83,75,8,2173.0
11:47.0, ,83-76,L. Ball makes free throw 1 of 2,,4,83,76,7,2173.0
11:47.0, ,83-76,L. Ball misses free throw 2 of 2,,4,83,76,7,2173.0
11:44.0,Defensive rebound by J. Duren,83-76, ,,4,83,76,7,2176.0
11:30.0,Turnover by M. Sasser (traveling),83-76, ,,4,83,76,7,2190.0
11:13.0, ,83-76,L. Ball misses 2-pt jump shot from 9 ft,,4,83,76,7,2207.0
11:13.0, ,83-76,L. Ball misses 2-pt layup from 4 ft,,4,83,76,7,2207.0
11:13.0,Defensive rebound by J. Duren,83-76, ,,4,83,76,7,2207.0
11:13.0, ,83-76,Offensive rebound by L. Ball,,4,83,76,7,2207.0
11:13.0,I. Stewart enters the game for J. Harris,83-76, ,,4,83,76,7,2207.0
10:56.0,C. Cunningham misses 2-pt jump shot from 3 ft,83-76, ,,4,83,76,7,2224.0
10:54.0,Offensive rebound by C. Cunningham,83-76, ,,4,83,76,7,2226.0
10:54.0,Shooting foul by M. Williams (drawn by C. Cunningham),83-76, ,,4,83,76,7,2226.0
10:54.0,C. Cunningham makes free throw 1 of 2,84-76, ,,4,84,76,8,2226.0
10:54.0, ,84-76,N. Richards enters the game for M. Williams,,4,84,76,8,2226.0
10:54.0,C. Cunningham makes free throw 2 of 2,85-76, ,,4,85,76,9,2226.0
10:41.0, ,85-79,B. Miller makes 3-pt jump shot from 27 ft (assist by L. Ball),,4,85,79,6,2239.0
10:27.0,C. Cunningham misses 2-pt layup from 1 ft,85-79, ,,4,85,79,6,2253.0
10:25.0, ,85-79,Defensive rebound by B. Miller,,4,85,79,6,2255.0
10:20.0, ,85-79,N. Richards misses 2-pt layup from 2 ft,,4,85,79,6,2260.0
10:18.0,Defensive rebound by J. Duren,85-79, ,,4,85,79,6,2262.0
10:15.0,J. Ivey makes 2-pt layup from 2 ft (assist by C. Cunningham),87-79, ,,4,87,79,8,2265.0
9:54.0, ,87-79,L. Ball misses 2-pt jump shot from 4 ft (block by J. Duren),,4,87,79,8,2286.0
9:54.0, ,87-79,Offensive rebound by Team,,4,87,79,8,2286.0
9:52.0, ,87-79,L. Ball misses 3-pt jump shot from 27 ft,,4,87,79,8,2288.0
9:50.0,Defensive rebound by Team,87-79, ,,4,87,79,8,2290.0
9:50.0,Detroit full timeout,87-79, ,,4,87,79,8,2290.0
9:50.0,Instant Replay (Challenge: Ruling Stands),87-79, ,,4,87,79,8,2290.0
9:50.0,A. Thompson enters the game for M. Sasser,87-79, ,,4,87,79,8,2290.0
9:27.0,Turnover by I. Stewart (bad pass; steal by N. Richards),87-79, ,,4,87,79,8,2313.0
9:22.0, ,87-79,Shooting foul by C. Cunningham (drawn by T. Maledon),,4,87,79,8,2318.0
9:22.0, ,87-80,T. Maledon makes free throw 1 of 2,,4,87,80,7,2318.0
9:22.0,K. Hayes enters the game for C. Cunningham,87-80, ,,4,87,80,7,2318.0
9:22.0, ,87-81,T. Maledon makes free throw 2 of 2,,4,87,81,6,2318.0
9:11.0,J. Duren makes 2-pt dunk from 2 ft (assist by J. Ivey),89-81, ,,4,89,81,8,2329.0
8:53.0, ,89-81,B. Miller misses 2-pt layup from 2 ft,,4,89,81,8,2347.0
8:53.0,Defensive rebound by J. Ivey,89-81, ,,4,89,81,8,2347.0
8:40.0,J. Ivey misses 3-pt jump shot from 25 ft,89-81, ,,4,89,81,8,2360.0
8:38.0, ,89-81,Defensive rebound by J. Thor,,4,89,81,8,2362.0
8:34.0, ,89-81,Shooting foul by K. Hayes (drawn by T. Maledon),,4,89,81,8,2366.0
8:34.0, ,89-82,T. Maledon makes free throw 1 of 2,,4,89,82,7,2366.0
8:34.0, ,89-83,T. Maledon makes free throw 2 of 2,,4,89,83,6,2366.0
8:21.0,I. Stewart misses 3-pt jump shot from 23 ft,89-83, ,,4,89,83,6,2379.0
8:19.0, ,89-83,Defensive rebound by T. Maledon,,4,89,83,6,2381.0
8:13.0, ,89-83,Turnover by B. Miller (step out of bounds),,4,89,83,6,2387.0
8:13.0, ,89-83,G. Hayward enters the game for L. Ball,,4,89,83,6,2387.0
8:13.0, ,89-83,T. Rozier enters the game for T. Maledon,,4,89,83,6,2387.0
8:05.0,Offensive foul by J. Duren (drawn by T. Rozier),89-83, ,,4,89,83,6,2395.0
8:05.0,Turnover by J. Duren (offensive foul),89-83, ,,4,89,83,6,2395.0
8:05.0, ,89-83,P. Washington enters the game for J. Thor,,4,89,83,6,2395.0
7:49.0, ,89-83,G. Hayward misses 2-pt jump shot from 15 ft,,4,89,83,6,2411.0
7:47.0, ,89-83,Offensive rebound by T. Rozier,,4,89,83,6,2413.0
7:46.0, ,89-85,T. Rozier makes 2-pt hook shot from 3 ft,,4,89,85,4,2414.0
7:32.0,I. Stewart makes 3-pt jump shot from 24 ft (assist by A. Thompson),92-85, ,,4,92,85,7,2428.0
7:22.0, ,92-87,T. Rozier makes 2-pt jump shot from 8 ft,,4,92,87,5,2438.0
7:02.0,J. Ivey makes 2-pt layup from 2 ft (assist by J. Duren),94-87, ,,4,94,87,7,2458.0
6:44.0, ,94-89,T. Rozier makes 2-pt jump shot from 23 ft (assist by P. Washington),,4,94,89,5,2476.0
6:25.0,K. Hayes misses 3-pt jump shot from 23 ft,94-89, ,,4,94,89,5,2495.0
6:25.0,A. Thompson misses 2-pt layup from 3 ft (block by B. Miller),94-89, ,,4,94,89,5,2495.0
6:25.0, ,94-89,Defensive rebound by P. Washington,,4,94,89,5,2495.0
6:25.0,Offensive rebound by A. Thompson,94-89, ,,4,94,89,5,2495.0
6:15.0, ,94-91,T. Rozier makes 2-pt layup from 1 ft,,4,94,91,3,2505.0
6:15.0,Detroit full timeout,94-91, ,,4,94,91,3,2505.0
6:15.0,M. Bagley enters the game for J. Ivey,94-91, ,,4,94,91,3,2505.0
6:15.0,A. Burks enters the game for I. Stewart,94-91, ,,4,94,91,3,2505.0
6:15.0,Instant Replay,94-91, ,,4,94,91,3,2505.0
6:15.0, ,94-91,Technical foul by B. Miller,,4,94,91,3,2505.0
6:15.0,Technical foul by J. Duren,94-91, ,,4,94,91,3,2505.0
6:15.0,Technical foul by I. Stewart,94-91, ,,4,94,91,3,2505.0
6:15.0, ,94-91,Technical foul by P. Washington,,4,94,91,3,2505.0
6:15.0,I. Stewart enters the game for M. Bagley,94-91, ,,4,94,91,3,2505.0
5:58.0,I. Stewart misses 3-pt jump shot from 25 ft,94-91, ,,4,94,91,3,2522.0
5:57.0,Offensive rebound by A. Thompson,94-91, ,,4,94,91,3,2523.0
5:51.0,I. Stewart makes 3-pt jump shot from 26 ft (assist by A. Thompson),97-91, ,,4,97,91,6,2529.0
5:28.0, ,97-91,T. Rozier misses 3-pt jump shot from 28 ft,,4,97,91,6,2552.0
5:28.0,Defensive rebound by A. Thompson,97-91, ,,4,97,91,6,2552.0
5:14.0,J. Duren misses 2-pt layup from 4 ft (block by N. Richards),97-91, ,,4,97,91,6,2566.0
5:11.0, ,97-91,Defensive rebound by P. Washington,,4,97,91,6,2569.0
5:09.0, ,97-93,B. Miller makes 2-pt dunk from 2 ft (assist by P. Washington),,4,97,93,4,2571.0
4:49.0,I. Stewart misses 2-pt layup from 3 ft,97-93, ,,4,97,93,4,2591.0
4:47.0, ,97-93,Defensive rebound by N. Richards,,4,97,93,4,2593.0
4:34.0, ,97-93,T. Rozier misses 3-pt jump shot from 27 ft,,4,97,93,4,2606.0
4:32.0,Defensive rebound by I. Stewart,97-93, ,,4,97,93,4,2608.0
4:16.0,I. Stewart misses 3-pt jump shot from 24 ft,97-93, ,,4,97,93,4,2624.0
4:13.0,Offensive rebound by A. Thompson,97-93, ,,4,97,93,4,2627.0
4:11.0,A. Thompson misses 2-pt layup from 3 ft (block by N. Richards),97-93, ,,4,97,93,4,2629.0
4:11.0, ,97-93,Defensive rebound by G. Hayward,,4,97,93,4,2629.0
4:09.0, ,97-93,Turnover by G. Hayward (step out of bounds),,4,97,93,4,2631.0
4:09.0,C. Cunningham enters the game for K. Hayes,97-93, ,,4,97,93,4,2631.0
4:09.0, ,97-93,L. Ball enters the game for B. Miller,,4,97,93,4,2631.0
3:54.0,I. Stewart makes 2-pt layup from 2 ft (assist by C. Cunningham),99-93, ,,4,99,93,6,2646.0
3:40.0, ,99-93,L. Ball misses 2-pt dunk at rim (block by I. Stewart),,4,99,93,6,2660.0
3:37.0,Defensive rebound by J. Duren,99-93, ,,4,99,93,6,2663.0
3:34.0,A. Burks makes 3-pt jump shot from 25 ft,102-93, ,,4,102,93,9,2666.0
3:33.0, ,102-93,Charlotte full timeout,,4,102,93,9,2667.0
3:33.0, ,102-93,M. Williams enters the game for N. Richards,,4,102,93,9,2667.0
3:26.0, ,102-93,Turnover by L. Ball (step out of bounds),,4,102,93,9,2674.0
3:07.0,A. Burks misses 3-pt jump shot from 25 ft,102-93, ,,4,102,93,9,2693.0
3:04.0, ,102-93,Defensive rebound by M. Williams,,4,102,93,9,2696.0
3:02.0, ,102-93,Personal foul by A. Thompson (drawn by L. Ball),,4,102,93,9,2698.0
2:48.0, ,102-93,G. Hayward misses 2-pt jump shot from 7 ft,,4,102,93,9,2712.0
2:45.0,Defensive rebound by A. Thompson,102-93, ,,4,102,93,9,2715.0
2:26.0,I. Stewart makes 2-pt layup at rim (assist by A. Burks),104-93, ,,4,104,93,11,2734.0
2:18.0, ,104-93,T. Rozier misses 2-pt layup from 3 ft (block by J. Duren),,4,104,93,11,2742.0
2:15.0,Defensive rebound by A. Burks,104-93, ,,4,104,93,11,2745.0
2:08.0,A. Thompson makes 2-pt dunk at rim (assist by C. Cunningham),106-93, ,,4,106,93,13,2752.0
2:08.0, ,106-93,Charlotte full timeout,,4,106,93,13,2752.0
2:08.0, ,106-93,B. Miller enters the game for M. Williams,,4,106,93,13,2752.0
1:58.0, ,106-95,P. Washington makes 2-pt layup from 2 ft (assist by L. Ball),,4,106,95,11,2762.0
1:58.0, ,106-95,Shooting foul by C. Cunningham (drawn by P. Washington),,4,106,95,11,2762.0
1:58.0,K. Hayes enters the game for C. Cunningham,106-95, ,,4,106,95,11,2762.0
1:58.0, ,106-95,P. Washington misses free throw 1 of 1,,4,106,95,11,2762.0
1:54.0,Defensive rebound by A. Thompson,106-95, ,,4,106,95,11,2766.0
1:47.0,Turnover by K. Hayes (bad pass; steal by L. Ball),106-95, ,,4,106,95,11,2773.0
1:42.0, ,106-95,T. Rozier misses 3-pt jump shot from 24 ft,,4,106,95,11,2778.0
1:40.0,Defensive rebound by A. Burks,106-95, ,,4,106,95,11,2780.0
1:39.0,Personal foul by P. Washington (drawn by A. Burks),106-95, ,,4,106,95,11,2781.0
1:33.0,Personal foul by B. Miller (drawn by A. Thompson),106-95, ,,4,106,95,11,2787.0
1:33.0,A. Thompson makes free throw 1 of 2,107-95, ,,4,107,95,12,2787.0
1:33.0,A. Thompson makes free throw 2 of 2,108-95, ,,4,108,95,13,2787.0
1:23.0, ,108-97,P. Washington makes 2-pt layup from 2 ft (assist by B. Miller),,4,108,97,11,2797.0
1:12.0,Personal foul by B. Miller (drawn by A. Burks),108-97, ,,4,108,97,11,2808.0
1:12.0,A. Burks makes free throw 1 of 2,109-97, ,,4,109,97,12,2808.0
1:12.0,A. Burks makes free throw 2 of 2,110-97, ,,4,110,97,13,2808.0
1:05.0, ,110-97,Turnover by L. Ball (bad pass; steal by K. Hayes),,4,110,97,13,2815.0
0:41.0,K. Hayes misses 2-pt jump shot from 18 ft,110-97, ,,4,110,97,13,2839.0
0:39.0, ,110-97,Defensive rebound by T. Rozier,,4,110,97,13,2841.0
0:39.0, ,110-97,Personal foul by J. Duren (drawn by T. Rozier),,4,110,97,13,2841.0
0:39.0, ,110-98,T. Rozier makes free throw 1 of 2,,4,110,98,12,2841.0
0:39.0, ,110-99,T. Rozier makes free throw 2 of 2,,4,110,99,11,2841.0
0:22.0,Flagrant foul type 2 by P. Washington (drawn by I. Stewart),110-99, ,,4,110,99,11,2858.0
0:22.0,Instant Replay (Request: Ruling Stands),110-99, ,,4,110,99,11,2858.0
0:22.0, ,110-99,P. Washington ejected from game,,4,110,99,11,2858.0
0:22.0, ,110-99,J. Thor enters the game for P. Washington,,4,110,99,11,2858.0
0:22.0,I. Stewart misses flagrant free throw 1 of 2,110-99, ,,4,110,99,11,2858.0
0:22.0,Offensive rebound by Team,110-99, ,,4,110,99,11,2858.0
0:22.0,I. Stewart makes flagrant free throw 2 of 2,111-99, ,,4,111,99,12,2858.0
0:00.0,End of 4th quarter,111-99,,,4,111,99,12,2880.0
