Time,Detroit,Score,Cleveland,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:33.0,Defensive rebound by I. Stewart,13-13, ,,1,13,13,0,327.0
6:21.0,Turnover by A. Thompson (bad pass),13-13, ,,1,13,13,0,339.0
6:21.0, ,13-13,Cleveland full timeout,,1,13,13,0,339.0
6:21.0,A. Burks enters the game for K. Hayes,13-13, ,,1,13,13,0,339.0
6:21.0, ,13-13,C. LeVert enters the game for J. Allen,,1,13,13,0,339.0
6:21.0, ,13-13,G. Niang enters the game for D. Wade,,1,13,13,0,339.0
6:04.0, ,13-13,E. Mobley misses 2-pt jump shot from 10 ft,,1,13,13,0,356.0
6:01.0,Defensive rebound by I. Stewart,13-13, ,,1,13,13,0,359.0
5:52.0,C. Cunningham makes 2-pt layup from 4 ft,15-13, ,Lead change,1,15,13,2,368.0
5:44.0, ,15-15,D. Garland makes 2-pt layup at rim,Tie,1,15,15,0,376.0
5:24.0,I. Stewart misses 3-pt jump shot from 26 ft,15-15, ,,1,15,15,0,396.0
5:20.0,Offensive rebound by K. Knox,15-15, ,,1,15,15,0,400.0
5:18.0,A. Burks misses 3-pt jump shot from 27 ft,15-15, ,,1,15,15,0,402.0
5:15.0,Offensive rebound by K. Knox,15-15, ,,1,15,15,0,405.0
5:12.0,K. Knox misses 2-pt layup from 6 ft,15-15, ,,1,15,15,0,408.0
5:10.0,Offensive rebound by A. Thompson,15-15, ,,1,15,15,0,410.0
5:09.0,C. Cunningham makes 3-pt jump shot from 28 ft (assist by A. Thompson),18-15, ,,1,18,15,3,411.0
4:56.0, ,18-15,Turnover by D. Garland (bad pass; steal by K. Knox),,1,18,15,3,424.0
4:51.0,K. Knox makes 2-pt layup from 1 ft (assist by A. Thompson),20-15, ,,1,20,15,5,429.0
4:30.0, ,20-15,Shooting foul by K. Knox (drawn by C. LeVert),,1,20,15,5,450.0
4:30.0, ,20-15,C. LeVert misses free throw 1 of 2,,1,20,15,5,450.0
4:30.0, ,20-15,Offensive rebound by Team,,1,20,15,5,450.0
4:30.0,M. Bagley enters the game for K. Knox,20-15, ,,1,20,15,5,450.0
4:30.0,J. Ivey enters the game for I. Stewart,20-15, ,,1,20,15,5,450.0
4:30.0,M. Sasser enters the game for A. Thompson,20-15, ,,1,20,15,5,450.0
4:30.0, ,20-15,C. Porter enters the game for D. Garland,,1,20,15,5,450.0
4:30.0, ,20-16,C. LeVert makes free throw 2 of 2,,1,20,16,4,450.0
4:08.0,C. Cunningham makes 2-pt jump shot from 18 ft (assist by A. Burks),22-16, ,,1,22,16,6,472.0
3:55.0, ,22-18,C. Porter makes 2-pt jump shot from 4 ft,,1,22,18,4,485.0
3:41.0,Turnover by C. Cunningham (lost ball; steal by M. Strus),22-18, ,,1,22,18,4,499.0
3:35.0, ,22-20,M. Strus makes 2-pt layup from 1 ft,,1,22,20,2,505.0
3:35.0,Detroit full timeout,22-20, ,,1,22,20,2,505.0
3:35.0,K. Hayes enters the game for C. Cunningham,22-20, ,,1,22,20,2,505.0
3:35.0, ,22-20,J. Allen enters the game for E. Mobley,,1,22,20,2,505.0
3:16.0,M. Bagley makes 2-pt jump shot from 12 ft (assist by K. Hayes),24-20, ,,1,24,20,4,524.0
2:55.0, ,24-22,C. Porter makes 2-pt jump shot from 10 ft (assist by J. Allen),,1,24,22,2,545.0
2:34.0,Turnover by J. Ivey (lost ball; steal by C. LeVert),24-22, ,,1,24,22,2,566.0
2:13.0, ,24-22,M. Strus misses 2-pt layup from 2 ft (block by K. Hayes),,1,24,22,2,587.0
2:08.0, ,24-22,Offensive rebound by M. Strus,,1,24,22,2,592.0
2:08.0, ,24-24,M. Strus makes 2-pt layup at rim,Tie,1,24,24,0,592.0
1:59.0,Turnover by J. Ivey (lost ball; steal by G. Niang),24-24, ,,1,24,24,0,601.0
1:48.0, ,24-26,C. Porter makes 2-pt jump shot from 11 ft,Lead change,1,24,26,-2,612.0
1:30.0,A. Burks misses 3-pt jump shot from 26 ft,24-26, ,,1,24,26,-2,630.0
1:28.0, ,24-26,Defensive rebound by G. Niang,,1,24,26,-2,632.0
1:20.0, ,24-29,G. Niang makes 3-pt jump shot from 25 ft (assist by C. Porter),,1,24,29,-5,640.0
1:06.0,J. Ivey misses 3-pt jump shot from 24 ft,24-29, ,,1,24,29,-5,654.0
1:04.0, ,24-29,Defensive rebound by C. Porter,,1,24,29,-5,656.0
0:49.0, ,24-29,Turnover by M. Strus (bad pass; steal by M. Bagley),,1,24,29,-5,671.0
0:42.0,M. Bagley makes 2-pt dunk from 1 ft (assist by J. Ivey),26-29, ,,1,26,29,-3,678.0
0:33.0, ,26-32,M. Strus makes 3-pt jump shot from 25 ft (assist by C. Porter),,1,26,32,-6,687.0
0:13.0,M. Sasser misses 3-pt jump shot from 26 ft,26-32, ,,1,26,32,-6,707.0
0:10.0, ,26-32,Defensive rebound by M. Strus,,1,26,32,-6,710.0
0:05.0, ,26-35,M. Strus makes 3-pt jump shot from 28 ft (assist by C. Porter),,1,26,35,-9,715.0
0:00.0,K. Hayes misses 2-pt layup from 12 ft (block by M. Strus),26-35, ,,1,26,35,-9,720.0
0:00.0, ,26-35,Defensive rebound by C. Porter,,1,26,35,-9,720.0
0:00.0,End of 1st quarter,26-35,,,1,26,35,-9,720.0
12:00.0,Start of 2nd quarter,26-35,,,2,26,35,-9,720.0
11:50.0,C. Cunningham misses 2-pt layup from 2 ft (block by J. Allen),26-35, ,,2,26,35,-9,730.0
11:50.0, ,26-35,Defensive rebound by D. Wade,,2,26,35,-9,730.0
11:36.0, ,26-35,J. Allen misses 2-pt jump shot from 4 ft,,2,26,35,-9,744.0
11:35.0,Defensive rebound by S. Umude,26-35, ,,2,26,35,-9,745.0
11:24.0,K. Hayes misses 3-pt jump shot from 25 ft,26-35, ,,2,26,35,-9,756.0
11:23.0, ,26-35,Defensive rebound by J. Allen,,2,26,35,-9,757.0
11:10.0, ,26-37,G. Niang makes 2-pt jump shot from 10 ft (assist by J. Allen),,2,26,37,-11,770.0
10:52.0,M. Bagley makes 2-pt jump shot from 10 ft (assist by C. Cunningham),28-37, ,,2,28,37,-9,788.0
10:38.0, ,28-40,D. Wade makes 3-pt jump shot from 26 ft (assist by G. Niang),,2,28,40,-12,802.0
10:29.0,Offensive foul by C. Cunningham (drawn by C. LeVert),28-40, ,,2,28,40,-12,811.0
10:29.0,Turnover by C. Cunningham (offensive foul),28-40, ,,2,28,40,-12,811.0
10:12.0, ,28-40,Turnover by J. Allen (bad pass; steal by S. Umude),,2,28,40,-12,828.0
10:01.0,M. Sasser makes 2-pt jump shot from 16 ft,30-40, ,,2,30,40,-10,839.0
9:37.0, ,30-42,C. Porter makes 2-pt jump shot from 11 ft,,2,30,42,-12,863.0
9:17.0,S. Umude makes 3-pt jump shot from 27 ft (assist by C. Cunningham),33-42, ,,2,33,42,-9,883.0
8:52.0, ,33-42,C. LeVert misses 3-pt jump shot from 25 ft,,2,33,42,-9,908.0
8:52.0,Defensive rebound by Team,33-42, ,,2,33,42,-9,908.0
8:52.0,K. Knox enters the game for K. Hayes,33-42, ,,2,33,42,-9,908.0
8:52.0, ,33-42,E. Mobley enters the game for J. Allen,,2,33,42,-9,908.0
8:44.0,C. Cunningham makes 2-pt jump shot from 7 ft,35-42, ,,2,35,42,-7,916.0
8:28.0, ,35-42,G. Niang misses 2-pt jump shot from 7 ft,,2,35,42,-7,932.0
8:25.0,Defensive rebound by K. Knox,35-42, ,,2,35,42,-7,935.0
8:18.0,M. Sasser misses 2-pt jump shot from 20 ft,35-42, ,,2,35,42,-7,942.0
8:15.0, ,35-42,Defensive rebound by G. Niang,,2,35,42,-7,945.0
8:04.0, ,35-42,C. Porter misses 2-pt jump shot from 12 ft,,2,35,42,-7,956.0
8:04.0, ,35-42,Offensive rebound by Team,,2,35,42,-7,956.0
8:04.0,I. Stewart enters the game for M. Bagley,35-42, ,,2,35,42,-7,956.0
8:04.0,A. Thompson enters the game for M. Sasser,35-42, ,,2,35,42,-7,956.0
8:04.0, ,35-42,D. Garland enters the game for C. Porter,,2,35,42,-7,956.0
7:55.0, ,35-42,C. LeVert misses 3-pt jump shot from 25 ft,,2,35,42,-7,965.0
7:52.0, ,35-42,Offensive rebound by E. Mobley,,2,35,42,-7,968.0
7:49.0, ,35-42,D. Garland misses 3-pt jump shot from 26 ft,,2,35,42,-7,971.0
7:47.0,Defensive rebound by S. Umude,35-42, ,,2,35,42,-7,973.0
7:29.0,Turnover by A. Thompson (bad pass; steal by E. Mobley),35-42, ,,2,35,42,-7,991.0
7:20.0, ,35-44,E. Mobley makes 2-pt layup from 3 ft (assist by C. LeVert),,2,35,44,-9,1000.0
7:04.0,Turnover by C. Cunningham (bad pass; steal by C. LeVert),35-44, ,,2,35,44,-9,1016.0
6:46.0, ,35-46,E. Mobley makes 2-pt dunk from 1 ft (assist by G. Niang),,2,35,46,-11,1034.0
6:28.0,C. Cunningham misses 2-pt jump shot from 14 ft,35-46, ,,2,35,46,-11,1052.0
6:24.0,Offensive rebound by A. Thompson,35-46, ,,2,35,46,-11,1056.0
