Time,Detroit,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:55.0,I. Livers misses 3-pt jump shot from 27 ft,89-122, ,,4,89,122,-33,2825.0
0:52.0, ,89-122,Defensive rebound by J. Howard,,4,89,122,-33,2828.0
0:48.0, ,89-122,Shooting foul by I. Livers (drawn by J. Howard),,4,89,122,-33,2832.0
0:48.0, ,89-122,J. Howard misses free throw 1 of 2,,4,89,122,-33,2832.0
0:48.0, ,89-122,Offensive rebound by Team,,4,89,122,-33,2832.0
0:48.0, ,89-123,J. Howard makes free throw 2 of 2,,4,89,123,-34,2832.0
0:37.0,I. Livers misses 2-pt jump shot from 17 ft,89-123, ,,4,89,123,-34,2843.0
0:34.0, ,89-123,Defensive rebound by C. Okeke,,4,89,123,-34,2846.0
0:12.0, ,89-123,Turnover by Team (shot clock),,4,89,123,-34,2868.0
0:02.0,A. Thompson makes 2-pt layup from 3 ft (assist by I. Livers),91-123, ,,4,91,123,-32,2878.0
0:00.0,End of 4th quarter,91-123,,,4,91,123,-32,2880.0
