Time,Detroit,Score,Phoenix,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:13.0, ,28-49,Shooting foul by S. Fontecchio (drawn by J. Nurkić),,2,28,49,-21,947.0
8:13.0, ,28-49,J. Nurkić misses free throw 1 of 2,,2,28,49,-21,947.0
8:13.0, ,28-49,Offensive rebound by Team,,2,28,49,-21,947.0
8:13.0,M. Muscala enters the game for S. Fontecchio,28-49, ,,2,28,49,-21,947.0
8:13.0, ,28-50,J. Nurkić makes free throw 2 of 2,,2,28,50,-22,947.0
8:00.0,A. Thompson misses 2-pt layup from 3 ft,28-50, ,,2,28,50,-22,960.0
7:55.0,Offensive rebound by J. Duren,28-50, ,,2,28,50,-22,965.0
7:55.0,J. Duren makes 2-pt dunk at rim,30-50, ,,2,30,50,-20,965.0
7:42.0, ,30-50,J. Okogie misses 2-pt layup from 5 ft (block by E. Fournier),,2,30,50,-20,978.0
7:41.0,Defensive rebound by E. Fournier,30-50, ,,2,30,50,-20,979.0
7:38.0,E. Fournier makes 3-pt jump shot from 25 ft (assist by C. Cunningham),33-50, ,,2,33,50,-17,982.0
7:23.0, ,33-50,Turnover by E. Gordon (traveling),,2,33,50,-17,997.0
7:13.0,C. Cunningham misses 2-pt jump shot from 16 ft,33-50, ,,2,33,50,-17,1007.0
7:09.0, ,33-50,Defensive rebound by J. Nurkić,,2,33,50,-17,1011.0
7:04.0, ,33-50,Personal foul by A. Thompson (drawn by G. Allen),,2,33,50,-17,1016.0
7:04.0, ,33-51,G. Allen makes free throw 1 of 2,,2,33,51,-18,1016.0
7:04.0,T. Brown enters the game for A. Thompson,33-51, ,,2,33,51,-18,1016.0
7:04.0, ,33-52,G. Allen makes free throw 2 of 2,,2,33,52,-19,1016.0
6:54.0,C. Cunningham makes 2-pt layup from 3 ft (assist by J. Duren),35-52, ,,2,35,52,-17,1026.0
6:41.0,Violation by Team (kicked ball),35-52, ,,2,35,52,-17,1039.0
6:33.0, ,35-54,J. Nurkić makes 2-pt layup from 3 ft (assist by E. Gordon),,2,35,54,-19,1047.0
6:20.0,J. Duren makes 2-pt jump shot from 13 ft (assist by C. Cunningham),37-54, ,,2,37,54,-17,1060.0
6:07.0, ,37-54,E. Gordon misses 3-pt jump shot from 28 ft,,2,37,54,-17,1073.0
6:03.0,Defensive rebound by J. Duren,37-54, ,,2,37,54,-17,1077.0
5:55.0,Turnover by E. Fournier (bad pass; steal by E. Gordon),37-54, ,,2,37,54,-17,1085.0
5:51.0, ,37-56,B. Bol makes 2-pt dunk from 1 ft (assist by G. Allen),,2,37,56,-19,1089.0
5:37.0,Personal foul by J. Okogie (drawn by C. Cunningham),37-56, ,,2,37,56,-19,1103.0
5:37.0,T. Evbuomwan enters the game for M. Muscala,37-56, ,,2,37,56,-19,1103.0
5:37.0, ,37-56,K. Durant enters the game for G. Allen,,2,37,56,-19,1103.0
5:37.0, ,37-56,D. Eubanks enters the game for B. Bol,,2,37,56,-19,1103.0
5:37.0, ,37-56,S. Lee enters the game for J. Nurkić,,2,37,56,-19,1103.0
5:35.0,Turnover by E. Fournier (bad pass),37-56, ,,2,37,56,-19,1105.0
5:11.0, ,37-56,Turnover by Team (shot clock),,2,37,56,-19,1129.0
5:11.0, ,37-56,R. O'Neale enters the game for E. Gordon,,2,37,56,-19,1129.0
4:59.0,Turnover by C. Cunningham (lost ball; steal by D. Eubanks),37-56, ,,2,37,56,-19,1141.0
4:50.0, ,37-58,S. Lee makes 2-pt layup from 1 ft (assist by R. O'Neale),,2,37,58,-21,1150.0
4:27.0,Turnover by C. Cunningham (bad pass; steal by R. O'Neale),37-58, ,,2,37,58,-21,1173.0
4:20.0, ,37-58,K. Durant misses 2-pt layup from 7 ft,,2,37,58,-21,1180.0
4:18.0,Defensive rebound by T. Brown,37-58, ,,2,37,58,-21,1182.0
4:18.0,M. Sasser enters the game for C. Cunningham,37-58, ,,2,37,58,-21,1182.0
4:01.0,E. Fournier makes 2-pt jump shot from 2 ft,39-58, ,,2,39,58,-19,1199.0
3:47.0, ,39-60,S. Lee makes 2-pt layup from 3 ft (assist by K. Durant),,2,39,60,-21,1213.0
3:34.0,Turnover by M. Sasser (lost ball; steal by D. Eubanks),39-60, ,,2,39,60,-21,1226.0
3:30.0, ,39-60,Turnover by K. Durant (lost ball; steal by T. Evbuomwan),,2,39,60,-21,1230.0
3:27.0,M. Sasser misses 2-pt jump shot from 11 ft,39-60, ,,2,39,60,-21,1233.0
3:24.0, ,39-60,Defensive rebound by R. O'Neale,,2,39,60,-21,1236.0
3:18.0, ,39-60,R. O'Neale misses 3-pt jump shot from 26 ft,,2,39,60,-21,1242.0
3:16.0,Defensive rebound by Team,39-60, ,,2,39,60,-21,1244.0
3:16.0,J. Wiseman enters the game for J. Duren,39-60, ,,2,39,60,-21,1244.0
3:03.0,Turnover by T. Brown (bad pass; steal by J. Okogie),39-60, ,,2,39,60,-21,1257.0
3:00.0, ,39-60,Shooting foul by E. Fournier (drawn by S. Lee),,2,39,60,-21,1260.0
3:00.0, ,39-61,S. Lee makes free throw 1 of 2,,2,39,61,-22,1260.0
3:00.0,S. Milton enters the game for T. Brown,39-61, ,,2,39,61,-22,1260.0
3:00.0, ,39-62,S. Lee makes free throw 2 of 2,,2,39,62,-23,1260.0
2:45.0,Turnover by E. Fournier (back court),39-62, ,,2,39,62,-23,1275.0
2:45.0, ,39-62,Phoenix full timeout,,2,39,62,-23,1275.0
2:39.0, ,39-62,Personal foul by T. Evbuomwan (drawn by K. Durant),,2,39,62,-23,1281.0
2:39.0, ,39-63,K. Durant makes free throw 1 of 2,,2,39,63,-24,1281.0
2:39.0, ,39-64,K. Durant makes free throw 2 of 2,,2,39,64,-25,1281.0
2:18.0,M. Sasser makes 2-pt jump shot from 6 ft (assist by E. Fournier),41-64, ,,2,41,64,-23,1302.0
1:59.0, ,41-66,K. Durant makes 2-pt jump shot from 16 ft,,2,41,66,-25,1321.0
1:40.0,E. Fournier misses 3-pt jump shot from 31 ft,41-66, ,,2,41,66,-25,1340.0
