Time,Houston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:00.0, ,72-81,K. Knox makes 3-pt jump shot from 24 ft (assist by I. Livers),,3,81,72,9,1860.0
4:39.0,J. Green misses 3-pt jump shot from 26 ft,72-81, ,,3,81,72,9,1881.0
4:36.0, ,72-81,Defensive rebound by K. Knox,,3,81,72,9,1884.0
4:28.0, ,72-81,J. Ivey misses 3-pt jump shot from 27 ft,,3,81,72,9,1892.0
4:25.0,Defensive rebound by R. Bullock,72-81, ,,3,81,72,9,1895.0
4:14.0,J. Smith makes 2-pt dunk from 2 ft (assist by F. VanVleet),74-81, ,,3,81,74,7,1906.0
4:06.0, ,74-83,J. Ivey makes 2-pt layup from 3 ft (assist by J. Duren),,3,83,74,9,1914.0
3:56.0,J. Green misses 2-pt layup at rim (block by K. Knox),74-83, ,,3,83,74,9,1924.0
3:55.0, ,74-83,Defensive rebound by J. Duren,,3,83,74,9,1925.0
3:46.0, ,74-85,J. Duren makes 2-pt layup from 5 ft,,3,85,74,11,1934.0
3:24.0,J. Green makes 2-pt hook shot from 5 ft (assist by R. Bullock),76-85, ,,3,85,76,9,1956.0
3:05.0, ,76-87,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),,3,87,76,11,1975.0
2:58.0,Personal foul by I. Livers (drawn by F. VanVleet),76-87, ,,3,87,76,11,1982.0
2:58.0,A. Sengun enters the game for R. Bullock,76-87, ,,3,87,76,11,1982.0
2:58.0,C. Whitmore enters the game for J. Smith,76-87, ,,3,87,76,11,1982.0
2:58.0, ,76-87,M. Bagley enters the game for J. Duren,,3,87,76,11,1982.0
2:58.0, ,76-87,A. Burks enters the game for J. Ivey,,3,87,76,11,1982.0
2:48.0,A. Sengun makes 2-pt layup from 5 ft (assist by F. VanVleet),78-87, ,,3,87,78,9,1992.0
2:30.0, ,78-87,M. Bagley misses 2-pt jump shot from 21 ft,,3,87,78,9,2010.0
2:28.0,Defensive rebound by J. Green,78-87, ,,3,87,78,9,2012.0
2:22.0,A. Sengun makes 2-pt hook shot from 4 ft (assist by F. VanVleet),80-87, ,,3,87,80,7,2018.0
2:22.0, ,80-87,Detroit full timeout,,3,87,80,7,2018.0
2:22.0, ,80-87,M. Sasser enters the game for K. Hayes,,3,87,80,7,2018.0
2:22.0, ,80-87,A. Thompson enters the game for K. Knox,,3,87,80,7,2018.0
2:06.0, ,80-87,A. Burks misses 2-pt jump shot from 18 ft,,3,87,80,7,2034.0
2:03.0,Defensive rebound by J. Green,80-87, ,,3,87,80,7,2037.0
1:49.0,J. Green misses 3-pt jump shot from 26 ft,80-87, ,,3,87,80,7,2051.0
1:45.0,Offensive rebound by J. Green,80-87, ,,3,87,80,7,2055.0
1:43.0,C. Whitmore makes 3-pt jump shot from 23 ft (assist by J. Green),83-87, ,,3,87,83,4,2057.0
1:32.0, ,83-87,I. Livers misses 3-pt jump shot from 26 ft,,3,87,83,4,2068.0
1:30.0, ,83-87,Offensive rebound by M. Sasser,,3,87,83,4,2070.0
1:28.0, ,83-87,I. Livers misses 3-pt jump shot from 27 ft,,3,87,83,4,2072.0
1:25.0, ,83-87,Offensive rebound by A. Thompson,,3,87,83,4,2075.0
1:23.0, ,83-87,A. Burks misses 3-pt jump shot from 23 ft,,3,87,83,4,2077.0
1:20.0,Defensive rebound by Team,83-87, ,,3,87,83,4,2080.0
1:20.0, ,83-87,Loose ball foul by A. Thompson (drawn by F. VanVleet),,3,87,83,4,2080.0
1:20.0,J. Smith enters the game for J. Green,83-87, ,,3,87,83,4,2080.0
1:10.0,Shooting foul by M. Sasser (drawn by J. Green),83-87, ,,3,87,83,4,2090.0
1:10.0,J. Green makes free throw 1 of 2,84-87, ,,3,87,84,3,2090.0
1:10.0,J. Green makes free throw 2 of 2,85-87, ,,3,87,85,2,2090.0
0:57.0, ,85-87,M. Sasser misses 3-pt jump shot from 26 ft,,3,87,85,2,2103.0
0:55.0, ,85-87,Offensive rebound by A. Thompson,,3,87,85,2,2105.0
0:53.0, ,85-87,Personal foul by F. VanVleet (drawn by M. Bagley),,3,87,85,2,2107.0
0:53.0, ,85-88,M. Bagley makes free throw 1 of 2,,3,88,85,3,2107.0
0:53.0, ,85-88,K. Hayes enters the game for M. Sasser,,3,88,85,3,2107.0
0:53.0, ,85-89,M. Bagley makes free throw 2 of 2,,3,89,85,4,2107.0
0:43.0,J. Green makes 2-pt layup from 2 ft,87-89, ,,3,89,87,2,2117.0
0:43.0,Shooting foul by A. Burks (drawn by J. Green),87-89, ,,3,89,87,2,2117.0
0:43.0,J. Tate enters the game for A. Sengun,87-89, ,,3,89,87,2,2117.0
0:43.0,J. Green makes free throw 1 of 1,88-89, ,,3,89,88,1,2117.0
0:33.0, ,88-91,K. Hayes makes 2-pt jump shot from 9 ft,,3,91,88,3,2127.0
0:28.0,F. VanVleet misses 3-pt jump shot from 26 ft,88-91, ,,3,91,88,3,2132.0
0:24.0, ,88-91,Defensive rebound by A. Thompson,,3,91,88,3,2136.0
0:02.0, ,88-91,Turnover by Team (shot clock),,3,91,88,3,2158.0
0:02.0,A. Sengun enters the game for J. Tate,88-91, ,,3,91,88,3,2158.0
0:02.0, ,88-91,J. Duren enters the game for M. Bagley,,3,91,88,3,2158.0
0:00.0,C. Whitmore misses 3-pt jump shot from 40 ft,88-91, ,,3,91,88,3,2160.0
0:00.0,Offensive rebound by Team,88-91, ,,3,91,88,3,2160.0
0:00.0,End of 3rd quarter,88-91,,,3,91,88,3,2160.0
12:00.0,Start of 4th quarter,88-91,,,4,91,88,3,2160.0
11:46.0,Turnover by J. Smith (bad pass),88-91, ,,4,91,88,3,2174.0
11:31.0, ,88-91,A. Burks misses 2-pt jump shot from 12 ft,,4,91,88,3,2189.0
11:28.0,Defensive rebound by C. Whitmore,88-91, ,,4,91,88,3,2192.0
11:11.0,J. Smith makes 2-pt layup from 7 ft (assist by A. Sengun),90-91, ,,4,91,90,1,2209.0
11:01.0, ,90-91,Personal foul by F. VanVleet (drawn by A. Burks),,4,91,90,1,2219.0
11:01.0, ,90-91,Away from play foul by C. Whitmore (drawn by K. Hayes),,4,91,90,1,2219.0
11:01.0, ,90-92,K. Hayes makes free throw 1 of 1,,4,92,90,2,2219.0
10:51.0, ,90-92,I. Stewart misses 3-pt jump shot from 25 ft,,4,92,90,2,2229.0
10:45.0,Defensive rebound by F. VanVleet,90-92, ,,4,92,90,2,2235.0
10:36.0,C. Whitmore misses 3-pt jump shot from 24 ft,90-92, ,,4,92,90,2,2244.0
10:33.0, ,90-92,Defensive rebound by A. Thompson,,4,92,90,2,2247.0
10:21.0, ,90-92,A. Burks misses 3-pt jump shot from 27 ft,,4,92,90,2,2259.0
10:18.0,Defensive rebound by J. Smith,90-92, ,,4,92,90,2,2262.0
10:06.0,J. Green misses 2-pt jump shot from 11 ft,90-92, ,,4,92,90,2,2274.0
10:02.0, ,90-92,Defensive rebound by A. Thompson,,4,92,90,2,2278.0
9:51.0, ,90-92,I. Stewart misses 2-pt jump shot from 14 ft,,4,92,90,2,2289.0
9:49.0,Defensive rebound by J. Smith,90-92, ,,4,92,90,2,2291.0
9:42.0,F. VanVleet makes 2-pt jump shot from 17 ft,92-92, ,Tie,4,92,92,0,2298.0
9:15.0, ,92-92,I. Stewart misses 2-pt hook shot from 6 ft,,4,92,92,0,2325.0
9:13.0,Defensive rebound by J. Smith,92-92, ,,4,92,92,0,2327.0
9:10.0,Shooting foul by I. Livers (drawn by F. VanVleet),92-92, ,,4,92,92,0,2330.0
9:10.0,F. VanVleet makes free throw 1 of 2,93-92, ,Lead change,4,92,93,-1,2330.0
9:10.0,R. Bullock enters the game for C. Whitmore,93-92, ,,4,92,93,-1,2330.0
9:10.0, ,93-92,J. Duren enters the game for K. Hayes,,4,92,93,-1,2330.0
9:10.0, ,93-92,J. Ivey enters the game for I. Livers,,4,92,93,-1,2330.0
9:10.0, ,93-92,K. Knox enters the game for I. Stewart,,4,92,93,-1,2330.0
9:10.0,F. VanVleet makes free throw 2 of 2,94-92, ,,4,92,94,-2,2330.0
8:57.0, ,94-94,A. Burks makes 2-pt jump shot from 15 ft,Tie,4,94,94,0,2343.0
8:39.0,R. Bullock misses 3-pt jump shot from 23 ft,94-94, ,,4,94,94,0,2361.0
8:37.0,Offensive rebound by J. Smith,94-94, ,,4,94,94,0,2363.0
8:37.0,J. Smith misses 2-pt layup from 3 ft,94-94, ,,4,94,94,0,2363.0
8:36.0, ,94-94,Defensive rebound by J. Ivey,,4,94,94,0,2364.0
8:27.0, ,94-94,Offensive foul by J. Duren (drawn by A. Sengun),,4,94,94,0,2373.0
8:27.0, ,94-94,Turnover by J. Duren (offensive foul),,4,94,94,0,2373.0
8:13.0,A. Sengun makes 2-pt hook shot from 4 ft,96-94, ,,4,94,96,-2,2387.0
7:57.0, ,96-96,J. Ivey makes 2-pt jump shot from 7 ft,Tie,4,96,96,0,2403.0
7:39.0,J. Green misses 3-pt jump shot from 25 ft,96-96, ,,4,96,96,0,2421.0
7:37.0, ,96-96,Defensive rebound by J. Duren,,4,96,96,0,2423.0
7:29.0, ,96-96,J. Ivey misses 2-pt jump shot from 8 ft (block by J. Green),,4,96,96,0,2431.0
7:27.0, ,96-96,Offensive rebound by J. Ivey,,4,96,96,0,2433.0
7:26.0, ,96-98,J. Ivey makes 2-pt layup from 2 ft,Lead change,4,98,96,2,2434.0
7:08.0,A. Sengun misses 2-pt jump shot from 13 ft,96-98, ,,4,98,96,2,2452.0
7:04.0,Offensive rebound by J. Smith,96-98, ,,4,98,96,2,2456.0
7:03.0,J. Smith misses 2-pt layup from 3 ft (block by K. Knox),96-98, ,,4,98,96,2,2457.0
7:02.0,Offensive rebound by F. VanVleet,96-98, ,,4,98,96,2,2458.0
6:52.0,A. Sengun makes 2-pt layup from 4 ft (assist by F. VanVleet),98-98, ,Tie,4,98,98,0,2468.0
6:51.0, ,98-98,Detroit full timeout,,4,98,98,0,2469.0
6:39.0, ,98-100,J. Duren makes 2-pt hook shot from 5 ft (assist by J. Ivey),,4,100,98,2,2481.0
6:25.0,J. Green misses 2-pt layup from 7 ft (block by A. Burks),98-100, ,,4,100,98,2,2495.0
6:24.0, ,98-100,Defensive rebound by Team,,4,100,98,2,2496.0
6:05.0, ,98-100,A. Thompson misses 3-pt jump shot from 23 ft,,4,100,98,2,2515.0
6:01.0, ,98-100,Offensive rebound by J. Duren,,4,100,98,2,2519.0
5:59.0, ,98-103,A. Burks makes 3-pt jump shot from 26 ft (assist by J. Duren),,4,103,98,5,2521.0
5:32.0,J. Smith misses 2-pt jump shot from 16 ft,98-103, ,,4,103,98,5,2548.0
5:29.0, ,98-103,Defensive rebound by A. Thompson,,4,103,98,5,2551.0
5:29.0, ,98-103,I. Stewart enters the game for A. Thompson,,4,103,98,5,2551.0
5:09.0, ,98-103,J. Duren misses 2-pt hook shot from 7 ft,,4,103,98,5,2571.0
5:08.0, ,98-103,Offensive rebound by Team,,4,103,98,5,2572.0
5:06.0, ,98-103,J. Duren misses 2-pt jump shot from 20 ft,,4,103,98,5,2574.0
5:03.0,Defensive rebound by R. Bullock,98-103, ,,4,103,98,5,2577.0
4:49.0,Shooting foul by A. Burks (drawn by A. Sengun),98-103, ,,4,103,98,5,2591.0
4:49.0,A. Sengun makes free throw 1 of 2,99-103, ,,4,103,99,4,2591.0
4:49.0,A. Sengun makes free throw 2 of 2,100-103, ,,4,103,100,3,2591.0
4:33.0, ,100-105,J. Ivey makes 2-pt dunk from 2 ft,,4,105,100,5,2607.0
4:15.0,A. Sengun makes 2-pt layup from 3 ft (assist by F. VanVleet),102-105, ,,4,105,102,3,2625.0
3:53.0, ,102-107,J. Duren makes 2-pt layup from 2 ft (assist by J. Ivey),,4,107,102,5,2647.0
3:46.0,Houston full timeout,102-107, ,,4,107,102,5,2654.0
3:26.0,Turnover by A. Sengun (lost ball; steal by J. Duren),102-107, ,,4,107,102,5,2674.0
3:04.0, ,102-107,J. Ivey misses 2-pt jump shot from 7 ft,,4,107,102,5,2696.0
3:01.0,Defensive rebound by A. Sengun,102-107, ,,4,107,102,5,2699.0
2:58.0,F. VanVleet makes 2-pt jump shot from 7 ft,104-107, ,,4,107,104,3,2702.0
2:58.0,Shooting foul by K. Knox (drawn by F. VanVleet),104-107, ,,4,107,104,3,2702.0
2:58.0,F. VanVleet makes free throw 1 of 1,105-107, ,,4,107,105,2,2702.0
2:44.0, ,105-107,I. Stewart misses 3-pt jump shot from 24 ft,,4,107,105,2,2716.0
2:40.0,Defensive rebound by A. Sengun,105-107, ,,4,107,105,2,2720.0
2:27.0,A. Sengun misses 2-pt hook shot from 6 ft,105-107, ,,4,107,105,2,2733.0
2:24.0, ,105-107,Defensive rebound by I. Stewart,,4,107,105,2,2736.0
2:17.0, ,105-107,Shooting foul by J. Green (drawn by J. Ivey),,4,107,105,2,2743.0
2:17.0, ,105-107,J. Ivey misses free throw 1 of 2,,4,107,105,2,2743.0
2:17.0, ,105-107,Offensive rebound by Team,,4,107,105,2,2743.0
2:17.0, ,105-107,J. Ivey misses free throw 2 of 2,,4,107,105,2,2743.0
2:16.0, ,105-107,Offensive rebound by J. Ivey,,4,107,105,2,2744.0
2:16.0, ,105-107,Turnover by J. Ivey (bad pass; steal by J. Green),,4,107,105,2,2744.0
2:09.0,J. Green misses 2-pt jump shot from 4 ft (block by J. Duren),105-107, ,,4,107,105,2,2751.0
2:07.0, ,105-107,Defensive rebound by K. Knox,,4,107,105,2,2753.0
1:56.0, ,105-107,J. Duren misses 2-pt layup from 4 ft (block by J. Smith),,4,107,105,2,2764.0
1:55.0,Defensive rebound by J. Smith,105-107, ,,4,107,105,2,2765.0
1:55.0,Personal foul by I. Stewart (drawn by J. Smith),105-107, ,,4,107,105,2,2765.0
1:42.0,F. VanVleet makes 3-pt jump shot from 26 ft,108-107, ,Lead change,4,107,108,-1,2778.0
1:29.0, ,108-107,Turnover by J. Ivey (lost ball; steal by J. Smith),,4,107,108,-1,2791.0
1:14.0,F. VanVleet makes 2-pt jump shot from 18 ft,110-107, ,,4,107,110,-3,2806.0
1:14.0, ,110-107,Detroit full timeout,,4,107,110,-3,2806.0
1:14.0,J. Tate enters the game for J. Green,110-107, ,,4,107,110,-3,2806.0
1:04.0, ,110-107,Turnover by I. Stewart (bad pass),,4,107,110,-3,2816.0
1:04.0,J. Green enters the game for J. Tate,110-107, ,,4,107,110,-3,2816.0
0:49.0,A. Sengun makes 2-pt dunk from 4 ft (assist by F. VanVleet),112-107, ,,4,107,112,-5,2831.0
0:43.0, ,112-107,Personal foul by F. VanVleet (drawn by A. Burks),,4,107,112,-5,2837.0
0:37.0, ,112-107,A. Burks misses 3-pt jump shot from 27 ft,,4,107,112,-5,2843.0
0:34.0, ,112-107,Offensive rebound by J. Ivey,,4,107,112,-5,2846.0
0:29.0, ,112-110,I. Stewart makes 3-pt jump shot from 25 ft (assist by J. Ivey),,4,110,112,-2,2851.0
0:08.0,F. VanVleet misses 3-pt jump shot from 31 ft,112-110, ,,4,110,112,-2,2872.0
0:06.0, ,112-110,Defensive rebound by K. Knox,,4,110,112,-2,2874.0
0:06.0, ,112-110,Detroit full timeout,,4,110,112,-2,2874.0
0:06.0,J. Tate enters the game for J. Green,112-110, ,,4,110,112,-2,2874.0
0:03.0, ,112-110,J. Ivey misses 3-pt jump shot from 26 ft,,4,110,112,-2,2877.0
0:03.0,Defensive rebound by F. VanVleet,112-110, ,,4,110,112,-2,2877.0
0:00.0,End of 4th quarter,112-110,,,4,110,112,-2,2880.0
