Time,Houston,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:33.0, ,30-38,A. Burks misses 3-pt jump shot from 25 ft,,2,38,30,8,867.0
9:33.0,Defensive rebound by R. Bullock,30-38, ,,2,38,30,8,867.0
9:22.0,Offensive foul by J. Green (drawn by A. Thompson),30-38, ,,2,38,30,8,878.0
9:22.0,Turnover by J. Green (offensive foul),30-38, ,,2,38,30,8,878.0
9:22.0,F. VanVleet enters the game for C. Whitmore,30-38, ,,2,38,30,8,878.0
9:22.0, ,30-38,K. Hayes enters the game for I. Livers,,2,38,30,8,878.0
9:22.0, ,30-38,I. Stewart enters the game for M. Sasser,,2,38,30,8,878.0
9:22.0,Violation by Team (delay of game),30-38, ,,2,38,30,8,878.0
9:04.0, ,30-38,Turnover by I. Stewart (out of bounds lost ball),,2,38,30,8,896.0
8:55.0,Shooting foul by A. Burks (drawn by J. Green),30-38, ,,2,38,30,8,905.0
8:55.0,J. Green makes free throw 1 of 2,31-38, ,,2,38,31,7,905.0
8:55.0,J. Green enters the game for J. Smith,31-38, ,,2,38,31,7,905.0
8:55.0,A. Sengun enters the game for A. Thompson,31-38, ,,2,38,31,7,905.0
8:55.0, ,31-38,J. Duren enters the game for M. Bagley,,2,38,31,7,905.0
8:55.0, ,31-38,K. Knox enters the game for A. Thompson,,2,38,31,7,905.0
8:55.0,J. Green makes free throw 2 of 2,32-38, ,,2,38,32,6,905.0
8:39.0, ,32-38,I. Stewart misses 3-pt jump shot from 25 ft,,2,38,32,6,921.0
8:35.0,Defensive rebound by A. Sengun,32-38, ,,2,38,32,6,925.0
8:26.0,R. Bullock misses 3-pt jump shot from 25 ft,32-38, ,,2,38,32,6,934.0
8:24.0, ,32-38,Defensive rebound by I. Stewart,,2,38,32,6,936.0
8:16.0, ,32-40,A. Burks makes 2-pt jump shot from 15 ft,,2,40,32,8,944.0
7:54.0,A. Sengun misses 2-pt jump shot from 16 ft,32-40, ,,2,40,32,8,966.0
7:51.0, ,32-40,Defensive rebound by J. Duren,,2,40,32,8,969.0
7:43.0, ,32-42,K. Knox makes 2-pt jump shot from 13 ft (assist by J. Duren),,2,42,32,10,977.0
7:43.0,Houston full timeout,32-42, ,,2,42,32,10,977.0
7:30.0,J. Green misses 3-pt jump shot from 27 ft,32-42, ,,2,42,32,10,990.0
7:27.0,Offensive rebound by Team,32-42, ,,2,42,32,10,993.0
7:27.0,J. Tate enters the game for J. Green,32-42, ,,2,42,32,10,993.0
7:23.0,F. VanVleet misses 3-pt jump shot from 26 ft,32-42, ,,2,42,32,10,997.0
7:19.0, ,32-42,Defensive rebound by J. Duren,,2,42,32,10,1001.0
7:07.0, ,32-42,Turnover by K. Hayes (bad pass; steal by R. Bullock),,2,42,32,10,1013.0
6:54.0,J. Green makes 2-pt layup from 2 ft,34-42, ,,2,42,34,8,1026.0
6:36.0, ,34-45,A. Burks makes 3-pt jump shot from 26 ft,,2,45,34,11,1044.0
6:20.0,J. Green makes 3-pt jump shot from 28 ft (assist by F. VanVleet),37-45, ,,2,45,37,8,1060.0
6:02.0, ,37-47,K. Hayes makes 2-pt jump shot from 11 ft (assist by K. Knox),,2,47,37,10,1078.0
5:52.0,J. Green misses 3-pt jump shot from 26 ft,37-47, ,,2,47,37,10,1088.0
5:49.0, ,37-47,Defensive rebound by K. Knox,,2,47,37,10,1091.0
5:40.0, ,37-47,K. Hayes misses 3-pt jump shot from 25 ft,,2,47,37,10,1100.0
5:36.0,Defensive rebound by J. Tate,37-47, ,,2,47,37,10,1104.0
5:26.0,J. Green makes 2-pt jump shot from 18 ft,39-47, ,,2,47,39,8,1114.0
5:26.0, ,39-47,Detroit full timeout,,2,47,39,8,1114.0
5:26.0,J. Smith enters the game for R. Bullock,39-47, ,,2,47,39,8,1114.0
5:26.0, ,39-47,J. Ivey enters the game for A. Burks,,2,47,39,8,1114.0
5:11.0, ,39-49,K. Knox makes 2-pt dunk from 2 ft (assist by J. Ivey),,2,49,39,10,1129.0
5:04.0,F. VanVleet misses 2-pt jump shot from 23 ft,39-49, ,,2,49,39,10,1136.0
5:01.0, ,39-49,Defensive rebound by J. Duren,,2,49,39,10,1139.0
4:47.0, ,39-51,J. Duren makes 2-pt jump shot from 6 ft (assist by K. Hayes),,2,51,39,12,1153.0
4:33.0,Shooting foul by J. Duren (drawn by A. Sengun),39-51, ,,2,51,39,12,1167.0
4:33.0,A. Sengun makes free throw 1 of 2,40-51, ,,2,51,40,11,1167.0
4:33.0,A. Sengun makes free throw 2 of 2,41-51, ,,2,51,41,10,1167.0
4:23.0, ,41-51,Turnover by K. Knox (bad pass; steal by F. VanVleet),,2,51,41,10,1177.0
4:16.0,J. Green makes 2-pt layup from 2 ft (assist by F. VanVleet),43-51, ,,2,51,43,8,1184.0
4:07.0, ,43-51,Turnover by J. Ivey (bad pass),,2,51,43,8,1193.0
4:01.0,Personal foul by J. Ivey (drawn by J. Green),43-51, ,,2,51,43,8,1199.0
3:49.0,A. Sengun misses 2-pt jump shot from 10 ft,43-51, ,,2,51,43,8,1211.0
3:46.0, ,43-51,Defensive rebound by K. Hayes,,2,51,43,8,1214.0
3:40.0, ,43-51,Personal foul by J. Tate (drawn by K. Knox),,2,51,43,8,1220.0
3:40.0, ,43-51,A. Burks enters the game for J. Duren,,2,51,43,8,1220.0
3:30.0, ,43-51,J. Ivey misses 2-pt layup from 3 ft,,2,51,43,8,1230.0
3:29.0,Defensive rebound by A. Sengun,43-51, ,,2,51,43,8,1231.0
3:18.0,A. Sengun makes 2-pt hook shot from 7 ft (assist by F. VanVleet),45-51, ,,2,51,45,6,1242.0
3:00.0, ,45-51,K. Hayes misses 2-pt jump shot from 14 ft,,2,51,45,6,1260.0
2:58.0,Defensive rebound by J. Green,45-51, ,,2,51,45,6,1262.0
2:52.0,Personal foul by J. Ivey (drawn by J. Green),45-51, ,,2,51,45,6,1268.0
2:52.0, ,45-51,M. Sasser enters the game for J. Ivey,,2,51,45,6,1268.0
2:43.0,J. Green misses 2-pt layup from 7 ft,45-51, ,,2,51,45,6,1277.0
2:41.0,Offensive rebound by J. Green,45-51, ,,2,51,45,6,1279.0
2:40.0,J. Green makes 2-pt layup from 5 ft,47-51, ,,2,51,47,4,1280.0
2:26.0, ,47-53,I. Stewart makes 2-pt layup from 2 ft (assist by K. Knox),,2,53,47,6,1294.0
2:15.0,Shooting foul by M. Sasser (drawn by J. Green),47-53, ,,2,53,47,6,1305.0
2:15.0,J. Green makes free throw 1 of 2,48-53, ,,2,53,48,5,1305.0
2:15.0, ,48-53,M. Bagley enters the game for I. Stewart,,2,53,48,5,1305.0
2:15.0,J. Green makes free throw 2 of 2,49-53, ,,2,53,49,4,1305.0
2:01.0, ,49-53,Personal foul by J. Green (drawn by A. Burks),,2,53,49,4,1319.0
2:01.0, ,49-53,A. Thompson enters the game for K. Hayes,,2,53,49,4,1319.0
1:53.0, ,49-53,M. Sasser misses 2-pt jump shot from 6 ft,,2,53,49,4,1327.0
1:52.0, ,49-53,Offensive rebound by M. Bagley,,2,53,49,4,1328.0
1:50.0, ,49-55,M. Bagley makes 2-pt dunk from 2 ft,,2,55,49,6,1330.0
1:35.0,J. Green makes 2-pt jump shot from 18 ft,51-55, ,,2,55,51,4,1345.0
1:23.0, ,51-55,K. Knox misses 3-pt jump shot from 26 ft,,2,55,51,4,1357.0
1:20.0,Defensive rebound by F. VanVleet,51-55, ,,2,55,51,4,1360.0
1:11.0,J. Green misses 2-pt layup from 9 ft (block by A. Burks),51-55, ,,2,55,51,4,1369.0
1:10.0,Offensive rebound by J. Tate,51-55, ,,2,55,51,4,1370.0
1:07.0,Turnover by J. Tate (bad pass),51-55, ,,2,55,51,4,1373.0
0:58.0, ,51-55,A. Burks misses 2-pt jump shot from 6 ft,,2,55,51,4,1382.0
0:55.0,Defensive rebound by J. Smith,51-55, ,,2,55,51,4,1385.0
0:46.0,F. VanVleet misses 3-pt jump shot from 26 ft,51-55, ,,2,55,51,4,1394.0
0:41.0, ,51-55,Defensive rebound by K. Knox,,2,55,51,4,1399.0
0:34.0, ,51-55,Turnover by M. Sasser (bad pass),,2,55,51,4,1406.0
0:31.0,Personal foul by A. Thompson (drawn by J. Green),51-55, ,,2,55,51,4,1409.0
0:31.0,J. Green makes free throw 1 of 2,52-55, ,,2,55,52,3,1409.0
0:31.0,J. Green enters the game for A. Sengun,52-55, ,,2,55,52,3,1409.0
0:31.0, ,52-55,I. Livers enters the game for A. Thompson,,2,55,52,3,1409.0
0:31.0,J. Green misses free throw 2 of 2,52-55, ,,2,55,52,3,1409.0
0:29.0, ,52-55,Defensive rebound by K. Knox,,2,55,52,3,1411.0
0:14.0, ,52-55,M. Bagley misses 2-pt layup from 2 ft,,2,55,52,3,1426.0
0:10.0,Defensive rebound by J. Tate,52-55, ,,2,55,52,3,1430.0
0:03.0,F. VanVleet makes 3-pt jump shot from 26 ft,55-55, ,Tie,2,55,55,0,1437.0
0:00.0,End of 2nd quarter,55-55,,,2,55,55,0,1440.0
12:00.0,Start of 3rd quarter,55-55,,,3,55,55,0,1440.0
11:46.0, ,55-58,J. Ivey makes 3-pt jump shot from 26 ft (assist by I. Stewart),,3,58,55,3,1454.0
11:28.0,J. Green misses 3-pt jump shot from 27 ft,55-58, ,,3,58,55,3,1472.0
11:26.0, ,55-58,Defensive rebound by K. Hayes,,3,58,55,3,1474.0
11:22.0, ,55-60,K. Knox makes 2-pt dunk from 4 ft (assist by K. Hayes),,3,60,55,5,1478.0
11:00.0,J. Green misses 2-pt layup from 4 ft,55-60, ,,3,60,55,5,1500.0
10:57.0, ,55-60,Defensive rebound by I. Stewart,,3,60,55,5,1503.0
10:46.0, ,55-60,Shooting foul by J. Green (drawn by I. Stewart),,3,60,55,5,1514.0
10:46.0,Houston full timeout,55-60, ,,3,60,55,5,1514.0
10:46.0, ,55-60,I. Stewart misses free throw 1 of 2,,3,60,55,5,1514.0
10:46.0, ,55-60,Offensive rebound by Team,,3,60,55,5,1514.0
10:46.0, ,55-61,I. Stewart makes free throw 2 of 2,,3,61,55,6,1514.0
10:31.0,A. Sengun misses 2-pt layup from 2 ft,55-61, ,,3,61,55,6,1529.0
10:31.0,Offensive rebound by Team,55-61, ,,3,61,55,6,1529.0
10:20.0,J. Green makes 3-pt jump shot from 25 ft (assist by J. Smith),58-61, ,,3,61,58,3,1540.0
9:59.0, ,58-64,I. Stewart makes 3-pt jump shot from 25 ft (assist by K. Hayes),,3,64,58,6,1561.0
9:48.0,J. Green misses 2-pt layup from 6 ft,58-64, ,,3,64,58,6,1572.0
9:45.0,Offensive rebound by J. Tate,58-64, ,,3,64,58,6,1575.0
9:44.0,J. Smith misses 3-pt jump shot from 25 ft,58-64, ,,3,64,58,6,1576.0
9:41.0, ,58-64,Defensive rebound by J. Ivey,,3,64,58,6,1579.0
9:32.0, ,58-64,K. Knox misses 3-pt jump shot from 23 ft,,3,64,58,6,1588.0
9:28.0, ,58-64,Offensive rebound by J. Duren,,3,64,58,6,1592.0
9:18.0, ,58-66,I. Stewart makes 2-pt jump shot from 13 ft (assist by K. Hayes),,3,66,58,8,1602.0
8:58.0,F. VanVleet makes 3-pt jump shot from 25 ft,61-66, ,,3,66,61,5,1622.0
8:39.0, ,61-66,J. Ivey misses 2-pt layup from 6 ft (block by F. VanVleet),,3,66,61,5,1641.0
8:39.0, ,61-66,Offensive rebound by Team,,3,66,61,5,1641.0
8:31.0, ,61-69,K. Knox makes 3-pt jump shot from 25 ft (assist by J. Ivey),,3,69,61,8,1649.0
8:15.0,F. VanVleet misses 3-pt jump shot from 25 ft,61-69, ,,3,69,61,8,1665.0
8:15.0, ,61-69,Defensive rebound by J. Duren,,3,69,61,8,1665.0
8:11.0, ,61-69,Personal foul by F. VanVleet (drawn by I. Stewart),,3,69,61,8,1669.0
8:03.0, ,61-69,Shooting foul by A. Sengun (drawn by K. Knox),,3,69,61,8,1677.0
8:03.0, ,61-70,K. Knox makes free throw 1 of 2,,3,70,61,9,1677.0
8:03.0,R. Bullock enters the game for J. Green,61-70, ,,3,70,61,9,1677.0
8:03.0,C. Whitmore enters the game for J. Tate,61-70, ,,3,70,61,9,1677.0
