Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:20.0, ,5-10,Shooting foul by R. Jackson (drawn by M. Bagley),,1,10,5,5,280.0
7:20.0, ,5-11,M. Bagley makes free throw 1 of 2,,1,11,5,6,280.0
7:20.0, ,5-12,M. Bagley makes free throw 2 of 2,,1,12,5,7,280.0
7:19.0,Technical foul by N. Jokić,5-12, ,,1,12,5,7,281.0
7:19.0, ,5-13,C. Cunningham makes technical free throw,,1,13,5,8,281.0
7:04.0,N. Jokić makes 2-pt layup from 2 ft (assist by R. Jackson),7-13, ,,1,13,7,6,296.0
6:51.0, ,7-13,M. Bagley misses 2-pt layup from 3 ft (block by N. Jokić),,1,13,7,6,309.0
6:47.0,Defensive rebound by N. Jokić,7-13, ,,1,13,7,6,313.0
6:45.0,M. Porter misses 2-pt layup from 3 ft (block by A. Thompson),7-13, ,,1,13,7,6,315.0
6:45.0, ,7-13,Defensive rebound by Team,,1,13,7,6,315.0
6:45.0, ,7-13,Detroit full timeout,,1,13,7,6,315.0
6:45.0,C. Braun enters the game for R. Jackson,7-13, ,,1,13,7,6,315.0
6:25.0, ,7-13,J. Ivey misses 2-pt jump shot from 5 ft,,1,13,7,6,335.0
6:23.0,Defensive rebound by M. Porter,7-13, ,,1,13,7,6,337.0
6:17.0,Personal foul by M. Bagley (drawn by N. Jokić),7-13, ,,1,13,7,6,343.0
6:09.0,Offensive foul by N. Jokić (drawn by M. Bagley),7-13, ,,1,13,7,6,351.0
6:09.0,Turnover by N. Jokić (offensive foul),7-13, ,,1,13,7,6,351.0
5:51.0, ,7-15,M. Bagley makes 2-pt layup from 5 ft,,1,15,7,8,369.0
5:35.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by N. Jokić),9-15, ,,1,15,9,6,385.0
5:24.0, ,9-15,M. Bagley misses 2-pt jump shot from 15 ft,,1,15,9,6,396.0
5:21.0,Defensive rebound by K. Caldwell-Pope,9-15, ,,1,15,9,6,399.0
5:19.0,Personal foul by M. Bagley (drawn by N. Jokić),9-15, ,,1,15,9,6,401.0
5:19.0, ,9-15,A. Burks enters the game for M. Bagley,,1,15,9,6,401.0
5:19.0, ,9-15,J. Wiseman enters the game for J. Ivey,,1,15,9,6,401.0
5:10.0,N. Jokić misses 3-pt jump shot from 26 ft,9-15, ,,1,15,9,6,410.0
5:10.0, ,9-15,Defensive rebound by Team,,1,15,9,6,410.0
5:10.0,Loose ball foul by M. Porter (drawn by A. Thompson),9-15, ,,1,15,9,6,410.0
4:58.0, ,9-15,A. Thompson misses 2-pt dunk from 5 ft (block by C. Braun),,1,15,9,6,422.0
4:55.0, ,9-15,Offensive rebound by A. Thompson,,1,15,9,6,425.0
4:45.0, ,9-15,I. Stewart misses 3-pt jump shot from 27 ft,,1,15,9,6,435.0
4:42.0,Defensive rebound by N. Jokić,9-15, ,,1,15,9,6,438.0
4:32.0,A. Gordon misses 2-pt hook shot from 4 ft,9-15, ,,1,15,9,6,448.0
4:29.0,Offensive rebound by C. Braun,9-15, ,,1,15,9,6,451.0
4:23.0,N. Jokić makes 3-pt jump shot from 26 ft (assist by C. Braun),12-15, ,,1,15,12,3,457.0
4:09.0, ,12-15,A. Burks misses 3-pt jump shot from 24 ft,,1,15,12,3,471.0
4:07.0,Defensive rebound by N. Jokić,12-15, ,,1,15,12,3,473.0
4:01.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by N. Jokić),14-15, ,,1,15,14,1,479.0
3:38.0, ,14-15,C. Cunningham misses 2-pt layup from 3 ft,,1,15,14,1,502.0
3:36.0,Defensive rebound by N. Jokić,14-15, ,,1,15,14,1,504.0
3:33.0,K. Caldwell-Pope misses 3-pt jump shot from 24 ft,14-15, ,,1,15,14,1,507.0
3:28.0,Offensive rebound by A. Gordon,14-15, ,,1,15,14,1,512.0
3:21.0,A. Gordon makes 2-pt hook shot from 2 ft,16-15, ,Lead change,1,15,16,-1,519.0
3:21.0,Shooting foul by A. Thompson (drawn by A. Gordon),16-15, ,,1,15,16,-1,519.0
