Time,Denver,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:31.0,K. Caldwell-Pope misses 2-pt jump shot from 16 ft,73-70, ,,3,70,73,-3,1889.0
4:27.0,Offensive rebound by M. Porter,73-70, ,,3,70,73,-3,1893.0
4:25.0,K. Caldwell-Pope misses 2-pt layup from 5 ft (block by I. Stewart),73-70, ,,3,70,73,-3,1895.0
4:22.0,Offensive rebound by J. Pickett,73-70, ,,3,70,73,-3,1898.0
4:19.0,C. Braun misses 2-pt layup from 4 ft,73-70, ,,3,70,73,-3,1901.0
4:17.0, ,73-70,Defensive rebound by I. Stewart,,3,70,73,-3,1903.0
4:10.0, ,73-70,Turnover by C. Cunningham (bad pass; steal by J. Pickett),,3,70,73,-3,1910.0
4:10.0,J. Strawther enters the game for M. Porter,73-70, ,,3,70,73,-3,1910.0
3:47.0,J. Strawther misses 2-pt jump shot from 7 ft,73-70, ,,3,70,73,-3,1933.0
3:45.0, ,73-70,Defensive rebound by I. Stewart,,3,70,73,-3,1935.0
3:34.0, ,73-70,S. Umude misses 3-pt jump shot from 24 ft,,3,70,73,-3,1946.0
3:31.0, ,73-70,Offensive rebound by I. Stewart,,3,70,73,-3,1949.0
3:31.0, ,73-72,I. Stewart makes 2-pt layup at rim,,3,72,73,-1,1949.0
3:21.0,Turnover by K. Caldwell-Pope (bad pass; steal by C. Cunningham),73-72, ,,3,72,73,-1,1959.0
3:04.0, ,73-72,C. Cunningham misses 2-pt hook shot from 4 ft,,3,72,73,-1,1976.0
3:01.0,Defensive rebound by C. Braun,73-72, ,,3,72,73,-1,1979.0
3:00.0,Turnover by C. Braun (bad pass; steal by A. Burks),73-72, ,,3,72,73,-1,1980.0
2:56.0, ,73-75,C. Cunningham makes 3-pt jump shot from 25 ft (assist by A. Burks),Lead change,3,75,73,2,1984.0
2:56.0,Denver full timeout,73-75, ,,3,75,73,2,1984.0
2:56.0,R. Jackson enters the game for A. Gordon,73-75, ,,3,75,73,2,1984.0
2:56.0,Z. Nnaji enters the game for J. Pickett,73-75, ,,3,75,73,2,1984.0
2:56.0, ,73-75,K. Hayes enters the game for C. Cunningham,,3,75,73,2,1984.0
2:33.0,K. Caldwell-Pope misses 3-pt jump shot from 26 ft,73-75, ,,3,75,73,2,2007.0
2:33.0,Offensive rebound by Team,73-75, ,,3,75,73,2,2007.0
2:33.0,Personal foul by I. Stewart (drawn by Z. Nnaji),73-75, ,,3,75,73,2,2007.0
2:33.0,P. Watson enters the game for K. Caldwell-Pope,73-75, ,,3,75,73,2,2007.0
2:30.0,Offensive foul by Z. Nnaji (drawn by A. Burks),73-75, ,,3,75,73,2,2010.0
2:30.0,Turnover by Z. Nnaji (offensive foul),73-75, ,,3,75,73,2,2010.0
2:19.0, ,73-75,Turnover by K. Hayes (bad pass; steal by C. Braun),,3,75,73,2,2021.0
2:13.0,C. Braun makes 2-pt layup from 2 ft,75-75, ,Tie,3,75,75,0,2027.0
1:59.0, ,75-77,A. Burks makes 2-pt jump shot from 10 ft (assist by K. Hayes),,3,77,75,2,2041.0
1:42.0,Shooting foul by S. Umude (drawn by C. Braun),75-77, ,,3,77,75,2,2058.0
1:42.0,C. Braun makes free throw 1 of 2,76-77, ,,3,77,76,1,2058.0
1:42.0, ,76-77,J. Wiseman enters the game for I. Stewart,,3,77,76,1,2058.0
1:42.0,C. Braun makes free throw 2 of 2,77-77, ,Tie,3,77,77,0,2058.0
1:24.0, ,77-77,K. Hayes misses 2-pt jump shot from 14 ft,,3,77,77,0,2076.0
1:20.0, ,77-77,Offensive rebound by J. Wiseman,,3,77,77,0,2080.0
1:15.0, ,77-77,A. Burks misses 3-pt jump shot from 27 ft,,3,77,77,0,2085.0
1:13.0,Defensive rebound by J. Strawther,77-77, ,,3,77,77,0,2087.0
1:03.0,C. Braun misses 2-pt layup from 5 ft,77-77, ,,3,77,77,0,2097.0
1:01.0, ,77-77,Defensive rebound by A. Burks,,3,77,77,0,2099.0
0:55.0, ,77-77,I. Livers misses 3-pt jump shot from 25 ft,,3,77,77,0,2105.0
0:53.0,Defensive rebound by R. Jackson,77-77, ,,3,77,77,0,2107.0
0:44.0,Shooting foul by J. Wiseman (drawn by P. Watson),77-77, ,,3,77,77,0,2116.0
0:44.0,P. Watson makes free throw 1 of 2,78-77, ,Lead change,3,77,78,-1,2116.0
0:44.0,M. Porter enters the game for C. Braun,78-77, ,,3,77,78,-1,2116.0
0:44.0,P. Watson makes free throw 2 of 2,79-77, ,,3,77,79,-2,2116.0
0:33.0, ,79-77,Shooting foul by P. Watson (drawn by I. Livers),,3,77,79,-2,2127.0
0:33.0, ,79-78,I. Livers makes free throw 1 of 2,,3,78,79,-1,2127.0
0:33.0, ,79-79,I. Livers makes free throw 2 of 2,Tie,3,79,79,0,2127.0
0:24.0,R. Jackson makes 2-pt jump shot from 3 ft,81-79, ,,3,79,81,-2,2136.0
0:06.0, ,81-79,Offensive foul by J. Wiseman (drawn by R. Jackson),,3,79,81,-2,2154.0
0:06.0, ,81-79,Turnover by J. Wiseman (offensive foul),,3,79,81,-2,2154.0
0:06.0, ,81-79,A. Thompson enters the game for J. Wiseman,,3,79,81,-2,2154.0
0:00.0,R. Jackson misses 2-pt jump shot from 22 ft,81-79, ,,3,79,81,-2,2160.0
0:00.0,Offensive rebound by Team,81-79, ,,3,79,81,-2,2160.0
0:00.0,End of 3rd quarter,81-79,,,3,79,81,-2,2160.0
12:00.0,Start of 4th quarter,81-79,,,4,79,81,-2,2160.0
11:48.0, ,81-79,Turnover by C. Cunningham (bad pass; steal by Z. Nnaji),,4,79,81,-2,2172.0
11:46.0,Turnover by P. Watson (bad pass),81-79, ,,4,79,81,-2,2174.0
11:28.0, ,81-82,S. Umude makes 3-pt jump shot from 28 ft (assist by C. Cunningham),Lead change,4,82,81,1,2192.0
11:06.0,Z. Nnaji misses 2-pt layup from 4 ft,81-82, ,,4,82,81,1,2214.0
11:04.0,Offensive rebound by Z. Nnaji,81-82, ,,4,82,81,1,2216.0
11:03.0,J. Strawther misses 3-pt jump shot from 28 ft,81-82, ,,4,82,81,1,2217.0
11:00.0, ,81-82,Defensive rebound by J. Wiseman,,4,82,81,1,2220.0
10:47.0, ,81-84,S. Umude makes 2-pt layup from 3 ft (assist by K. Hayes),,4,84,81,3,2233.0
10:35.0,Z. Nnaji makes 3-pt jump shot from 26 ft (assist by R. Jackson),84-84, ,Tie,4,84,84,0,2245.0
10:16.0, ,84-87,S. Umude makes 3-pt jump shot from 27 ft (assist by C. Cunningham),,4,87,84,3,2264.0
10:15.0,Denver full timeout,84-87, ,,4,87,84,3,2265.0
10:15.0,A. Gordon enters the game for R. Jackson,84-87, ,,4,87,84,3,2265.0
10:15.0, ,84-87,M. Bagley enters the game for J. Wiseman,,4,87,84,3,2265.0
10:09.0,Personal foul by A. Burks (drawn by J. Strawther),84-87, ,,4,87,84,3,2271.0
10:03.0,M. Porter misses 2-pt jump shot from 22 ft,84-87, ,,4,87,84,3,2277.0
10:00.0, ,84-87,Defensive rebound by M. Bagley,,4,87,84,3,2280.0
9:43.0, ,84-89,M. Bagley makes 2-pt dunk from 3 ft (assist by S. Umude),,4,89,84,5,2297.0
9:29.0,Personal foul by K. Hayes (drawn by J. Strawther),84-89, ,,4,89,84,5,2311.0
9:29.0,K. Caldwell-Pope enters the game for J. Strawther,84-89, ,,4,89,84,5,2311.0
9:18.0,M. Porter makes 3-pt jump shot from 26 ft (assist by A. Gordon),87-89, ,,4,89,87,2,2322.0
9:04.0, ,87-89,S. Umude misses 2-pt jump shot from 5 ft,,4,89,87,2,2336.0
9:01.0,Defensive rebound by M. Porter,87-89, ,,4,89,87,2,2339.0
8:49.0,Turnover by K. Caldwell-Pope (bad pass; steal by K. Hayes),87-89, ,,4,89,87,2,2351.0
8:37.0, ,87-89,Turnover by C. Cunningham (bad pass),,4,89,87,2,2363.0
8:15.0,M. Porter misses 3-pt jump shot from 26 ft,87-89, ,,4,89,87,2,2385.0
8:12.0, ,87-89,Defensive rebound by C. Cunningham,,4,89,87,2,2388.0
8:01.0, ,87-89,Shooting foul by Z. Nnaji (drawn by C. Cunningham),,4,89,87,2,2399.0
8:01.0, ,87-90,C. Cunningham makes free throw 1 of 2,,4,90,87,3,2399.0
8:01.0,C. Braun enters the game for Z. Nnaji,87-90, ,,4,90,87,3,2399.0
8:01.0,R. Jackson enters the game for P. Watson,87-90, ,,4,90,87,3,2399.0
8:01.0, ,87-90,I. Stewart enters the game for K. Hayes,,4,90,87,3,2399.0
8:01.0, ,87-91,C. Cunningham makes free throw 2 of 2,,4,91,87,4,2399.0
7:50.0,A. Gordon misses 3-pt jump shot from 27 ft,87-91, ,,4,91,87,4,2410.0
7:48.0, ,87-91,Defensive rebound by A. Burks,,4,91,87,4,2412.0
7:40.0, ,87-91,Offensive foul by M. Bagley (drawn by K. Caldwell-Pope),,4,91,87,4,2420.0
7:40.0, ,87-91,Turnover by M. Bagley (offensive foul),,4,91,87,4,2420.0
7:27.0,K. Caldwell-Pope makes 2-pt jump shot from 19 ft (assist by A. Gordon),89-91, ,,4,91,89,2,2433.0
7:04.0, ,89-91,I. Stewart misses 2-pt hook shot from 3 ft,,4,91,89,2,2456.0
7:01.0,Defensive rebound by M. Porter,89-91, ,,4,91,89,2,2459.0
6:57.0,M. Porter makes 3-pt jump shot from 27 ft (assist by R. Jackson),92-91, ,Lead change,4,91,92,-1,2463.0
6:57.0, ,92-91,Detroit full timeout,,4,91,92,-1,2463.0
6:57.0, ,92-91,J. Ivey enters the game for A. Burks,,4,91,92,-1,2463.0
6:57.0, ,92-91,A. Thompson enters the game for S. Umude,,4,91,92,-1,2463.0
6:39.0, ,92-91,Shooting foul by C. Braun (drawn by C. Cunningham),,4,91,92,-1,2481.0
6:39.0, ,92-91,I. Livers enters the game for M. Bagley,,4,91,92,-1,2481.0
6:39.0, ,92-92,C. Cunningham makes free throw 1 of 2,Tie,4,92,92,0,2481.0
6:39.0, ,92-93,C. Cunningham makes free throw 2 of 2,Lead change,4,93,92,1,2481.0
6:19.0,R. Jackson makes 2-pt jump shot from 5 ft (assist by A. Gordon),94-93, ,Lead change,4,93,94,-1,2501.0
5:54.0, ,94-93,I. Livers misses 3-pt jump shot from 31 ft,,4,93,94,-1,2526.0
5:53.0, ,94-93,Offensive rebound by J. Ivey,,4,93,94,-1,2527.0
5:49.0, ,94-93,C. Cunningham misses 3-pt jump shot from 27 ft,,4,93,94,-1,2531.0
5:47.0, ,94-93,Offensive rebound by I. Livers,,4,93,94,-1,2533.0
5:42.0, ,94-93,C. Cunningham misses 2-pt layup from 3 ft (block by R. Jackson),,4,93,94,-1,2538.0
5:42.0,Defensive rebound by Team,94-93, ,,4,93,94,-1,2538.0
5:42.0, ,94-93,Detroit full timeout,,4,93,94,-1,2538.0
5:42.0, ,94-93,Instant Replay (Challenge: Stands),,4,93,94,-1,2538.0
5:23.0,R. Jackson misses 2-pt jump shot from 6 ft,94-93, ,,4,93,94,-1,2557.0
5:23.0, ,94-93,Defensive rebound by J. Ivey,,4,93,94,-1,2557.0
5:23.0, ,94-93,Turnover by J. Ivey (out of bounds lost ball),,4,93,94,-1,2557.0
5:07.0,K. Caldwell-Pope misses 2-pt layup from 3 ft,94-93, ,,4,93,94,-1,2573.0
5:05.0, ,94-93,Defensive rebound by I. Stewart,,4,93,94,-1,2575.0
5:02.0, ,94-93,Shooting foul by K. Caldwell-Pope (drawn by I. Stewart),,4,93,94,-1,2578.0
5:02.0, ,94-94,I. Stewart makes free throw 1 of 2,Tie,4,94,94,0,2578.0
5:02.0, ,94-95,I. Stewart makes free throw 2 of 2,Lead change,4,95,94,1,2578.0
4:44.0,A. Gordon misses 2-pt jump shot from 10 ft,94-95, ,,4,95,94,1,2596.0
4:40.0, ,94-95,Defensive rebound by I. Stewart,,4,95,94,1,2600.0
4:29.0, ,94-95,I. Stewart misses 2-pt layup from 5 ft,,4,95,94,1,2611.0
4:24.0, ,94-95,Offensive rebound by A. Thompson,,4,95,94,1,2616.0
4:24.0, ,94-95,A. Thompson misses 2-pt dunk at rim,,4,95,94,1,2616.0
4:24.0,Defensive rebound by A. Gordon,94-95, ,,4,95,94,1,2616.0
4:23.0,M. Porter misses 3-pt jump shot from 27 ft,94-95, ,,4,95,94,1,2617.0
4:20.0, ,94-95,Defensive rebound by I. Stewart,,4,95,94,1,2620.0
4:08.0, ,94-95,A. Thompson misses 2-pt jump shot from 7 ft (block by K. Caldwell-Pope),,4,95,94,1,2632.0
4:07.0,Defensive rebound by C. Braun,94-95, ,,4,95,94,1,2633.0
3:56.0,Turnover by K. Caldwell-Pope (bad pass; steal by J. Ivey),94-95, ,,4,95,94,1,2644.0
3:53.0, ,94-95,Shooting foul by A. Gordon (drawn by J. Ivey),,4,95,94,1,2647.0
3:53.0, ,94-96,J. Ivey makes free throw 1 of 2,,4,96,94,2,2647.0
3:53.0,Denver full timeout,94-96, ,,4,96,94,2,2647.0
3:53.0, ,94-97,J. Ivey makes free throw 2 of 2,,4,97,94,3,2647.0
3:38.0,R. Jackson makes 2-pt jump shot from 6 ft (assist by A. Gordon),96-97, ,,4,97,96,1,2662.0
3:38.0,Shooting foul by I. Livers (drawn by R. Jackson),96-97, ,,4,97,96,1,2662.0
3:38.0,R. Jackson makes free throw 1 of 1,97-97, ,Tie,4,97,97,0,2662.0
3:26.0, ,97-99,C. Cunningham makes 2-pt layup from 3 ft,,4,99,97,2,2674.0
3:10.0,Shooting foul by I. Stewart (drawn by A. Gordon),97-99, ,,4,99,97,2,2690.0
3:10.0,A. Gordon makes free throw 1 of 2,98-99, ,,4,99,98,1,2690.0
3:10.0,A. Gordon makes free throw 2 of 2,99-99, ,Tie,4,99,99,0,2690.0
2:55.0, ,99-99,Shooting foul by K. Caldwell-Pope (drawn by C. Cunningham),,4,99,99,0,2705.0
2:55.0, ,99-100,C. Cunningham makes free throw 1 of 2,,4,100,99,1,2705.0
2:55.0, ,99-101,C. Cunningham makes free throw 2 of 2,,4,101,99,2,2705.0
2:39.0,R. Jackson misses 3-pt jump shot from 24 ft,99-101, ,,4,101,99,2,2721.0
2:37.0,Offensive rebound by A. Gordon,99-101, ,,4,101,99,2,2723.0
2:32.0,K. Caldwell-Pope misses 2-pt layup from 2 ft,99-101, ,,4,101,99,2,2728.0
2:29.0,Offensive rebound by K. Caldwell-Pope,99-101, ,,4,101,99,2,2731.0
2:29.0,K. Caldwell-Pope makes 2-pt layup at rim,101-101, ,Tie,4,101,101,0,2731.0
2:09.0, ,101-101,Turnover by I. Livers (bad pass; steal by A. Gordon),,4,101,101,0,2751.0
2:05.0,R. Jackson makes 2-pt layup from 3 ft (assist by A. Gordon),103-101, ,Lead change,4,101,103,-2,2755.0
1:41.0, ,103-103,C. Cunningham makes 2-pt layup from 4 ft,Tie,4,103,103,0,2779.0
1:25.0,A. Gordon makes 2-pt layup from 3 ft (assist by R. Jackson),105-103, ,,4,103,105,-2,2795.0
1:25.0,Shooting foul by C. Cunningham (drawn by A. Gordon),105-103, ,,4,103,105,-2,2795.0
1:25.0,A. Gordon makes free throw 1 of 1,106-103, ,,4,103,106,-3,2795.0
1:25.0, ,106-103,Detroit full timeout,,4,103,106,-3,2795.0
1:11.0, ,106-103,I. Stewart misses 2-pt layup from 3 ft (block by M. Porter),,4,103,106,-3,2809.0
1:07.0,Defensive rebound by M. Porter,106-103, ,,4,103,106,-3,2813.0
0:55.0,R. Jackson misses 2-pt layup from 4 ft (block by I. Stewart),106-103, ,,4,103,106,-3,2825.0
0:52.0, ,106-103,Defensive rebound by A. Thompson,,4,103,106,-3,2828.0
0:44.0, ,106-103,A. Thompson misses 2-pt layup from 3 ft,,4,103,106,-3,2836.0
0:42.0,Defensive rebound by A. Gordon,106-103, ,,4,103,106,-3,2838.0
0:23.0,A. Gordon misses 2-pt layup from 4 ft,106-103, ,,4,103,106,-3,2857.0
0:22.0,Offensive rebound by A. Gordon,106-103, ,,4,103,106,-3,2858.0
0:22.0,A. Gordon misses 2-pt layup from 3 ft,106-103, ,,4,103,106,-3,2858.0
0:20.0, ,106-103,Defensive rebound by J. Ivey,,4,103,106,-3,2860.0
0:13.0, ,106-103,C. Cunningham misses 2-pt layup from 3 ft,,4,103,106,-3,2867.0
0:11.0,Defensive rebound by R. Jackson,106-103, ,,4,103,106,-3,2869.0
0:11.0,Personal foul by A. Thompson (drawn by R. Jackson),106-103, ,,4,103,106,-3,2869.0
0:11.0,R. Jackson misses free throw 1 of 2,106-103, ,,4,103,106,-3,2869.0
0:11.0,Offensive rebound by Team,106-103, ,,4,103,106,-3,2869.0
0:11.0,R. Jackson makes free throw 2 of 2,107-103, ,,4,103,107,-4,2869.0
0:11.0, ,107-103,Detroit full timeout,,4,103,107,-4,2869.0
0:11.0,P. Watson enters the game for M. Porter,107-103, ,,4,103,107,-4,2869.0
0:11.0, ,107-103,A. Burks enters the game for J. Ivey,,4,103,107,-4,2869.0
0:11.0, ,107-103,S. Umude enters the game for A. Thompson,,4,103,107,-4,2869.0
0:05.0, ,107-103,I. Livers misses 3-pt jump shot from 32 ft (block by P. Watson),,4,103,107,-4,2875.0
0:03.0,Defensive rebound by K. Caldwell-Pope,107-103, ,,4,103,107,-4,2877.0
0:00.0,End of 4th quarter,107-103,,,4,103,107,-4,2880.0
