Time,Miami,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
4:43.0, ,72-65,Personal foul by B. Adebayo (drawn by J. Duren),,3,65,72,-7,1877.0
4:43.0, ,72-65,E. Fournier enters the game for I. Stewart,,3,65,72,-7,1877.0
4:36.0, ,72-65,S. Fontecchio misses 3-pt jump shot from 26 ft,,3,65,72,-7,1884.0
4:33.0,Defensive rebound by B. Adebayo,72-65, ,,3,65,72,-7,1887.0
4:20.0,Shooting foul by M. Sasser (drawn by T. Rozier),72-65, ,,3,65,72,-7,1900.0
4:20.0,T. Rozier makes free throw 1 of 3,73-65, ,,3,65,73,-8,1900.0
4:20.0,T. Rozier makes free throw 2 of 3,74-65, ,,3,65,74,-9,1900.0
4:20.0,T. Rozier misses free throw 3 of 3,74-65, ,,3,65,74,-9,1900.0
4:17.0, ,74-65,Defensive rebound by S. Fontecchio,,3,65,74,-9,1903.0
4:06.0, ,74-65,C. Cunningham misses 3-pt jump shot from 25 ft,,3,65,74,-9,1914.0
4:03.0,Defensive rebound by B. Adebayo,74-65, ,,3,65,74,-9,1917.0
3:57.0,B. Adebayo misses 2-pt jump shot from 6 ft,74-65, ,,3,65,74,-9,1923.0
3:57.0, ,74-65,Defensive rebound by Team,,3,65,74,-9,1923.0
3:41.0, ,74-65,E. Fournier misses 3-pt jump shot from 24 ft,,3,65,74,-9,1939.0
3:37.0,Defensive rebound by J. Jaquez,74-65, ,,3,65,74,-9,1943.0
3:17.0,D. Robinson makes 3-pt jump shot from 26 ft (assist by B. Adebayo),77-65, ,,3,65,77,-12,1963.0
3:01.0, ,77-65,Turnover by C. Cunningham (bad pass; steal by D. Robinson),,3,65,77,-12,1979.0
2:57.0,D. Robinson makes 3-pt jump shot from 25 ft (assist by C. Martin),80-65, ,,3,65,80,-15,1983.0
2:56.0, ,80-65,Detroit full timeout,,3,65,80,-15,1984.0
2:56.0, ,80-65,J. Ivey enters the game for C. Cunningham,,3,65,80,-15,1984.0
2:56.0, ,80-65,S. Umude enters the game for S. Fontecchio,,3,65,80,-15,1984.0
2:42.0, ,80-65,Turnover by M. Sasser (bad pass; steal by D. Robinson),,3,65,80,-15,1998.0
2:29.0,D. Robinson makes 3-pt jump shot from 26 ft,83-65, ,,3,65,83,-18,2011.0
2:14.0, ,83-67,E. Fournier makes 2-pt jump shot from 15 ft,,3,67,83,-16,2026.0
1:59.0,Personal foul by S. Umude (drawn by B. Adebayo),83-67, ,,3,67,83,-16,2041.0
1:59.0, ,83-67,J. Wiseman enters the game for J. Duren,,3,67,83,-16,2041.0
1:45.0,T. Rozier misses 2-pt jump shot from 6 ft,83-67, ,,3,67,83,-16,2055.0
1:43.0,Offensive rebound by T. Rozier,83-67, ,,3,67,83,-16,2057.0
1:35.0,D. Robinson misses 3-pt jump shot from 25 ft,83-67, ,,3,67,83,-16,2065.0
1:32.0,Offensive rebound by C. Martin,83-67, ,,3,67,83,-16,2068.0
1:28.0,J. Jaquez misses 3-pt jump shot from 27 ft,83-67, ,,3,67,83,-16,2072.0
1:27.0, ,83-67,Defensive rebound by J. Ivey,,3,67,83,-16,2073.0
1:08.0, ,83-67,J. Ivey misses 3-pt jump shot from 26 ft,,3,67,83,-16,2092.0
1:06.0, ,83-67,Offensive rebound by Team,,3,67,83,-16,2094.0
1:06.0,T. Bryant enters the game for B. Adebayo,83-67, ,,3,67,83,-16,2094.0
1:06.0,J. Butler enters the game for T. Rozier,83-67, ,,3,67,83,-16,2094.0
1:06.0, ,83-67,I. Stewart enters the game for S. Umude,,3,67,83,-16,2094.0
1:01.0, ,83-69,J. Wiseman makes 2-pt dunk from 1 ft (assist by E. Fournier),,3,69,83,-14,2099.0
0:38.0,J. Butler misses 2-pt jump shot from 13 ft,83-69, ,,3,69,83,-14,2122.0
0:34.0, ,83-69,Defensive rebound by J. Wiseman,,3,69,83,-14,2126.0
0:27.0, ,83-72,J. Ivey makes 3-pt jump shot from 23 ft (assist by E. Fournier),,3,72,83,-11,2133.0
0:10.0,Shooting foul by I. Stewart (drawn by J. Butler),83-72, ,,3,72,83,-11,2150.0
0:10.0,J. Butler makes free throw 1 of 2,84-72, ,,3,72,84,-12,2150.0
0:10.0,P. Mills enters the game for D. Robinson,84-72, ,,3,72,84,-12,2150.0
0:10.0,J. Butler misses free throw 2 of 2,84-72, ,,3,72,84,-12,2150.0
0:08.0, ,84-72,Defensive rebound by J. Wiseman,,3,72,84,-12,2152.0
0:00.0, ,84-72,J. Wiseman misses 2-pt hook shot from 5 ft,,3,72,84,-12,2160.0
0:00.0, ,84-72,Offensive rebound by Team,,3,72,84,-12,2160.0
0:00.0,End of 3rd quarter,84-72,,,3,72,84,-12,2160.0
12:00.0,Start of 4th quarter,84-72,,,4,72,84,-12,2160.0
11:46.0,J. Butler makes 2-pt jump shot from 16 ft (assist by C. Martin),86-72, ,,4,72,86,-14,2174.0
11:32.0, ,86-72,Personal foul by J. Jaquez (drawn by J. Wiseman),,4,72,86,-14,2188.0
11:29.0, ,86-75,J. Ivey makes 3-pt jump shot from 26 ft (assist by M. Sasser),,4,75,86,-11,2191.0
11:17.0,C. Martin makes 2-pt layup from 3 ft,88-75, ,,4,75,88,-13,2203.0
10:59.0, ,88-77,E. Fournier makes 2-pt jump shot from 16 ft (assist by J. Wiseman),,4,77,88,-11,2221.0
10:40.0,J. Butler misses 2-pt jump shot from 20 ft,88-77, ,,4,77,88,-11,2240.0
10:37.0, ,88-77,Defensive rebound by M. Sasser,,4,77,88,-11,2243.0
10:34.0, ,88-77,Personal foul by J. Butler (drawn by J. Wiseman),,4,77,88,-11,2246.0
10:27.0, ,88-77,E. Fournier misses 3-pt jump shot from 23 ft,,4,77,88,-11,2253.0
10:24.0,Defensive rebound by C. Martin,88-77, ,,4,77,88,-11,2256.0
10:16.0,T. Bryant makes 2-pt layup from 1 ft (assist by C. Martin),90-77, ,,4,77,90,-13,2264.0
9:53.0, ,90-77,M. Sasser misses 3-pt jump shot from 24 ft,,4,77,90,-13,2287.0
9:51.0, ,90-77,Offensive rebound by I. Stewart,,4,77,90,-13,2289.0
9:46.0, ,90-77,Turnover by J. Ivey (bad pass),,4,77,90,-13,2294.0
9:31.0,T. Bryant misses 3-pt jump shot from 23 ft,90-77, ,,4,77,90,-13,2309.0
9:26.0, ,90-77,Defensive rebound by J. Wiseman,,4,77,90,-13,2314.0
9:20.0, ,90-79,J. Wiseman makes 2-pt dunk from 1 ft (assist by I. Stewart),,4,79,90,-11,2320.0
9:02.0,C. Martin makes 2-pt jump shot from 20 ft (assist by J. Butler),92-79, ,,4,79,92,-13,2338.0
8:49.0, ,92-79,Turnover by J. Ivey (bad pass; steal by C. Martin),,4,79,92,-13,2351.0
8:47.0,Personal foul by J. Ivey (drawn by J. Butler),92-79, ,,4,79,92,-13,2353.0
8:35.0,P. Mills misses 2-pt layup from 4 ft,92-79, ,,4,79,92,-13,2365.0
8:34.0,Offensive rebound by T. Bryant,92-79, ,,4,79,92,-13,2366.0
8:33.0,T. Bryant misses 2-pt layup from 4 ft (block by I. Stewart),92-79, ,,4,79,92,-13,2367.0
8:31.0, ,92-79,Defensive rebound by E. Fournier,,4,79,92,-13,2369.0
8:21.0, ,92-79,M. Sasser misses 3-pt jump shot from 25 ft,,4,79,92,-13,2379.0
8:18.0,Defensive rebound by J. Jaquez,92-79, ,,4,79,92,-13,2382.0
8:16.0,T. Bryant makes 2-pt dunk from 3 ft (assist by J. Jaquez),94-79, ,,4,79,94,-15,2384.0
8:16.0, ,94-79,Detroit full timeout,,4,79,94,-15,2384.0
7:57.0, ,94-79,J. Ivey misses 3-pt jump shot from 26 ft,,4,79,94,-15,2403.0
7:53.0,Defensive rebound by J. Jaquez,94-79, ,,4,79,94,-15,2407.0
7:42.0,P. Mills misses 3-pt jump shot from 28 ft,94-79, ,,4,79,94,-15,2418.0
7:40.0, ,94-79,Defensive rebound by I. Stewart,,4,79,94,-15,2420.0
7:34.0, ,94-79,Shooting foul by J. Jaquez (drawn by E. Fournier),,4,79,94,-15,2426.0
7:34.0, ,94-80,E. Fournier makes free throw 1 of 2,,4,80,94,-14,2426.0
7:34.0, ,94-80,C. Cunningham enters the game for M. Sasser,,4,80,94,-14,2426.0
7:34.0, ,94-81,E. Fournier makes free throw 2 of 2,,4,81,94,-13,2426.0
7:22.0,T. Bryant makes 2-pt layup from 3 ft (assist by C. Martin),96-81, ,,4,81,96,-15,2438.0
7:22.0,Shooting foul by J. Ivey (drawn by T. Bryant),96-81, ,,4,81,96,-15,2438.0
7:22.0, ,96-81,S. Fontecchio enters the game for E. Fournier,,4,81,96,-15,2438.0
7:22.0,T. Bryant makes free throw 1 of 1,97-81, ,,4,81,97,-16,2438.0
7:02.0, ,97-81,C. Cunningham misses 2-pt layup from 6 ft (block by T. Bryant),,4,81,97,-16,2458.0
7:01.0, ,97-81,Offensive rebound by I. Stewart,,4,81,97,-16,2459.0
6:58.0, ,97-81,Turnover by Team (shot clock),,4,81,97,-16,2462.0
6:58.0, ,97-81,J. Duren enters the game for J. Wiseman,,4,81,97,-16,2462.0
6:34.0,C. Martin makes 3-pt jump shot from 24 ft (assist by J. Jaquez),100-81, ,,4,81,100,-19,2486.0
6:17.0, ,100-83,C. Cunningham makes 2-pt layup from 4 ft (assist by J. Duren),,4,83,100,-17,2503.0
6:05.0,C. Martin makes 2-pt jump shot from 16 ft,102-83, ,,4,83,102,-19,2515.0
5:50.0, ,102-83,C. Cunningham misses 2-pt jump shot from 11 ft,,4,83,102,-19,2530.0
5:47.0,Defensive rebound by T. Bryant,102-83, ,,4,83,102,-19,2533.0
5:39.0,J. Jaquez misses 2-pt jump shot from 5 ft,102-83, ,,4,83,102,-19,2541.0
5:34.0, ,102-83,Defensive rebound by C. Cunningham,,4,83,102,-19,2546.0
5:27.0, ,102-83,Personal foul by J. Jaquez (drawn by J. Ivey),,4,83,102,-19,2553.0
5:27.0,T. Rozier enters the game for J. Jaquez,102-83, ,,4,83,102,-19,2553.0
5:20.0, ,102-83,J. Ivey misses 3-pt jump shot from 26 ft,,4,83,102,-19,2560.0
5:16.0,Defensive rebound by T. Bryant,102-83, ,,4,83,102,-19,2564.0
5:11.0,Miami full timeout,102-83, ,,4,83,102,-19,2569.0
5:11.0,H. Highsmith enters the game for J. Butler,102-83, ,,4,83,102,-19,2569.0
5:11.0,D. Robinson enters the game for P. Mills,102-83, ,,4,83,102,-19,2569.0
5:02.0,T. Bryant makes 2-pt jump shot from 9 ft (assist by C. Martin),104-83, ,,4,83,104,-21,2578.0
4:38.0, ,104-86,I. Stewart makes 3-pt jump shot from 25 ft (assist by C. Cunningham),,4,86,104,-18,2602.0
4:16.0,T. Rozier makes 2-pt layup from 5 ft,106-86, ,,4,86,106,-20,2624.0
3:55.0, ,106-89,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by I. Stewart),,4,89,106,-17,2645.0
3:39.0,T. Bryant misses 3-pt jump shot from 27 ft,106-89, ,,4,89,106,-17,2661.0
3:38.0, ,106-89,Defensive rebound by S. Fontecchio,,4,89,106,-17,2662.0
3:32.0, ,106-89,C. Cunningham misses 3-pt jump shot from 22 ft,,4,89,106,-17,2668.0
3:23.0,Defensive rebound by H. Highsmith,106-89, ,,4,89,106,-17,2677.0
3:11.0,T. Bryant makes 2-pt layup from 3 ft (assist by T. Rozier),108-89, ,,4,89,108,-19,2689.0
2:58.0, ,108-89,J. Duren misses 2-pt jump shot from 6 ft,,4,89,108,-19,2702.0
2:53.0, ,108-89,Offensive rebound by J. Duren,,4,89,108,-19,2707.0
2:53.0, ,108-91,J. Duren makes 2-pt dunk at rim,,4,91,108,-17,2707.0
2:37.0,D. Robinson misses 3-pt jump shot from 27 ft,108-91, ,,4,91,108,-17,2723.0
2:34.0, ,108-91,Defensive rebound by J. Duren,,4,91,108,-17,2726.0
2:25.0, ,108-93,C. Cunningham makes 2-pt jump shot from 19 ft,,4,93,108,-15,2735.0
2:03.0,T. Rozier misses 3-pt jump shot from 24 ft,108-93, ,,4,93,108,-15,2757.0
2:02.0,Offensive rebound by C. Martin,108-93, ,,4,93,108,-15,2758.0
2:00.0,T. Rozier misses 3-pt jump shot from 23 ft,108-93, ,,4,93,108,-15,2760.0
1:57.0, ,108-93,Defensive rebound by C. Cunningham,,4,93,108,-15,2763.0
1:33.0, ,108-93,S. Fontecchio misses 2-pt jump shot from 15 ft,,4,93,108,-15,2787.0
1:30.0,Defensive rebound by C. Martin,108-93, ,,4,93,108,-15,2790.0
1:10.0,C. Martin misses 3-pt jump shot from 24 ft,108-93, ,,4,93,108,-15,2810.0
1:08.0, ,108-93,Defensive rebound by J. Duren,,4,93,108,-15,2812.0
1:08.0, ,108-93,Detroit full timeout,,4,93,108,-15,2812.0
1:08.0,J. Cain enters the game for C. Martin,108-93, ,,4,93,108,-15,2812.0
1:08.0, ,108-93,T. Evbuomwan enters the game for C. Cunningham,,4,93,108,-15,2812.0
1:08.0, ,108-93,M. Flynn enters the game for J. Duren,,4,93,108,-15,2812.0
1:08.0, ,108-93,M. Sasser enters the game for S. Fontecchio,,4,93,108,-15,2812.0
1:08.0, ,108-93,S. Umude enters the game for J. Ivey,,4,93,108,-15,2812.0
1:08.0, ,108-93,J. Wiseman enters the game for I. Stewart,,4,93,108,-15,2812.0
0:57.0, ,108-93,S. Umude misses 3-pt jump shot from 24 ft,,4,93,108,-15,2823.0
0:54.0,Defensive rebound by T. Bryant,108-93, ,,4,93,108,-15,2826.0
0:32.0,D. Robinson misses 3-pt jump shot from 26 ft,108-93, ,,4,93,108,-15,2848.0
0:28.0, ,108-93,Defensive rebound by J. Wiseman,,4,93,108,-15,2852.0
0:11.0, ,108-95,J. Wiseman makes 2-pt jump shot from 16 ft,,4,95,108,-13,2869.0
0:00.0,End of 4th quarter,108-95,,,4,95,108,-13,2880.0
