Time,Detroit,Score,Utah,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
0:07.0, ,148-151,Utah full timeout,,5,148,151,-3,3173.0
0:07.0,K. Hayes enters the game for J. Duren,148-151, ,,5,148,151,-3,3173.0
0:07.0, ,148-151,K. Olynyk enters the game for J. Collins,,5,148,151,-3,3173.0
0:07.0, ,148-151,Away from play foul by K. Hayes (drawn by C. Sexton),,5,148,151,-3,3173.0
0:07.0, ,148-151,Instant Replay (Request: Ruling Stands),,5,148,151,-3,3173.0
0:07.0, ,148-152,L. Markkanen makes free throw 1 of 1,,5,148,152,-4,3173.0
0:04.0, ,148-152,Personal take foul by K. Hayes (drawn by C. Sexton),,5,148,152,-4,3176.0
0:04.0, ,148-153,C. Sexton makes free throw 1 of 2,,5,148,153,-5,3176.0
0:04.0,J. Duren enters the game for K. Hayes,148-153, ,,5,148,153,-5,3176.0
0:04.0, ,148-154,C. Sexton makes free throw 2 of 2,,5,148,154,-6,3176.0
0:00.0,J. Ivey misses 3-pt jump shot from 27 ft,148-154, ,,5,148,154,-6,3180.0
0:00.0,Offensive rebound by Team,148-154, ,,5,148,154,-6,3180.0
0:00.0,End of 1st overtime,148-154,,,5,148,154,-6,3180.0
