Time,LA Lakers,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: A. Davis vs. J. Duren (A. Thompson gains possession),0-0,,,1,0,0,0,0.0
11:37.0, ,0-3,I. Stewart makes 3-pt jump shot from 28 ft (assist by C. Cunningham),,1,3,0,3,23.0
11:24.0,Personal foul by J. Ivey (drawn by A. Davis),0-3, ,,1,3,0,3,36.0
11:11.0,L. James misses 3-pt jump shot from 26 ft,0-3, ,,1,3,0,3,49.0
11:08.0, ,0-3,Defensive rebound by A. Thompson,,1,3,0,3,52.0
11:01.0, ,0-5,A. Thompson makes 2-pt dunk from 3 ft (assist by C. Cunningham),,1,5,0,5,59.0
10:42.0,D. Russell makes 2-pt layup from 3 ft (assist by A. Davis),2-5, ,,1,5,2,3,78.0
10:24.0, ,2-5,J. Ivey misses 2-pt layup from 4 ft (block by A. Davis),,1,5,2,3,96.0
10:19.0, ,2-5,Offensive rebound by I. Stewart,,1,5,2,3,101.0
10:16.0, ,2-5,A. Thompson misses 3-pt jump shot from 24 ft,,1,5,2,3,104.0
10:15.0, ,2-5,Offensive rebound by J. Duren,,1,5,2,3,105.0
10:09.0, ,2-5,J. Ivey misses 3-pt jump shot from 27 ft,,1,5,2,3,111.0
10:06.0,Defensive rebound by D. Russell,2-5, ,,1,5,2,3,114.0
10:03.0,L. James makes 2-pt layup from 2 ft (assist by D. Russell),4-5, ,,1,5,4,1,117.0
10:03.0, ,4-5,Violation by Team (def goaltending),,1,5,4,1,117.0
9:44.0, ,4-5,A. Thompson misses 3-pt jump shot from 27 ft,,1,5,4,1,136.0
9:41.0,Defensive rebound by A. Davis,4-5, ,,1,5,4,1,139.0
9:34.0,A. Davis misses 2-pt jump shot from 3 ft,4-5, ,,1,5,4,1,146.0
9:32.0, ,4-5,Defensive rebound by C. Cunningham,,1,5,4,1,148.0
9:32.0, ,4-5,Offensive foul by I. Stewart (drawn by L. James),,1,5,4,1,148.0
9:32.0, ,4-5,Turnover by I. Stewart (offensive foul),,1,5,4,1,148.0
9:14.0,Personal foul by A. Thompson (drawn by D. Russell),4-5, ,,1,5,4,1,166.0
9:03.0,Shooting foul by J. Duren (drawn by A. Davis),4-5, ,,1,5,4,1,177.0
9:03.0,A. Davis makes free throw 1 of 2,5-5, ,Tie,1,5,5,0,177.0
9:03.0,A. Davis makes free throw 2 of 2,6-5, ,Lead change,1,5,6,-1,177.0
8:52.0, ,6-7,I. Stewart makes 2-pt layup from 3 ft (assist by C. Cunningham),Lead change,1,7,6,1,188.0
8:52.0, ,6-7,Shooting foul by A. Davis (drawn by I. Stewart),,1,7,6,1,188.0
8:52.0, ,6-8,I. Stewart makes free throw 1 of 1,,1,8,6,2,188.0
8:41.0,D. Russell makes 2-pt jump shot from 5 ft (assist by A. Davis),8-8, ,Tie,1,8,8,0,199.0
8:15.0, ,8-8,A. Thompson misses 2-pt jump shot from 14 ft,,1,8,8,0,225.0
8:12.0,Defensive rebound by A. Davis,8-8, ,,1,8,8,0,228.0
8:09.0,T. Prince makes 3-pt jump shot from 24 ft (assist by L. James),11-8, ,Lead change,1,8,11,-3,231.0
7:54.0, ,11-8,I. Stewart misses 3-pt jump shot from 28 ft,,1,8,11,-3,246.0
7:53.0, ,11-8,Offensive rebound by A. Thompson,,1,8,11,-3,247.0
7:48.0, ,11-8,I. Stewart misses 3-pt jump shot from 28 ft,,1,8,11,-3,252.0
7:45.0,Defensive rebound by D. Russell,11-8, ,,1,8,11,-3,255.0
7:37.0,A. Davis makes 2-pt hook shot from 3 ft (assist by D. Russell),13-8, ,,1,8,13,-5,263.0
7:26.0, ,13-8,J. Duren misses 2-pt jump shot from 17 ft,,1,8,13,-5,274.0
7:23.0,Defensive rebound by D. Russell,13-8, ,,1,8,13,-5,277.0
7:18.0,A. Davis makes 2-pt layup from 3 ft (assist by D. Russell),15-8, ,,1,8,15,-7,282.0
7:18.0, ,15-8,Detroit full timeout,,1,8,15,-7,282.0
7:01.0, ,15-10,J. Duren makes 2-pt layup from 2 ft,,1,10,15,-5,299.0
6:50.0,Shooting foul by J. Ivey (drawn by M. Christie),15-10, ,,1,10,15,-5,310.0
6:50.0,M. Christie makes free throw 1 of 2,16-10, ,,1,10,16,-6,310.0
6:50.0, ,16-10,I. Livers enters the game for J. Ivey,,1,10,16,-6,310.0
6:50.0, ,16-10,M. Sasser enters the game for A. Thompson,,1,10,16,-6,310.0
6:50.0,M. Christie makes free throw 2 of 2,17-10, ,,1,10,17,-7,310.0
6:34.0, ,17-10,M. Sasser misses 2-pt jump shot from 17 ft,,1,10,17,-7,326.0
6:32.0, ,17-10,Offensive rebound by J. Duren,,1,10,17,-7,328.0
6:31.0, ,17-12,J. Duren makes 2-pt layup from 2 ft,,1,12,17,-5,329.0
6:15.0,A. Davis makes 2-pt layup from 2 ft (assist by D. Russell),19-12, ,,1,12,19,-7,345.0
6:00.0, ,19-12,J. Duren misses 2-pt hook shot from 5 ft,,1,12,19,-7,360.0
5:58.0,Defensive rebound by A. Davis,19-12, ,,1,12,19,-7,362.0
5:51.0,A. Davis misses 2-pt hook shot from 3 ft,19-12, ,,1,12,19,-7,369.0
5:50.0, ,19-12,Defensive rebound by J. Duren,,1,12,19,-7,370.0
5:46.0, ,19-12,Turnover by I. Livers (traveling),,1,12,19,-7,374.0
5:46.0,A. Reaves enters the game for M. Christie,19-12, ,,1,12,19,-7,374.0
5:32.0,D. Russell makes 2-pt layup from 2 ft,21-12, ,,1,12,21,-9,388.0
5:19.0, ,21-14,C. Cunningham makes 2-pt jump shot from 15 ft,,1,14,21,-7,401.0
5:10.0,D. Russell makes 2-pt jump shot from 3 ft,23-14, ,,1,14,23,-9,410.0
4:59.0, ,23-14,Offensive foul by J. Duren (drawn by D. Russell),,1,14,23,-9,421.0
4:59.0, ,23-14,Turnover by J. Duren (offensive foul),,1,14,23,-9,421.0
4:59.0,C. Reddish enters the game for L. James,23-14, ,,1,14,23,-9,421.0
4:59.0,C. Wood enters the game for T. Prince,23-14, ,,1,14,23,-9,421.0
4:59.0, ,23-14,A. Burks enters the game for J. Duren,,1,14,23,-9,421.0
4:59.0, ,23-14,J. Wiseman enters the game for I. Stewart,,1,14,23,-9,421.0
4:45.0,D. Russell makes 2-pt jump shot from 11 ft,25-14, ,,1,14,25,-11,435.0
4:38.0, ,25-14,Personal foul by C. Reddish (drawn by C. Cunningham),,1,14,25,-11,442.0
4:31.0, ,25-14,I. Livers misses 3-pt jump shot from 29 ft,,1,14,25,-11,449.0
4:29.0,Defensive rebound by C. Reddish,25-14, ,,1,14,25,-11,451.0
4:25.0,D. Russell makes 3-pt jump shot from 27 ft (assist by C. Reddish),28-14, ,,1,14,28,-14,455.0
4:17.0, ,28-14,C. Cunningham misses 2-pt jump shot from 17 ft,,1,14,28,-14,463.0
4:15.0,Defensive rebound by Team,28-14, ,,1,14,28,-14,465.0
4:15.0, ,28-14,Loose ball foul by J. Wiseman (drawn by A. Davis),,1,14,28,-14,465.0
4:15.0,A. Davis makes free throw 1 of 2,29-14, ,,1,14,29,-15,465.0
4:15.0, ,29-14,K. Hayes enters the game for C. Cunningham,,1,14,29,-15,465.0
4:15.0,A. Davis makes free throw 2 of 2,30-14, ,,1,14,30,-16,465.0
4:01.0, ,30-14,A. Burks misses 2-pt jump shot from 7 ft,,1,14,30,-16,479.0
3:58.0,Defensive rebound by C. Wood,30-14, ,,1,14,30,-16,482.0
3:49.0,C. Reddish misses 2-pt jump shot from 5 ft,30-14, ,,1,14,30,-16,491.0
3:47.0,Offensive rebound by A. Davis,30-14, ,,1,14,30,-16,493.0
3:46.0,A. Davis misses 2-pt layup from 2 ft,30-14, ,,1,14,30,-16,494.0
3:43.0, ,30-14,Defensive rebound by J. Wiseman,,1,14,30,-16,497.0
3:38.0, ,30-17,I. Livers makes 3-pt jump shot from 27 ft (assist by M. Sasser),,1,17,30,-13,502.0
3:22.0,A. Reaves makes 2-pt jump shot from 3 ft,32-17, ,,1,17,32,-15,518.0
3:03.0, ,32-17,K. Hayes misses 3-pt jump shot from 26 ft,,1,17,32,-15,537.0
3:01.0,Defensive rebound by C. Wood,32-17, ,,1,17,32,-15,539.0
2:52.0,Personal foul by A. Burks (drawn by A. Davis),32-17, ,,1,17,32,-15,548.0
2:52.0,LA Lakers full timeout,32-17, ,,1,17,32,-15,548.0
2:52.0,M. Christie enters the game for D. Russell,32-17, ,,1,17,32,-15,548.0
2:52.0,A. Davis makes free throw 1 of 2,33-17, ,,1,17,33,-16,548.0
2:52.0,A. Davis misses free throw 2 of 2,33-17, ,,1,17,33,-16,548.0
2:48.0, ,33-17,Defensive rebound by J. Wiseman,,1,17,33,-16,552.0
2:34.0, ,33-19,J. Wiseman makes 2-pt dunk from 3 ft (assist by M. Sasser),,1,19,33,-14,566.0
2:21.0,Shooting foul by K. Hayes (drawn by M. Christie),33-19, ,,1,19,33,-14,579.0
2:21.0,M. Christie makes free throw 1 of 3,34-19, ,,1,19,34,-15,579.0
2:21.0,M. Christie makes free throw 2 of 3,35-19, ,,1,19,35,-16,579.0
2:21.0,J. Hayes enters the game for A. Davis,35-19, ,,1,19,35,-16,579.0
2:21.0,M. Christie makes free throw 3 of 3,36-19, ,,1,19,36,-17,579.0
2:01.0, ,36-19,A. Burks misses 3-pt jump shot from 27 ft,,1,19,36,-17,599.0
1:58.0,Defensive rebound by C. Reddish,36-19, ,,1,19,36,-17,602.0
1:51.0,C. Wood misses 3-pt jump shot from 27 ft,36-19, ,,1,19,36,-17,609.0
1:47.0, ,36-19,Defensive rebound by J. Wiseman,,1,19,36,-17,613.0
1:39.0, ,36-19,M. Sasser misses 2-pt jump shot from 7 ft (block by J. Hayes),,1,19,36,-17,621.0
1:34.0, ,36-19,Offensive rebound by A. Burks,,1,19,36,-17,626.0
1:32.0, ,36-19,A. Burks misses 2-pt jump shot from 16 ft,,1,19,36,-17,628.0
1:29.0,Defensive rebound by C. Wood,36-19, ,,1,19,36,-17,631.0
1:15.0,A. Reaves makes 2-pt layup from 2 ft,38-19, ,,1,19,38,-19,645.0
1:14.0, ,38-19,Turnover by M. Sasser (traveling),,1,19,38,-19,646.0
1:04.0,Turnover by C. Reddish (lost ball; steal by M. Sasser),38-19, ,,1,19,38,-19,656.0
0:57.0, ,38-19,A. Burks misses 2-pt layup from 3 ft,,1,19,38,-19,663.0
0:54.0,Defensive rebound by J. Hayes,38-19, ,,1,19,38,-19,666.0
0:44.0,Turnover by M. Christie (bad pass; steal by M. Sasser),38-19, ,,1,19,38,-19,676.0
0:38.0, ,38-22,I. Livers makes 3-pt jump shot from 27 ft (assist by M. Sasser),,1,22,38,-16,682.0
0:27.0,A. Reaves misses 3-pt jump shot from 26 ft,38-22, ,,1,22,38,-16,693.0
0:25.0, ,38-22,Defensive rebound by J. Wiseman,,1,22,38,-16,695.0
0:04.0, ,38-24,K. Hayes makes 2-pt jump shot from 7 ft (assist by M. Sasser),,1,24,38,-14,716.0
0:00.0,M. Christie misses 3-pt jump shot from 34 ft,38-24, ,,1,24,38,-14,720.0
0:00.0,Offensive rebound by Team,38-24, ,,1,24,38,-14,720.0
0:00.0,End of 1st quarter,38-24,,,1,24,38,-14,720.0
12:00.0,Start of 2nd quarter,38-24,,,2,24,38,-14,720.0
11:36.0,C. Wood makes 2-pt layup from 2 ft,40-24, ,,2,24,40,-16,744.0
11:22.0, ,40-24,S. Umude misses 3-pt jump shot from 23 ft,,2,24,40,-16,758.0
11:18.0,Defensive rebound by C. Reddish,40-24, ,,2,24,40,-16,762.0
11:07.0,C. Wood misses 2-pt jump shot from 5 ft,40-24, ,,2,24,40,-16,773.0
11:04.0, ,40-24,Defensive rebound by M. Bagley,,2,24,40,-16,776.0
10:58.0, ,40-27,I. Livers makes 3-pt jump shot from 25 ft (assist by K. Hayes),,2,27,40,-13,782.0
10:41.0,L. James makes 2-pt dunk from 3 ft (assist by C. Reddish),42-27, ,,2,27,42,-15,799.0
10:27.0, ,42-27,K. Hayes misses 2-pt jump shot from 9 ft,,2,27,42,-15,813.0
10:25.0,Defensive rebound by A. Reaves,42-27, ,,2,27,42,-15,815.0
10:24.0,Turnover by A. Reaves (bad pass; steal by K. Hayes),42-27, ,,2,27,42,-15,816.0
10:24.0, ,42-27,Personal foul by C. Reddish (drawn by K. Hayes),,2,27,42,-15,816.0
10:24.0,D. Russell enters the game for C. Reddish,42-27, ,,2,27,42,-15,816.0
10:24.0, ,42-27,I. Stewart enters the game for I. Livers,,2,27,42,-15,816.0
10:14.0,Violation by Team (kicked ball),42-27, ,,2,27,42,-15,826.0
10:04.0, ,42-30,S. Umude makes 3-pt jump shot from 25 ft (assist by K. Hayes),,2,30,42,-12,836.0
10:00.0,Personal foul by S. Umude (drawn by C. Wood),42-30, ,,2,30,42,-12,840.0
9:47.0,L. James misses 2-pt jump shot from 13 ft,42-30, ,,2,30,42,-12,853.0
9:45.0, ,42-30,Defensive rebound by S. Umude,,2,30,42,-12,855.0
9:42.0, ,42-30,Offensive foul by S. Umude (drawn by J. Hayes),,2,30,42,-12,858.0
9:42.0, ,42-30,Turnover by S. Umude (offensive foul),,2,30,42,-12,858.0
9:27.0,D. Russell misses 2-pt layup from 3 ft,42-30, ,,2,30,42,-12,873.0
9:27.0, ,42-30,Defensive rebound by Team,,2,30,42,-12,873.0
9:18.0, ,42-32,K. Hayes makes 2-pt jump shot from 14 ft,,2,32,42,-10,882.0
8:58.0,D. Russell makes 3-pt jump shot from 28 ft,45-32, ,,2,32,45,-13,902.0
8:34.0, ,45-34,M. Sasser makes 2-pt layup from 3 ft (assist by K. Hayes),,2,34,45,-11,926.0
8:17.0,A. Reaves misses 3-pt jump shot from 23 ft,45-34, ,,2,34,45,-11,943.0
8:17.0, ,45-34,Defensive rebound by Team,,2,34,45,-11,943.0
8:01.0, ,45-34,K. Hayes misses 3-pt jump shot from 25 ft,,2,34,45,-11,959.0
7:59.0,Defensive rebound by C. Wood,45-34, ,,2,34,45,-11,961.0
7:49.0,A. Reaves misses 3-pt jump shot from 27 ft,45-34, ,,2,34,45,-11,971.0
7:47.0,Offensive rebound by L. James,45-34, ,,2,34,45,-11,973.0
7:46.0,L. James makes 2-pt layup from 2 ft,47-34, ,,2,34,47,-13,974.0
7:30.0, ,47-34,S. Umude misses 3-pt jump shot from 27 ft,,2,34,47,-13,990.0
7:28.0, ,47-34,Offensive rebound by M. Bagley,,2,34,47,-13,992.0
7:28.0, ,47-34,M. Bagley misses 2-pt layup from 2 ft (block by A. Reaves),,2,34,47,-13,992.0
7:28.0, ,47-34,Offensive rebound by Team,,2,34,47,-13,992.0
7:28.0,M. Christie enters the game for J. Hayes,47-34, ,,2,34,47,-13,992.0
7:28.0,A. Davis enters the game for A. Reaves,47-34, ,,2,34,47,-13,992.0
7:28.0,T. Prince enters the game for C. Wood,47-34, ,,2,34,47,-13,992.0
7:28.0, ,47-34,C. Cunningham enters the game for K. Hayes,,2,34,47,-13,992.0
7:28.0, ,47-34,J. Ivey enters the game for M. Sasser,,2,34,47,-13,992.0
7:25.0, ,47-34,C. Cunningham misses 2-pt jump shot from 14 ft,,2,34,47,-13,995.0
7:25.0,Defensive rebound by Team,47-34, ,,2,34,47,-13,995.0
7:25.0, ,47-34,Loose ball foul by I. Stewart (drawn by L. James),,2,34,47,-13,995.0
7:25.0, ,47-34,J. Duren enters the game for M. Bagley,,2,34,47,-13,995.0
7:14.0,L. James misses 2-pt layup from 3 ft,47-34, ,,2,34,47,-13,1006.0
7:13.0,Offensive rebound by L. James,47-34, ,,2,34,47,-13,1007.0
7:11.0,L. James misses 2-pt layup from 3 ft (block by J. Duren),47-34, ,,2,34,47,-13,1009.0
7:10.0,Offensive rebound by A. Davis,47-34, ,,2,34,47,-13,1010.0
7:10.0,A. Davis makes 2-pt dunk at rim,49-34, ,,2,34,49,-15,1010.0
7:00.0, ,49-36,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),,2,36,49,-13,1020.0
6:47.0,L. James misses 3-pt jump shot from 26 ft,49-36, ,,2,36,49,-13,1033.0
6:43.0, ,49-36,Defensive rebound by C. Cunningham,,2,36,49,-13,1037.0
6:33.0, ,49-36,J. Ivey misses 2-pt layup from 4 ft (block by D. Russell),,2,36,49,-13,1047.0
6:30.0,Defensive rebound by M. Christie,49-36, ,,2,36,49,-13,1050.0
6:19.0,D. Russell misses 3-pt jump shot from 27 ft,49-36, ,,2,36,49,-13,1061.0
6:17.0, ,49-36,Defensive rebound by J. Duren,,2,36,49,-13,1063.0
6:12.0, ,49-36,C. Cunningham misses 2-pt layup from 3 ft (block by A. Davis),,2,36,49,-13,1068.0
6:12.0,Defensive rebound by M. Christie,49-36, ,,2,36,49,-13,1068.0
5:50.0,T. Prince misses 3-pt jump shot from 27 ft,49-36, ,,2,36,49,-13,1090.0
5:50.0, ,49-36,Defensive rebound by Team,,2,36,49,-13,1090.0
5:50.0, ,49-36,Detroit full timeout,,2,36,49,-13,1090.0
5:50.0,C. Reddish enters the game for L. James,49-36, ,,2,36,49,-13,1090.0
5:50.0, ,49-36,A. Thompson enters the game for S. Umude,,2,36,49,-13,1090.0
5:39.0, ,49-36,Shooting foul by M. Christie (drawn by J. Ivey),,2,36,49,-13,1101.0
5:39.0, ,49-37,J. Ivey makes free throw 1 of 2,,2,37,49,-12,1101.0
5:39.0, ,49-38,J. Ivey makes free throw 2 of 2,,2,38,49,-11,1101.0
5:17.0,A. Davis misses 2-pt jump shot from 9 ft,49-38, ,,2,38,49,-11,1123.0
5:14.0, ,49-38,Defensive rebound by C. Cunningham,,2,38,49,-11,1126.0
