Time,Brooklyn,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:28.0, ,75-80,S. Fontecchio makes 2-pt layup from 4 ft (assist by C. Cunningham),,3,80,75,5,2072.0
1:18.0,Personal foul by E. Fournier (drawn by M. Bridges),75-80, ,,3,80,75,5,2082.0
1:04.0,Turnover by D. Schröder (bad pass; steal by J. Wiseman),75-80, ,,3,80,75,5,2096.0
0:59.0, ,75-82,J. Wiseman makes 2-pt layup from 4 ft (assist by C. Cunningham),,3,82,75,7,2101.0
0:59.0, ,75-82,Shooting foul by J. Wilson (drawn by J. Wiseman),,3,82,75,7,2101.0
0:59.0, ,75-83,J. Wiseman makes free throw 1 of 1,,3,83,75,8,2101.0
0:47.0,D. Schröder makes 3-pt jump shot from 27 ft,78-83, ,,3,83,78,5,2113.0
0:36.0, ,78-83,J. Wiseman misses 2-pt hook shot from 6 ft,,3,83,78,5,2124.0
0:34.0, ,78-83,Offensive rebound by A. Thompson,,3,83,78,5,2126.0
0:34.0, ,78-85,A. Thompson makes 2-pt dunk at rim,,3,85,78,7,2126.0
0:18.0,L. Walker makes 3-pt jump shot from 26 ft (assist by D. Schröder),81-85, ,,3,85,81,4,2142.0
0:01.0, ,81-85,C. Cunningham misses 2-pt jump shot from 18 ft,,3,85,81,4,2159.0
0:01.0, ,81-85,Offensive rebound by Team,,3,85,81,4,2159.0
0:00.0,End of 3rd quarter,81-85,,,3,85,81,4,2160.0
12:00.0,Start of 4th quarter,81-85,,,4,85,81,4,2160.0
11:37.0, ,81-85,J. Ivey misses 2-pt layup from 3 ft,,4,85,81,4,2183.0
11:37.0,Defensive rebound by Team,81-85, ,,4,85,81,4,2183.0
11:29.0,D. Schröder makes 2-pt jump shot from 4 ft,83-85, ,,4,85,83,2,2191.0
11:29.0,Shooting foul by E. Fournier (drawn by D. Schröder),83-85, ,,4,85,83,2,2191.0
11:29.0,D. Schröder makes free throw 1 of 1,84-85, ,,4,85,84,1,2191.0
11:20.0, ,84-87,J. Wiseman makes 2-pt layup from 2 ft (assist by J. Ivey),,4,87,84,3,2200.0
11:20.0, ,84-87,Shooting foul by N. Claxton (drawn by J. Wiseman),,4,87,84,3,2200.0
11:20.0, ,84-88,J. Wiseman makes free throw 1 of 1,,4,88,84,4,2200.0
11:04.0,L. Walker misses 3-pt jump shot from 23 ft,84-88, ,,4,88,84,4,2216.0
11:01.0, ,84-88,Defensive rebound by S. Fontecchio,,4,88,84,4,2219.0
10:50.0, ,84-91,J. Ivey makes 3-pt jump shot from 27 ft,,4,91,84,7,2230.0
10:38.0,Shooting foul by J. Ivey (drawn by D. Smith),84-91, ,,4,91,84,7,2242.0
10:38.0,D. Smith makes free throw 1 of 2,85-91, ,,4,91,85,6,2242.0
10:38.0,D. Finney-Smith enters the game for J. Wilson,85-91, ,,4,91,85,6,2242.0
10:38.0,D. Smith makes free throw 2 of 2,86-91, ,,4,91,86,5,2242.0
10:27.0, ,86-91,Shooting foul by D. Smith (drawn by J. Ivey),,4,91,86,5,2253.0
10:27.0, ,86-92,J. Ivey makes free throw 1 of 2,,4,92,86,6,2253.0
10:27.0,M. Bridges enters the game for D. Smith,86-92, ,,4,92,86,6,2253.0
10:27.0, ,86-93,J. Ivey makes free throw 2 of 2,,4,93,86,7,2253.0
10:18.0,Shooting foul by J. Wiseman (drawn by N. Claxton),86-93, ,,4,93,86,7,2262.0
10:18.0,N. Claxton makes free throw 1 of 2,87-93, ,,4,93,87,6,2262.0
10:18.0, ,87-93,A. Thompson enters the game for E. Fournier,,4,93,87,6,2262.0
10:18.0,N. Claxton makes free throw 2 of 2,88-93, ,,4,93,88,5,2262.0
10:03.0, ,88-96,J. Ivey makes 3-pt jump shot from 27 ft,,4,96,88,8,2277.0
9:41.0,D. Finney-Smith makes 2-pt layup from 3 ft (assist by N. Claxton),90-96, ,,4,96,90,6,2299.0
9:34.0, ,90-96,Offensive foul by J. Wiseman (drawn by D. Schröder),,4,96,90,6,2306.0
9:34.0, ,90-96,Turnover by J. Wiseman (offensive foul),,4,96,90,6,2306.0
9:20.0,D. Schröder makes 2-pt jump shot from 14 ft,92-96, ,,4,96,92,4,2320.0
8:56.0, ,92-96,A. Thompson misses 3-pt jump shot from 26 ft,,4,96,92,4,2344.0
8:53.0,Defensive rebound by L. Walker,92-96, ,,4,96,92,4,2347.0
8:43.0,Shooting foul by A. Thompson (drawn by N. Claxton),92-96, ,,4,96,92,4,2357.0
8:43.0,N. Claxton misses free throw 1 of 2,92-96, ,,4,96,92,4,2357.0
8:43.0,Offensive rebound by Team,92-96, ,,4,96,92,4,2357.0
8:43.0, ,92-96,J. Duren enters the game for J. Wiseman,,4,96,92,4,2357.0
8:43.0,N. Claxton makes free throw 2 of 2,93-96, ,,4,96,93,3,2357.0
8:30.0, ,93-98,J. Duren makes 2-pt dunk from 1 ft (assist by J. Ivey),,4,98,93,5,2370.0
8:12.0,Turnover by L. Walker (traveling),93-98, ,,4,98,93,5,2388.0
8:00.0, ,93-98,Turnover by J. Ivey (bad pass; steal by D. Finney-Smith),,4,98,93,5,2400.0
7:54.0,D. Schröder makes 2-pt layup from 3 ft (assist by M. Bridges),95-98, ,,4,98,95,3,2406.0
7:40.0, ,95-98,S. Fontecchio misses 3-pt jump shot from 27 ft,,4,98,95,3,2420.0
7:36.0,Defensive rebound by D. Finney-Smith,95-98, ,,4,98,95,3,2424.0
7:33.0,Shooting foul by J. Duren (drawn by M. Bridges),95-98, ,,4,98,95,3,2427.0
7:33.0,M. Bridges makes free throw 1 of 2,96-98, ,,4,98,96,2,2427.0
7:33.0,T. Watford enters the game for L. Walker,96-98, ,,4,98,96,2,2427.0
7:33.0, ,96-98,C. Cunningham enters the game for M. Flynn,,4,98,96,2,2427.0
7:33.0,M. Bridges misses free throw 2 of 2,96-98, ,,4,98,96,2,2427.0
7:30.0, ,96-98,Defensive rebound by J. Duren,,4,98,96,2,2430.0
7:18.0, ,96-98,J. Ivey misses 3-pt jump shot from 28 ft,,4,98,96,2,2442.0
7:15.0,Defensive rebound by T. Watford,96-98, ,,4,98,96,2,2445.0
7:13.0,Turnover by M. Bridges (bad pass; steal by A. Thompson),96-98, ,,4,98,96,2,2447.0
7:10.0, ,96-98,Turnover by A. Thompson (out of bounds lost ball),,4,98,96,2,2450.0
7:10.0,N. Clowney enters the game for N. Claxton,96-98, ,,4,98,96,2,2450.0
7:10.0,Brooklyn full timeout,96-98, ,,4,98,96,2,2450.0
7:10.0,N. Claxton enters the game for N. Clowney,96-98, ,,4,98,96,2,2450.0
7:10.0,Instant Replay (Challenge: Ruling Stands),96-98, ,,4,98,96,2,2450.0
7:02.0,D. Schröder misses 2-pt jump shot from 17 ft,96-98, ,,4,98,96,2,2458.0
6:59.0, ,96-98,Defensive rebound by J. Duren,,4,98,96,2,2461.0
6:44.0, ,96-98,A. Thompson misses 3-pt jump shot from 24 ft,,4,98,96,2,2476.0
6:40.0,Defensive rebound by N. Clowney,96-98, ,,4,98,96,2,2480.0
6:32.0,Shooting foul by J. Ivey (drawn by T. Watford),96-98, ,,4,98,96,2,2488.0
6:32.0,T. Watford makes free throw 1 of 2,97-98, ,,4,98,97,1,2488.0
6:32.0,T. Watford makes free throw 2 of 2,98-98, ,Tie,4,98,98,0,2488.0
6:17.0, ,98-100,C. Cunningham makes 2-pt layup from 3 ft,,4,100,98,2,2503.0
6:02.0,M. Bridges misses 2-pt jump shot from 6 ft,98-100, ,,4,100,98,2,2518.0
6:00.0, ,98-100,Defensive rebound by J. Duren,,4,100,98,2,2520.0
5:50.0, ,98-100,Shooting foul by N. Clowney (drawn by C. Cunningham),,4,100,98,2,2530.0
5:50.0, ,98-101,C. Cunningham makes free throw 1 of 2,,4,101,98,3,2530.0
5:50.0,N. Claxton enters the game for N. Clowney,98-101, ,,4,101,98,3,2530.0
5:50.0,L. Walker enters the game for T. Watford,98-101, ,,4,101,98,3,2530.0
5:50.0, ,98-101,I. Stewart enters the game for S. Fontecchio,,4,101,98,3,2530.0
5:50.0, ,98-102,C. Cunningham makes free throw 2 of 2,,4,102,98,4,2530.0
5:39.0,Turnover by D. Schröder (bad pass; steal by J. Ivey),98-102, ,,4,102,98,4,2541.0
5:35.0, ,98-104,C. Cunningham makes 2-pt dunk from 5 ft,,4,104,98,6,2545.0
5:16.0,L. Walker misses 3-pt jump shot from 25 ft,98-104, ,,4,104,98,6,2564.0
5:13.0, ,98-104,Defensive rebound by C. Cunningham,,4,104,98,6,2567.0
5:08.0, ,98-107,J. Ivey makes 3-pt jump shot from 28 ft (assist by C. Cunningham),,4,107,98,9,2572.0
5:05.0,Brooklyn full timeout,98-107, ,,4,107,98,9,2575.0
4:48.0,M. Bridges misses 2-pt layup from 4 ft,98-107, ,,4,107,98,9,2592.0
4:46.0, ,98-107,Defensive rebound by J. Duren,,4,107,98,9,2594.0
4:28.0, ,98-107,J. Duren misses 2-pt layup from 5 ft,,4,107,98,9,2612.0
4:25.0,Defensive rebound by N. Claxton,98-107, ,,4,107,98,9,2615.0
4:13.0,L. Walker makes 3-pt jump shot from 24 ft (assist by D. Schröder),101-107, ,,4,107,101,6,2627.0
3:50.0, ,101-109,I. Stewart makes 2-pt layup from 3 ft (assist by J. Duren),,4,109,101,8,2650.0
3:44.0,L. Walker misses 2-pt layup from 4 ft (block by C. Cunningham),101-109, ,,4,109,101,8,2656.0
3:41.0, ,101-109,Defensive rebound by Team,,4,109,101,8,2659.0
3:41.0,Jump ball: C. Cunningham vs. L. Walker (J. Duren gains possession),101-109,,,4,109,101,8,2659.0
3:25.0, ,101-109,Turnover by C. Cunningham (bad pass; steal by M. Bridges),,4,109,101,8,2675.0
3:18.0,M. Bridges misses 3-pt jump shot from 29 ft,101-109, ,,4,109,101,8,2682.0
3:15.0, ,101-109,Defensive rebound by A. Thompson,,4,109,101,8,2685.0
2:59.0, ,101-109,Turnover by J. Ivey (lost ball; steal by D. Finney-Smith),,4,109,101,8,2701.0
2:42.0,D. Finney-Smith makes 3-pt jump shot from 26 ft (assist by L. Walker),104-109, ,,4,109,104,5,2718.0
2:18.0, ,104-111,C. Cunningham makes 2-pt jump shot from 18 ft,,4,111,104,7,2742.0
2:03.0,L. Walker makes 2-pt layup from 2 ft (assist by D. Schröder),106-111, ,,4,111,106,5,2757.0
1:47.0,Violation by Team (kicked ball),106-111, ,,4,111,106,5,2773.0
1:42.0, ,106-113,C. Cunningham makes 2-pt jump shot from 11 ft,,4,113,106,7,2778.0
1:35.0,L. Walker misses 3-pt jump shot from 27 ft,106-113, ,,4,113,106,7,2785.0
1:31.0, ,106-113,Defensive rebound by I. Stewart,,4,113,106,7,2789.0
1:19.0,Brooklyn full timeout,106-113, ,,4,113,106,7,2801.0
1:19.0,Instant Replay (Challenge: Stands),106-113, ,,4,113,106,7,2801.0
1:19.0, ,106-113,Detroit full timeout,,4,113,106,7,2801.0
1:12.0, ,106-113,C. Cunningham misses 3-pt jump shot from 28 ft,,4,113,106,7,2808.0
1:09.0,Defensive rebound by N. Claxton,106-113, ,,4,113,106,7,2811.0
0:57.0,Shooting foul by A. Thompson (drawn by M. Bridges),106-113, ,,4,113,106,7,2823.0
0:57.0, ,106-113,Detroit full timeout,,4,113,106,7,2823.0
0:57.0, ,106-113,Instant Replay (Challenge: Stands),,4,113,106,7,2823.0
0:57.0,D. Smith enters the game for D. Finney-Smith,106-113, ,,4,113,106,7,2823.0
0:57.0, ,106-113,E. Fournier enters the game for A. Thompson,,4,113,106,7,2823.0
0:57.0,M. Bridges misses free throw 1 of 2,106-113, ,,4,113,106,7,2823.0
0:57.0,Offensive rebound by Team,106-113, ,,4,113,106,7,2823.0
0:57.0,M. Bridges makes free throw 2 of 2,107-113, ,,4,113,107,6,2823.0
0:54.0, ,107-113,Personal foul by D. Smith (drawn by J. Ivey),,4,113,107,6,2826.0
0:54.0,D. Finney-Smith enters the game for D. Smith,107-113, ,,4,113,107,6,2826.0
0:51.0, ,107-113,Personal foul by D. Schröder (drawn by C. Cunningham),,4,113,107,6,2829.0
0:51.0, ,107-114,C. Cunningham makes free throw 1 of 2,,4,114,107,7,2829.0
0:51.0, ,107-115,C. Cunningham makes free throw 2 of 2,,4,115,107,8,2829.0
0:42.0,L. Walker misses 3-pt jump shot from 26 ft,107-115, ,,4,115,107,8,2838.0
0:40.0,Offensive rebound by N. Claxton,107-115, ,,4,115,107,8,2840.0
0:40.0,N. Claxton makes 2-pt hook shot from 5 ft,109-115, ,,4,115,109,6,2840.0
0:38.0, ,109-115,Personal take foul by N. Claxton (drawn by C. Cunningham),,4,115,109,6,2842.0
0:38.0, ,109-115,A. Thompson enters the game for E. Fournier,,4,115,109,6,2842.0
0:38.0, ,109-116,C. Cunningham makes free throw 1 of 2,,4,116,109,7,2842.0
0:38.0, ,109-116,C. Cunningham misses free throw 2 of 2,,4,116,109,7,2842.0
0:35.0,Defensive rebound by D. Finney-Smith,109-116, ,,4,116,109,7,2845.0
0:28.0,D. Schröder misses 3-pt jump shot from 27 ft,109-116, ,,4,116,109,7,2852.0
0:25.0,Offensive rebound by M. Bridges,109-116, ,,4,116,109,7,2855.0
0:24.0,D. Finney-Smith makes 3-pt jump shot from 28 ft (assist by M. Bridges),112-116, ,,4,116,112,4,2856.0
0:23.0, ,112-116,Turnover by J. Ivey (bad pass),,4,116,112,4,2857.0
0:19.0,D. Schröder misses 2-pt layup from 4 ft,112-116, ,,4,116,112,4,2861.0
0:18.0, ,112-116,Defensive rebound by I. Stewart,,4,116,112,4,2862.0
0:16.0, ,112-116,Personal take foul by M. Bridges (drawn by J. Ivey),,4,116,112,4,2864.0
0:16.0, ,112-117,J. Ivey makes free throw 1 of 2,,4,117,112,5,2864.0
0:16.0, ,112-118,J. Ivey makes free throw 2 of 2,,4,118,112,6,2864.0
0:10.0,L. Walker misses 3-pt jump shot from 29 ft,112-118, ,,4,118,112,6,2870.0
0:07.0, ,112-118,Defensive rebound by A. Thompson,,4,118,112,6,2873.0
0:00.0,End of 4th quarter,112-118,,,4,118,112,6,2880.0
