Time,New Orleans,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:09.0, ,72-57,T. Brown misses 3-pt jump shot from 27 ft,,3,57,72,-15,1851.0
5:06.0,Defensive rebound by N. Marshall,72-57, ,,3,57,72,-15,1854.0
5:02.0,Turnover by N. Marshall (bad pass; steal by M. Flynn),72-57, ,,3,57,72,-15,1858.0
4:56.0, ,72-57,T. Evbuomwan misses 3-pt jump shot from 24 ft,,3,57,72,-15,1864.0
4:53.0,Defensive rebound by T. Murphy,72-57, ,,3,57,72,-15,1867.0
4:39.0,Shooting foul by J. Ivey (drawn by T. Murphy),72-57, ,,3,57,72,-15,1881.0
4:39.0,T. Murphy misses free throw 1 of 2,72-57, ,,3,57,72,-15,1881.0
4:39.0,Offensive rebound by Team,72-57, ,,3,57,72,-15,1881.0
4:39.0,J. Valančiūnas enters the game for L. Nance,72-57, ,,3,57,72,-15,1881.0
4:39.0, ,72-57,E. Fournier enters the game for T. Brown,,3,57,72,-15,1881.0
4:39.0, ,72-57,J. Rhoden enters the game for J. Ivey,,3,57,72,-15,1881.0
4:39.0,T. Murphy makes free throw 2 of 2,73-57, ,,3,57,73,-16,1881.0
4:21.0, ,73-57,C. Metu misses 2-pt layup from 3 ft,,3,57,73,-16,1899.0
4:17.0,Defensive rebound by T. Murphy,73-57, ,,3,57,73,-16,1903.0
4:15.0,J. Alvarado misses 2-pt layup from 3 ft,73-57, ,,3,57,73,-16,1905.0
4:14.0,Offensive rebound by Z. Williamson,73-57, ,,3,57,73,-16,1906.0
4:14.0,Z. Williamson makes 2-pt dunk at rim,75-57, ,,3,57,75,-18,1906.0
3:52.0, ,75-57,M. Flynn misses 2-pt jump shot from 13 ft (block by J. Alvarado),,3,57,75,-18,1928.0
3:50.0,Defensive rebound by J. Alvarado,75-57, ,,3,57,75,-18,1930.0
3:36.0,N. Marshall misses 3-pt jump shot from 26 ft,75-57, ,,3,57,75,-18,1944.0
3:32.0, ,75-57,Defensive rebound by J. Rhoden,,3,57,75,-18,1948.0
3:18.0, ,75-57,E. Fournier misses 2-pt jump shot from 7 ft,,3,57,75,-18,1962.0
3:16.0,Defensive rebound by Z. Williamson,75-57, ,,3,57,75,-18,1964.0
3:06.0,N. Marshall misses 2-pt layup from 5 ft,75-57, ,,3,57,75,-18,1974.0
3:04.0, ,75-57,Defensive rebound by J. Rhoden,,3,57,75,-18,1976.0
2:52.0, ,75-57,M. Flynn misses 3-pt jump shot from 26 ft,,3,57,75,-18,1988.0
2:50.0,Defensive rebound by J. Valančiūnas,75-57, ,,3,57,75,-18,1990.0
2:50.0,Technical foul by N. Marshall,75-57, ,,3,57,75,-18,1990.0
2:50.0,New Orleans full timeout,75-57, ,,3,57,75,-18,1990.0
2:50.0,C. McCollum enters the game for T. Murphy,75-57, ,,3,57,75,-18,1990.0
2:50.0, ,75-57,B. Boeheim enters the game for T. Evbuomwan,,3,57,75,-18,1990.0
2:50.0, ,75-57,J. Wiseman enters the game for C. Metu,,3,57,75,-18,1990.0
2:50.0, ,75-58,E. Fournier makes technical free throw,,3,58,75,-17,1990.0
2:38.0,J. Alvarado misses 2-pt layup from 3 ft (block by J. Rhoden),75-58, ,,3,58,75,-17,2002.0
2:38.0, ,75-58,Defensive rebound by Team,,3,58,75,-17,2002.0
2:22.0, ,75-58,E. Fournier misses 3-pt jump shot from 24 ft,,3,58,75,-17,2018.0
2:19.0,Defensive rebound by Z. Williamson,75-58, ,,3,58,75,-17,2021.0
2:09.0,Z. Williamson makes 2-pt layup from 2 ft (assist by J. Alvarado),77-58, ,,3,58,77,-19,2031.0
2:09.0,Shooting foul by J. Rhoden (drawn by Z. Williamson),77-58, ,,3,58,77,-19,2031.0
2:09.0,Z. Williamson makes free throw 1 of 1,78-58, ,,3,58,78,-20,2031.0
1:58.0, ,78-58,Def 3 sec tech foul by Team,,3,58,78,-20,2042.0
1:58.0, ,78-59,E. Fournier makes technical free throw,,3,59,78,-19,2042.0
1:58.0, ,78-59,T. Evbuomwan enters the game for E. Fournier,,3,59,78,-19,2042.0
1:45.0, ,78-61,M. Flynn makes 2-pt jump shot from 6 ft,,3,61,78,-17,2055.0
1:29.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by N. Marshall),81-61, ,,3,61,81,-20,2071.0
1:27.0, ,81-61,Personal foul by J. Alvarado (drawn by M. Flynn),,3,61,81,-20,2073.0
1:27.0, ,81-62,M. Flynn makes free throw 1 of 2,,3,62,81,-19,2073.0
1:27.0, ,81-62,M. Flynn misses free throw 2 of 2,,3,62,81,-19,2073.0
1:24.0, ,81-62,Offensive rebound by M. Flynn,,3,62,81,-19,2076.0
1:18.0, ,81-62,M. Flynn misses 3-pt jump shot from 28 ft,,3,62,81,-19,2082.0
1:04.0, ,81-62,Offensive rebound by J. Wiseman,,3,62,81,-19,2096.0
1:04.0, ,81-62,B. Boeheim misses 3-pt jump shot from 27 ft,,3,62,81,-19,2096.0
1:01.0, ,81-62,Offensive rebound by M. Flynn,,3,62,81,-19,2099.0
1:00.0, ,81-64,J. Rhoden makes 2-pt layup from 3 ft (assist by M. Flynn),,3,64,81,-17,2100.0
0:50.0,J. Alvarado misses 3-pt jump shot from 25 ft,81-64, ,,3,64,81,-17,2110.0
0:49.0,Offensive rebound by J. Alvarado,81-64, ,,3,64,81,-17,2111.0
0:49.0,Personal foul by J. Rhoden (drawn by J. Alvarado),81-64, ,,3,64,81,-17,2111.0
0:49.0,J. Alvarado makes free throw 1 of 2,82-64, ,,3,64,82,-18,2111.0
0:49.0,J. Alvarado makes free throw 2 of 2,83-64, ,,3,64,83,-19,2111.0
0:31.0, ,83-64,Shooting foul by J. Valančiūnas (drawn by J. Wiseman),,3,64,83,-19,2129.0
0:31.0, ,83-65,J. Wiseman makes free throw 1 of 2,,3,65,83,-18,2129.0
0:31.0, ,83-66,J. Wiseman makes free throw 2 of 2,,3,66,83,-17,2129.0
0:31.0, ,83-66,C. Metu enters the game for B. Boeheim,,3,66,83,-17,2129.0
0:11.0,Turnover by Z. Williamson (out of bounds lost ball),83-66, ,,3,66,83,-17,2149.0
0:11.0,H. Jones enters the game for J. Valančiūnas,83-66, ,,3,66,83,-17,2149.0
0:11.0,L. Nance enters the game for Z. Williamson,83-66, ,,3,66,83,-17,2149.0
0:11.0, ,83-66,B. Boeheim enters the game for T. Evbuomwan,,3,66,83,-17,2149.0
0:02.0, ,83-66,C. Metu misses 3-pt jump shot from 24 ft (block by H. Jones),,3,66,83,-17,2158.0
0:01.0, ,83-66,Offensive rebound by Team,,3,66,83,-17,2159.0
0:00.0,End of 3rd quarter,83-66,,,3,66,83,-17,2160.0
12:00.0,Start of 4th quarter,83-66,,,4,66,83,-17,2160.0
11:40.0, ,83-66,Turnover by C. Metu (bad pass; steal by H. Jones),,4,66,83,-17,2180.0
11:25.0,J. Valančiūnas makes 2-pt hook shot from 3 ft,85-66, ,,4,66,85,-19,2195.0
11:11.0, ,85-66,J. Rhoden misses 3-pt jump shot from 24 ft,,4,66,85,-19,2209.0
11:11.0,Defensive rebound by C. McCollum,85-66, ,,4,66,85,-19,2209.0
11:02.0,J. Alvarado misses 3-pt jump shot from 27 ft (block by J. Rhoden),85-66, ,,4,66,85,-19,2218.0
10:59.0, ,85-66,Defensive rebound by J. Rhoden,,4,66,85,-19,2221.0
10:58.0, ,85-68,C. Metu makes 2-pt jump shot from 8 ft,,4,68,85,-17,2222.0
10:58.0, ,85-68,Shooting foul by C. McCollum (drawn by C. Metu),,4,68,85,-17,2222.0
10:58.0, ,85-69,C. Metu makes free throw 1 of 1,,4,69,85,-16,2222.0
10:32.0,C. McCollum makes 3-pt jump shot from 26 ft (assist by J. Alvarado),88-69, ,,4,69,88,-19,2248.0
10:16.0, ,88-72,J. Rhoden makes 3-pt jump shot from 27 ft (assist by M. Flynn),,4,72,88,-16,2264.0
9:52.0,J. Valančiūnas makes 2-pt hook shot from 4 ft (assist by C. McCollum),90-72, ,,4,72,90,-18,2288.0
9:38.0, ,90-72,J. Wiseman misses 2-pt jump shot from 11 ft,,4,72,90,-18,2302.0
9:35.0,Defensive rebound by J. Valančiūnas,90-72, ,,4,72,90,-18,2305.0
9:24.0,Personal foul by J. Wiseman (drawn by J. Valančiūnas),90-72, ,,4,72,90,-18,2316.0
9:24.0, ,90-72,T. Evbuomwan enters the game for J. Wiseman,,4,72,90,-18,2316.0
9:22.0,Offensive foul by J. Valančiūnas (drawn by C. Metu),90-72, ,,4,72,90,-18,2318.0
9:22.0,Turnover by J. Valančiūnas (offensive foul),90-72, ,,4,72,90,-18,2318.0
9:09.0, ,90-72,M. Flynn misses 2-pt jump shot from 15 ft,,4,72,90,-18,2331.0
9:09.0, ,90-72,Offensive rebound by M. Flynn,,4,72,90,-18,2331.0
9:09.0, ,90-72,Personal foul by H. Jones (drawn by M. Flynn),,4,72,90,-18,2331.0
9:09.0, ,90-72,J. Ivey enters the game for J. Rhoden,,4,72,90,-18,2331.0
9:00.0, ,90-75,B. Boeheim makes 3-pt jump shot from 26 ft (assist by J. Ivey),,4,75,90,-15,2340.0
8:44.0,Shooting foul by C. Metu (drawn by J. Valančiūnas),90-75, ,,4,75,90,-15,2356.0
8:44.0,J. Valančiūnas makes free throw 1 of 2,91-75, ,,4,75,91,-16,2356.0
8:44.0,J. Valančiūnas misses free throw 2 of 2,91-75, ,,4,75,91,-16,2356.0
8:41.0, ,91-75,Defensive rebound by C. Metu,,4,75,91,-16,2359.0
8:25.0, ,91-77,T. Evbuomwan makes 2-pt dunk from 3 ft (assist by B. Boeheim),,4,77,91,-14,2375.0
8:08.0,N. Marshall makes 3-pt jump shot from 28 ft (assist by C. McCollum),94-77, ,,4,77,94,-17,2392.0
7:52.0, ,94-77,B. Boeheim misses 3-pt jump shot from 27 ft,,4,77,94,-17,2408.0
7:50.0,Defensive rebound by N. Marshall,94-77, ,,4,77,94,-17,2410.0
7:36.0,N. Marshall misses 3-pt jump shot from 24 ft,94-77, ,,4,77,94,-17,2424.0
7:36.0,Offensive rebound by Team,94-77, ,,4,77,94,-17,2424.0
7:36.0, ,94-77,Loose ball foul by C. Metu (drawn by J. Valančiūnas),,4,77,94,-17,2424.0
7:31.0,Turnover by C. McCollum (bad pass),94-77, ,,4,77,94,-17,2429.0
7:27.0, ,94-77,Shooting foul by J. Valančiūnas (drawn by C. Metu),,4,77,94,-17,2433.0
7:27.0, ,94-78,C. Metu makes free throw 1 of 2,,4,78,94,-16,2433.0
7:27.0,L. Nance enters the game for H. Jones,94-78, ,,4,78,94,-16,2433.0
7:27.0,Z. Williamson enters the game for J. Valančiūnas,94-78, ,,4,78,94,-16,2433.0
7:27.0, ,94-79,C. Metu makes free throw 2 of 2,,4,79,94,-15,2433.0
7:16.0,C. McCollum makes 2-pt layup from 2 ft,96-79, ,,4,79,96,-17,2444.0
7:05.0, ,96-79,C. Metu misses 3-pt jump shot from 27 ft,,4,79,96,-17,2455.0
7:05.0,Defensive rebound by N. Marshall,96-79, ,,4,79,96,-17,2455.0
6:54.0,C. McCollum misses 2-pt jump shot from 11 ft,96-79, ,,4,79,96,-17,2466.0
6:52.0, ,96-79,Defensive rebound by C. Metu,,4,79,96,-17,2468.0
6:41.0, ,96-81,B. Boeheim makes 2-pt jump shot from 10 ft (assist by M. Flynn),,4,81,96,-15,2479.0
6:26.0,C. McCollum misses 3-pt jump shot from 26 ft,96-81, ,,4,81,96,-15,2494.0
6:22.0,Offensive rebound by J. Alvarado,96-81, ,,4,81,96,-15,2498.0
6:21.0,Shooting foul by C. Metu (drawn by Z. Williamson),96-81, ,,4,81,96,-15,2499.0
6:21.0, ,96-81,Detroit full timeout,,4,81,96,-15,2499.0
6:21.0,H. Jones enters the game for J. Alvarado,96-81, ,,4,81,96,-15,2499.0
6:21.0,T. Murphy enters the game for N. Marshall,96-81, ,,4,81,96,-15,2499.0
6:21.0,Z. Williamson makes free throw 1 of 2,97-81, ,,4,81,97,-16,2499.0
6:21.0,Z. Williamson makes free throw 2 of 2,98-81, ,,4,81,98,-17,2499.0
5:59.0, ,98-81,Turnover by T. Evbuomwan (bad pass; steal by Z. Williamson),,4,81,98,-17,2521.0
5:47.0,T. Murphy misses 3-pt jump shot from 31 ft,98-81, ,,4,81,98,-17,2533.0
5:45.0, ,98-81,Defensive rebound by M. Flynn,,4,81,98,-17,2535.0
5:27.0, ,98-84,M. Flynn makes 3-pt jump shot from 27 ft (assist by T. Evbuomwan),,4,84,98,-14,2553.0
5:08.0,C. McCollum makes 3-pt jump shot from 24 ft (assist by H. Jones),101-84, ,,4,84,101,-17,2572.0
4:59.0, ,101-84,J. Ivey misses 2-pt layup from 2 ft (block by T. Murphy),,4,84,101,-17,2581.0
4:55.0,Defensive rebound by T. Murphy,101-84, ,,4,84,101,-17,2585.0
4:41.0,C. McCollum makes 3-pt jump shot from 28 ft (assist by Z. Williamson),104-84, ,,4,84,104,-20,2599.0
4:41.0, ,104-84,Detroit full timeout,,4,84,104,-20,2599.0
4:41.0, ,104-84,T. Brown enters the game for J. Ivey,,4,84,104,-20,2599.0
4:41.0, ,104-84,J. Wiseman enters the game for C. Metu,,4,84,104,-20,2599.0
4:15.0, ,104-86,M. Flynn makes 2-pt jump shot from 19 ft,,4,86,104,-18,2625.0
4:00.0,Shooting foul by T. Evbuomwan (drawn by L. Nance),104-86, ,,4,86,104,-18,2640.0
4:00.0,L. Nance misses free throw 1 of 2,104-86, ,,4,86,104,-18,2640.0
4:00.0,Offensive rebound by Team,104-86, ,,4,86,104,-18,2640.0
4:00.0, ,104-86,M. Sasser enters the game for B. Boeheim,,4,86,104,-18,2640.0
4:00.0,L. Nance makes free throw 2 of 2,105-86, ,,4,86,105,-19,2640.0
3:50.0, ,105-86,Turnover by T. Brown (lost ball; steal by Z. Williamson),,4,86,105,-19,2650.0
3:46.0,Z. Williamson makes 2-pt layup from 2 ft,107-86, ,,4,86,107,-21,2654.0
3:33.0, ,107-88,M. Flynn makes 2-pt layup from 3 ft,,4,88,107,-19,2667.0
3:33.0, ,107-88,Shooting foul by Z. Williamson (drawn by M. Flynn),,4,88,107,-19,2667.0
3:33.0, ,107-89,M. Flynn makes free throw 1 of 1,,4,89,107,-18,2667.0
3:23.0,Personal foul by M. Sasser (drawn by Z. Williamson),107-89, ,,4,89,107,-18,2677.0
3:23.0,Z. Williamson makes free throw 1 of 2,108-89, ,,4,89,108,-19,2677.0
3:23.0, ,108-89,C. Metu enters the game for T. Evbuomwan,,4,89,108,-19,2677.0
3:23.0,Z. Williamson misses free throw 2 of 2,108-89, ,,4,89,108,-19,2677.0
3:20.0, ,108-89,Defensive rebound by T. Brown,,4,89,108,-19,2680.0
2:57.0, ,108-89,T. Brown misses 2-pt jump shot from 22 ft,,4,89,108,-19,2703.0
2:57.0, ,108-89,Offensive rebound by C. Metu,,4,89,108,-19,2703.0
2:57.0, ,108-91,C. Metu makes 2-pt layup from 2 ft,,4,91,108,-17,2703.0
2:57.0, ,108-91,Shooting foul by T. Murphy (drawn by C. Metu),,4,91,108,-17,2703.0
2:57.0, ,108-92,C. Metu makes free throw 1 of 1,,4,92,108,-16,2703.0
2:43.0,T. Murphy misses 3-pt jump shot from 28 ft,108-92, ,,4,92,108,-16,2717.0
2:40.0, ,108-92,Defensive rebound by J. Wiseman,,4,92,108,-16,2720.0
2:26.0, ,108-95,M. Flynn makes 3-pt jump shot from 23 ft (assist by T. Brown),,4,95,108,-13,2734.0
2:07.0,Z. Williamson makes 2-pt layup from 3 ft,110-95, ,,4,95,110,-15,2753.0
1:55.0, ,110-97,J. Wiseman makes 2-pt dunk from 3 ft (assist by T. Brown),,4,97,110,-13,2765.0
1:42.0,Z. Williamson makes 2-pt layup from 2 ft (assist by C. McCollum),112-97, ,,4,97,112,-15,2778.0
1:25.0, ,112-97,M. Sasser misses 3-pt jump shot from 27 ft,,4,97,112,-15,2795.0
1:24.0, ,112-97,Offensive rebound by Team,,4,97,112,-15,2796.0
1:24.0,J. Alvarado enters the game for C. McCollum,112-97, ,,4,97,112,-15,2796.0
1:24.0,N. Marshall enters the game for L. Nance,112-97, ,,4,97,112,-15,2796.0
1:24.0,J. Robinson-Earl enters the game for Z. Williamson,112-97, ,,4,97,112,-15,2796.0
1:20.0, ,112-97,Personal foul by J. Robinson-Earl (drawn by J. Wiseman),,4,97,112,-15,2800.0
1:20.0, ,112-98,J. Wiseman makes free throw 1 of 2,,4,98,112,-14,2800.0
1:20.0, ,112-99,J. Wiseman makes free throw 2 of 2,,4,99,112,-13,2800.0
1:06.0,N. Marshall misses 2-pt jump shot from 5 ft,112-99, ,,4,99,112,-13,2814.0
1:03.0, ,112-99,Defensive rebound by J. Wiseman,,4,99,112,-13,2817.0
0:59.0, ,112-99,T. Brown misses 2-pt layup from 4 ft (block by T. Murphy),,4,99,112,-13,2821.0
0:57.0, ,112-99,Offensive rebound by J. Wiseman,,4,99,112,-13,2823.0
0:55.0, ,112-101,J. Wiseman makes 2-pt dunk from 3 ft,,4,101,112,-11,2825.0
0:37.0,T. Murphy misses 3-pt jump shot from 28 ft,112-101, ,,4,101,112,-11,2843.0
0:34.0,Offensive rebound by N. Marshall,112-101, ,,4,101,112,-11,2846.0
0:28.0,J. Robinson-Earl misses 2-pt layup from 3 ft,112-101, ,,4,101,112,-11,2852.0
0:26.0,Offensive rebound by N. Marshall,112-101, ,,4,101,112,-11,2854.0
0:16.0,Shooting foul by M. Sasser (drawn by T. Murphy),112-101, ,,4,101,112,-11,2864.0
0:16.0,T. Murphy makes free throw 1 of 2,113-101, ,,4,101,113,-12,2864.0
0:16.0,T. Murphy makes free throw 2 of 2,114-101, ,,4,101,114,-13,2864.0
0:00.0,End of 4th quarter,114-101,,,4,101,114,-13,2880.0
