Time,New Orleans,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:13.0, ,27-10,E. Fournier misses 3-pt jump shot from 23 ft,,1,10,27,-17,647.0
1:10.0,Defensive rebound by L. Nance,27-10, ,,1,10,27,-17,650.0
0:59.0,N. Marshall makes 2-pt jump shot from 5 ft,29-10, ,,1,10,29,-19,661.0
0:39.0, ,29-10,Personal foul by N. Marshall (drawn by E. Fournier),,1,10,29,-19,681.0
0:33.0, ,29-10,Turnover by C. Metu (bad pass),,1,10,29,-19,687.0
0:21.0,Turnover by C. McCollum (back court),29-10, ,,1,10,29,-19,699.0
0:21.0,H. Jones enters the game for Z. Williamson,29-10, ,,1,10,29,-19,699.0
0:21.0, ,29-10,B. Boeheim enters the game for T. Evbuomwan,,1,10,29,-19,699.0
0:21.0, ,29-10,J. Wiseman enters the game for C. Metu,,1,10,29,-19,699.0
0:06.0, ,29-10,M. Flynn misses 3-pt jump shot from 27 ft,,1,10,29,-19,714.0
0:03.0,Defensive rebound by L. Nance,29-10, ,,1,10,29,-19,717.0
0:00.0,N. Marshall misses 3-pt jump shot from 45 ft,29-10, ,,1,10,29,-19,720.0
0:00.0,Offensive rebound by Team,29-10, ,,1,10,29,-19,720.0
0:00.0,End of 1st quarter,29-10,,,1,10,29,-19,720.0
12:00.0,Start of 2nd quarter,29-10,,,2,10,29,-19,720.0
11:39.0,J. Valančiūnas misses 2-pt hook shot from 6 ft,29-10, ,,2,10,29,-19,741.0
11:36.0, ,29-10,Defensive rebound by C. Metu,,2,10,29,-19,744.0
11:23.0, ,29-13,M. Flynn makes 3-pt jump shot from 27 ft,,2,13,29,-16,757.0
11:15.0,C. McCollum misses 2-pt jump shot from 6 ft,29-13, ,,2,13,29,-16,765.0
11:13.0, ,29-13,Defensive rebound by J. Wiseman,,2,13,29,-16,767.0
11:05.0, ,29-16,B. Boeheim makes 3-pt jump shot from 28 ft (assist by M. Flynn),,2,16,29,-13,775.0
10:40.0,J. Valančiūnas makes 2-pt hook shot from 5 ft (assist by N. Marshall),31-16, ,,2,16,31,-15,800.0
10:26.0, ,31-16,Personal foul by J. Alvarado (drawn by M. Flynn),,2,16,31,-15,814.0
10:17.0, ,31-16,B. Boeheim misses 3-pt jump shot from 24 ft,,2,16,31,-15,823.0
10:15.0,Defensive rebound by N. Marshall,31-16, ,,2,16,31,-15,825.0
10:09.0,C. McCollum misses 3-pt jump shot from 24 ft,31-16, ,,2,16,31,-15,831.0
10:06.0, ,31-16,Defensive rebound by E. Fournier,,2,16,31,-15,834.0
9:59.0, ,31-18,J. Wiseman makes 2-pt layup from 3 ft (assist by C. Metu),,2,18,31,-13,841.0
9:59.0, ,31-18,Shooting foul by J. Valančiūnas (drawn by J. Wiseman),,2,18,31,-13,841.0
9:59.0, ,31-18,J. Ivey enters the game for E. Fournier,,2,18,31,-13,841.0
9:59.0, ,31-19,J. Wiseman makes free throw 1 of 1,,2,19,31,-12,841.0
9:47.0,Personal foul by J. Ivey (drawn by N. Marshall),31-19, ,,2,19,31,-12,853.0
9:31.0,J. Alvarado misses 3-pt jump shot from 24 ft,31-19, ,,2,19,31,-12,869.0
9:29.0,Offensive rebound by Team,31-19, ,,2,19,31,-12,871.0
9:18.0,J. Alvarado makes 2-pt jump shot from 7 ft,33-19, ,,2,19,33,-14,882.0
9:07.0, ,33-19,M. Flynn misses 3-pt jump shot from 29 ft,,2,19,33,-14,893.0
9:04.0,Defensive rebound by J. Alvarado,33-19, ,,2,19,33,-14,896.0
9:03.0,Shooting foul by C. Metu (drawn by H. Jones),33-19, ,,2,19,33,-14,897.0
