Time,Charlotte,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: N. Richards vs. J. Duren (G. Williams gains possession),0-0,,,1,0,0,0,0.0
11:37.0,M. Bridges misses 3-pt jump shot from 28 ft,0-0, ,,1,0,0,0,23.0
11:33.0, ,0-0,Defensive rebound by S. Fontecchio,,1,0,0,0,27.0
11:20.0, ,0-2,S. Fontecchio makes 2-pt jump shot from 4 ft (assist by C. Cunningham),,1,2,0,2,40.0
11:00.0,M. Bridges misses 2-pt jump shot from 7 ft,0-2, ,,1,2,0,2,60.0
10:57.0,Offensive rebound by M. Bridges,0-2, ,,1,2,0,2,63.0
10:55.0,M. Bridges makes 2-pt jump shot from 14 ft,2-2, ,Tie,1,2,2,0,65.0
10:45.0, ,2-2,Turnover by J. Duren (lost ball; steal by V. Micić),,1,2,2,0,75.0
10:40.0,Turnover by G. Williams (step out of bounds),2-2, ,,1,2,2,0,80.0
10:28.0, ,2-2,Shooting foul by G. Williams (drawn by J. Duren),,1,2,2,0,92.0
10:28.0, ,2-3,J. Duren makes free throw 1 of 2,,1,3,2,1,92.0
10:28.0, ,2-4,J. Duren makes free throw 2 of 2,,1,4,2,2,92.0
10:15.0,G. Williams makes 2-pt layup from 3 ft (assist by B. Miller),4-4, ,Tie,1,4,4,0,105.0
10:02.0, ,4-4,I. Stewart misses 3-pt jump shot from 24 ft,,1,4,4,0,118.0
9:59.0, ,4-4,Offensive rebound by J. Duren,,1,4,4,0,121.0
9:55.0, ,4-4,Turnover by J. Duren (bad pass; steal by G. Williams),,1,4,4,0,125.0
9:52.0,V. Micić misses 2-pt jump shot from 12 ft,4-4, ,,1,4,4,0,128.0
9:49.0, ,4-4,Defensive rebound by C. Cunningham,,1,4,4,0,131.0
9:47.0, ,4-4,Shooting foul by B. Miller (drawn by J. Ivey),,1,4,4,0,133.0
9:47.0, ,4-5,J. Ivey makes free throw 1 of 2,,1,5,4,1,133.0
9:47.0, ,4-6,J. Ivey makes free throw 2 of 2,,1,6,4,2,133.0
9:31.0,G. Williams misses 2-pt layup from 5 ft,4-6, ,,1,6,4,2,149.0
9:28.0,Offensive rebound by N. Richards,4-6, ,,1,6,4,2,152.0
9:26.0,N. Richards makes 2-pt layup from 3 ft,6-6, ,Tie,1,6,6,0,154.0
9:18.0, ,6-6,C. Cunningham misses 2-pt layup from 3 ft,,1,6,6,0,162.0
9:14.0, ,6-6,Offensive rebound by J. Duren,,1,6,6,0,166.0
9:14.0, ,6-8,J. Duren makes 2-pt dunk at rim,,1,8,6,2,166.0
9:01.0,Turnover by V. Micić (lost ball; steal by C. Cunningham),6-8, ,,1,8,6,2,179.0
8:57.0, ,6-10,C. Cunningham makes 2-pt layup from 3 ft,,1,10,6,4,183.0
8:41.0,B. Miller makes 3-pt jump shot from 22 ft (assist by M. Bridges),9-10, ,,1,10,9,1,199.0
8:20.0, ,9-10,C. Cunningham misses 3-pt jump shot from 23 ft,,1,10,9,1,220.0
8:16.0,Defensive rebound by N. Richards,9-10, ,,1,10,9,1,224.0
7:59.0,G. Williams makes 3-pt jump shot from 23 ft (assist by V. Micić),12-10, ,Lead change,1,10,12,-2,241.0
7:50.0, ,12-12,C. Cunningham makes 2-pt jump shot from 13 ft (assist by J. Ivey),Tie,1,12,12,0,250.0
7:50.0, ,12-12,Shooting foul by V. Micić (drawn by C. Cunningham),,1,12,12,0,250.0
7:50.0, ,12-13,C. Cunningham makes free throw 1 of 1,Lead change,1,13,12,1,250.0
