Time,Detroit,Score,Memphis,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:10.0, ,70-88,M. Pereira makes 2-pt layup from 3 ft,,3,70,88,-18,2090.0
1:10.0, ,70-88,Shooting foul by J. Duren (drawn by M. Pereira),,3,70,88,-18,2090.0
1:10.0,J. Wiseman enters the game for J. Duren,70-88, ,,3,70,88,-18,2090.0
1:10.0, ,70-89,M. Pereira makes free throw 1 of 1,,3,70,89,-19,2090.0
0:56.0,Turnover by C. Metu (lost ball; steal by L. Stevens),70-89, ,,3,70,89,-19,2104.0
0:43.0, ,70-89,Turnover by S. Pippen  (bad pass; steal by M. Flynn),,3,70,89,-19,2117.0
0:39.0,M. Flynn misses 3-pt jump shot from 26 ft (block by S. Pippen ),70-89, ,,3,70,89,-19,2121.0
0:39.0,Offensive rebound by Team,70-89, ,,3,70,89,-19,2121.0
0:34.0,M. Flynn misses 2-pt jump shot from 17 ft,70-89, ,,3,70,89,-19,2126.0
0:31.0, ,70-89,Defensive rebound by J. LaRavia,,3,70,89,-19,2129.0
0:12.0, ,70-89,Turnover by Z. Simpson (bad pass; steal by C. Metu),,3,70,89,-19,2148.0
0:05.0,T. Brown misses 2-pt layup from 3 ft,70-89, ,,3,70,89,-19,2155.0
0:03.0,Offensive rebound by J. Wiseman,70-89, ,,3,70,89,-19,2157.0
0:02.0,J. Wiseman misses 2-pt layup at rim,70-89, ,,3,70,89,-19,2158.0
0:01.0, ,70-89,Defensive rebound by J. LaRavia,,3,70,89,-19,2159.0
0:00.0, ,70-89,J. LaRavia misses 3-pt jump shot from 52 ft,,3,70,89,-19,2160.0
0:00.0, ,70-89,Offensive rebound by Team,,3,70,89,-19,2160.0
0:00.0,End of 3rd quarter,70-89,,,3,70,89,-19,2160.0
12:00.0,Start of 4th quarter,70-89,,,4,70,89,-19,2160.0
11:45.0,M. Flynn misses 3-pt jump shot from 26 ft,70-89, ,,4,70,89,-19,2175.0
11:40.0, ,70-89,Defensive rebound by L. Stevens,,4,70,89,-19,2180.0
11:28.0, ,70-89,Shooting foul by C. Metu (drawn by J. LaRavia),,4,70,89,-19,2192.0
11:28.0, ,70-90,J. LaRavia makes free throw 1 of 2,,4,70,90,-20,2192.0
11:28.0, ,70-91,J. LaRavia makes free throw 2 of 2,,4,70,91,-21,2192.0
11:13.0,C. Metu makes 2-pt jump shot from 11 ft,72-91, ,,4,72,91,-19,2207.0
10:56.0, ,72-93,M. Pereira makes 2-pt dunk from 1 ft (assist by S. Pippen ),,4,72,93,-21,2224.0
10:34.0,C. Metu makes 2-pt hook shot from 9 ft (assist by M. Flynn),74-93, ,,4,74,93,-19,2246.0
10:17.0, ,74-96,M. Pereira makes 3-pt jump shot from 23 ft (assist by S. Pippen ),,4,74,96,-22,2263.0
10:17.0,M. Sasser enters the game for M. Flynn,74-96, ,,4,74,96,-22,2263.0
9:53.0,M. Sasser misses 3-pt jump shot from 23 ft,74-96, ,,4,74,96,-22,2287.0
9:51.0, ,74-96,Defensive rebound by S. Pippen ,,4,74,96,-22,2289.0
9:40.0, ,74-96,Turnover by S. Pippen  (bad pass; steal by C. Metu),,4,74,96,-22,2300.0
9:36.0,J. Nowell misses 3-pt jump shot from 23 ft,74-96, ,,4,74,96,-22,2304.0
9:32.0, ,74-96,Defensive rebound by L. Stevens,,4,74,96,-22,2308.0
9:30.0, ,74-96,L. Stevens misses 2-pt dunk from 3 ft (block by M. Sasser),,4,74,96,-22,2310.0
9:30.0, ,74-96,Offensive rebound by Team,,4,74,96,-22,2310.0
9:21.0, ,74-98,S. Pippen  makes 2-pt jump shot from 3 ft,,4,74,98,-24,2319.0
9:10.0,J. Rhoden misses 2-pt jump shot from 17 ft (block by Z. Simpson),74-98, ,,4,74,98,-24,2330.0
9:07.0,Offensive rebound by C. Metu,74-98, ,,4,74,98,-24,2333.0
9:05.0,J. Nowell misses 2-pt layup from 3 ft (block by M. Pereira),74-98, ,,4,74,98,-24,2335.0
9:03.0, ,74-98,Defensive rebound by Z. Simpson,,4,74,98,-24,2337.0
8:56.0, ,74-98,Personal foul by J. Wiseman (drawn by M. Pereira),,4,74,98,-24,2344.0
8:56.0,J. Ivey enters the game for J. Wiseman,74-98, ,,4,74,98,-24,2344.0
8:54.0, ,74-98,Personal foul by M. Sasser (drawn by S. Pippen ),,4,74,98,-24,2346.0
8:44.0, ,74-98,Turnover by J. LaRavia (step out of bounds),,4,74,98,-24,2356.0
8:33.0,C. Metu misses 3-pt jump shot from 25 ft,74-98, ,,4,74,98,-24,2367.0
8:31.0, ,74-98,Defensive rebound by Z. Simpson,,4,74,98,-24,2369.0
8:13.0, ,74-98,Turnover by S. Pippen  (bad pass),,4,74,98,-24,2387.0
8:13.0, ,74-98,J. Goodwin enters the game for S. Pippen ,,4,74,98,-24,2387.0
8:00.0,J. Nowell misses 2-pt jump shot from 9 ft,74-98, ,,4,74,98,-24,2400.0
7:59.0, ,74-98,Defensive rebound by Team,,4,74,98,-24,2401.0
7:42.0, ,74-98,Turnover by Z. Simpson (lost ball; steal by C. Metu),,4,74,98,-24,2418.0
7:38.0,J. Nowell makes 2-pt layup from 1 ft (assist by J. Rhoden),76-98, ,,4,76,98,-22,2422.0
7:18.0, ,76-100,J. LaRavia makes 2-pt jump shot from 10 ft,,4,76,100,-24,2442.0
7:04.0,J. Ivey misses 3-pt jump shot from 25 ft,76-100, ,,4,76,100,-24,2456.0
7:03.0, ,76-100,Defensive rebound by L. Stevens,,4,76,100,-24,2457.0
6:54.0, ,76-100,Z. Simpson misses 3-pt jump shot from 25 ft,,4,76,100,-24,2466.0
6:50.0,Defensive rebound by J. Rhoden,76-100, ,,4,76,100,-24,2470.0
6:40.0,C. Metu makes 2-pt layup from 2 ft (assist by J. Rhoden),78-100, ,,4,78,100,-22,2480.0
6:40.0, ,78-100,Memphis full timeout,,4,78,100,-22,2480.0
6:40.0, ,78-100,T. Jemison enters the game for M. Pereira,,4,78,100,-22,2480.0
6:22.0, ,78-100,J. LaRavia misses 3-pt jump shot from 26 ft,,4,78,100,-22,2498.0
6:21.0, ,78-100,Offensive rebound by Team,,4,78,100,-22,2499.0
6:21.0,Loose ball foul by C. Metu (drawn by J. Goodwin),78-100, ,,4,78,100,-22,2499.0
6:12.0, ,78-100,Turnover by Z. Simpson (bad pass),,4,78,100,-22,2508.0
6:02.0,M. Sasser makes 2-pt jump shot from 15 ft,80-100, ,,4,80,100,-20,2518.0
5:43.0, ,80-100,Turnover by J. LaRavia (lost ball; steal by J. Rhoden),,4,80,100,-20,2537.0
5:40.0,Shooting foul by J. Goodwin (drawn by J. Rhoden),80-100, ,,4,80,100,-20,2540.0
5:40.0,J. Rhoden misses free throw 1 of 2,80-100, ,,4,80,100,-20,2540.0
5:40.0,Offensive rebound by Team,80-100, ,,4,80,100,-20,2540.0
5:40.0,J. Rhoden makes free throw 2 of 2,81-100, ,,4,81,100,-19,2540.0
5:24.0, ,81-100,T. Jemison misses 2-pt layup from 4 ft,,4,81,100,-19,2556.0
5:24.0, ,81-100,Offensive rebound by Team,,4,81,100,-19,2556.0
5:22.0, ,81-100,J. Goodwin misses 2-pt layup from 3 ft,,4,81,100,-19,2558.0
5:21.0, ,81-100,Offensive rebound by J. Goodwin,,4,81,100,-19,2559.0
5:20.0, ,81-100,J. Goodwin misses 2-pt layup from 2 ft,,4,81,100,-19,2560.0
5:20.0, ,81-100,Offensive rebound by T. Jemison,,4,81,100,-19,2560.0
5:15.0, ,81-102,T. Jemison makes 2-pt layup at rim,,4,81,102,-21,2565.0
5:04.0,C. Metu misses 3-pt jump shot from 26 ft,81-102, ,,4,81,102,-21,2576.0
5:03.0, ,81-102,Defensive rebound by Team,,4,81,102,-21,2577.0
5:03.0, ,81-102,M. Pereira enters the game for J. LaRavia,,4,81,102,-21,2577.0
4:41.0, ,81-102,J. Goodwin misses 2-pt layup from 3 ft,,4,81,102,-21,2599.0
4:37.0, ,81-102,Offensive rebound by T. Jemison,,4,81,102,-21,2603.0
4:37.0, ,81-104,T. Jemison makes 2-pt layup at rim,,4,81,104,-23,2603.0
4:26.0,M. Sasser misses 2-pt jump shot from 21 ft,81-104, ,,4,81,104,-23,2614.0
4:24.0, ,81-104,Defensive rebound by M. Pereira,,4,81,104,-23,2616.0
4:17.0, ,81-104,Z. Simpson misses 3-pt jump shot from 25 ft,,4,81,104,-23,2623.0
4:13.0,Defensive rebound by C. Metu,81-104, ,,4,81,104,-23,2627.0
4:08.0,J. Ivey misses 2-pt layup from 3 ft,81-104, ,,4,81,104,-23,2632.0
4:05.0, ,81-104,Defensive rebound by M. Pereira,,4,81,104,-23,2635.0
4:00.0, ,81-106,L. Stevens makes 2-pt jump shot from 6 ft (assist by J. Goodwin),,4,81,106,-25,2640.0
3:58.0,Detroit full timeout,81-106, ,,4,81,106,-25,2642.0
3:58.0,B. Boeheim enters the game for J. Ivey,81-106, ,,4,81,106,-25,2642.0
3:58.0, ,81-106,S. Pippen  enters the game for J. Goodwin,,4,81,106,-25,2642.0
3:44.0,Shooting foul by Z. Simpson (drawn by J. Nowell),81-106, ,,4,81,106,-25,2656.0
3:44.0,J. Nowell makes free throw 1 of 2,82-106, ,,4,82,106,-24,2656.0
3:44.0,J. Nowell makes free throw 2 of 2,83-106, ,,4,83,106,-23,2656.0
3:28.0, ,83-106,S. Pippen  misses 3-pt jump shot from 26 ft,,4,83,106,-23,2672.0
3:25.0,Defensive rebound by C. Metu,83-106, ,,4,83,106,-23,2675.0
3:19.0,J. Nowell makes 2-pt jump shot from 9 ft,85-106, ,,4,85,106,-21,2681.0
2:57.0, ,85-106,Turnover by T. Jemison (out of bounds lost ball),,4,85,106,-21,2703.0
2:43.0,J. Rhoden makes 3-pt jump shot from 25 ft (assist by J. Nowell),88-106, ,,4,88,106,-18,2717.0
2:22.0, ,88-106,M. Pereira misses 3-pt jump shot from 23 ft,,4,88,106,-18,2738.0
2:19.0,Defensive rebound by M. Sasser,88-106, ,,4,88,106,-18,2741.0
2:12.0,Turnover by M. Sasser (bad pass),88-106, ,,4,88,106,-18,2748.0
1:51.0, ,88-106,S. Pippen  misses 3-pt jump shot from 25 ft,,4,88,106,-18,2769.0
1:47.0, ,88-106,Offensive rebound by T. Jemison,,4,88,106,-18,2773.0
1:44.0, ,88-106,L. Stevens misses 3-pt jump shot from 26 ft,,4,88,106,-18,2776.0
1:41.0,Defensive rebound by C. Metu,88-106, ,,4,88,106,-18,2779.0
1:30.0,B. Boeheim misses 2-pt jump shot from 20 ft,88-106, ,,4,88,106,-18,2790.0
1:25.0,Offensive rebound by J. Nowell,88-106, ,,4,88,106,-18,2795.0
1:25.0,J. Nowell misses 2-pt jump shot from 4 ft,88-106, ,,4,88,106,-18,2795.0
1:21.0, ,88-106,Defensive rebound by L. Stevens,,4,88,106,-18,2799.0
1:09.0, ,88-106,Z. Simpson misses 2-pt layup from 3 ft,,4,88,106,-18,2811.0
1:07.0, ,88-106,Offensive rebound by S. Pippen ,,4,88,106,-18,2813.0
1:04.0, ,88-106,Turnover by S. Pippen  (lost ball; steal by C. Metu),,4,88,106,-18,2816.0
1:03.0,J. Nowell makes 2-pt dunk from 1 ft (assist by C. Metu),90-106, ,,4,90,106,-16,2817.0
0:43.0, ,90-108,S. Pippen  makes 2-pt jump shot from 6 ft,,4,90,108,-18,2837.0
0:32.0,J. Rhoden misses 2-pt jump shot from 11 ft,90-108, ,,4,90,108,-18,2848.0
0:30.0,Offensive rebound by C. Metu,90-108, ,,4,90,108,-18,2850.0
0:28.0,B. Boeheim misses 3-pt jump shot from 24 ft,90-108, ,,4,90,108,-18,2852.0
0:26.0, ,90-108,Defensive rebound by M. Pereira,,4,90,108,-18,2854.0
0:04.0, ,90-108,Turnover by Team (shot clock),,4,90,108,-18,2876.0
0:00.0,End of 4th quarter,90-108,,,4,90,108,-18,2880.0
