Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:27.0,K. Hayes misses 2-pt jump shot from 5 ft,48-76, ,,3,48,76,-28,1713.0
7:25.0, ,48-76,Defensive rebound by J. Embiid,,3,48,76,-28,1715.0
7:21.0, ,48-76,Shooting foul by J. Wiseman (drawn by J. Embiid),,3,48,76,-28,1719.0
7:21.0, ,48-77,J. Embiid makes free throw 1 of 2,,3,48,77,-29,1719.0
7:21.0,J. Ivey enters the game for A. Thompson,48-77, ,,3,48,77,-29,1719.0
7:21.0, ,48-78,J. Embiid makes free throw 2 of 2,,3,48,78,-30,1719.0
7:13.0,J. Wiseman makes 2-pt jump shot from 17 ft (assist by J. Ivey),50-78, ,,3,50,78,-28,1727.0
6:56.0, ,50-80,J. Embiid makes 2-pt jump shot from 17 ft (assist by T. Maxey),,3,50,80,-30,1744.0
6:37.0,J. Wiseman misses 2-pt jump shot from 7 ft,50-80, ,,3,50,80,-30,1763.0
6:35.0, ,50-80,Defensive rebound by N. Batum,,3,50,80,-30,1765.0
6:25.0, ,50-80,J. Embiid misses 2-pt jump shot from 19 ft,,3,50,80,-30,1775.0
6:19.0, ,50-80,Offensive rebound by N. Batum,,3,50,80,-30,1781.0
6:19.0, ,50-82,N. Batum makes 2-pt layup at rim,,3,50,82,-32,1781.0
6:14.0,Personal foul by T. Maxey (drawn by J. Ivey),50-82, ,,3,50,82,-32,1786.0
6:14.0, ,50-82,Philadelphia full timeout,,3,50,82,-32,1786.0
6:14.0, ,50-82,P. Beverley enters the game for T. Maxey,,3,50,82,-32,1786.0
6:03.0,J. Wiseman makes 2-pt hook shot from 10 ft (assist by J. Ivey),52-82, ,,3,52,82,-30,1797.0
5:46.0, ,52-82,Offensive foul by T. Harris (drawn by J. Ivey),,3,52,82,-30,1814.0
5:46.0, ,52-82,Turnover by T. Harris (offensive foul),,3,52,82,-30,1814.0
5:42.0,Personal foul by D. Melton (drawn by J. Ivey),52-82, ,,3,52,82,-30,1818.0
5:28.0,Turnover by J. Ivey (bad pass; steal by P. Beverley),52-82, ,,3,52,82,-30,1832.0
5:22.0, ,52-82,T. Harris misses 2-pt layup from 2 ft (block by C. Cunningham),,3,52,82,-30,1838.0
5:19.0,Defensive rebound by J. Wiseman,52-82, ,,3,52,82,-30,1841.0
5:15.0,Turnover by C. Cunningham (bad pass; steal by T. Harris),52-82, ,,3,52,82,-30,1845.0
4:58.0, ,52-84,T. Harris makes 2-pt jump shot from 15 ft,,3,52,84,-32,1862.0
4:37.0,Turnover by J. Wiseman (lost ball; steal by J. Embiid),52-84, ,,3,52,84,-32,1883.0
4:33.0, ,52-84,Shooting foul by C. Cunningham (drawn by J. Embiid),,3,52,84,-32,1887.0
4:33.0, ,52-85,J. Embiid makes free throw 1 of 2,,3,52,85,-33,1887.0
4:33.0,J. Harris enters the game for B. Bogdanović,52-85, ,,3,52,85,-33,1887.0
4:33.0,I. Livers enters the game for C. Cunningham,52-85, ,,3,52,85,-33,1887.0
4:33.0,M. Sasser enters the game for K. Hayes,52-85, ,,3,52,85,-33,1887.0
4:33.0, ,52-85,K. Oubre enters the game for N. Batum,,3,52,85,-33,1887.0
4:33.0, ,52-85,J. Embiid misses free throw 2 of 2,,3,52,85,-33,1887.0
4:30.0,Defensive rebound by J. Wiseman,52-85, ,,3,52,85,-33,1890.0
4:12.0,J. Ivey misses 2-pt jump shot from 18 ft,52-85, ,,3,52,85,-33,1908.0
4:07.0, ,52-85,Defensive rebound by T. Harris,,3,52,85,-33,1913.0
4:01.0, ,52-85,J. Embiid misses 2-pt jump shot from 12 ft,,3,52,85,-33,1919.0
3:59.0,Defensive rebound by J. Ivey,52-85, ,,3,52,85,-33,1921.0
3:57.0,J. Ivey makes 2-pt jump shot from 13 ft,54-85, ,,3,54,85,-31,1923.0
3:57.0, ,54-85,Violation by Team (def goaltending),,3,54,85,-31,1923.0
3:57.0,Shooting foul by D. Melton (drawn by J. Ivey),54-85, ,,3,54,85,-31,1923.0
3:57.0,J. Ivey makes free throw 1 of 1,55-85, ,,3,55,85,-30,1923.0
3:46.0, ,55-85,D. Melton misses 2-pt jump shot from 17 ft,,3,55,85,-30,1934.0
3:44.0, ,55-85,Offensive rebound by D. Melton,,3,55,85,-30,1936.0
3:42.0, ,55-85,T. Harris misses 3-pt jump shot from 26 ft,,3,55,85,-30,1938.0
3:39.0,Defensive rebound by J. Wiseman,55-85, ,,3,55,85,-30,1941.0
3:31.0,M. Sasser makes 2-pt jump shot from 13 ft,57-85, ,,3,57,85,-28,1949.0
3:12.0, ,57-85,K. Oubre misses 2-pt jump shot from 11 ft,,3,57,85,-28,1968.0
3:10.0,Defensive rebound by J. Ivey,57-85, ,,3,57,85,-28,1970.0
3:07.0,J. Harris misses 3-pt jump shot from 27 ft,57-85, ,,3,57,85,-28,1973.0
3:04.0, ,57-85,Defensive rebound by T. Harris,,3,57,85,-28,1976.0
2:55.0, ,57-85,T. Harris misses 2-pt layup from 8 ft (block by I. Livers),,3,57,85,-28,1985.0
2:54.0, ,57-85,Offensive rebound by T. Harris,,3,57,85,-28,1986.0
2:54.0, ,57-85,Shooting foul by I. Livers (drawn by T. Harris),,3,57,85,-28,1986.0
2:54.0,Detroit full timeout,57-85, ,,3,57,85,-28,1986.0
2:54.0, ,57-85,T. Maxey enters the game for D. Melton,,3,57,85,-28,1986.0
2:54.0, ,57-86,T. Harris makes free throw 1 of 2,,3,57,86,-29,1986.0
2:54.0, ,57-87,T. Harris makes free throw 2 of 2,,3,57,87,-30,1986.0
2:44.0,Turnover by J. Wiseman (bad pass; steal by T. Maxey),57-87, ,,3,57,87,-30,1996.0
2:44.0, ,57-87,M. Morris enters the game for T. Harris,,3,57,87,-30,1996.0
2:43.0, ,57-87,Turnover by T. Maxey (traveling),,3,57,87,-30,1997.0
2:27.0,I. Livers misses 3-pt jump shot from 27 ft,57-87, ,,3,57,87,-30,2013.0
2:24.0, ,57-87,Defensive rebound by J. Embiid,,3,57,87,-30,2016.0
2:09.0, ,57-89,T. Maxey makes 2-pt jump shot from 7 ft,,3,57,89,-32,2031.0
2:09.0, ,57-89,Shooting foul by J. Ivey (drawn by T. Maxey),,3,57,89,-32,2031.0
2:09.0, ,57-89,T. Maxey misses free throw 1 of 1,,3,57,89,-32,2031.0
2:07.0,Defensive rebound by J. Wiseman,57-89, ,,3,57,89,-32,2033.0
1:56.0,M. Sasser makes 2-pt layup from 2 ft,59-89, ,,3,59,89,-30,2044.0
1:35.0, ,59-89,T. Maxey misses 2-pt layup from 3 ft,,3,59,89,-30,2065.0
1:33.0,Defensive rebound by J. Harris,59-89, ,,3,59,89,-30,2067.0
1:29.0,J. Ivey misses 3-pt jump shot from 26 ft,59-89, ,,3,59,89,-30,2071.0
1:26.0, ,59-89,Defensive rebound by J. Embiid,,3,59,89,-30,2074.0
1:23.0, ,59-89,Offensive foul by J. Embiid (drawn by J. Harris),,3,59,89,-30,2077.0
1:23.0, ,59-89,Turnover by J. Embiid (offensive foul),,3,59,89,-30,2077.0
1:12.0,J. Wiseman misses 2-pt hook shot from 8 ft,59-89, ,,3,59,89,-30,2088.0
1:10.0, ,59-89,Defensive rebound by J. Embiid,,3,59,89,-30,2090.0
0:56.0, ,59-92,J. Embiid makes 3-pt jump shot from 25 ft,,3,59,92,-33,2104.0
0:45.0,J. Ivey misses 2-pt layup from 3 ft (block by J. Embiid),59-92, ,,3,59,92,-33,2115.0
0:45.0,Offensive rebound by Team,59-92, ,,3,59,92,-33,2115.0
0:45.0, ,59-92,R. Covington enters the game for J. Embiid,,3,59,92,-33,2115.0
0:38.0,J. Harris makes 3-pt jump shot from 28 ft (assist by M. Sasser),62-92, ,,3,62,92,-30,2122.0
0:23.0, ,62-92,K. Oubre misses 3-pt jump shot from 27 ft,,3,62,92,-30,2137.0
0:20.0,Defensive rebound by M. Sasser,62-92, ,,3,62,92,-30,2140.0
0:03.0,Turnover by M. Sasser (lost ball; steal by P. Beverley),62-92, ,,3,62,92,-30,2157.0
0:01.0, ,62-94,K. Oubre makes 2-pt dunk from 1 ft,,3,62,94,-32,2159.0
0:00.0,J. Ivey misses 3-pt jump shot from 50 ft,62-94, ,,3,62,94,-32,2160.0
0:00.0,Offensive rebound by Team,62-94, ,,3,62,94,-32,2160.0
0:00.0,End of 3rd quarter,62-94,,,3,62,94,-32,2160.0
12:00.0,Start of 4th quarter,62-94,,,4,62,94,-32,2160.0
11:47.0, ,62-94,M. Morris misses 2-pt layup from 2 ft,,4,62,94,-32,2173.0
11:44.0, ,62-94,Offensive rebound by K. Oubre,,4,62,94,-32,2176.0
11:43.0, ,62-94,K. Oubre misses 2-pt jump shot from 4 ft (block by J. Wiseman),,4,62,94,-32,2177.0
11:43.0, ,62-94,Offensive rebound by Team,,4,62,94,-32,2177.0
11:42.0,Loose ball foul by J. Harris (drawn by M. Morris),62-94, ,,4,62,94,-32,2178.0
11:34.0, ,62-94,M. Morris misses 2-pt jump shot from 17 ft,,4,62,94,-32,2186.0
11:29.0, ,62-94,Offensive rebound by D. House,,4,62,94,-32,2191.0
11:29.0, ,62-94,D. House misses 2-pt layup at rim,,4,62,94,-32,2191.0
11:28.0, ,62-94,Offensive rebound by P. Reed,,4,62,94,-32,2192.0
11:27.0, ,62-94,J. Springer misses 3-pt jump shot from 27 ft,,4,62,94,-32,2193.0
11:23.0, ,62-94,Offensive rebound by D. House,,4,62,94,-32,2197.0
11:16.0, ,62-97,M. Morris makes 3-pt jump shot from 28 ft,,4,62,97,-35,2204.0
10:57.0,A. Burks misses 3-pt jump shot from 27 ft,62-97, ,,4,62,97,-35,2223.0
10:53.0, ,62-97,Defensive rebound by P. Reed,,4,62,97,-35,2227.0
10:45.0, ,62-97,Turnover by M. Morris (lost ball; steal by M. Sasser),,4,62,97,-35,2235.0
10:41.0,J. Wiseman makes 2-pt dunk from 2 ft (assist by M. Sasser),64-97, ,,4,64,97,-33,2239.0
10:20.0, ,64-97,P. Reed misses 2-pt layup from 2 ft,,4,64,97,-33,2260.0
10:19.0, ,64-97,Offensive rebound by Team,,4,64,97,-33,2261.0
10:19.0,I. Stewart enters the game for J. Wiseman,64-97, ,,4,64,97,-33,2261.0
10:13.0, ,64-99,K. Oubre makes 2-pt jump shot from 20 ft,,4,64,99,-35,2267.0
9:55.0,I. Stewart makes 2-pt layup from 5 ft,66-99, ,,4,66,99,-33,2285.0
9:33.0, ,66-102,M. Morris makes 3-pt jump shot from 24 ft (assist by J. Springer),,4,66,102,-36,2307.0
9:17.0,Turnover by M. Sasser (bad pass; steal by J. Springer),66-102, ,,4,66,102,-36,2323.0
9:11.0, ,66-102,K. Oubre misses 2-pt layup from 6 ft (block by M. Sasser),,4,66,102,-36,2329.0
9:08.0,Defensive rebound by M. Sasser,66-102, ,,4,66,102,-36,2332.0
9:04.0,Personal foul by K. Oubre (drawn by M. Sasser),66-102, ,,4,66,102,-36,2336.0
9:01.0, ,66-102,Violation by Team (kicked ball),,4,66,102,-36,2339.0
9:01.0, ,66-102,M. Bamba enters the game for M. Morris,,4,66,102,-36,2339.0
9:01.0, ,66-102,R. Covington enters the game for K. Oubre,,4,66,102,-36,2339.0
8:55.0,A. Burks misses 3-pt jump shot from 28 ft,66-102, ,,4,66,102,-36,2345.0
8:52.0, ,66-102,Defensive rebound by D. House,,4,66,102,-36,2348.0
8:46.0, ,66-102,Turnover by P. Reed (traveling),,4,66,102,-36,2354.0
8:35.0,Shooting foul by J. Springer (drawn by M. Sasser),66-102, ,,4,66,102,-36,2365.0
8:35.0,M. Sasser misses free throw 1 of 2,66-102, ,,4,66,102,-36,2365.0
8:35.0,Offensive rebound by Team,66-102, ,,4,66,102,-36,2365.0
8:35.0,M. Sasser misses free throw 2 of 2,66-102, ,,4,66,102,-36,2365.0
8:32.0, ,66-102,Defensive rebound by R. Covington,,4,66,102,-36,2368.0
8:17.0, ,66-102,J. Springer misses 2-pt jump shot from 20 ft,,4,66,102,-36,2383.0
8:15.0,Defensive rebound by I. Stewart,66-102, ,,4,66,102,-36,2385.0
8:03.0,M. Sasser makes 3-pt jump shot from 30 ft (assist by J. Harris),69-102, ,,4,69,102,-33,2397.0
7:45.0, ,69-104,J. Springer makes 2-pt jump shot from 15 ft,,4,69,104,-35,2415.0
7:19.0,I. Stewart misses 2-pt jump shot from 21 ft,69-104, ,,4,69,104,-35,2441.0
7:17.0, ,69-104,Defensive rebound by M. Bamba,,4,69,104,-35,2443.0
7:08.0, ,69-104,Turnover by R. Covington (lost ball; steal by I. Livers),,4,69,104,-35,2452.0
7:02.0,I. Livers misses 2-pt layup from 5 ft (block by M. Bamba),69-104, ,,4,69,104,-35,2458.0
6:59.0, ,69-104,Defensive rebound by J. Springer,,4,69,104,-35,2461.0
6:55.0, ,69-107,D. House makes 3-pt jump shot from 24 ft (assist by J. Springer),,4,69,107,-38,2465.0
6:31.0, ,69-107,Violation by Team (kicked ball),,4,69,107,-38,2489.0
6:31.0, ,69-107,Philadelphia full timeout,,4,69,107,-38,2489.0
6:31.0,A. Thompson enters the game for A. Burks,69-107, ,,4,69,107,-38,2489.0
6:31.0,J. Wiseman enters the game for I. Stewart,69-107, ,,4,69,107,-38,2489.0
6:31.0, ,69-107,F. Korkmaz enters the game for R. Covington,,4,69,107,-38,2489.0
6:31.0, ,69-107,K. Martin enters the game for P. Reed,,4,69,107,-38,2489.0
6:25.0,I. Livers makes 2-pt jump shot from 21 ft (assist by M. Sasser),71-107, ,,4,71,107,-36,2495.0
6:09.0, ,71-107,K. Martin misses 2-pt dunk from 4 ft (block by A. Thompson),,4,71,107,-36,2511.0
6:05.0, ,71-107,Offensive rebound by K. Martin,,4,71,107,-36,2515.0
6:04.0, ,71-109,K. Martin makes 2-pt layup from 2 ft,,4,71,109,-38,2516.0
5:49.0,J. Harris misses 3-pt jump shot from 26 ft,71-109, ,,4,71,109,-38,2531.0
5:46.0, ,71-109,Defensive rebound by F. Korkmaz,,4,71,109,-38,2534.0
5:41.0, ,71-112,M. Bamba makes 3-pt jump shot from 24 ft (assist by D. House),,4,71,112,-41,2539.0
5:24.0,Personal foul by D. House (drawn by M. Sasser),71-112, ,,4,71,112,-41,2556.0
5:24.0,J. Ivey enters the game for J. Harris,71-112, ,,4,71,112,-41,2556.0
5:18.0,J. Ivey makes 2-pt jump shot from 13 ft (assist by M. Sasser),73-112, ,,4,73,112,-39,2562.0
5:18.0,Shooting foul by M. Bamba (drawn by J. Ivey),73-112, ,,4,73,112,-39,2562.0
5:18.0,J. Ivey makes free throw 1 of 1,74-112, ,,4,74,112,-38,2562.0
5:01.0, ,74-112,Personal foul by M. Sasser (drawn by J. Springer),,4,74,112,-38,2579.0
4:53.0, ,74-112,D. House misses 2-pt jump shot from 6 ft,,4,74,112,-38,2587.0
4:50.0, ,74-112,Offensive rebound by M. Bamba,,4,74,112,-38,2590.0
4:50.0, ,74-112,M. Bamba misses 2-pt layup at rim,,4,74,112,-38,2590.0
4:50.0,Defensive rebound by J. Wiseman,74-112, ,,4,74,112,-38,2590.0
4:48.0,Shooting foul by F. Korkmaz (drawn by I. Livers),74-112, ,,4,74,112,-38,2592.0
4:48.0,I. Livers makes free throw 1 of 2,75-112, ,,4,75,112,-37,2592.0
4:48.0,I. Livers misses free throw 2 of 2,75-112, ,,4,75,112,-37,2592.0
4:46.0, ,75-112,Defensive rebound by M. Bamba,,4,75,112,-37,2594.0
4:35.0, ,75-112,F. Korkmaz misses 3-pt jump shot from 24 ft,,4,75,112,-37,2605.0
4:33.0, ,75-112,Offensive rebound by D. House,,4,75,112,-37,2607.0
4:32.0, ,75-112,J. Springer misses 3-pt jump shot from 29 ft,,4,75,112,-37,2608.0
4:32.0,Defensive rebound by I. Livers,75-112, ,,4,75,112,-37,2608.0
4:20.0,J. Wiseman makes 2-pt hook shot from 10 ft (assist by I. Livers),77-112, ,,4,77,112,-35,2620.0
4:03.0, ,77-112,F. Korkmaz misses 3-pt jump shot from 27 ft,,4,77,112,-35,2637.0
4:00.0, ,77-112,Offensive rebound by J. Springer,,4,77,112,-35,2640.0
3:59.0, ,77-112,J. Springer misses 2-pt layup from 2 ft,,4,77,112,-35,2641.0
3:55.0,Defensive rebound by I. Livers,77-112, ,,4,77,112,-35,2645.0
3:52.0,A. Thompson makes 2-pt dunk at rim (assist by I. Livers),79-112, ,,4,79,112,-33,2648.0
3:32.0, ,79-112,J. Springer misses 2-pt jump shot from 5 ft,,4,79,112,-33,2668.0
3:30.0,Defensive rebound by A. Thompson,79-112, ,,4,79,112,-33,2670.0
3:28.0,J. Ivey makes 2-pt layup from 2 ft (assist by A. Thompson),81-112, ,,4,81,112,-31,2672.0
3:28.0,Shooting foul by M. Bamba (drawn by J. Ivey),81-112, ,,4,81,112,-31,2672.0
3:28.0,J. Ivey makes free throw 1 of 1,82-112, ,,4,82,112,-30,2672.0
3:13.0, ,82-112,D. House misses 3-pt jump shot from 28 ft,,4,82,112,-30,2687.0
3:10.0,Defensive rebound by J. Ivey,82-112, ,,4,82,112,-30,2690.0
3:05.0,A. Thompson misses 2-pt layup from 3 ft (block by J. Springer),82-112, ,,4,82,112,-30,2695.0
3:03.0, ,82-112,Defensive rebound by M. Bamba,,4,82,112,-30,2697.0
2:58.0, ,82-114,J. Springer makes 2-pt layup from 1 ft (assist by D. House),,4,82,114,-32,2702.0
2:39.0,M. Sasser makes 2-pt layup from 3 ft,84-114, ,,4,84,114,-30,2721.0
2:22.0, ,84-116,J. Springer makes 2-pt jump shot from 9 ft (assist by F. Korkmaz),,4,84,116,-32,2738.0
2:10.0,Turnover by J. Ivey (bad pass; steal by J. Springer),84-116, ,,4,84,116,-32,2750.0
2:07.0, ,84-118,K. Martin makes 2-pt dunk at rim (assist by J. Springer),,4,84,118,-34,2753.0
1:51.0,Shooting foul by D. House (drawn by J. Ivey),84-118, ,,4,84,118,-34,2769.0
1:51.0,Detroit full timeout,84-118, ,,4,84,118,-34,2769.0
1:51.0,J. Ivey makes free throw 1 of 2,85-118, ,,4,85,118,-33,2769.0
1:51.0,J. Ivey makes free throw 2 of 2,86-118, ,,4,86,118,-32,2769.0
1:35.0, ,86-121,F. Korkmaz makes 3-pt jump shot from 26 ft (assist by K. Martin),,4,86,121,-35,2785.0
1:28.0,Personal foul by J. Springer (drawn by A. Thompson),86-121, ,,4,86,121,-35,2792.0
1:28.0,A. Thompson makes free throw 1 of 2,87-121, ,,4,87,121,-34,2792.0
1:28.0,A. Thompson makes free throw 2 of 2,88-121, ,,4,88,121,-33,2792.0
1:11.0, ,88-121,D. House misses 3-pt jump shot from 24 ft,,4,88,121,-33,2809.0
1:08.0,Defensive rebound by A. Thompson,88-121, ,,4,88,121,-33,2812.0
0:59.0,J. Wiseman makes 2-pt hook shot from 6 ft (assist by J. Ivey),90-121, ,,4,90,121,-31,2821.0
0:41.0, ,90-124,J. Springer makes 3-pt jump shot from 26 ft,,4,90,124,-34,2839.0
0:28.0,Personal foul by J. Springer (drawn by M. Sasser),90-124, ,,4,90,124,-34,2852.0
0:28.0,M. Sasser makes free throw 1 of 2,91-124, ,,4,91,124,-33,2852.0
0:28.0,M. Sasser makes free throw 2 of 2,92-124, ,,4,92,124,-32,2852.0
0:04.0, ,92-124,Turnover by Team (shot clock),,4,92,124,-32,2876.0
0:00.0,End of 4th quarter,92-124,,,4,92,124,-32,2880.0
