Time,Detroit,Score,Philadelphia,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:38.0, ,5-7,Shooting foul by K. Hayes (drawn by T. Harris),,1,5,7,-2,202.0
8:38.0, ,5-8,T. Harris makes free throw 1 of 2,,1,5,8,-3,202.0
8:38.0, ,5-9,T. Harris makes free throw 2 of 2,,1,5,9,-4,202.0
8:22.0,Turnover by K. Hayes (lost ball; steal by N. Batum),5-9, ,,1,5,9,-4,218.0
8:19.0, ,5-11,T. Maxey makes 2-pt layup from 1 ft (assist by D. Melton),,1,5,11,-6,221.0
8:19.0,Detroit full timeout,5-11, ,,1,5,11,-6,221.0
8:19.0,J. Ivey enters the game for K. Hayes,5-11, ,,1,5,11,-6,221.0
8:00.0,Turnover by C. Cunningham (bad pass),5-11, ,,1,5,11,-6,240.0
7:43.0, ,5-13,T. Harris makes 2-pt jump shot from 9 ft,,1,5,13,-8,257.0
7:29.0,Turnover by B. Bogdanović (bad pass; steal by N. Batum),5-13, ,,1,5,13,-8,271.0
7:19.0, ,5-13,T. Maxey misses 3-pt jump shot from 27 ft,,1,5,13,-8,281.0
7:16.0,Defensive rebound by I. Stewart,5-13, ,,1,5,13,-8,284.0
7:08.0,Turnover by C. Cunningham (bad pass; steal by T. Harris),5-13, ,,1,5,13,-8,292.0
6:57.0, ,5-13,Turnover by T. Harris (out of bounds lost ball),,1,5,13,-8,303.0
6:33.0,I. Stewart misses 2-pt jump shot from 13 ft,5-13, ,,1,5,13,-8,327.0
6:30.0, ,5-13,Defensive rebound by J. Embiid,,1,5,13,-8,330.0
6:27.0, ,5-15,T. Harris makes 2-pt dunk from 1 ft (assist by N. Batum),,1,5,15,-10,333.0
6:13.0,B. Bogdanović misses 3-pt jump shot from 26 ft,5-15, ,,1,5,15,-10,347.0
6:10.0,Offensive rebound by J. Ivey,5-15, ,,1,5,15,-10,350.0
6:09.0,J. Ivey misses 2-pt jump shot from 13 ft,5-15, ,,1,5,15,-10,351.0
6:06.0, ,5-15,Defensive rebound by J. Embiid,,1,5,15,-10,354.0
6:02.0, ,5-15,Personal foul by B. Bogdanović (drawn by D. Melton),,1,5,15,-10,358.0
5:56.0, ,5-15,J. Embiid misses 2-pt jump shot from 10 ft (block by I. Stewart),,1,5,15,-10,364.0
5:54.0,Defensive rebound by I. Stewart,5-15, ,,1,5,15,-10,366.0
5:54.0, ,5-15,P. Beverley enters the game for T. Maxey,,1,5,15,-10,366.0
5:51.0,Turnover by J. Ivey (lost ball),5-15, ,,1,5,15,-10,369.0
5:51.0,Loose ball foul by I. Stewart (drawn by D. Melton),5-15, ,,1,5,15,-10,369.0
5:51.0,Instant Replay (Request: Ruling Stands),5-15, ,,1,5,15,-10,369.0
5:51.0,I. Livers enters the game for A. Thompson,5-15, ,,1,5,15,-10,369.0
5:31.0, ,5-15,D. Melton misses 3-pt jump shot from 28 ft,,1,5,15,-10,389.0
5:28.0,Defensive rebound by Team,5-15, ,,1,5,15,-10,392.0
5:14.0,Turnover by J. Ivey (lost ball; steal by D. Melton),5-15, ,,1,5,15,-10,406.0
5:11.0, ,5-15,Shooting foul by I. Livers (drawn by J. Embiid),,1,5,15,-10,409.0
5:11.0, ,5-16,J. Embiid makes free throw 1 of 2,,1,5,16,-11,409.0
