Time,Toronto,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: K. Olynyk vs. J. Duren (I. Quickley gains possession),0-0,,,1,0,0,0,0.0
11:36.0,K. Olynyk makes 2-pt layup from 5 ft (assist by O. Agbaji),2-0, ,,1,0,2,-2,24.0
11:23.0, ,2-2,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),Tie,1,2,2,0,37.0
11:05.0,B. Brown misses 2-pt jump shot from 7 ft,2-2, ,,1,2,2,0,55.0
11:03.0, ,2-2,Defensive rebound by J. Duren,,1,2,2,0,57.0
10:47.0, ,2-2,S. Fontecchio misses 2-pt jump shot from 7 ft,,1,2,2,0,73.0
10:46.0, ,2-2,Offensive rebound by J. Duren,,1,2,2,0,74.0
10:43.0, ,2-2,Turnover by J. Duren (bad pass),,1,2,2,0,77.0
10:37.0,G. Dick misses 2-pt jump shot from 15 ft,2-2, ,,1,2,2,0,83.0
10:34.0, ,2-2,Defensive rebound by I. Stewart,,1,2,2,0,86.0
10:26.0, ,2-2,S. Fontecchio misses 3-pt jump shot from 26 ft,,1,2,2,0,94.0
10:24.0,Defensive rebound by O. Agbaji,2-2, ,,1,2,2,0,96.0
10:21.0,I. Quickley misses 3-pt jump shot from 29 ft,2-2, ,,1,2,2,0,99.0
10:21.0, ,2-2,Defensive rebound by J. Duren,,1,2,2,0,99.0
10:05.0, ,2-2,Offensive foul by J. Duren (drawn by K. Olynyk),,1,2,2,0,115.0
10:05.0, ,2-2,Turnover by J. Duren (offensive foul),,1,2,2,0,115.0
9:51.0,O. Agbaji misses 2-pt layup from 4 ft,2-2, ,,1,2,2,0,129.0
9:49.0, ,2-2,Defensive rebound by C. Cunningham,,1,2,2,0,131.0
9:46.0, ,2-2,J. Ivey misses 3-pt jump shot from 27 ft,,1,2,2,0,134.0
9:45.0, ,2-2,Offensive rebound by J. Duren,,1,2,2,0,135.0
9:45.0, ,2-4,J. Duren makes 2-pt dunk at rim,Lead change,1,4,2,2,135.0
9:32.0,I. Quickley makes 3-pt jump shot from 27 ft,5-4, ,Lead change,1,4,5,-1,148.0
9:17.0, ,5-6,C. Cunningham makes 2-pt jump shot from 13 ft (assist by J. Duren),Lead change,1,6,5,1,163.0
9:06.0,Turnover by K. Olynyk (bad pass; steal by C. Cunningham),5-6, ,,1,6,5,1,174.0
9:00.0, ,5-8,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),,1,8,5,3,180.0
8:43.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by I. Quickley),8-8, ,Tie,1,8,8,0,197.0
8:22.0, ,8-8,C. Cunningham misses 2-pt jump shot from 13 ft,,1,8,8,0,218.0
8:20.0,Defensive rebound by G. Dick,8-8, ,,1,8,8,0,220.0
8:08.0,B. Brown misses 2-pt layup from 4 ft,8-8, ,,1,8,8,0,232.0
8:06.0, ,8-8,Defensive rebound by J. Duren,,1,8,8,0,234.0
7:56.0, ,8-10,J. Ivey makes 2-pt jump shot from 9 ft (assist by C. Cunningham),,1,10,8,2,244.0
7:44.0,G. Dick makes 2-pt layup from 3 ft (assist by K. Olynyk),10-10, ,Tie,1,10,10,0,256.0
7:31.0, ,10-10,C. Cunningham misses 2-pt layup from 4 ft (block by K. Olynyk),,1,10,10,0,269.0
7:29.0, ,10-10,Offensive rebound by J. Duren,,1,10,10,0,271.0
7:29.0, ,10-12,J. Duren makes 2-pt dunk at rim,,1,12,10,2,271.0
7:15.0,I. Quickley misses 2-pt jump shot from 20 ft,10-12, ,,1,12,10,2,285.0
7:13.0,Offensive rebound by K. Olynyk,10-12, ,,1,12,10,2,287.0
7:13.0,K. Olynyk makes 2-pt layup from 1 ft,12-12, ,Tie,1,12,12,0,287.0
6:54.0, ,12-14,I. Stewart makes 2-pt layup from 3 ft (assist by J. Duren),,1,14,12,2,306.0
6:53.0,Toronto full timeout,12-14, ,,1,14,12,2,307.0
6:53.0,J. Nwora enters the game for B. Brown,12-14, ,,1,14,12,2,307.0
6:40.0,J. Nwora misses 3-pt jump shot from 27 ft,12-14, ,,1,14,12,2,320.0
6:37.0, ,12-14,Defensive rebound by J. Duren,,1,14,12,2,323.0
6:28.0, ,12-14,Personal foul by I. Quickley (drawn by I. Stewart),,1,14,12,2,332.0
6:21.0, ,12-14,J. Ivey misses 2-pt layup from 4 ft,,1,14,12,2,339.0
6:19.0, ,12-14,Offensive rebound by J. Duren,,1,14,12,2,341.0
6:19.0, ,12-16,J. Duren makes 2-pt dunk at rim,,1,16,12,4,341.0
5:58.0,Shooting foul by J. Duren (drawn by I. Quickley),12-16, ,,1,16,12,4,362.0
5:58.0,I. Quickley makes free throw 1 of 2,13-16, ,,1,16,13,3,362.0
5:58.0,I. Quickley makes free throw 2 of 2,14-16, ,,1,16,14,2,362.0
5:40.0, ,14-18,C. Cunningham makes 2-pt hook shot from 4 ft,,1,18,14,4,380.0
5:30.0,Turnover by K. Olynyk (out of bounds lost ball),14-18, ,,1,18,14,4,390.0
5:30.0, ,14-18,Q. Grimes enters the game for J. Duren,,1,18,14,4,390.0
5:30.0, ,14-18,J. Wiseman enters the game for S. Fontecchio,,1,18,14,4,390.0
5:13.0, ,14-18,C. Cunningham misses 2-pt jump shot from 10 ft,,1,18,14,4,407.0
5:10.0,Defensive rebound by K. Olynyk,14-18, ,,1,18,14,4,410.0
4:50.0,K. Olynyk makes 3-pt jump shot from 27 ft (assist by G. Dick),17-18, ,,1,18,17,1,430.0
4:29.0, ,17-18,J. Ivey misses 2-pt layup from 5 ft,,1,18,17,1,451.0
4:26.0,Defensive rebound by K. Olynyk,17-18, ,,1,18,17,1,454.0
4:23.0,I. Quickley makes 2-pt layup from 4 ft,19-18, ,Lead change,1,18,19,-1,457.0
4:23.0,Shooting foul by Q. Grimes (drawn by I. Quickley),19-18, ,,1,18,19,-1,457.0
4:23.0,J. McDaniels enters the game for O. Agbaji,19-18, ,,1,18,19,-1,457.0
4:23.0,J. Porter enters the game for K. Olynyk,19-18, ,,1,18,19,-1,457.0
4:23.0,I. Quickley makes free throw 1 of 1,20-18, ,,1,18,20,-2,457.0
4:06.0, ,20-18,I. Stewart misses 2-pt jump shot from 4 ft,,1,18,20,-2,474.0
4:06.0,Defensive rebound by Team,20-18, ,,1,18,20,-2,474.0
3:51.0,J. McDaniels makes 2-pt jump shot from 7 ft (assist by J. Porter),22-18, ,,1,18,22,-4,489.0
3:37.0, ,22-21,I. Stewart makes 3-pt jump shot from 26 ft (assist by J. Ivey),,1,21,22,-1,503.0
3:22.0,J. Nwora misses 3-pt jump shot from 26 ft,22-21, ,,1,21,22,-1,518.0
3:19.0, ,22-21,Defensive rebound by J. Wiseman,,1,21,22,-1,521.0
3:10.0, ,22-23,J. Wiseman makes 2-pt dunk from 1 ft (assist by C. Cunningham),Lead change,1,23,22,1,530.0
2:43.0,G. Dick misses 3-pt jump shot from 29 ft,22-23, ,,1,23,22,1,557.0
2:40.0, ,22-23,Defensive rebound by J. Wiseman,,1,23,22,1,560.0
2:34.0, ,22-25,C. Cunningham makes 2-pt layup from 4 ft,,1,25,22,3,566.0
2:16.0,J. Porter makes 2-pt hook shot from 5 ft (assist by I. Quickley),24-25, ,,1,25,24,1,584.0
2:16.0, ,24-25,Detroit full timeout,,1,25,24,1,584.0
2:16.0,B. Brown enters the game for G. Dick,24-25, ,,1,25,24,1,584.0
2:16.0,J. Ramsey enters the game for I. Quickley,24-25, ,,1,25,24,1,584.0
2:16.0, ,24-25,E. Fournier enters the game for C. Cunningham,,1,25,24,1,584.0
2:16.0, ,24-25,M. Sasser enters the game for J. Ivey,,1,25,24,1,584.0
1:52.0, ,24-25,E. Fournier misses 2-pt jump shot from 20 ft,,1,25,24,1,608.0
1:49.0,Defensive rebound by J. Ramsey,24-25, ,,1,25,24,1,611.0
1:33.0,J. Nwora misses 3-pt jump shot from 24 ft,24-25, ,,1,25,24,1,627.0
1:30.0, ,24-25,Defensive rebound by E. Fournier,,1,25,24,1,630.0
1:20.0, ,24-27,E. Fournier makes 2-pt jump shot from 5 ft (assist by Q. Grimes),,1,27,24,3,640.0
1:01.0,J. Nwora makes 2-pt jump shot from 5 ft (assist by J. Porter),26-27, ,,1,27,26,1,659.0
0:50.0, ,26-29,J. Wiseman makes 2-pt dunk from 4 ft,,1,29,26,3,670.0
0:38.0,J. McDaniels misses 2-pt layup from 4 ft (block by J. Wiseman),26-29, ,,1,29,26,3,682.0
0:38.0, ,26-29,Defensive rebound by Team,,1,29,26,3,682.0
0:38.0, ,26-29,S. Fontecchio enters the game for I. Stewart,,1,29,26,3,682.0
0:23.0, ,26-32,M. Sasser makes 3-pt jump shot from 26 ft (assist by E. Fournier),,1,32,26,6,697.0
0:05.0,Personal foul by M. Sasser (drawn by B. Brown),26-32, ,,1,32,26,6,715.0
0:02.0,Personal foul by E. Fournier (drawn by B. Brown),26-32, ,,1,32,26,6,718.0
0:02.0,B. Brown misses free throw 1 of 2,26-32, ,,1,32,26,6,718.0
0:02.0,Offensive rebound by Team,26-32, ,,1,32,26,6,718.0
0:02.0,B. Brown makes free throw 2 of 2,27-32, ,,1,32,27,5,718.0
0:00.0,End of 1st quarter,27-32,,,1,32,27,5,720.0
12:00.0,Start of 2nd quarter,27-32,,,2,32,27,5,720.0
11:41.0, ,27-32,E. Fournier misses 3-pt jump shot from 24 ft,,2,32,27,5,739.0
11:39.0,Defensive rebound by G. Dick,27-32, ,,2,32,27,5,741.0
11:35.0,B. Brown misses 2-pt jump shot from 13 ft,27-32, ,,2,32,27,5,745.0
11:33.0,Offensive rebound by J. Ramsey,27-32, ,,2,32,27,5,747.0
11:29.0,J. Ramsey misses 3-pt jump shot from 24 ft,27-32, ,,2,32,27,5,751.0
11:27.0, ,27-32,Defensive rebound by J. Wiseman,,2,32,27,5,753.0
11:04.0, ,27-32,Turnover by Team (shot clock),,2,32,27,5,776.0
10:50.0,B. Brown makes 2-pt layup from 2 ft (assist by J. Porter),29-32, ,,2,32,29,3,790.0
10:37.0, ,29-32,S. Fontecchio misses 2-pt jump shot from 14 ft,,2,32,29,3,803.0
10:35.0,Defensive rebound by G. Dick,29-32, ,,2,32,29,3,805.0
10:32.0,Shooting foul by M. Sasser (drawn by J. Ramsey),29-32, ,,2,32,29,3,808.0
