Time,Memphis,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Jackson vs. J. Duren (J. Jackson gains possession),0-0,,,1,0,0,0,0.0
11:43.0,D. Bane misses 3-pt jump shot from 26 ft,0-0, ,,1,0,0,0,17.0
11:40.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,20.0
11:21.0, ,0-0,K. Hayes misses 3-pt jump shot from 24 ft,,1,0,0,0,39.0
11:19.0,Defensive rebound by B. Biyombo,0-0, ,,1,0,0,0,41.0
11:11.0,D. Rose misses 2-pt layup from 3 ft,0-0, ,,1,0,0,0,49.0
11:08.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,52.0
11:02.0, ,0-0,I. Stewart misses 3-pt jump shot from 25 ft,,1,0,0,0,58.0
11:02.0,Defensive rebound by D. Roddy,0-0, ,,1,0,0,0,58.0
10:47.0,D. Bane misses 3-pt jump shot from 27 ft,0-0, ,,1,0,0,0,73.0
10:43.0, ,0-0,Defensive rebound by J. Duren,,1,0,0,0,77.0
10:38.0, ,0-0,Turnover by B. Bogdanović (bad pass),,1,0,0,0,82.0
10:23.0,J. Jackson makes 2-pt hook shot from 7 ft,2-0, ,,1,0,2,-2,97.0
10:15.0, ,2-0,B. Bogdanović misses 2-pt layup from 2 ft (block by D. Bane),,1,0,2,-2,105.0
10:12.0,Defensive rebound by B. Biyombo,2-0, ,,1,0,2,-2,108.0
10:03.0,D. Bane misses 2-pt layup from 3 ft,2-0, ,,1,0,2,-2,117.0
10:00.0, ,2-0,Defensive rebound by I. Stewart,,1,0,2,-2,120.0
9:57.0, ,2-2,B. Bogdanović makes 2-pt layup from 1 ft (assist by C. Cunningham),Tie,1,2,2,0,123.0
9:42.0,D. Bane makes 3-pt jump shot from 25 ft (assist by D. Rose),5-2, ,,1,2,5,-3,138.0
9:23.0, ,5-2,J. Duren misses 2-pt layup from 2 ft,,1,2,5,-3,157.0
9:21.0,Defensive rebound by B. Biyombo,5-2, ,,1,2,5,-3,159.0
9:12.0,D. Bane makes 2-pt jump shot from 10 ft (assist by D. Roddy),7-2, ,,1,2,7,-5,168.0
9:03.0, ,7-4,C. Cunningham makes 2-pt layup from 1 ft,,1,4,7,-3,177.0
8:49.0,Turnover by D. Rose (bad pass; steal by B. Bogdanović),7-4, ,,1,4,7,-3,191.0
8:45.0, ,7-6,K. Hayes makes 2-pt dunk from 1 ft (assist by B. Bogdanović),,1,6,7,-1,195.0
8:20.0,D. Bane makes 2-pt jump shot from 16 ft (assist by B. Biyombo),9-6, ,,1,6,9,-3,220.0
7:57.0, ,9-8,J. Duren makes 2-pt dunk at rim (assist by B. Bogdanović),,1,8,9,-1,243.0
7:46.0,Turnover by D. Rose (bad pass; steal by B. Bogdanović),9-8, ,,1,8,9,-1,254.0
7:30.0, ,9-11,K. Hayes makes 3-pt jump shot from 24 ft (assist by C. Cunningham),Lead change,1,11,9,2,270.0
7:29.0,Memphis full timeout,9-11, ,,1,11,9,2,271.0
7:07.0,D. Bane misses 2-pt jump shot from 22 ft,9-11, ,,1,11,9,2,293.0
7:05.0, ,9-11,Defensive rebound by K. Hayes,,1,11,9,2,295.0
7:02.0, ,9-11,B. Bogdanović misses 3-pt jump shot from 26 ft,,1,11,9,2,298.0
6:58.0,Defensive rebound by B. Biyombo,9-11, ,,1,11,9,2,302.0
6:48.0,Personal foul by I. Stewart (drawn by J. Jackson),9-11, ,,1,11,9,2,312.0
6:48.0,J. Nowell enters the game for D. Rose,9-11, ,,1,11,9,2,312.0
6:43.0,J. Jackson makes 3-pt jump shot from 26 ft (assist by D. Bane),12-11, ,Lead change,1,11,12,-1,317.0
6:27.0, ,12-11,Shooting foul by D. Bane (drawn by B. Bogdanović),,1,11,12,-1,333.0
6:27.0, ,12-12,B. Bogdanović makes free throw 1 of 2,Tie,1,12,12,0,333.0
6:27.0, ,12-13,B. Bogdanović makes free throw 2 of 2,Lead change,1,13,12,1,333.0
6:06.0,B. Biyombo misses 2-pt hook shot from 6 ft,12-13, ,,1,13,12,1,354.0
6:02.0, ,12-13,Defensive rebound by I. Stewart,,1,13,12,1,358.0
5:53.0, ,12-15,J. Duren makes 2-pt layup from 3 ft (assist by B. Bogdanović),,1,15,12,3,367.0
5:39.0,J. Jackson makes 2-pt jump shot from 6 ft (assist by D. Bane),14-15, ,,1,15,14,1,381.0
5:30.0, ,14-17,C. Cunningham makes 2-pt layup from 1 ft (assist by K. Hayes),,1,17,14,3,390.0
5:17.0,Turnover by B. Biyombo (bad pass; steal by C. Cunningham),14-17, ,,1,17,14,3,403.0
5:10.0, ,14-17,Personal foul by D. Roddy (drawn by B. Bogdanović),,1,17,14,3,410.0
5:10.0,S. Aldama enters the game for J. Jackson,14-17, ,,1,17,14,3,410.0
5:10.0,V. Williams enters the game for D. Roddy,14-17, ,,1,17,14,3,410.0
5:10.0, ,14-17,I. Livers enters the game for K. Hayes,,1,17,14,3,410.0
5:10.0, ,14-17,M. Sasser enters the game for I. Stewart,,1,17,14,3,410.0
5:05.0, ,14-19,C. Cunningham makes 2-pt jump shot from 20 ft (assist by B. Bogdanović),,1,19,14,5,415.0
4:52.0,J. Nowell makes 2-pt jump shot from 8 ft,16-19, ,,1,19,16,3,428.0
4:38.0, ,16-21,B. Bogdanović makes 2-pt layup from 3 ft,,1,21,16,5,442.0
4:38.0, ,16-21,A. Burks enters the game for B. Bogdanović,,1,21,16,5,442.0
4:38.0, ,16-21,A. Thompson enters the game for C. Cunningham,,1,21,16,5,442.0
4:16.0,D. Bane makes 2-pt jump shot from 19 ft,18-21, ,,1,21,18,3,464.0
4:00.0, ,18-21,A. Burks misses 3-pt jump shot from 26 ft,,1,21,18,3,480.0
3:57.0,Defensive rebound by V. Williams,18-21, ,,1,21,18,3,483.0
3:46.0,S. Aldama misses 2-pt jump shot from 5 ft,18-21, ,,1,21,18,3,494.0
3:45.0,Offensive rebound by S. Aldama,18-21, ,,1,21,18,3,495.0
3:43.0,S. Aldama makes 2-pt layup from 2 ft,20-21, ,,1,21,20,1,497.0
3:43.0, ,20-21,Detroit full timeout,,1,21,20,1,497.0
3:43.0, ,20-21,J. Wiseman enters the game for J. Duren,,1,21,20,1,497.0
3:20.0, ,20-24,A. Burks makes 3-pt jump shot from 26 ft (assist by M. Sasser),,1,24,20,4,520.0
2:59.0,D. Bane makes 2-pt layup from 4 ft (assist by V. Williams),22-24, ,,1,24,22,2,541.0
2:45.0, ,22-26,J. Wiseman makes 2-pt dunk from 1 ft (assist by M. Sasser),,1,26,22,4,555.0
2:33.0,J. Nowell makes 2-pt jump shot from 11 ft,24-26, ,,1,26,24,2,567.0
2:22.0, ,24-26,A. Burks misses 2-pt layup from 4 ft,,1,26,24,2,578.0
