Time,Detroit,Score,New York,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. I. Hartenstein (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:46.0,Turnover by S. Fontecchio (step out of bounds),0-0, ,,1,0,0,0,14.0
11:28.0, ,0-0,J. Hart misses 2-pt jump shot from 8 ft,,1,0,0,0,32.0
11:26.0, ,0-0,Offensive rebound by P. Achiuwa,,1,0,0,0,34.0
11:24.0, ,0-2,P. Achiuwa makes 2-pt layup from 1 ft,,1,0,2,-2,36.0
11:11.0,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Ivey),3-2, ,Lead change,1,3,2,1,49.0
10:51.0, ,3-4,J. Brunson makes 2-pt jump shot from 10 ft (assist by I. Hartenstein),Lead change,1,3,4,-1,69.0
10:40.0,A. Thompson makes 2-pt jump shot from 9 ft (assist by C. Cunningham),5-4, ,Lead change,1,5,4,1,80.0
10:22.0, ,5-4,Turnover by J. Brunson (bad pass),,1,5,4,1,98.0
10:08.0,Shooting foul by D. DiVincenzo (drawn by A. Thompson),5-4, ,,1,5,4,1,112.0
10:08.0,A. Thompson misses free throw 1 of 2,5-4, ,,1,5,4,1,112.0
10:08.0,Offensive rebound by Team,5-4, ,,1,5,4,1,112.0
10:08.0,A. Thompson misses free throw 2 of 2,5-4, ,,1,5,4,1,112.0
10:06.0, ,5-4,Defensive rebound by P. Achiuwa,,1,5,4,1,114.0
10:02.0, ,5-4,Personal foul by A. Thompson (drawn by J. Brunson),,1,5,4,1,118.0
9:54.0, ,5-4,D. DiVincenzo misses 3-pt jump shot from 26 ft,,1,5,4,1,126.0
9:52.0,Defensive rebound by A. Thompson,5-4, ,,1,5,4,1,128.0
9:38.0,S. Fontecchio makes 2-pt layup from 2 ft (assist by J. Ivey),7-4, ,,1,7,4,3,142.0
9:21.0, ,7-6,J. Brunson makes 2-pt layup from 2 ft,,1,7,6,1,159.0
9:09.0,C. Cunningham makes 3-pt jump shot from 24 ft,10-6, ,,1,10,6,4,171.0
8:43.0, ,10-6,D. DiVincenzo misses 3-pt jump shot from 27 ft,,1,10,6,4,197.0
8:41.0,Defensive rebound by J. Ivey,10-6, ,,1,10,6,4,199.0
8:36.0,J. Ivey misses 2-pt layup from 1 ft,10-6, ,,1,10,6,4,204.0
8:34.0,Offensive rebound by J. Duren,10-6, ,,1,10,6,4,206.0
8:34.0,J. Duren misses 2-pt layup at rim,10-6, ,,1,10,6,4,206.0
8:32.0, ,10-6,Defensive rebound by I. Hartenstein,,1,10,6,4,208.0
8:23.0, ,10-6,Shooting foul by S. Fontecchio (drawn by I. Hartenstein),,1,10,6,4,217.0
8:23.0, ,10-7,I. Hartenstein makes free throw 1 of 2,,1,10,7,3,217.0
8:23.0, ,10-8,I. Hartenstein makes free throw 2 of 2,,1,10,8,2,217.0
8:03.0,J. Ivey misses 2-pt jump shot from 10 ft,10-8, ,,1,10,8,2,237.0
8:01.0,Offensive rebound by J. Ivey,10-8, ,,1,10,8,2,239.0
7:59.0,J. Ivey makes 2-pt layup from 1 ft,12-8, ,,1,12,8,4,241.0
7:47.0, ,12-8,J. Brunson misses 3-pt jump shot from 25 ft,,1,12,8,4,253.0
7:45.0,Defensive rebound by S. Fontecchio,12-8, ,,1,12,8,4,255.0
7:36.0,C. Cunningham makes 2-pt jump shot from 11 ft,14-8, ,,1,14,8,6,264.0
7:28.0, ,14-8,New York full timeout,,1,14,8,6,272.0
7:17.0, ,14-10,J. Brunson makes 2-pt jump shot from 13 ft (assist by D. DiVincenzo),,1,14,10,4,283.0
7:02.0,J. Duren misses 2-pt layup from 4 ft (block by P. Achiuwa),14-10, ,,1,14,10,4,298.0
7:01.0, ,14-10,Defensive rebound by Team,,1,14,10,4,299.0
6:40.0, ,14-10,Turnover by I. Hartenstein (bad pass; steal by J. Ivey),,1,14,10,4,320.0
6:35.0,J. Ivey misses 3-pt jump shot from 25 ft,14-10, ,,1,14,10,4,325.0
6:33.0,Offensive rebound by J. Duren,14-10, ,,1,14,10,4,327.0
6:31.0,J. Ivey makes 3-pt jump shot from 25 ft (assist by A. Thompson),17-10, ,,1,17,10,7,329.0
6:05.0, ,17-13,J. Brunson makes 3-pt jump shot from 28 ft,,1,17,13,4,355.0
5:51.0,J. Ivey misses 2-pt layup from 1 ft,17-13, ,,1,17,13,4,369.0
5:49.0,Offensive rebound by C. Cunningham,17-13, ,,1,17,13,4,371.0
5:39.0,A. Thompson misses 3-pt jump shot from 26 ft,17-13, ,,1,17,13,4,381.0
5:36.0, ,17-13,Defensive rebound by I. Hartenstein,,1,17,13,4,384.0
5:30.0, ,17-16,J. Brunson makes 3-pt jump shot from 26 ft (assist by D. DiVincenzo),,1,17,16,1,390.0
5:22.0,Shooting foul by J. Brunson (drawn by J. Ivey),17-16, ,,1,17,16,1,398.0
5:22.0,J. Ivey makes free throw 1 of 2,18-16, ,,1,18,16,2,398.0
5:22.0, ,18-16,J. Sims enters the game for I. Hartenstein,,1,18,16,2,398.0
5:22.0,J. Ivey makes free throw 2 of 2,19-16, ,,1,19,16,3,398.0
5:12.0, ,19-16,J. Brunson misses 3-pt jump shot from 25 ft,,1,19,16,3,408.0
5:10.0,Defensive rebound by J. Duren,19-16, ,,1,19,16,3,410.0
5:04.0,J. Ivey misses 3-pt jump shot from 28 ft,19-16, ,,1,19,16,3,416.0
5:03.0, ,19-16,Defensive rebound by Team,,1,19,16,3,417.0
5:03.0,Q. Grimes enters the game for J. Ivey,19-16, ,,1,19,16,3,417.0
4:50.0, ,19-16,J. Sims misses 2-pt layup from 4 ft (block by J. Duren),,1,19,16,3,430.0
4:49.0, ,19-16,Offensive rebound by Team,,1,19,16,3,431.0
4:45.0, ,19-16,J. Brunson misses 2-pt jump shot from 9 ft,,1,19,16,3,435.0
