Time,Philadelphia,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:27.0,R. Covington makes free throw 1 of 1,112-86, ,,4,86,112,-26,2373.0
8:19.0, ,112-86,Turnover by K. Knox (out of bounds lost ball),,4,86,112,-26,2381.0
7:56.0,T. Harris makes 2-pt jump shot from 20 ft (assist by T. Maxey),114-86, ,,4,86,114,-28,2404.0
7:46.0, ,114-86,K. Hayes misses 2-pt jump shot from 8 ft,,4,86,114,-28,2414.0
7:43.0,Defensive rebound by P. Reed,114-86, ,,4,86,114,-28,2417.0
7:35.0,T. Maxey makes 2-pt layup from 4 ft,116-86, ,,4,86,116,-30,2425.0
7:35.0, ,116-86,Detroit full timeout,,4,86,116,-30,2425.0
7:19.0, ,116-86,K. Knox misses 3-pt jump shot from 26 ft,,4,86,116,-30,2441.0
7:15.0,Defensive rebound by K. Oubre,116-86, ,,4,86,116,-30,2445.0
6:56.0,T. Maxey misses 3-pt jump shot from 32 ft,116-86, ,,4,86,116,-30,2464.0
6:56.0, ,116-86,Defensive rebound by Team,,4,86,116,-30,2464.0
6:56.0,D. House enters the game for T. Harris,116-86, ,,4,86,116,-30,2464.0
6:56.0,J. Springer enters the game for T. Maxey,116-86, ,,4,86,116,-30,2464.0
6:56.0, ,116-86,A. Thompson enters the game for J. Ivey,,4,86,116,-30,2464.0
6:42.0, ,116-89,B. Bogdanović makes 3-pt jump shot from 28 ft (assist by A. Thompson),,4,89,116,-27,2478.0
6:28.0,K. Oubre makes 2-pt jump shot from 8 ft,118-89, ,,4,89,118,-29,2492.0
6:21.0, ,118-89,B. Bogdanović misses 3-pt jump shot from 31 ft,,4,89,118,-29,2499.0
6:18.0,Defensive rebound by P. Reed,118-89, ,,4,89,118,-29,2502.0
6:06.0,K. Oubre misses 3-pt jump shot from 27 ft,118-89, ,,4,89,118,-29,2514.0
6:03.0, ,118-89,Defensive rebound by A. Thompson,,4,89,118,-29,2517.0
5:55.0, ,118-89,K. Knox misses 3-pt jump shot from 23 ft,,4,89,118,-29,2525.0
5:52.0,Defensive rebound by R. Covington,118-89, ,,4,89,118,-29,2528.0
5:48.0,D. House misses 2-pt layup from 4 ft,118-89, ,,4,89,118,-29,2532.0
5:45.0, ,118-89,Defensive rebound by A. Thompson,,4,89,118,-29,2535.0
5:41.0, ,118-92,B. Bogdanović makes 3-pt jump shot from 24 ft (assist by K. Knox),,4,92,118,-26,2539.0
5:19.0,P. Reed misses 2-pt layup from 6 ft (block by K. Knox),118-92, ,,4,92,118,-26,2561.0
5:17.0, ,118-92,Defensive rebound by K. Knox,,4,92,118,-26,2563.0
5:17.0, ,118-92,Shooting foul by J. Springer (drawn by K. Knox),,4,92,118,-26,2563.0
5:17.0, ,118-93,K. Knox makes free throw 1 of 2,,4,93,118,-25,2563.0
5:17.0,F. Korkmaz enters the game for K. Oubre,118-93, ,,4,93,118,-25,2563.0
5:17.0, ,118-93,M. Sasser enters the game for B. Bogdanović,,4,93,118,-25,2563.0
5:17.0, ,118-94,K. Knox makes free throw 2 of 2,,4,94,118,-24,2563.0
4:59.0,R. Covington makes 2-pt jump shot from 6 ft (assist by J. Springer),120-94, ,,4,94,120,-26,2581.0
4:38.0, ,120-94,I. Livers misses 3-pt jump shot from 24 ft,,4,94,120,-26,2602.0
4:35.0,Defensive rebound by P. Reed,120-94, ,,4,94,120,-26,2605.0
4:22.0,D. House misses 2-pt jump shot from 7 ft,120-94, ,,4,94,120,-26,2618.0
4:18.0, ,120-94,Defensive rebound by I. Livers,,4,94,120,-26,2622.0
4:14.0, ,120-96,A. Thompson makes 2-pt dunk from 2 ft (assist by K. Hayes),,4,96,120,-24,2626.0
4:04.0,Turnover by R. Covington (discontinued dribble),120-96, ,,4,96,120,-24,2636.0
4:04.0,K. Martin enters the game for R. Covington,120-96, ,,4,96,120,-24,2636.0
3:44.0, ,120-98,K. Knox makes 2-pt dunk from 4 ft (assist by A. Thompson),,4,98,120,-22,2656.0
3:27.0,Shooting foul by K. Hayes (drawn by J. Springer),120-98, ,,4,98,120,-22,2673.0
3:27.0,J. Springer makes free throw 1 of 2,121-98, ,,4,98,121,-23,2673.0
3:27.0,M. Bamba enters the game for P. Reed,121-98, ,,4,98,121,-23,2673.0
3:27.0,J. Springer misses free throw 2 of 2,121-98, ,,4,98,121,-23,2673.0
3:23.0, ,121-98,Defensive rebound by K. Knox,,4,98,121,-23,2677.0
3:07.0, ,121-100,M. Sasser makes 2-pt jump shot from 5 ft,,4,100,121,-21,2693.0
2:43.0,M. Bamba makes 2-pt jump shot from 15 ft (assist by D. House),123-100, ,,4,100,123,-23,2717.0
2:27.0, ,123-100,Turnover by M. Sasser (bad pass; steal by K. Martin),,4,100,123,-23,2733.0
2:21.0,K. Martin makes 2-pt dunk from 4 ft (assist by J. Springer),125-100, ,,4,100,125,-25,2739.0
2:09.0, ,125-102,A. Thompson makes 2-pt layup from 3 ft (assist by K. Hayes),,4,102,125,-23,2751.0
1:59.0,Shooting foul by A. Thompson (drawn by J. Springer),125-102, ,,4,102,125,-23,2761.0
1:59.0,Philadelphia full timeout,125-102, ,,4,102,125,-23,2761.0
1:59.0,J. Springer misses free throw 1 of 2,125-102, ,,4,102,125,-23,2761.0
1:59.0,Offensive rebound by Team,125-102, ,,4,102,125,-23,2761.0
1:59.0,J. Springer makes free throw 2 of 2,126-102, ,,4,102,126,-24,2761.0
1:43.0, ,126-105,M. Sasser makes 3-pt jump shot from 26 ft (assist by K. Hayes),,4,105,126,-21,2777.0
1:25.0,F. Korkmaz misses 3-pt jump shot from 28 ft,126-105, ,,4,105,126,-21,2795.0
1:23.0,Offensive rebound by K. Martin,126-105, ,,4,105,126,-21,2797.0
1:23.0,J. Springer makes 3-pt jump shot from 26 ft (assist by K. Martin),129-105, ,,4,105,129,-24,2797.0
1:14.0, ,129-108,M. Sasser makes 3-pt jump shot from 23 ft,,4,108,129,-21,2806.0
0:59.0,J. Springer misses 2-pt jump shot from 8 ft,129-108, ,,4,108,129,-21,2821.0
0:57.0, ,129-108,Defensive rebound by A. Thompson,,4,108,129,-21,2823.0
0:51.0, ,129-111,K. Knox makes 3-pt jump shot from 27 ft (assist by M. Sasser),,4,111,129,-18,2829.0
0:30.0,D. House misses 3-pt jump shot from 30 ft,129-111, ,,4,111,129,-18,2850.0
0:29.0, ,129-111,Defensive rebound by Team,,4,111,129,-18,2851.0
0:19.0, ,129-111,K. Knox misses 3-pt jump shot from 27 ft,,4,111,129,-18,2861.0
0:16.0,Defensive rebound by K. Martin,129-111, ,,4,111,129,-18,2864.0
0:00.0,End of 4th quarter,129-111,,,4,111,129,-18,2880.0
