Time,Detroit,Score,San Antonio,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:07.0, ,61-90,J. Bouyea makes 3-pt jump shot from 26 ft (assist by R. Gray),,3,61,90,-29,2093.0
0:42.0,T. Gibson misses 2-pt layup from 5 ft (block by R. Gray),61-90, ,,3,61,90,-29,2118.0
0:42.0,Offensive rebound by Team,61-90, ,,3,61,90,-29,2118.0
0:41.0,E. Fournier makes 2-pt layup from 1 ft (assist by M. Flynn),63-90, ,,3,63,90,-27,2119.0
0:41.0,Shooting foul by J. Bouyea (drawn by E. Fournier),63-90, ,,3,63,90,-27,2119.0
0:41.0,E. Fournier misses free throw 1 of 1,63-90, ,,3,63,90,-27,2119.0
0:38.0, ,63-90,Defensive rebound by D. Duke,,3,63,90,-27,2122.0
0:30.0, ,63-93,D. Graham makes 3-pt jump shot from 26 ft,,3,63,93,-30,2130.0
0:13.0,B. Boeheim misses 3-pt jump shot from 29 ft,63-93, ,,3,63,93,-30,2147.0
0:10.0, ,63-93,Defensive rebound by J. Bouyea,,3,63,93,-30,2150.0
0:00.0,End of 3rd quarter,63-93,,,3,63,93,-30,2160.0
12:00.0,Start of 4th quarter,63-93,,,4,63,93,-30,2160.0
11:43.0,J. Ivey makes 2-pt layup from 1 ft,65-93, ,,4,65,93,-28,2177.0
11:31.0, ,65-93,Shooting foul by J. Rhoden (drawn by J. Champagnie),,4,65,93,-28,2189.0
11:31.0, ,65-93,J. Champagnie misses free throw 1 of 2,,4,65,93,-28,2189.0
11:31.0, ,65-93,Offensive rebound by Team,,4,65,93,-28,2189.0
11:31.0, ,65-94,J. Champagnie makes free throw 2 of 2,,4,65,94,-29,2189.0
11:18.0,Shooting foul by D. Duke (drawn by J. Ivey),65-94, ,,4,65,94,-29,2202.0
11:18.0,J. Ivey makes free throw 1 of 2,66-94, ,,4,66,94,-28,2202.0
11:18.0,J. Ivey makes free throw 2 of 2,67-94, ,,4,67,94,-27,2202.0
10:52.0, ,67-94,J. Bouyea misses 2-pt jump shot from 3 ft,,4,67,94,-27,2228.0
10:49.0,Defensive rebound by J. Wiseman,67-94, ,,4,67,94,-27,2231.0
10:37.0,J. Rhoden makes 3-pt jump shot from 23 ft (assist by E. Fournier),70-94, ,,4,70,94,-24,2243.0
10:18.0, ,70-96,S. Mamukelashvili makes 2-pt layup from 1 ft (assist by D. Graham),,4,70,96,-26,2262.0
10:05.0,Turnover by J. Ivey (back court),70-96, ,,4,70,96,-26,2275.0
9:52.0, ,70-98,D. Duke makes 2-pt layup from 2 ft (assist by J. Champagnie),,4,70,98,-28,2288.0
9:39.0,J. Rhoden makes 2-pt layup from 2 ft (assist by J. Wiseman),72-98, ,,4,72,98,-26,2301.0
9:20.0, ,72-101,S. Mamukelashvili makes 3-pt jump shot from 25 ft (assist by J. Bouyea),,4,72,101,-29,2320.0
9:06.0,J. Rhoden makes 3-pt jump shot from 27 ft (assist by M. Flynn),75-101, ,,4,75,101,-26,2334.0
8:47.0, ,75-101,S. Mamukelashvili misses 3-pt jump shot from 26 ft,,4,75,101,-26,2353.0
8:44.0,Defensive rebound by M. Flynn,75-101, ,,4,75,101,-26,2356.0
8:38.0,M. Flynn misses 2-pt layup from 2 ft,75-101, ,,4,75,101,-26,2362.0
8:37.0, ,75-101,Defensive rebound by D. Graham,,4,75,101,-26,2363.0
8:30.0, ,75-103,D. Duke makes 2-pt layup from 1 ft (assist by J. Champagnie),,4,75,103,-28,2370.0
8:09.0,J. Ivey misses 3-pt jump shot from 28 ft,75-103, ,,4,75,103,-28,2391.0
8:09.0, ,75-103,Defensive rebound by S. Mamukelashvili,,4,75,103,-28,2391.0
8:04.0, ,75-103,San Antonio full timeout,,4,75,103,-28,2396.0
8:04.0,M. Sasser enters the game for E. Fournier,75-103, ,,4,75,103,-28,2396.0
8:04.0, ,75-103,S. Cissoko enters the game for J. Champagnie,,4,75,103,-28,2396.0
8:04.0, ,75-103,R. Gray enters the game for D. Duke,,4,75,103,-28,2396.0
8:04.0, ,75-103,B. Wesley enters the game for D. Graham,,4,75,103,-28,2396.0
7:51.0, ,75-103,S. Cissoko misses 3-pt jump shot from 25 ft,,4,75,103,-28,2409.0
7:48.0,Defensive rebound by J. Rhoden,75-103, ,,4,75,103,-28,2412.0
7:31.0,J. Rhoden misses 3-pt jump shot from 26 ft,75-103, ,,4,75,103,-28,2429.0
7:29.0, ,75-103,Defensive rebound by S. Mamukelashvili,,4,75,103,-28,2431.0
7:23.0, ,75-105,S. Mamukelashvili makes 2-pt layup from 2 ft,,4,75,105,-30,2437.0
7:23.0,Violation by Team (def goaltending),75-105, ,,4,75,105,-30,2437.0
7:01.0,J. Ivey makes 3-pt jump shot from 25 ft,78-105, ,,4,78,105,-27,2459.0
6:51.0, ,78-107,R. Gray makes 2-pt layup from 5 ft,,4,78,107,-29,2469.0
6:36.0,M. Sasser makes 2-pt jump shot from 12 ft,80-107, ,,4,80,107,-27,2484.0
6:17.0, ,80-107,R. Gray misses 3-pt jump shot from 26 ft,,4,80,107,-27,2503.0
6:13.0, ,80-107,Offensive rebound by J. Bouyea,,4,80,107,-27,2507.0
6:13.0, ,80-107,D. Duke enters the game for S. Mamukelashvili,,4,80,107,-27,2507.0
5:57.0, ,80-109,R. Gray makes 2-pt layup from 1 ft (assist by B. Wesley),,4,80,109,-29,2523.0
5:43.0,M. Flynn misses 3-pt jump shot from 26 ft,80-109, ,,4,80,109,-29,2537.0
5:40.0, ,80-109,Defensive rebound by J. Bouyea,,4,80,109,-29,2540.0
5:34.0, ,80-109,Turnover by D. Duke (bad pass),,4,80,109,-29,2546.0
5:25.0,J. Rhoden misses 3-pt jump shot from 24 ft,80-109, ,,4,80,109,-29,2555.0
5:22.0, ,80-109,Defensive rebound by J. Bouyea,,4,80,109,-29,2558.0
5:13.0, ,80-112,B. Wesley makes 3-pt jump shot from 23 ft (assist by S. Cissoko),,4,80,112,-32,2567.0
4:56.0,J. Rhoden makes 3-pt jump shot from 23 ft (assist by M. Flynn),83-112, ,,4,83,112,-29,2584.0
4:34.0, ,83-112,R. Gray misses 2-pt jump shot from 9 ft,,4,83,112,-29,2606.0
4:34.0,Defensive rebound by J. Wiseman,83-112, ,,4,83,112,-29,2606.0
4:30.0,M. Sasser makes 2-pt layup from 2 ft,85-112, ,,4,85,112,-27,2610.0
4:30.0,Shooting foul by J. Bouyea (drawn by M. Sasser),85-112, ,,4,85,112,-27,2610.0
4:30.0,B. Boeheim enters the game for M. Flynn,85-112, ,,4,85,112,-27,2610.0
4:30.0,C. Metu enters the game for J. Ivey,85-112, ,,4,85,112,-27,2610.0
4:30.0,M. Sasser makes free throw 1 of 1,86-112, ,,4,86,112,-26,2610.0
4:07.0, ,86-114,B. Wesley makes 2-pt layup from 2 ft,,4,86,114,-28,2633.0
4:07.0, ,86-114,Shooting foul by M. Sasser (drawn by B. Wesley),,4,86,114,-28,2633.0
4:07.0, ,86-115,B. Wesley makes free throw 1 of 1,,4,86,115,-29,2633.0
3:58.0,Personal foul by D. Duke (drawn by B. Boeheim),86-115, ,,4,86,115,-29,2642.0
3:55.0,Personal foul by J. Bouyea (drawn by M. Sasser),86-115, ,,4,86,115,-29,2645.0
3:49.0,Turnover by M. Sasser (bad pass; steal by D. Duke),86-115, ,,4,86,115,-29,2651.0
3:46.0, ,86-117,D. Duke makes 2-pt jump shot from 5 ft,,4,86,117,-31,2654.0
3:46.0, ,86-117,Shooting foul by B. Boeheim (drawn by D. Duke),,4,86,117,-31,2654.0
3:46.0, ,86-118,D. Duke makes free throw 1 of 1,,4,86,118,-32,2654.0
3:34.0,C. Metu makes 2-pt jump shot from 10 ft (assist by M. Sasser),88-118, ,,4,88,118,-30,2666.0
3:22.0, ,88-120,D. Duke makes 2-pt layup from 1 ft (assist by S. Cissoko),,4,88,120,-32,2678.0
3:22.0,Violation by Team (def goaltending),88-120, ,,4,88,120,-32,2678.0
3:08.0,M. Sasser misses 2-pt jump shot from 15 ft,88-120, ,,4,88,120,-32,2692.0
3:05.0, ,88-120,Defensive rebound by B. Wesley,,4,88,120,-32,2695.0
3:01.0, ,88-122,B. Wesley makes 2-pt layup from 3 ft,,4,88,122,-34,2699.0
3:01.0,Detroit full timeout,88-122, ,,4,88,122,-34,2699.0
2:45.0,J. Wiseman makes 2-pt jump shot from 10 ft,90-122, ,,4,90,122,-32,2715.0
2:19.0, ,90-122,D. Duke misses 2-pt jump shot from 15 ft,,4,90,122,-32,2741.0
2:17.0,Defensive rebound by J. Wiseman,90-122, ,,4,90,122,-32,2743.0
2:00.0,J. Wiseman misses 2-pt hook shot from 8 ft,90-122, ,,4,90,122,-32,2760.0
1:56.0,Offensive rebound by C. Metu,90-122, ,,4,90,122,-32,2764.0
1:56.0,C. Metu makes 2-pt layup at rim,92-122, ,,4,92,122,-30,2764.0
1:47.0, ,92-122,Shooting foul by J. Wiseman (drawn by S. Cissoko),,4,92,122,-30,2773.0
1:47.0, ,92-122,S. Cissoko misses free throw 1 of 2,,4,92,122,-30,2773.0
1:47.0, ,92-122,Offensive rebound by Team,,4,92,122,-30,2773.0
1:47.0, ,92-123,S. Cissoko makes free throw 2 of 2,,4,92,123,-31,2773.0
1:27.0,J. Wiseman misses 2-pt layup from 3 ft,92-123, ,,4,92,123,-31,2793.0
1:27.0,Offensive rebound by J. Wiseman,92-123, ,,4,92,123,-31,2793.0
1:27.0,Shooting foul by B. Wesley (drawn by J. Wiseman),92-123, ,,4,92,123,-31,2793.0
1:27.0,J. Wiseman misses free throw 1 of 2,92-123, ,,4,92,123,-31,2793.0
1:27.0,Offensive rebound by Team,92-123, ,,4,92,123,-31,2793.0
1:27.0,J. Wiseman makes free throw 2 of 2,93-123, ,,4,93,123,-30,2793.0
1:12.0, ,93-123,S. Cissoko misses 2-pt jump shot from 3 ft,,4,93,123,-30,2808.0
1:10.0, ,93-123,Offensive rebound by R. Gray,,4,93,123,-30,2810.0
1:02.0, ,93-123,D. Duke misses 3-pt jump shot from 27 ft,,4,93,123,-30,2818.0
0:59.0,Defensive rebound by J. Wiseman,93-123, ,,4,93,123,-30,2821.0
0:52.0,M. Sasser misses 2-pt layup from 2 ft (block by S. Cissoko),93-123, ,,4,93,123,-30,2828.0
0:48.0,Offensive rebound by B. Boeheim,93-123, ,,4,93,123,-30,2832.0
0:46.0,M. Sasser misses 3-pt jump shot from 23 ft,93-123, ,,4,93,123,-30,2834.0
0:43.0,Offensive rebound by B. Boeheim,93-123, ,,4,93,123,-30,2837.0
0:43.0,Personal foul by S. Cissoko (drawn by B. Boeheim),93-123, ,,4,93,123,-30,2837.0
0:43.0,B. Boeheim makes free throw 1 of 2,94-123, ,,4,94,123,-29,2837.0
0:43.0,B. Boeheim makes free throw 2 of 2,95-123, ,,4,95,123,-28,2837.0
0:19.0, ,95-123,Turnover by Team (shot clock),,4,95,123,-28,2861.0
0:00.0,End of 4th quarter,95-123,,,4,95,123,-28,2880.0
