Time,Memphis,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
1:34.0, ,80-81,Shooting foul by L. Stevens (drawn by J. Rhoden),,3,81,80,1,2066.0
1:34.0, ,80-82,J. Rhoden makes free throw 1 of 2,,3,82,80,2,2066.0
1:34.0, ,80-82,M. Flynn enters the game for C. Cunningham,,3,82,80,2,2066.0
1:34.0, ,80-82,J. Rhoden misses free throw 2 of 2,,3,82,80,2,2066.0
1:31.0, ,80-82,Offensive rebound by T. Evbuomwan,,3,82,80,2,2069.0
1:29.0, ,80-82,M. Flynn misses 3-pt jump shot from 26 ft,,3,82,80,2,2071.0
1:26.0, ,80-82,Offensive rebound by C. Metu,,3,82,80,2,2074.0
1:20.0, ,80-85,M. Flynn makes 3-pt jump shot from 24 ft,,3,85,80,5,2080.0
0:57.0,J. LaRavia misses 2-pt jump shot from 7 ft (block by J. Rhoden),80-85, ,,3,85,80,5,2103.0
0:56.0,Offensive rebound by J. LaRavia,80-85, ,,3,85,80,5,2104.0
0:55.0,J. LaRavia misses 2-pt jump shot from 8 ft,80-85, ,,3,85,80,5,2105.0
0:55.0,Offensive rebound by J. Goodwin,80-85, ,,3,85,80,5,2105.0
0:55.0,J. Goodwin misses 2-pt layup from 1 ft,80-85, ,,3,85,80,5,2105.0
0:54.0,Offensive rebound by B. Clarke,80-85, ,,3,85,80,5,2106.0
0:54.0,B. Clarke misses 2-pt layup at rim,80-85, ,,3,85,80,5,2106.0
0:54.0,B. Clarke makes 2-pt layup at rim,82-85, ,,3,85,82,3,2106.0
0:35.0, ,82-87,M. Flynn makes 2-pt jump shot from 7 ft,,3,87,82,5,2125.0
0:27.0,J. Jackson misses 2-pt layup from 3 ft (block by C. Metu),82-87, ,,3,87,82,5,2133.0
0:23.0,Offensive rebound by J. Goodwin,82-87, ,,3,87,82,5,2137.0
0:21.0,Turnover by J. Goodwin (bad pass; steal by T. Evbuomwan),82-87, ,,3,87,82,5,2139.0
0:05.0, ,82-87,Personal foul by J. Jackson (drawn by M. Flynn),,3,87,82,5,2155.0
0:05.0, ,82-88,M. Flynn makes free throw 1 of 2,,3,88,82,6,2155.0
0:05.0,L. Kennard enters the game for B. Clarke,82-88, ,,3,88,82,6,2155.0
0:05.0, ,82-88,M. Flynn misses free throw 2 of 2,,3,88,82,6,2155.0
0:03.0, ,82-88,Offensive rebound by C. Metu,,3,88,82,6,2157.0
0:03.0, ,82-90,C. Metu makes 2-pt dunk from 2 ft,,3,90,82,8,2157.0
0:00.0,J. LaRavia makes 3-pt jump shot from 30 ft,85-90, ,,3,90,85,5,2160.0
0:00.0,Instant Replay (Request: Ruling Stands),85-90, ,,3,90,85,5,2160.0
0:00.0,End of 3rd quarter,85-90,,,3,90,85,5,2160.0
12:00.0,Start of 4th quarter,85-90,,,4,90,85,5,2160.0
11:48.0, ,85-90,Shooting foul by J. LaRavia (drawn by C. Metu),,4,90,85,5,2172.0
11:48.0, ,85-91,C. Metu makes free throw 1 of 2,,4,91,85,6,2172.0
11:48.0, ,85-92,C. Metu makes free throw 2 of 2,,4,92,85,7,2172.0
11:28.0,J. LaRavia misses 2-pt layup from 1 ft,85-92, ,,4,92,85,7,2192.0
11:24.0, ,85-92,Defensive rebound by J. Rhoden,,4,92,85,7,2196.0
11:08.0, ,85-92,C. Metu misses 2-pt hook shot from 6 ft,,4,92,85,7,2212.0
11:07.0,Defensive rebound by J. Goodwin,85-92, ,,4,92,85,7,2213.0
11:00.0,Personal foul by J. Rhoden (drawn by J. Goodwin),85-92, ,,4,92,85,7,2220.0
10:44.0,J. Goodwin misses 3-pt jump shot from 23 ft,85-92, ,,4,92,85,7,2236.0
10:42.0, ,85-92,Defensive rebound by T. Evbuomwan,,4,92,85,7,2238.0
10:29.0, ,85-92,E. Fournier misses 3-pt jump shot from 25 ft,,4,92,85,7,2251.0
10:27.0,Defensive rebound by L. Stevens,85-92, ,,4,92,85,7,2253.0
10:20.0,L. Kennard makes 2-pt jump shot from 21 ft (assist by L. Stevens),87-92, ,,4,92,87,5,2260.0
9:55.0, ,87-92,Turnover by M. Flynn (bad pass; steal by B. Clarke),,4,92,87,5,2285.0
9:52.0,L. Kennard misses 2-pt layup from 1 ft (block by J. Rhoden),87-92, ,,4,92,87,5,2288.0
9:51.0,Offensive rebound by Team,87-92, ,,4,92,87,5,2289.0
9:51.0, ,87-92,J. Wiseman enters the game for C. Metu,,4,92,87,5,2289.0
9:44.0,L. Stevens makes 2-pt dunk from 1 ft (assist by L. Kennard),89-92, ,,4,92,89,3,2296.0
9:30.0, ,89-94,E. Fournier makes 2-pt jump shot from 6 ft,,4,94,89,5,2310.0
9:12.0,L. Kennard makes 3-pt jump shot from 26 ft (assist by J. LaRavia),92-94, ,,4,94,92,2,2328.0
8:54.0, ,92-94,E. Fournier misses 3-pt jump shot from 26 ft,,4,94,92,2,2346.0
8:53.0,Defensive rebound by J. Goodwin,92-94, ,,4,94,92,2,2347.0
8:43.0,Offensive foul by B. Clarke (drawn by J. Rhoden),92-94, ,,4,94,92,2,2357.0
8:43.0,Turnover by B. Clarke (offensive foul),92-94, ,,4,94,92,2,2357.0
8:43.0, ,92-94,J. Ivey enters the game for J. Rhoden,,4,94,92,2,2357.0
8:27.0, ,92-94,Turnover by J. Wiseman (lost ball; steal by L. Stevens),,4,94,92,2,2373.0
8:09.0,B. Clarke makes 3-pt jump shot from 23 ft (assist by L. Kennard),95-94, ,Lead change,4,94,95,-1,2391.0
8:00.0, ,95-94,J. Ivey misses 2-pt layup from 3 ft (block by B. Clarke),,4,94,95,-1,2400.0
7:56.0,Defensive rebound by L. Stevens,95-94, ,,4,94,95,-1,2404.0
7:52.0,B. Clarke misses 2-pt layup from 1 ft,95-94, ,,4,94,95,-1,2408.0
7:50.0, ,95-94,Defensive rebound by M. Flynn,,4,94,95,-1,2410.0
7:36.0, ,95-94,M. Flynn misses 3-pt jump shot from 26 ft,,4,94,95,-1,2424.0
7:35.0,Defensive rebound by Team,95-94, ,,4,94,95,-1,2425.0
7:35.0, ,95-94,Loose ball foul by J. Wiseman (drawn by B. Clarke),,4,94,95,-1,2425.0
7:35.0, ,95-94,C. Cunningham enters the game for M. Flynn,,4,94,95,-1,2425.0
7:35.0, ,95-94,C. Metu enters the game for J. Wiseman,,4,94,95,-1,2425.0
7:21.0,L. Stevens misses 3-pt jump shot from 23 ft,95-94, ,,4,94,95,-1,2439.0
7:16.0,Offensive rebound by B. Clarke,95-94, ,,4,94,95,-1,2444.0
7:14.0,B. Clarke makes 2-pt layup from 1 ft,97-94, ,,4,94,97,-3,2446.0
6:52.0, ,97-94,J. Ivey misses 3-pt jump shot from 26 ft,,4,94,97,-3,2468.0
6:49.0,Defensive rebound by J. Goodwin,97-94, ,,4,94,97,-3,2471.0
6:42.0,L. Kennard makes 2-pt jump shot from 18 ft (assist by J. Goodwin),99-94, ,,4,94,99,-5,2478.0
6:42.0, ,99-94,Detroit full timeout,,4,94,99,-5,2478.0
6:27.0, ,99-94,J. Ivey misses 2-pt layup from 2 ft (block by B. Clarke),,4,94,99,-5,2493.0
6:24.0,Defensive rebound by J. Goodwin,99-94, ,,4,94,99,-5,2496.0
6:18.0,B. Clarke makes 2-pt jump shot from 11 ft (assist by L. Kennard),101-94, ,,4,94,101,-7,2502.0
6:05.0, ,101-94,Shooting foul by J. LaRavia (drawn by C. Cunningham),,4,94,101,-7,2515.0
6:05.0, ,101-95,C. Cunningham makes free throw 1 of 2,,4,95,101,-6,2515.0
6:05.0,J. Jackson enters the game for J. LaRavia,101-95, ,,4,95,101,-6,2515.0
6:05.0, ,101-96,C. Cunningham makes free throw 2 of 2,,4,96,101,-5,2515.0
5:49.0,Shooting foul by E. Fournier (drawn by L. Stevens),101-96, ,,4,96,101,-5,2531.0
5:49.0,L. Stevens makes free throw 1 of 2,102-96, ,,4,96,102,-6,2531.0
5:49.0,L. Stevens misses free throw 2 of 2,102-96, ,,4,96,102,-6,2531.0
5:46.0, ,102-96,Defensive rebound by T. Evbuomwan,,4,96,102,-6,2534.0
5:31.0, ,102-96,C. Cunningham misses 2-pt jump shot from 16 ft,,4,96,102,-6,2549.0
5:30.0,Defensive rebound by J. Jackson,102-96, ,,4,96,102,-6,2550.0
5:18.0,L. Stevens makes 2-pt dunk from 1 ft (assist by L. Kennard),104-96, ,,4,96,104,-8,2562.0
5:01.0, ,104-96,Personal foul by J. Goodwin (drawn by T. Evbuomwan),,4,96,104,-8,2579.0
5:01.0,G. Jackson enters the game for B. Clarke,104-96, ,,4,96,104,-8,2579.0
5:01.0,Violation by Team (kicked ball),104-96, ,,4,96,104,-8,2579.0
4:48.0, ,104-98,J. Ivey makes 2-pt layup from 1 ft,,4,98,104,-6,2592.0
4:28.0,J. Jackson misses 2-pt layup from 2 ft,104-98, ,,4,98,104,-6,2612.0
4:27.0, ,104-98,Defensive rebound by C. Cunningham,,4,98,104,-6,2613.0
4:22.0, ,104-101,E. Fournier makes 3-pt jump shot from 26 ft (assist by C. Cunningham),,4,101,104,-3,2618.0
4:21.0,Memphis full timeout,104-101, ,,4,101,104,-3,2619.0
4:07.0,J. Jackson misses 2-pt hook shot from 1 ft,104-101, ,,4,101,104,-3,2633.0
4:06.0, ,104-101,Defensive rebound by C. Metu,,4,101,104,-3,2634.0
3:42.0, ,104-104,C. Cunningham makes 3-pt jump shot from 27 ft (assist by E. Fournier),Tie,4,104,104,0,2658.0
3:21.0,J. Jackson makes 2-pt layup from 1 ft,106-104, ,,4,104,106,-2,2679.0
3:12.0, ,106-104,Shooting foul by L. Stevens (drawn by C. Cunningham),,4,104,106,-2,2688.0
3:12.0, ,106-105,C. Cunningham makes free throw 1 of 2,,4,105,106,-1,2688.0
3:12.0,B. Clarke enters the game for G. Jackson,106-105, ,,4,105,106,-1,2688.0
3:12.0, ,106-105,J. Wiseman enters the game for T. Evbuomwan,,4,105,106,-1,2688.0
3:12.0, ,106-106,C. Cunningham makes free throw 2 of 2,Tie,4,106,106,0,2688.0
2:59.0,Shooting foul by C. Metu (drawn by J. Jackson),106-106, ,,4,106,106,0,2701.0
2:59.0,J. Jackson makes free throw 1 of 2,107-106, ,,4,106,107,-1,2701.0
2:59.0,J. Jackson makes free throw 2 of 2,108-106, ,,4,106,108,-2,2701.0
2:41.0, ,108-106,C. Cunningham misses 2-pt layup from 5 ft (block by J. Jackson),,4,106,108,-2,2719.0
2:39.0,Defensive rebound by L. Kennard,108-106, ,,4,106,108,-2,2721.0
2:28.0,J. Jackson makes 2-pt layup from 2 ft,110-106, ,,4,106,110,-4,2732.0
2:19.0, ,110-108,J. Wiseman makes 2-pt dunk from 2 ft (assist by J. Ivey),,4,108,110,-2,2741.0
1:53.0,J. Jackson misses 2-pt layup from 4 ft,110-108, ,,4,108,110,-2,2767.0
1:50.0,Offensive rebound by J. Jackson,110-108, ,,4,108,110,-2,2770.0
1:49.0,J. Jackson misses 2-pt layup from 1 ft (block by E. Fournier),110-108, ,,4,108,110,-2,2771.0
1:49.0, ,110-108,Defensive rebound by C. Cunningham,,4,108,110,-2,2771.0
1:43.0, ,110-108,J. Ivey misses 3-pt jump shot from 23 ft,,4,108,110,-2,2777.0
1:39.0,Defensive rebound by L. Kennard,110-108, ,,4,108,110,-2,2781.0
1:21.0,L. Kennard misses 3-pt jump shot from 24 ft,110-108, ,,4,108,110,-2,2799.0
1:17.0,Offensive rebound by J. Goodwin,110-108, ,,4,108,110,-2,2803.0
1:17.0,J. Goodwin misses 2-pt layup at rim,110-108, ,,4,108,110,-2,2803.0
1:16.0,Offensive rebound by J. Goodwin,110-108, ,,4,108,110,-2,2804.0
1:07.0,L. Kennard misses 3-pt jump shot from 24 ft,110-108, ,,4,108,110,-2,2813.0
1:04.0,Offensive rebound by Team,110-108, ,,4,108,110,-2,2816.0
1:04.0, ,110-108,Detroit full timeout,,4,108,110,-2,2816.0
1:04.0, ,110-108,Instant Replay (Challenge: Ruling Stands),,4,108,110,-2,2816.0
1:04.0,G. Jackson enters the game for L. Stevens,110-108, ,,4,108,110,-2,2816.0
0:50.0,G. Jackson misses 3-pt jump shot from 26 ft,110-108, ,,4,108,110,-2,2830.0
0:46.0, ,110-108,Defensive rebound by C. Metu,,4,108,110,-2,2834.0
0:36.0, ,110-108,C. Metu misses 3-pt jump shot from 23 ft,,4,108,110,-2,2844.0
0:33.0,Defensive rebound by Team,110-108, ,,4,108,110,-2,2847.0
0:33.0,Memphis full timeout,110-108, ,,4,108,110,-2,2847.0
0:33.0, ,110-108,T. Evbuomwan enters the game for E. Fournier,,4,108,110,-2,2847.0
0:11.0,J. Jackson misses 2-pt layup from 1 ft,110-108, ,,4,108,110,-2,2869.0
0:09.0, ,110-108,Defensive rebound by J. Wiseman,,4,108,110,-2,2871.0
0:00.0, ,110-108,C. Cunningham misses 2-pt jump shot from 12 ft,,4,108,110,-2,2880.0
0:00.0, ,110-108,Offensive rebound by Team,,4,108,110,-2,2880.0
0:00.0,End of 4th quarter,110-108,,,4,108,110,-2,2880.0
