Time,Detroit,Score,Dallas,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Wiseman vs. D. Gafford (M. Sasser gains possession),0-0,,,1,0,0,0,0.0
11:42.0,C. Metu misses 2-pt jump shot from 11 ft,0-0, ,,1,0,0,0,18.0
11:40.0, ,0-0,Defensive rebound by D. Gafford,,1,0,0,0,20.0
11:32.0, ,0-2,P. Washington makes 2-pt dunk from 1 ft (assist by D. Exum),,1,0,2,-2,28.0
11:16.0,T. Brown makes 2-pt jump shot from 8 ft,2-2, ,Tie,1,2,2,0,44.0
10:59.0, ,2-2,T. Hardaway misses 2-pt layup from 1 ft,,1,2,2,0,61.0
10:57.0,Defensive rebound by J. Wiseman,2-2, ,,1,2,2,0,63.0
10:50.0,M. Sasser misses 3-pt jump shot from 25 ft,2-2, ,,1,2,2,0,70.0
10:47.0, ,2-2,Defensive rebound by D. Jones,,1,2,2,0,73.0
10:36.0, ,2-4,D. Gafford makes 2-pt dunk at rim (assist by D. Jones),,1,2,4,-2,84.0
10:25.0,C. Metu makes 3-pt jump shot from 25 ft (assist by J. Wiseman),5-4, ,Lead change,1,5,4,1,95.0
10:10.0, ,5-4,D. Jones misses 2-pt layup from 2 ft (block by J. Wiseman),,1,5,4,1,110.0
10:10.0,Defensive rebound by T. Brown,5-4, ,,1,5,4,1,110.0
10:03.0,T. Brown misses 2-pt layup from 4 ft,5-4, ,,1,5,4,1,117.0
10:00.0,Offensive rebound by J. Wiseman,5-4, ,,1,5,4,1,120.0
10:00.0,J. Wiseman makes 2-pt layup at rim,7-4, ,,1,7,4,3,120.0
9:48.0, ,7-4,Turnover by D. Gafford (bad pass; steal by J. Ivey),,1,7,4,3,132.0
9:45.0,J. Ivey makes 2-pt dunk from 1 ft,9-4, ,,1,9,4,5,135.0
9:31.0, ,9-4,D. Gafford misses 2-pt layup from 3 ft,,1,9,4,5,149.0
9:31.0,Defensive rebound by T. Brown,9-4, ,,1,9,4,5,149.0
9:24.0,C. Metu makes 3-pt jump shot from 23 ft (assist by T. Brown),12-4, ,,1,12,4,8,156.0
8:58.0, ,12-7,P. Washington makes 3-pt jump shot from 25 ft (assist by D. Jones),,1,12,7,5,182.0
8:47.0,Personal foul by D. Gafford (drawn by J. Wiseman),12-7, ,,1,12,7,5,193.0
8:33.0,J. Wiseman makes 2-pt layup from 2 ft (assist by T. Brown),14-7, ,,1,14,7,7,207.0
8:15.0, ,14-7,Turnover by D. Gafford (bad pass; steal by T. Brown),,1,14,7,7,225.0
8:07.0,M. Sasser misses 2-pt layup from 1 ft,14-7, ,,1,14,7,7,233.0
8:06.0, ,14-7,Defensive rebound by P. Washington,,1,14,7,7,234.0
8:06.0, ,14-7,Dallas full timeout,,1,14,7,7,234.0
8:06.0, ,14-7,Instant Replay (Challenge: Ruling Stands),,1,14,7,7,234.0
7:55.0, ,14-7,D. Exum misses 2-pt layup from 2 ft (block by J. Wiseman),,1,14,7,7,245.0
7:53.0,Defensive rebound by T. Brown,14-7, ,,1,14,7,7,247.0
7:49.0,C. Metu misses 2-pt layup from 2 ft,14-7, ,,1,14,7,7,251.0
7:47.0, ,14-7,Defensive rebound by T. Hardaway,,1,14,7,7,253.0
7:42.0, ,14-9,T. Hardaway makes 2-pt jump shot from 14 ft,,1,14,9,5,258.0
7:24.0,M. Sasser misses 2-pt jump shot from 7 ft,14-9, ,,1,14,9,5,276.0
7:24.0,Offensive rebound by J. Wiseman,14-9, ,,1,14,9,5,276.0
7:24.0, ,14-9,J. Green enters the game for D. Gafford,,1,14,9,5,276.0
7:24.0, ,14-9,M. Kleber enters the game for D. Jones,,1,14,9,5,276.0
7:12.0,M. Sasser misses 3-pt jump shot from 25 ft,14-9, ,,1,14,9,5,288.0
7:10.0, ,14-9,Defensive rebound by J. Green,,1,14,9,5,290.0
7:04.0, ,14-12,T. Hardaway makes 3-pt jump shot from 25 ft,,1,14,12,2,296.0
6:50.0,J. Wiseman misses 2-pt jump shot from 11 ft,14-12, ,,1,14,12,2,310.0
6:48.0, ,14-12,Defensive rebound by P. Washington,,1,14,12,2,312.0
6:43.0, ,14-12,Turnover by T. Hardaway (lost ball; steal by C. Metu),,1,14,12,2,317.0
6:37.0,Turnover by T. Brown (bad pass),14-12, ,,1,14,12,2,323.0
6:37.0,J. Rhoden enters the game for T. Brown,14-12, ,,1,14,12,2,323.0
6:37.0, ,14-12,J. Hardy enters the game for D. Exum,,1,14,12,2,323.0
6:13.0, ,14-12,P. Washington misses 2-pt jump shot from 7 ft,,1,14,12,2,347.0
6:11.0,Defensive rebound by J. Wiseman,14-12, ,,1,14,12,2,349.0
5:59.0,J. Wiseman misses 2-pt jump shot from 11 ft,14-12, ,,1,14,12,2,361.0
5:57.0, ,14-12,Defensive rebound by M. Kleber,,1,14,12,2,363.0
5:49.0, ,14-12,Turnover by M. Kleber (out of bounds lost ball),,1,14,12,2,371.0
5:38.0,Turnover by M. Sasser (lost ball; steal by J. Hardy),14-12, ,,1,14,12,2,382.0
5:34.0, ,14-14,J. Hardy makes 2-pt layup from 1 ft (assist by T. Hardaway),Tie,1,14,14,0,386.0
5:22.0,J. Ivey misses 3-pt jump shot from 25 ft,14-14, ,,1,14,14,0,398.0
5:21.0, ,14-14,Defensive rebound by Team,,1,14,14,0,399.0
5:21.0, ,14-14,D. Powell enters the game for M. Kleber,,1,14,14,0,399.0
5:09.0, ,14-16,P. Washington makes 2-pt jump shot from 12 ft (assist by D. Powell),Lead change,1,14,16,-2,411.0
4:55.0,J. Ivey makes 2-pt jump shot from 13 ft,16-16, ,Tie,1,16,16,0,425.0
4:40.0, ,16-16,P. Washington misses 2-pt jump shot from 19 ft,,1,16,16,0,440.0
4:36.0,Defensive rebound by M. Sasser,16-16, ,,1,16,16,0,444.0
4:36.0,T. Brown enters the game for J. Ivey,16-16, ,,1,16,16,0,444.0
4:36.0,E. Fournier enters the game for C. Metu,16-16, ,,1,16,16,0,444.0
4:36.0, ,16-16,M. Kleber enters the game for P. Washington,,1,16,16,0,444.0
4:20.0,J. Wiseman misses 2-pt layup from 5 ft (block by M. Kleber),16-16, ,,1,16,16,0,460.0
4:18.0, ,16-16,Defensive rebound by M. Kleber,,1,16,16,0,462.0
4:15.0, ,16-16,T. Hardaway misses 3-pt jump shot from 25 ft,,1,16,16,0,465.0
4:11.0,Defensive rebound by J. Rhoden,16-16, ,,1,16,16,0,469.0
4:04.0,J. Rhoden makes 2-pt jump shot from 14 ft,18-16, ,Lead change,1,18,16,2,476.0
3:49.0, ,18-16,J. Hardy misses 2-pt jump shot from 13 ft,,1,18,16,2,491.0
3:47.0,Defensive rebound by J. Rhoden,18-16, ,,1,18,16,2,493.0
3:43.0,Detroit full timeout,18-16, ,,1,18,16,2,497.0
3:43.0,T. Gibson enters the game for J. Wiseman,18-16, ,,1,18,16,2,497.0
3:43.0, ,18-16,A. Lawson enters the game for T. Hardaway,,1,18,16,2,497.0
3:26.0,T. Gibson makes 2-pt jump shot from 12 ft (assist by E. Fournier),20-16, ,,1,20,16,4,514.0
3:06.0, ,20-19,M. Kleber makes 3-pt jump shot from 26 ft (assist by D. Powell),,1,20,19,1,534.0
2:48.0,T. Brown misses 3-pt jump shot from 26 ft,20-19, ,,1,20,19,1,552.0
2:46.0, ,20-19,Defensive rebound by J. Hardy,,1,20,19,1,554.0
2:40.0, ,20-21,J. Hardy makes 2-pt jump shot from 10 ft,Lead change,1,20,21,-1,560.0
2:24.0,J. Rhoden makes 3-pt jump shot from 23 ft (assist by M. Sasser),23-21, ,Lead change,1,23,21,2,576.0
2:08.0, ,23-21,Personal foul by T. Gibson (drawn by D. Powell),,1,23,21,2,592.0
2:08.0,M. Flynn enters the game for M. Sasser,23-21, ,,1,23,21,2,592.0
1:58.0, ,23-21,J. Hardy misses 2-pt jump shot from 16 ft,,1,23,21,2,602.0
1:55.0,Defensive rebound by T. Brown,23-21, ,,1,23,21,2,605.0
1:48.0,T. Gibson makes 2-pt jump shot from 16 ft (assist by M. Flynn),25-21, ,,1,25,21,4,612.0
1:33.0, ,25-21,J. Hardy misses 2-pt jump shot from 10 ft,,1,25,21,4,627.0
1:31.0,Defensive rebound by T. Gibson,25-21, ,,1,25,21,4,629.0
1:13.0,E. Fournier misses 3-pt jump shot from 26 ft,25-21, ,,1,25,21,4,647.0
1:09.0, ,25-21,Defensive rebound by A. Lawson,,1,25,21,4,651.0
1:05.0, ,25-21,Personal foul by M. Flynn (drawn by M. Kleber),,1,25,21,4,655.0
0:51.0, ,25-21,J. Green misses 3-pt jump shot from 23 ft,,1,25,21,4,669.0
0:49.0,Defensive rebound by T. Gibson,25-21, ,,1,25,21,4,671.0
0:31.0,T. Brown misses 3-pt jump shot from 23 ft,25-21, ,,1,25,21,4,689.0
0:28.0, ,25-21,Defensive rebound by D. Powell,,1,25,21,4,692.0
0:08.0, ,25-21,Turnover by J. Hardy (lost ball; steal by M. Flynn),,1,25,21,4,712.0
0:03.0,M. Flynn makes 2-pt layup from 1 ft (assist by E. Fournier),27-21, ,,1,27,21,6,717.0
0:00.0, ,27-21,J. Hardy misses 3-pt jump shot from 45 ft,,1,27,21,6,720.0
0:00.0, ,27-21,Offensive rebound by Team,,1,27,21,6,720.0
0:00.0,End of 1st quarter,27-21,,,1,27,21,6,720.0
12:00.0,Start of 2nd quarter,27-21,,,2,27,21,6,720.0
11:44.0, ,27-23,D. Gafford makes 2-pt dunk from 1 ft (assist by A. Lawson),,2,27,23,4,736.0
11:24.0,M. Flynn misses 2-pt layup from 3 ft,27-23, ,,2,27,23,4,756.0
11:22.0, ,27-23,Defensive rebound by D. Gafford,,2,27,23,4,758.0
11:15.0, ,27-25,O. Prosper makes 2-pt dunk from 1 ft (assist by D. Jones),,2,27,25,2,765.0
11:04.0,E. Fournier makes 2-pt jump shot from 10 ft (assist by M. Flynn),29-25, ,,2,29,25,4,776.0
