Time,Indiana,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:31.0, ,107-101,A. Burks makes free throw 2 of 2,,4,101,107,-6,2309.0
9:08.0,Turnover by A. Nesmith (bad pass; steal by A. Burks),107-101, ,,4,101,107,-6,2332.0
9:02.0, ,107-101,B. Bogdanović misses 3-pt jump shot from 23 ft,,4,101,107,-6,2338.0
8:58.0,Defensive rebound by I. Jackson,107-101, ,,4,101,107,-6,2342.0
8:48.0,B. Mathurin misses 2-pt layup from 7 ft,107-101, ,,4,101,107,-6,2352.0
8:43.0, ,107-101,Defensive rebound by K. Hayes,,4,101,107,-6,2357.0
8:42.0, ,107-101,Shooting foul by A. Nesmith (drawn by B. Bogdanović),,4,101,107,-6,2358.0
8:42.0, ,107-101,B. Bogdanović misses free throw 1 of 2,,4,101,107,-6,2358.0
8:42.0, ,107-101,Offensive rebound by Team,,4,101,107,-6,2358.0
8:42.0,B. Brown enters the game for B. Hield,107-101, ,,4,101,107,-6,2358.0
8:42.0,T. Haliburton enters the game for I. Jackson,107-101, ,,4,101,107,-6,2358.0
8:42.0,M. Turner enters the game for T. McConnell,107-101, ,,4,101,107,-6,2358.0
8:42.0, ,107-101,C. Cunningham enters the game for A. Burks,,4,101,107,-6,2358.0
8:42.0, ,107-101,I. Stewart enters the game for K. Hayes,,4,101,107,-6,2358.0
8:42.0, ,107-101,A. Thompson enters the game for J. Wiseman,,4,101,107,-6,2358.0
8:42.0, ,107-102,B. Bogdanović makes free throw 2 of 2,,4,102,107,-5,2358.0
8:27.0,M. Turner makes 2-pt layup from 5 ft (assist by A. Nesmith),109-102, ,,4,102,109,-7,2373.0
8:17.0, ,109-102,B. Bogdanović misses 2-pt layup from 6 ft,,4,102,109,-7,2383.0
8:15.0,Defensive rebound by M. Turner,109-102, ,,4,102,109,-7,2385.0
8:15.0,Turnover by M. Turner (lost ball; steal by J. Ivey),109-102, ,,4,102,109,-7,2385.0
8:14.0, ,109-102,J. Ivey misses 2-pt layup from 4 ft (block by M. Turner),,4,102,109,-7,2386.0
8:13.0,Defensive rebound by A. Nesmith,109-102, ,,4,102,109,-7,2387.0
8:04.0,A. Nesmith makes 2-pt layup from 3 ft,111-102, ,,4,102,111,-9,2396.0
7:51.0, ,111-104,C. Cunningham makes 2-pt jump shot from 20 ft,,4,104,111,-7,2409.0
7:38.0,M. Turner misses 2-pt layup from 2 ft,111-104, ,,4,104,111,-7,2422.0
7:36.0, ,111-104,Defensive rebound by J. Ivey,,4,104,111,-7,2424.0
7:23.0, ,111-106,J. Ivey makes 2-pt layup from 4 ft (assist by I. Stewart),,4,106,111,-5,2437.0
7:03.0,Shooting foul by A. Thompson (drawn by M. Turner),111-106, ,,4,106,111,-5,2457.0
7:03.0,M. Turner makes free throw 1 of 2,112-106, ,,4,106,112,-6,2457.0
7:03.0,B. Hield enters the game for A. Nesmith,112-106, ,,4,106,112,-6,2457.0
7:03.0,M. Turner makes free throw 2 of 2,113-106, ,,4,106,113,-7,2457.0
6:49.0, ,113-106,C. Cunningham misses 3-pt jump shot from 26 ft,,4,106,113,-7,2471.0
6:45.0,Defensive rebound by B. Hield,113-106, ,,4,106,113,-7,2475.0
6:33.0,T. Haliburton makes 2-pt jump shot from 13 ft,115-106, ,,4,106,115,-9,2487.0
6:21.0, ,115-108,A. Thompson makes 2-pt layup from 4 ft (assist by C. Cunningham),,4,108,115,-7,2499.0
6:00.0,T. Haliburton misses 2-pt layup from 5 ft (block by A. Thompson),115-108, ,,4,108,115,-7,2520.0
6:00.0,Offensive rebound by Team,115-108, ,,4,108,115,-7,2520.0
6:00.0, ,115-108,Detroit full timeout,,4,108,115,-7,2520.0
5:55.0,M. Turner makes 2-pt jump shot from 17 ft,117-108, ,,4,108,117,-9,2525.0
5:34.0, ,117-110,A. Thompson makes 2-pt jump shot from 6 ft,,4,110,117,-7,2546.0
5:14.0,B. Hield makes 2-pt jump shot from 16 ft (assist by T. Haliburton),119-110, ,,4,110,119,-9,2566.0
4:59.0, ,119-112,I. Stewart makes 2-pt dunk from 5 ft (assist by A. Thompson),,4,112,119,-7,2581.0
4:39.0,M. Turner makes 2-pt layup from 4 ft,121-112, ,,4,112,121,-9,2601.0
4:39.0,Shooting foul by A. Thompson (drawn by M. Turner),121-112, ,,4,112,121,-9,2601.0
4:39.0,M. Turner makes free throw 1 of 1,122-112, ,,4,112,122,-10,2601.0
4:26.0, ,122-112,C. Cunningham misses 2-pt layup from 4 ft,,4,112,122,-10,2614.0
4:23.0,Defensive rebound by B. Brown,122-112, ,,4,112,122,-10,2617.0
4:22.0,Shooting foul by A. Thompson (drawn by B. Brown),122-112, ,,4,112,122,-10,2618.0
4:22.0,B. Brown misses free throw 1 of 2,122-112, ,,4,112,122,-10,2618.0
4:22.0,Offensive rebound by Team,122-112, ,,4,112,122,-10,2618.0
4:22.0,B. Brown makes free throw 2 of 2,123-112, ,,4,112,123,-11,2618.0
4:08.0, ,123-114,I. Stewart makes 2-pt layup from 4 ft (assist by C. Cunningham),,4,114,123,-9,2632.0
3:48.0,T. Haliburton makes 3-pt jump shot from 28 ft,126-114, ,,4,114,126,-12,2652.0
3:38.0, ,126-114,J. Ivey misses 2-pt layup from 5 ft,,4,114,126,-12,2662.0
3:35.0,Defensive rebound by B. Mathurin,126-114, ,,4,114,126,-12,2665.0
3:31.0,T. Haliburton makes 2-pt layup from 4 ft,128-114, ,,4,114,128,-14,2669.0
3:31.0,Shooting foul by B. Bogdanović (drawn by T. Haliburton),128-114, ,,4,114,128,-14,2669.0
3:31.0,T. Haliburton makes free throw 1 of 1,129-114, ,,4,114,129,-15,2669.0
3:17.0, ,129-114,Turnover by C. Cunningham (bad pass; steal by B. Hield),,4,114,129,-15,2683.0
3:11.0,B. Brown misses 3-pt jump shot from 23 ft,129-114, ,,4,114,129,-15,2689.0
3:07.0, ,129-114,Defensive rebound by I. Stewart,,4,114,129,-15,2693.0
2:58.0, ,129-114,Shooting foul by T. Haliburton (drawn by B. Bogdanović),,4,114,129,-15,2702.0
2:58.0,Indiana full timeout,129-114, ,,4,114,129,-15,2702.0
2:58.0, ,129-115,B. Bogdanović makes free throw 1 of 3,,4,115,129,-14,2702.0
2:58.0, ,129-115,B. Bogdanović misses free throw 2 of 3,,4,115,129,-14,2702.0
2:58.0, ,129-115,Offensive rebound by Team,,4,115,129,-14,2702.0
2:58.0, ,129-116,B. Bogdanović makes free throw 3 of 3,,4,116,129,-13,2702.0
2:40.0,M. Turner misses 2-pt jump shot from 9 ft,129-116, ,,4,116,129,-13,2720.0
2:39.0, ,129-116,Defensive rebound by Team,,4,116,129,-13,2721.0
2:25.0, ,129-116,Shooting foul by M. Turner (drawn by I. Stewart),,4,116,129,-13,2735.0
2:25.0, ,129-117,I. Stewart makes free throw 1 of 2,,4,117,129,-12,2735.0
2:25.0, ,129-117,I. Stewart misses free throw 2 of 2,,4,117,129,-12,2735.0
2:22.0,Defensive rebound by M. Turner,129-117, ,,4,117,129,-12,2738.0
2:05.0,B. Hield misses 3-pt jump shot from 26 ft,129-117, ,,4,117,129,-12,2755.0
2:03.0, ,129-117,Defensive rebound by C. Cunningham,,4,117,129,-12,2757.0
2:00.0, ,129-117,Personal foul by T. Haliburton (drawn by J. Ivey),,4,117,129,-12,2760.0
2:00.0, ,129-118,J. Ivey makes free throw 1 of 2,,4,118,129,-11,2760.0
2:00.0,A. Nesmith enters the game for B. Hield,129-118, ,,4,118,129,-11,2760.0
2:00.0, ,129-119,J. Ivey makes free throw 2 of 2,,4,119,129,-10,2760.0
1:38.0,Turnover by B. Mathurin (lost ball; steal by C. Cunningham),129-119, ,,4,119,129,-10,2782.0
1:34.0, ,129-119,J. Ivey misses 3-pt jump shot from 26 ft,,4,119,129,-10,2786.0
1:30.0,Defensive rebound by T. Haliburton,129-119, ,,4,119,129,-10,2790.0
1:15.0,Turnover by T. Haliburton (bad pass; steal by B. Bogdanović),129-119, ,,4,119,129,-10,2805.0
1:08.0, ,129-119,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,119,129,-10,2812.0
1:04.0,Defensive rebound by B. Brown,129-119, ,,4,119,129,-10,2816.0
0:45.0,B. Brown misses 2-pt hook shot from 8 ft,129-119, ,,4,119,129,-10,2835.0
0:43.0,Offensive rebound by B. Mathurin,129-119, ,,4,119,129,-10,2837.0
0:38.0,Personal take foul by A. Thompson (drawn by B. Mathurin),129-119, ,,4,119,129,-10,2842.0
0:38.0,B. Mathurin makes free throw 1 of 2,130-119, ,,4,119,130,-11,2842.0
0:38.0,B. Mathurin makes free throw 2 of 2,131-119, ,,4,119,131,-12,2842.0
0:26.0, ,131-121,A. Thompson makes 2-pt dunk from 4 ft,,4,121,131,-10,2854.0
0:22.0,Indiana full timeout,131-121, ,,4,121,131,-10,2858.0
0:16.0,Personal foul by C. Cunningham (drawn by M. Turner),131-121, ,,4,121,131,-10,2864.0
0:16.0,M. Turner misses free throw 1 of 2,131-121, ,,4,121,131,-10,2864.0
0:16.0,Offensive rebound by Team,131-121, ,,4,121,131,-10,2864.0
0:16.0,M. Turner misses free throw 2 of 2,131-121, ,,4,121,131,-10,2864.0
0:12.0, ,131-121,Defensive rebound by I. Stewart,,4,121,131,-10,2868.0
0:04.0, ,131-123,B. Bogdanović makes 2-pt layup from 4 ft (assist by C. Cunningham),,4,123,131,-8,2876.0
0:00.0,End of 4th quarter,131-123,,,4,123,131,-8,2880.0
