Time,Detroit,Score,Orlando,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. W. Carter (P. Banchero gains possession),0-0,,,1,0,0,0,0.0
11:40.0, ,0-0,P. Banchero misses 2-pt jump shot from 16 ft,,1,0,0,0,20.0
11:37.0,Defensive rebound by A. Thompson,0-0, ,,1,0,0,0,23.0
11:19.0,J. Duren misses 2-pt layup from 4 ft,0-0, ,,1,0,0,0,41.0
11:19.0,Offensive rebound by Team,0-0, ,,1,0,0,0,41.0
11:06.0,I. Stewart misses 3-pt jump shot from 25 ft,0-0, ,,1,0,0,0,54.0
11:04.0, ,0-0,Defensive rebound by J. Suggs,,1,0,0,0,56.0
10:55.0, ,0-3,W. Carter makes 3-pt jump shot from 25 ft (assist by J. Suggs),,1,0,3,-3,65.0
10:35.0,C. Cunningham makes 2-pt hook shot from 6 ft,2-3, ,,1,2,3,-1,85.0
10:27.0, ,2-3,G. Harris misses 3-pt jump shot from 26 ft,,1,2,3,-1,93.0
10:24.0,Defensive rebound by A. Thompson,2-3, ,,1,2,3,-1,96.0
10:20.0,A. Thompson misses 2-pt hook shot from 4 ft (block by F. Wagner),2-3, ,,1,2,3,-1,100.0
10:19.0, ,2-3,Defensive rebound by F. Wagner,,1,2,3,-1,101.0
10:06.0, ,2-3,Turnover by P. Banchero (bad pass),,1,2,3,-1,114.0
9:54.0,J. Ivey misses 2-pt layup from 4 ft (block by W. Carter),2-3, ,,1,2,3,-1,126.0
9:54.0,Offensive rebound by Team,2-3, ,,1,2,3,-1,126.0
9:42.0,Shooting foul by P. Banchero (drawn by J. Ivey),2-3, ,,1,2,3,-1,138.0
9:42.0,J. Ivey makes free throw 1 of 2,3-3, ,Tie,1,3,3,0,138.0
9:42.0,J. Ivey makes free throw 2 of 2,4-3, ,Lead change,1,4,3,1,138.0
9:24.0, ,4-5,F. Wagner makes 2-pt layup from 2 ft,Lead change,1,4,5,-1,156.0
9:14.0,Shooting foul by W. Carter (drawn by J. Duren),4-5, ,,1,4,5,-1,166.0
9:14.0,J. Duren makes free throw 1 of 2,5-5, ,Tie,1,5,5,0,166.0
9:14.0,J. Duren makes free throw 2 of 2,6-5, ,Lead change,1,6,5,1,166.0
9:01.0, ,6-5,Shooting foul by C. Cunningham (drawn by W. Carter),,1,6,5,1,179.0
9:01.0, ,6-6,W. Carter makes free throw 1 of 2,Tie,1,6,6,0,179.0
9:01.0, ,6-7,W. Carter makes free throw 2 of 2,Lead change,1,6,7,-1,179.0
8:50.0,C. Cunningham misses 2-pt jump shot from 8 ft,6-7, ,,1,6,7,-1,190.0
8:49.0, ,6-7,Defensive rebound by F. Wagner,,1,6,7,-1,191.0
8:34.0, ,6-9,J. Suggs makes 2-pt jump shot from 3 ft (assist by P. Banchero),,1,6,9,-3,206.0
8:25.0,A. Thompson misses 3-pt jump shot from 26 ft,6-9, ,,1,6,9,-3,215.0
8:25.0,Offensive rebound by I. Stewart,6-9, ,,1,6,9,-3,215.0
8:17.0,I. Stewart makes 2-pt dunk from 1 ft (assist by J. Duren),8-9, ,,1,8,9,-1,223.0
7:54.0, ,8-12,G. Harris makes 3-pt jump shot from 23 ft (assist by P. Banchero),,1,8,12,-4,246.0
7:41.0,C. Cunningham misses 2-pt jump shot from 5 ft,8-12, ,,1,8,12,-4,259.0
7:38.0, ,8-12,Defensive rebound by W. Carter,,1,8,12,-4,262.0
7:30.0, ,8-12,Shooting foul by I. Stewart (drawn by P. Banchero),,1,8,12,-4,270.0
7:30.0, ,8-13,P. Banchero makes free throw 1 of 2,,1,8,13,-5,270.0
7:30.0, ,8-14,P. Banchero makes free throw 2 of 2,,1,8,14,-6,270.0
7:14.0,A. Thompson makes 3-pt jump shot from 23 ft (assist by C. Cunningham),11-14, ,,1,11,14,-3,286.0
6:59.0, ,11-16,J. Suggs makes 2-pt dunk at rim (assist by G. Harris),,1,11,16,-5,301.0
6:49.0,J. Duren misses 2-pt layup from 4 ft,11-16, ,,1,11,16,-5,311.0
6:47.0, ,11-16,Defensive rebound by J. Suggs,,1,11,16,-5,313.0
6:44.0, ,11-18,F. Wagner makes 2-pt layup from 2 ft (assist by J. Suggs),,1,11,18,-7,316.0
6:44.0,Detroit full timeout,11-18, ,,1,11,18,-7,316.0
6:30.0,J. Ivey makes 2-pt jump shot from 16 ft (assist by J. Duren),13-18, ,,1,13,18,-5,330.0
6:02.0, ,13-20,W. Carter makes 2-pt jump shot from 10 ft,,1,13,20,-7,358.0
6:02.0,S. Fontecchio enters the game for I. Stewart,13-20, ,,1,13,20,-7,358.0
5:46.0,J. Ivey makes 2-pt jump shot from 14 ft (assist by A. Thompson),15-20, ,,1,15,20,-5,374.0
5:29.0, ,15-20,P. Banchero misses 2-pt jump shot from 12 ft,,1,15,20,-5,391.0
5:27.0,Defensive rebound by J. Duren,15-20, ,,1,15,20,-5,393.0
5:25.0,C. Cunningham misses 2-pt hook shot from 3 ft (block by J. Suggs),15-20, ,,1,15,20,-5,395.0
5:23.0, ,15-20,Defensive rebound by F. Wagner,,1,15,20,-5,397.0
5:13.0, ,15-20,Shooting foul by J. Ivey (drawn by W. Carter),,1,15,20,-5,407.0
5:13.0, ,15-21,W. Carter makes free throw 1 of 2,,1,15,21,-6,407.0
5:13.0, ,15-22,W. Carter makes free throw 2 of 2,,1,15,22,-7,407.0
4:56.0,J. Ivey misses 3-pt jump shot from 25 ft,15-22, ,,1,15,22,-7,424.0
4:51.0, ,15-22,Defensive rebound by W. Carter,,1,15,22,-7,429.0
4:50.0, ,15-22,Offensive foul by J. Suggs (drawn by J. Ivey),,1,15,22,-7,430.0
4:50.0, ,15-22,Turnover by J. Suggs (offensive foul),,1,15,22,-7,430.0
4:50.0,E. Fournier enters the game for J. Ivey,15-22, ,,1,15,22,-7,430.0
4:39.0,C. Cunningham makes 2-pt jump shot from 16 ft,17-22, ,,1,17,22,-5,441.0
4:19.0, ,17-22,J. Suggs misses 3-pt jump shot from 27 ft,,1,17,22,-5,461.0
4:15.0, ,17-22,Offensive rebound by P. Banchero,,1,17,22,-5,465.0
4:13.0, ,17-22,Shooting foul by J. Duren (drawn by F. Wagner),,1,17,22,-5,467.0
4:13.0, ,17-22,F. Wagner misses free throw 1 of 2,,1,17,22,-5,467.0
4:13.0, ,17-22,Offensive rebound by Team,,1,17,22,-5,467.0
4:13.0, ,17-23,F. Wagner makes free throw 2 of 2,,1,17,23,-6,467.0
4:01.0,J. Duren misses 2-pt hook shot from 4 ft (block by F. Wagner),17-23, ,,1,17,23,-6,479.0
3:59.0, ,17-23,Defensive rebound by F. Wagner,,1,17,23,-6,481.0
3:48.0, ,17-23,F. Wagner misses 2-pt layup from 3 ft,,1,17,23,-6,492.0
3:45.0,Defensive rebound by J. Duren,17-23, ,,1,17,23,-6,495.0
3:37.0,S. Fontecchio makes 3-pt jump shot from 23 ft (assist by C. Cunningham),20-23, ,,1,20,23,-3,503.0
3:12.0, ,20-23,P. Banchero misses 3-pt jump shot from 28 ft,,1,20,23,-3,528.0
3:08.0,Defensive rebound by C. Cunningham,20-23, ,,1,20,23,-3,532.0
3:01.0,C. Cunningham makes 2-pt layup from 3 ft,22-23, ,,1,22,23,-1,539.0
3:01.0, ,22-23,Orlando full timeout,,1,22,23,-1,539.0
3:01.0,T. Brown enters the game for C. Cunningham,22-23, ,,1,22,23,-1,539.0
3:01.0,M. Sasser enters the game for J. Duren,22-23, ,,1,22,23,-1,539.0
3:01.0,I. Stewart enters the game for A. Thompson,22-23, ,,1,22,23,-1,539.0
