Time,Detroit,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
5:28.0,Offensive rebound by J. Ivey,58-63, ,,3,58,63,-5,1832.0
5:17.0,C. Cunningham misses 2-pt jump shot from 10 ft,58-63, ,,3,58,63,-5,1843.0
5:13.0, ,58-63,Defensive rebound by S. Curry,,3,58,63,-5,1847.0
5:10.0, ,58-63,S. Curry misses 3-pt jump shot from 27 ft,,3,58,63,-5,1850.0
5:06.0, ,58-63,Offensive rebound by A. Wiggins,,3,58,63,-5,1854.0
5:05.0, ,58-66,B. Podziemski makes 3-pt jump shot from 26 ft (assist by A. Wiggins),,3,58,66,-8,1855.0
4:52.0,Offensive foul by C. Cunningham (drawn by S. Curry),58-66, ,,3,58,66,-8,1868.0
4:52.0,Turnover by C. Cunningham (offensive foul),58-66, ,,3,58,66,-8,1868.0
4:52.0,A. Burks enters the game for B. Bogdanović,58-66, ,,3,58,66,-8,1868.0
4:52.0,K. Knox enters the game for J. Ivey,58-66, ,,3,58,66,-8,1868.0
4:52.0,A. Thompson enters the game for I. Livers,58-66, ,,3,58,66,-8,1868.0
4:52.0, ,58-66,D. Šarić enters the game for J. Kuminga,,3,58,66,-8,1868.0
4:36.0, ,58-66,Turnover by D. Šarić (step out of bounds),,3,58,66,-8,1884.0
4:21.0,Shooting foul by B. Podziemski (drawn by A. Thompson),58-66, ,,3,58,66,-8,1899.0
4:21.0,A. Thompson makes free throw 1 of 2,59-66, ,,3,59,66,-7,1899.0
4:21.0,J. Wiseman enters the game for J. Duren,59-66, ,,3,59,66,-7,1899.0
4:21.0,A. Thompson makes free throw 2 of 2,60-66, ,,3,60,66,-6,1899.0
4:07.0, ,60-68,S. Curry makes 2-pt layup from 5 ft,,3,60,68,-8,1913.0
3:59.0,C. Cunningham makes 2-pt layup from 5 ft,62-68, ,,3,62,68,-6,1921.0
3:47.0, ,62-70,B. Podziemski makes 2-pt jump shot from 8 ft,,3,62,70,-8,1933.0
3:33.0,A. Thompson misses 2-pt jump shot from 19 ft,62-70, ,,3,62,70,-8,1947.0
3:29.0, ,62-70,Defensive rebound by T. Jackson-Davis,,3,62,70,-8,1951.0
3:18.0, ,62-70,S. Curry misses 3-pt jump shot from 30 ft,,3,62,70,-8,1962.0
3:13.0,Defensive rebound by K. Knox,62-70, ,,3,62,70,-8,1967.0
3:07.0,C. Cunningham misses 3-pt jump shot from 27 ft,62-70, ,,3,62,70,-8,1973.0
3:05.0, ,62-70,Defensive rebound by S. Curry,,3,62,70,-8,1975.0
2:55.0, ,62-70,Personal foul by A. Thompson (drawn by S. Curry),,3,62,70,-8,1985.0
2:55.0,Detroit full timeout,62-70, ,,3,62,70,-8,1985.0
2:55.0,K. Hayes enters the game for C. Cunningham,62-70, ,,3,62,70,-8,1985.0
2:55.0, ,62-70,C. Joseph enters the game for S. Curry,,3,62,70,-8,1985.0
2:48.0, ,62-70,A. Wiggins misses 2-pt layup from 6 ft,,3,62,70,-8,1992.0
2:45.0,Defensive rebound by A. Thompson,62-70, ,,3,62,70,-8,1995.0
2:32.0,A. Burks misses 3-pt jump shot from 27 ft,62-70, ,,3,62,70,-8,2008.0
2:30.0,Offensive rebound by Team,62-70, ,,3,62,70,-8,2010.0
2:30.0, ,62-70,Loose ball foul by B. Podziemski (drawn by J. Wiseman),,3,62,70,-8,2010.0
2:30.0,J. Wiseman makes free throw 1 of 2,63-70, ,,3,63,70,-7,2010.0
2:30.0,J. Wiseman makes free throw 2 of 2,64-70, ,,3,64,70,-6,2010.0
2:23.0, ,64-70,Personal foul by K. Knox (drawn by D. Šarić),,3,64,70,-6,2017.0
2:12.0, ,64-70,B. Podziemski misses 2-pt jump shot from 7 ft,,3,64,70,-6,2028.0
2:09.0,Defensive rebound by A. Thompson,64-70, ,,3,64,70,-6,2031.0
2:01.0,K. Knox makes 2-pt layup from 3 ft (assist by A. Burks),66-70, ,,3,66,70,-4,2039.0
1:53.0, ,66-72,T. Jackson-Davis makes 2-pt layup from 4 ft (assist by D. Šarić),,3,66,72,-6,2047.0
1:53.0, ,66-72,Shooting foul by J. Wiseman (drawn by T. Jackson-Davis),,3,66,72,-6,2047.0
1:53.0, ,66-73,T. Jackson-Davis makes free throw 1 of 1,,3,66,73,-7,2047.0
1:32.0,K. Knox makes 3-pt jump shot from 25 ft (assist by A. Thompson),69-73, ,,3,69,73,-4,2068.0
1:20.0, ,69-76,B. Podziemski makes 3-pt jump shot from 26 ft (assist by C. Joseph),,3,69,76,-7,2080.0
0:57.0,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Knox),72-76, ,,3,72,76,-4,2103.0
0:33.0, ,72-76,D. Šarić misses 2-pt jump shot from 14 ft (block by K. Knox),,3,72,76,-4,2127.0
0:32.0, ,72-76,Offensive rebound by Team,,3,72,76,-4,2128.0
0:32.0, ,72-76,Turnover by Team (shot clock),,3,72,76,-4,2128.0
0:32.0,B. Bogdanović enters the game for A. Thompson,72-76, ,,3,72,76,-4,2128.0
0:13.0,A. Burks makes 3-pt jump shot from 23 ft (assist by K. Hayes),75-76, ,,3,75,76,-1,2147.0
0:04.0, ,75-79,A. Wiggins makes 3-pt jump shot from 26 ft (assist by B. Podziemski),,3,75,79,-4,2156.0
0:00.0,A. Burks misses 3-pt jump shot from 30 ft,75-79, ,,3,75,79,-4,2160.0
0:00.0,Offensive rebound by Team,75-79, ,,3,75,79,-4,2160.0
0:00.0,End of 3rd quarter,75-79,,,3,75,79,-4,2160.0
12:00.0,Start of 4th quarter,75-79,,,4,75,79,-4,2160.0
11:46.0, ,75-79,D. Šarić misses 3-pt jump shot from 27 ft,,4,75,79,-4,2174.0
11:42.0, ,75-79,Offensive rebound by B. Podziemski,,4,75,79,-4,2178.0
11:41.0, ,75-82,K. Thompson makes 3-pt jump shot from 26 ft (assist by B. Podziemski),,4,75,82,-7,2179.0
11:27.0,B. Bogdanović makes 2-pt layup from 4 ft (assist by K. Hayes),77-82, ,,4,77,82,-5,2193.0
11:14.0, ,77-82,Offensive foul by J. Kuminga (drawn by K. Hayes),,4,77,82,-5,2206.0
11:14.0, ,77-82,Turnover by J. Kuminga (offensive foul),,4,77,82,-5,2206.0
10:52.0,J. Ivey makes 2-pt jump shot from 6 ft,79-82, ,,4,79,82,-3,2228.0
10:39.0, ,79-82,B. Podziemski misses 2-pt layup from 5 ft (block by J. Ivey),,4,79,82,-3,2241.0
10:38.0, ,79-82,Offensive rebound by Team,,4,79,82,-3,2242.0
10:36.0, ,79-85,C. Joseph makes 3-pt jump shot from 22 ft (assist by B. Podziemski),,4,79,85,-6,2244.0
10:17.0,K. Knox makes 3-pt jump shot from 23 ft (assist by K. Hayes),82-85, ,,4,82,85,-3,2263.0
10:03.0, ,82-85,K. Thompson misses 2-pt layup from 5 ft (block by J. Wiseman),,4,82,85,-3,2277.0
10:02.0, ,82-85,Offensive rebound by Team,,4,82,85,-3,2278.0
9:55.0, ,82-85,Shooting foul by K. Knox (drawn by K. Thompson),,4,82,85,-3,2285.0
9:55.0, ,82-86,K. Thompson makes free throw 1 of 2,,4,82,86,-4,2285.0
9:55.0, ,82-86,M. Moody enters the game for B. Podziemski,,4,82,86,-4,2285.0
9:55.0, ,82-87,K. Thompson makes free throw 2 of 2,,4,82,87,-5,2285.0
9:36.0,Turnover by J. Ivey (bad pass),82-87, ,,4,82,87,-5,2304.0
9:31.0, ,82-87,J. Kuminga misses 2-pt dunk from 5 ft (block by K. Knox),,4,82,87,-5,2309.0
9:30.0,Defensive rebound by K. Hayes,82-87, ,,4,82,87,-5,2310.0
9:18.0,Turnover by J. Ivey (bad pass),82-87, ,,4,82,87,-5,2322.0
9:03.0, ,82-87,Shooting foul by J. Wiseman (drawn by D. Šarić),,4,82,87,-5,2337.0
9:03.0, ,82-88,D. Šarić makes free throw 1 of 2,,4,82,88,-6,2337.0
9:03.0,C. Cunningham enters the game for J. Ivey,82-88, ,,4,82,88,-6,2337.0
9:03.0,J. Duren enters the game for J. Wiseman,82-88, ,,4,82,88,-6,2337.0
9:03.0, ,82-89,D. Šarić makes free throw 2 of 2,,4,82,89,-7,2337.0
8:40.0,C. Cunningham makes 2-pt jump shot from 8 ft,84-89, ,,4,84,89,-5,2360.0
8:21.0, ,84-89,C. Joseph misses 3-pt jump shot from 24 ft,,4,84,89,-5,2379.0
8:20.0, ,84-89,Offensive rebound by Team,,4,84,89,-5,2380.0
8:20.0,Loose ball foul by J. Duren (drawn by D. Šarić),84-89, ,,4,84,89,-5,2380.0
8:15.0, ,84-92,K. Thompson makes 3-pt jump shot from 28 ft (assist by C. Joseph),,4,84,92,-8,2385.0
7:56.0,K. Hayes misses 3-pt jump shot from 24 ft,84-92, ,,4,84,92,-8,2404.0
7:53.0, ,84-92,Defensive rebound by J. Kuminga,,4,84,92,-8,2407.0
7:47.0, ,84-92,K. Thompson misses 3-pt jump shot from 23 ft,,4,84,92,-8,2413.0
7:43.0,Defensive rebound by B. Bogdanović,84-92, ,,4,84,92,-8,2417.0
7:30.0,K. Knox misses 3-pt jump shot from 23 ft,84-92, ,,4,84,92,-8,2430.0
7:27.0, ,84-92,Defensive rebound by M. Moody,,4,84,92,-8,2433.0
7:13.0, ,84-95,D. Šarić makes 3-pt jump shot from 27 ft (assist by J. Kuminga),,4,84,95,-11,2447.0
7:12.0,Detroit full timeout,84-95, ,,4,84,95,-11,2448.0
7:12.0,J. Ivey enters the game for K. Hayes,84-95, ,,4,84,95,-11,2448.0
6:57.0,K. Knox misses 2-pt jump shot from 7 ft,84-95, ,,4,84,95,-11,2463.0
6:55.0,Offensive rebound by J. Duren,84-95, ,,4,84,95,-11,2465.0
6:55.0,Personal foul by K. Thompson (drawn by J. Duren),84-95, ,,4,84,95,-11,2465.0
6:45.0,J. Ivey misses 2-pt layup from 6 ft,84-95, ,,4,84,95,-11,2475.0
6:43.0, ,84-95,Defensive rebound by Team,,4,84,95,-11,2477.0
6:32.0, ,84-95,K. Thompson misses 3-pt jump shot from 26 ft,,4,84,95,-11,2488.0
6:28.0,Defensive rebound by J. Duren,84-95, ,,4,84,95,-11,2492.0
6:18.0,Personal foul by M. Moody (drawn by J. Duren),84-95, ,,4,84,95,-11,2502.0
6:18.0,A. Burks enters the game for K. Knox,84-95, ,,4,84,95,-11,2502.0
6:18.0, ,84-95,S. Curry enters the game for C. Joseph,,4,84,95,-11,2502.0
6:10.0,C. Cunningham makes 2-pt jump shot from 7 ft,86-95, ,,4,86,95,-9,2510.0
5:52.0, ,86-95,M. Moody misses 2-pt layup from 7 ft (block by C. Cunningham),,4,86,95,-9,2528.0
5:50.0,Defensive rebound by J. Duren,86-95, ,,4,86,95,-9,2530.0
5:43.0,J. Ivey makes 3-pt jump shot from 23 ft (assist by J. Duren),89-95, ,,4,89,95,-6,2537.0
5:43.0, ,89-95,Golden State full timeout,,4,89,95,-6,2537.0
5:23.0, ,89-95,S. Curry misses 2-pt jump shot from 7 ft (block by J. Duren),,4,89,95,-6,2557.0
5:22.0,Defensive rebound by B. Bogdanović,89-95, ,,4,89,95,-6,2558.0
5:15.0,B. Bogdanović misses 2-pt layup from 3 ft,89-95, ,,4,89,95,-6,2565.0
5:14.0, ,89-95,Defensive rebound by Team,,4,89,95,-6,2566.0
4:58.0, ,89-95,M. Moody misses 3-pt jump shot from 26 ft,,4,89,95,-6,2582.0
4:55.0,Defensive rebound by J. Ivey,89-95, ,,4,89,95,-6,2585.0
4:51.0,C. Cunningham makes 3-pt jump shot from 27 ft (assist by J. Ivey),92-95, ,,4,92,95,-3,2589.0
4:31.0, ,92-95,J. Kuminga misses 2-pt layup from 3 ft (block by A. Burks),,4,92,95,-3,2609.0
4:30.0,Defensive rebound by C. Cunningham,92-95, ,,4,92,95,-3,2610.0
4:20.0,C. Cunningham makes 2-pt jump shot from 6 ft,94-95, ,,4,94,95,-1,2620.0
4:20.0, ,94-95,Golden State full timeout,,4,94,95,-1,2620.0
4:20.0, ,94-95,T. Jackson-Davis enters the game for M. Moody,,4,94,95,-1,2620.0
4:20.0, ,94-95,B. Podziemski enters the game for D. Šarić,,4,94,95,-1,2620.0
4:02.0, ,94-95,K. Thompson misses 2-pt jump shot from 18 ft,,4,94,95,-1,2638.0
3:58.0,Defensive rebound by A. Burks,94-95, ,,4,94,95,-1,2642.0
3:49.0,B. Bogdanović misses 3-pt jump shot from 26 ft,94-95, ,,4,94,95,-1,2651.0
3:45.0, ,94-95,Defensive rebound by B. Podziemski,,4,94,95,-1,2655.0
3:36.0, ,94-97,B. Podziemski makes 2-pt jump shot from 7 ft,,4,94,97,-3,2664.0
3:36.0,Detroit full timeout,94-97, ,,4,94,97,-3,2664.0
3:17.0,Shooting foul by T. Jackson-Davis (drawn by C. Cunningham),94-97, ,,4,94,97,-3,2683.0
3:17.0,C. Cunningham makes free throw 1 of 2,95-97, ,,4,95,97,-2,2683.0
3:17.0,C. Cunningham makes free throw 2 of 2,96-97, ,,4,96,97,-1,2683.0
3:10.0, ,96-97,Personal foul by J. Ivey (drawn by S. Curry),,4,96,97,-1,2690.0
2:58.0, ,96-100,S. Curry makes 3-pt jump shot from 24 ft (assist by B. Podziemski),,4,96,100,-4,2702.0
2:45.0,J. Duren makes 2-pt dunk from 4 ft (assist by C. Cunningham),98-100, ,,4,98,100,-2,2715.0
2:21.0, ,98-100,S. Curry misses 2-pt layup from 7 ft,,4,98,100,-2,2739.0
2:21.0,Defensive rebound by Team,98-100, ,,4,98,100,-2,2739.0
2:21.0,Detroit full timeout,98-100, ,,4,98,100,-2,2739.0
2:21.0,Instant Replay (Challenge: Ruling Stands),98-100, ,,4,98,100,-2,2739.0
2:10.0,C. Cunningham makes 2-pt layup from 3 ft,100-100, ,Tie,4,100,100,0,2750.0
1:56.0, ,100-100,Shooting foul by J. Ivey (drawn by K. Thompson),,4,100,100,0,2764.0
1:56.0, ,100-101,K. Thompson makes free throw 1 of 2,,4,100,101,-1,2764.0
1:56.0, ,100-102,K. Thompson makes free throw 2 of 2,,4,100,102,-2,2764.0
1:41.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by A. Burks),103-102, ,Lead change,4,103,102,1,2779.0
1:32.0, ,103-102,Personal foul by J. Duren (drawn by S. Curry),,4,103,102,1,2788.0
1:32.0, ,103-103,S. Curry makes free throw 1 of 2,Tie,4,103,103,0,2788.0
1:32.0, ,103-104,S. Curry makes free throw 2 of 2,Lead change,4,103,104,-1,2788.0
1:17.0,Turnover by J. Ivey (bad pass),103-104, ,,4,103,104,-1,2803.0
1:05.0, ,103-107,S. Curry makes 3-pt jump shot from 29 ft,,4,103,107,-4,2815.0
1:04.0,Detroit full timeout,103-107, ,,4,103,107,-4,2816.0
0:59.0,B. Bogdanović misses 2-pt layup from 5 ft (block by K. Thompson),103-107, ,,4,103,107,-4,2821.0
0:58.0, ,103-107,Defensive rebound by S. Curry,,4,103,107,-4,2822.0
0:46.0, ,103-110,S. Curry makes 3-pt jump shot from 28 ft,,4,103,110,-7,2834.0
0:37.0,J. Ivey misses 3-pt jump shot from 23 ft,103-110, ,,4,103,110,-7,2843.0
0:33.0, ,103-110,Defensive rebound by T. Jackson-Davis,,4,103,110,-7,2847.0
0:25.0, ,103-110,Personal foul by A. Burks (drawn by S. Curry),,4,103,110,-7,2855.0
0:25.0, ,103-110,S. Curry misses free throw 1 of 2,,4,103,110,-7,2855.0
0:25.0, ,103-110,Offensive rebound by Team,,4,103,110,-7,2855.0
0:25.0, ,103-111,S. Curry makes free throw 2 of 2,,4,103,111,-8,2855.0
0:25.0,Detroit full timeout,103-111, ,,4,103,111,-8,2855.0
0:23.0,A. Burks misses 3-pt jump shot from 27 ft,103-111, ,,4,103,111,-8,2857.0
0:19.0,Offensive rebound by J. Duren,103-111, ,,4,103,111,-8,2861.0
0:17.0,A. Burks makes 2-pt layup from 4 ft (assist by J. Duren),105-111, ,,4,105,111,-6,2863.0
0:17.0, ,105-111,Golden State full timeout,,4,105,111,-6,2863.0
0:17.0, ,105-111,D. Šarić enters the game for T. Jackson-Davis,,4,105,111,-6,2863.0
0:15.0, ,105-111,Turnover by S. Curry (out of bounds lost ball),,4,105,111,-6,2865.0
0:11.0,Personal foul by D. Šarić (drawn by C. Cunningham),105-111, ,,4,105,111,-6,2869.0
0:11.0, ,105-111,T. Jackson-Davis enters the game for D. Šarić,,4,105,111,-6,2869.0
0:08.0,J. Duren makes 2-pt dunk from 3 ft (assist by J. Ivey),107-111, ,,4,107,111,-4,2872.0
0:06.0, ,107-111,Personal take foul by J. Ivey (drawn by S. Curry),,4,107,111,-4,2874.0
0:06.0,K. Knox enters the game for J. Ivey,107-111, ,,4,107,111,-4,2874.0
0:06.0, ,107-112,S. Curry makes free throw 1 of 2,,4,107,112,-5,2874.0
0:06.0, ,107-113,S. Curry makes free throw 2 of 2,,4,107,113,-6,2874.0
0:02.0,C. Cunningham makes 2-pt layup from 6 ft,109-113, ,,4,109,113,-4,2878.0
0:02.0, ,109-113,Violation by Team (def goaltending),,4,109,113,-4,2878.0
0:02.0, ,109-113,Instant Replay (Request: Ruling Stands),,4,109,113,-4,2878.0
0:02.0, ,109-113,Golden State full timeout,,4,109,113,-4,2878.0
0:00.0,End of 4th quarter,109-113,,,4,109,113,-4,2880.0
