Time,Detroit,Score,Golden State,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:04.0, ,27-32,T. Jackson-Davis enters the game for D. Šarić,,2,27,32,-5,1016.0
7:04.0, ,27-32,A. Wiggins enters the game for K. Thompson,,2,27,32,-5,1016.0
6:53.0,B. Bogdanović makes 2-pt jump shot from 13 ft,29-32, ,,2,29,32,-3,1027.0
6:42.0, ,29-32,Turnover by A. Wiggins (step out of bounds),,2,29,32,-3,1038.0
6:42.0, ,29-32,Golden State full timeout,,2,29,32,-3,1038.0
6:32.0,C. Cunningham makes 2-pt layup from 5 ft,31-32, ,,2,31,32,-1,1048.0
6:16.0, ,31-32,S. Curry misses 3-pt jump shot from 26 ft,,2,31,32,-1,1064.0
6:14.0, ,31-32,Offensive rebound by Team,,2,31,32,-1,1066.0
6:02.0, ,31-32,S. Curry misses 2-pt layup from 9 ft,,2,31,32,-1,1078.0
6:00.0, ,31-32,Offensive rebound by Team,,2,31,32,-1,1080.0
6:00.0, ,31-32,Turnover by Team (shot clock),,2,31,32,-1,1080.0
5:53.0,B. Bogdanović misses 3-pt jump shot from 27 ft,31-32, ,,2,31,32,-1,1087.0
5:50.0,Offensive rebound by J. Ivey,31-32, ,,2,31,32,-1,1090.0
5:48.0,J. Ivey makes 2-pt layup from 5 ft,33-32, ,Lead change,2,33,32,1,1092.0
5:19.0, ,33-32,Personal foul by J. Ivey (drawn by T. Jackson-Davis),,2,33,32,1,1121.0
5:19.0,A. Burks enters the game for J. Ivey,33-32, ,,2,33,32,1,1121.0
5:19.0, ,33-32,K. Thompson enters the game for B. Podziemski,,2,33,32,1,1121.0
5:13.0, ,33-34,T. Jackson-Davis makes 2-pt dunk from 3 ft (assist by S. Curry),Lead change,2,33,34,-1,1127.0
4:57.0,A. Burks misses 3-pt jump shot from 23 ft,33-34, ,,2,33,34,-1,1143.0
4:54.0, ,33-34,Defensive rebound by K. Thompson,,2,33,34,-1,1146.0
4:47.0, ,33-36,T. Jackson-Davis makes 2-pt dunk from 4 ft (assist by K. Thompson),,2,33,36,-3,1153.0
4:40.0,Offensive foul by A. Burks (drawn by J. Kuminga),33-36, ,,2,33,36,-3,1160.0
4:40.0,Turnover by A. Burks (offensive foul),33-36, ,,2,33,36,-3,1160.0
4:40.0,K. Knox enters the game for B. Bogdanović,33-36, ,,2,33,36,-3,1160.0
4:35.0, ,33-36,Shooting foul by C. Cunningham (drawn by S. Curry),,2,33,36,-3,1165.0
4:35.0, ,33-37,S. Curry makes free throw 1 of 3,,2,33,37,-4,1165.0
4:35.0, ,33-38,S. Curry makes free throw 2 of 3,,2,33,38,-5,1165.0
4:35.0, ,33-39,S. Curry makes free throw 3 of 3,,2,33,39,-6,1165.0
4:23.0,C. Cunningham misses 3-pt jump shot from 28 ft,33-39, ,,2,33,39,-6,1177.0
4:21.0, ,33-39,Defensive rebound by J. Kuminga,,2,33,39,-6,1179.0
4:02.0, ,33-41,J. Kuminga makes 2-pt jump shot from 6 ft,,2,33,41,-8,1198.0
3:35.0,C. Cunningham makes 2-pt jump shot from 19 ft,35-41, ,,2,35,41,-6,1225.0
3:26.0, ,35-43,S. Curry makes 2-pt jump shot from 18 ft,,2,35,43,-8,1234.0
3:06.0,K. Knox misses 3-pt jump shot from 25 ft,35-43, ,,2,35,43,-8,1254.0
3:04.0, ,35-43,Defensive rebound by K. Thompson,,2,35,43,-8,1256.0
3:03.0, ,35-43,Turnover by K. Thompson (bad pass; steal by I. Livers),,2,35,43,-8,1257.0
3:02.0,I. Livers makes 2-pt layup from 3 ft,37-43, ,,2,37,43,-6,1258.0
2:46.0, ,37-43,K. Thompson misses 2-pt jump shot from 15 ft,,2,37,43,-6,1274.0
2:44.0, ,37-43,Offensive rebound by T. Jackson-Davis,,2,37,43,-6,1276.0
2:39.0, ,37-46,S. Curry makes 3-pt jump shot from 28 ft (assist by A. Wiggins),,2,37,46,-9,1281.0
2:39.0,Detroit full timeout,37-46, ,,2,37,46,-9,1281.0
2:39.0, ,37-46,C. Paul enters the game for J. Kuminga,,2,37,46,-9,1281.0
2:29.0,Def 3 sec tech foul by Team,37-46, ,,2,37,46,-9,1291.0
2:29.0,C. Cunningham makes technical free throw,38-46, ,,2,38,46,-8,1291.0
2:19.0,A. Burks makes 3-pt jump shot from 26 ft (assist by K. Knox),41-46, ,,2,41,46,-5,1301.0
2:01.0, ,41-48,T. Jackson-Davis makes 2-pt dunk from 5 ft (assist by S. Curry),,2,41,48,-7,1319.0
1:45.0,A. Burks misses 2-pt jump shot from 11 ft,41-48, ,,2,41,48,-7,1335.0
1:42.0, ,41-48,Defensive rebound by T. Jackson-Davis,,2,41,48,-7,1338.0
1:31.0, ,41-48,Turnover by S. Curry (back court),,2,41,48,-7,1349.0
1:31.0,B. Bogdanović enters the game for K. Knox,41-48, ,,2,41,48,-7,1349.0
1:22.0,A. Burks misses 2-pt layup from 5 ft (block by T. Jackson-Davis),41-48, ,,2,41,48,-7,1358.0
1:19.0,Offensive rebound by A. Burks,41-48, ,,2,41,48,-7,1361.0
1:18.0,Turnover by A. Burks (bad pass; steal by S. Curry),41-48, ,,2,41,48,-7,1362.0
1:12.0, ,41-48,A. Wiggins misses 2-pt layup from 5 ft,,2,41,48,-7,1368.0
1:10.0,Defensive rebound by J. Duren,41-48, ,,2,41,48,-7,1370.0
0:57.0,J. Duren makes 2-pt layup from 5 ft (assist by C. Cunningham),43-48, ,,2,43,48,-5,1383.0
0:45.0, ,43-48,S. Curry misses 3-pt jump shot from 27 ft,,2,43,48,-5,1395.0
0:41.0,Defensive rebound by C. Cunningham,43-48, ,,2,43,48,-5,1399.0
0:36.0,B. Bogdanović makes 3-pt jump shot from 26 ft (assist by I. Livers),46-48, ,,2,46,48,-2,1404.0
0:17.0, ,46-50,T. Jackson-Davis makes 2-pt dunk from 4 ft (assist by C. Paul),,2,46,50,-4,1423.0
0:03.0,B. Bogdanović misses 2-pt jump shot from 9 ft,46-50, ,,2,46,50,-4,1437.0
0:02.0,Offensive rebound by Team,46-50, ,,2,46,50,-4,1438.0
0:02.0, ,46-50,Loose ball foul by C. Paul (drawn by A. Burks),,2,46,50,-4,1438.0
0:02.0, ,46-50,J. Kuminga enters the game for S. Curry,,2,46,50,-4,1438.0
0:01.0,C. Cunningham misses 3-pt jump shot from 26 ft,46-50, ,,2,46,50,-4,1439.0
0:00.0,Offensive rebound by Team,46-50, ,,2,46,50,-4,1440.0
0:00.0,End of 2nd quarter,46-50,,,2,46,50,-4,1440.0
