Time,Detroit,Score,Minnesota,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
9:17.0,Offensive rebound by Team,70-84, ,,4,70,84,-14,2323.0
9:09.0,T. Brown makes 2-pt jump shot from 16 ft,72-84, ,,4,72,84,-12,2331.0
8:46.0, ,72-84,Turnover by M. Conley (bad pass; steal by C. Metu),,4,72,84,-12,2354.0
8:40.0,Turnover by C. Metu (bad pass),72-84, ,,4,72,84,-12,2360.0
8:25.0, ,72-84,K. Anderson misses 2-pt jump shot from 9 ft,,4,72,84,-12,2375.0
8:23.0, ,72-84,Offensive rebound by R. Gobert,,4,72,84,-12,2377.0
8:22.0, ,72-87,N. Alexander-Walker makes 3-pt jump shot from 26 ft (assist by R. Gobert),,4,72,87,-15,2378.0
8:04.0,M. Flynn makes 3-pt jump shot from 27 ft,75-87, ,,4,75,87,-12,2396.0
7:34.0, ,75-89,K. Anderson makes 2-pt layup from 2 ft (assist by M. Conley),,4,75,89,-14,2426.0
7:34.0,Detroit full timeout,75-89, ,,4,75,89,-14,2426.0
7:34.0,C. Cunningham enters the game for M. Flynn,75-89, ,,4,75,89,-14,2426.0
7:34.0,J. Duren enters the game for J. Wiseman,75-89, ,,4,75,89,-14,2426.0
7:34.0, ,75-89,J. McDaniels enters the game for M. Conley,,4,75,89,-14,2426.0
7:19.0,C. Metu makes 3-pt jump shot from 26 ft,78-89, ,,4,78,89,-11,2441.0
6:49.0, ,78-89,N. Alexander-Walker misses 3-pt jump shot from 23 ft,,4,78,89,-11,2471.0
6:47.0, ,78-89,Offensive rebound by R. Gobert,,4,78,89,-11,2473.0
6:46.0, ,78-91,R. Gobert makes 2-pt layup from 2 ft,,4,78,91,-13,2474.0
6:46.0, ,78-91,Shooting foul by C. Metu (drawn by R. Gobert),,4,78,91,-13,2474.0
6:46.0, ,78-91,N. Reid enters the game for K. Anderson,,4,78,91,-13,2474.0
6:46.0, ,78-92,R. Gobert makes free throw 1 of 1,,4,78,92,-14,2474.0
6:33.0,C. Cunningham makes 2-pt jump shot from 13 ft,80-92, ,,4,80,92,-12,2487.0
6:20.0, ,80-92,Personal foul by M. Sasser (drawn by R. Gobert),,4,80,92,-12,2500.0
6:15.0, ,80-92,Shooting foul by M. Sasser (drawn by N. Reid),,4,80,92,-12,2505.0
6:15.0, ,80-93,N. Reid makes free throw 1 of 2,,4,80,93,-13,2505.0
6:15.0, ,80-94,N. Reid makes free throw 2 of 2,,4,80,94,-14,2505.0
5:54.0,Shooting foul by J. McDaniels (drawn by C. Cunningham),80-94, ,,4,80,94,-14,2526.0
5:54.0,C. Cunningham makes free throw 1 of 2,81-94, ,,4,81,94,-13,2526.0
5:54.0,C. Cunningham makes free throw 2 of 2,82-94, ,,4,82,94,-12,2526.0
5:39.0, ,82-94,N. Alexander-Walker misses 2-pt layup from 5 ft,,4,82,94,-12,2541.0
5:37.0, ,82-94,Offensive rebound by J. McLaughlin,,4,82,94,-12,2543.0
5:31.0, ,82-94,J. McDaniels misses 2-pt jump shot from 17 ft,,4,82,94,-12,2549.0
5:27.0,Defensive rebound by M. Sasser,82-94, ,,4,82,94,-12,2553.0
5:21.0,Turnover by M. Sasser (lost ball; steal by N. Alexander-Walker),82-94, ,,4,82,94,-12,2559.0
5:14.0, ,82-96,J. McDaniels makes 2-pt jump shot from 9 ft,,4,82,96,-14,2566.0
5:14.0, ,82-96,Shooting foul by C. Metu (drawn by J. McDaniels),,4,82,96,-14,2566.0
5:14.0, ,82-97,J. McDaniels makes free throw 1 of 1,,4,82,97,-15,2566.0
4:52.0,C. Cunningham makes 3-pt jump shot from 26 ft (assist by C. Metu),85-97, ,,4,85,97,-12,2588.0
4:36.0, ,85-99,J. McLaughlin makes 2-pt layup from 1 ft,,4,85,99,-14,2604.0
4:23.0,C. Cunningham misses 2-pt jump shot from 17 ft,85-99, ,,4,85,99,-14,2617.0
4:22.0, ,85-99,Defensive rebound by J. McDaniels,,4,85,99,-14,2618.0
4:20.0, ,85-99,Minnesota full timeout,,4,85,99,-14,2620.0
4:10.0, ,85-99,N. Reid misses 3-pt jump shot from 26 ft,,4,85,99,-14,2630.0
4:08.0,Defensive rebound by C. Metu,85-99, ,,4,85,99,-14,2632.0
3:53.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),87-99, ,,4,87,99,-12,2647.0
3:35.0, ,87-102,J. McLaughlin makes 3-pt jump shot from 23 ft (assist by R. Gobert),,4,87,102,-15,2665.0
3:12.0,T. Brown misses 3-pt jump shot from 23 ft,87-102, ,,4,87,102,-15,2688.0
3:09.0,Offensive rebound by J. Duren,87-102, ,,4,87,102,-15,2691.0
3:03.0,C. Metu misses 3-pt jump shot from 24 ft,87-102, ,,4,87,102,-15,2697.0
3:01.0, ,87-102,Defensive rebound by N. Reid,,4,87,102,-15,2699.0
3:00.0, ,87-102,Minnesota full timeout,,4,87,102,-15,2700.0
2:48.0, ,87-104,J. McDaniels makes 2-pt jump shot from 7 ft (assist by N. Reid),,4,87,104,-17,2712.0
2:27.0,M. Sasser misses 3-pt jump shot from 25 ft,87-104, ,,4,87,104,-17,2733.0
2:25.0, ,87-104,Defensive rebound by N. Reid,,4,87,104,-17,2735.0
2:12.0, ,87-104,N. Alexander-Walker misses 3-pt jump shot from 25 ft,,4,87,104,-17,2748.0
2:11.0,Defensive rebound by Team,87-104, ,,4,87,104,-17,2749.0
2:11.0,M. Flynn enters the game for C. Cunningham,87-104, ,,4,87,104,-17,2749.0
2:11.0,J. Wiseman enters the game for J. Duren,87-104, ,,4,87,104,-17,2749.0
2:11.0, ,87-104,L. Garza enters the game for N. Alexander-Walker,,4,87,104,-17,2749.0
2:11.0, ,87-104,J. Minott enters the game for R. Gobert,,4,87,104,-17,2749.0
2:11.0, ,87-104,T. Warren enters the game for J. McDaniels,,4,87,104,-17,2749.0
2:10.0,Personal take foul by J. McLaughlin (drawn by M. Sasser),87-104, ,,4,87,104,-17,2750.0
2:10.0,B. Boeheim enters the game for C. Metu,87-104, ,,4,87,104,-17,2750.0
2:10.0, ,87-104,L. Miller enters the game for J. McLaughlin,,4,87,104,-17,2750.0
2:10.0, ,87-104,W. Moore enters the game for N. Reid,,4,87,104,-17,2750.0
1:56.0,Shooting foul by T. Warren (drawn by J. Wiseman),87-104, ,,4,87,104,-17,2764.0
1:56.0,J. Wiseman makes free throw 1 of 2,88-104, ,,4,88,104,-16,2764.0
1:56.0,J. Rhoden enters the game for T. Brown,88-104, ,,4,88,104,-16,2764.0
1:56.0,J. Wiseman makes free throw 2 of 2,89-104, ,,4,89,104,-15,2764.0
1:47.0, ,89-104,W. Moore misses 2-pt jump shot from 17 ft,,4,89,104,-15,2773.0
1:43.0,Defensive rebound by B. Boeheim,89-104, ,,4,89,104,-15,2777.0
1:30.0,Shooting foul by L. Garza (drawn by J. Wiseman),89-104, ,,4,89,104,-15,2790.0
1:30.0,J. Wiseman makes free throw 1 of 2,90-104, ,,4,90,104,-14,2790.0
1:30.0,J. Wiseman makes free throw 2 of 2,91-104, ,,4,91,104,-13,2790.0
1:19.0, ,91-104,L. Garza misses 3-pt jump shot from 26 ft,,4,91,104,-13,2801.0
1:16.0,Defensive rebound by M. Sasser,91-104, ,,4,91,104,-13,2804.0
1:12.0,B. Boeheim misses 3-pt jump shot from 24 ft,91-104, ,,4,91,104,-13,2808.0
1:10.0,Offensive rebound by Team,91-104, ,,4,91,104,-13,2810.0
1:06.0,J. Rhoden misses 2-pt jump shot from 20 ft,91-104, ,,4,91,104,-13,2814.0
1:06.0, ,91-104,Defensive rebound by Team,,4,91,104,-13,2814.0
0:49.0, ,91-106,L. Garza makes 2-pt jump shot from 9 ft,,4,91,106,-15,2831.0
0:42.0,M. Sasser misses 2-pt jump shot from 8 ft,91-106, ,,4,91,106,-15,2838.0
0:36.0,Offensive rebound by M. Flynn,91-106, ,,4,91,106,-15,2844.0
0:33.0,B. Boeheim misses 2-pt jump shot from 9 ft,91-106, ,,4,91,106,-15,2847.0
0:29.0,Offensive rebound by J. Rhoden,91-106, ,,4,91,106,-15,2851.0
0:29.0, ,91-106,Violation by Team (kicked ball),,4,91,106,-15,2851.0
0:20.0,M. Sasser misses 3-pt jump shot from 25 ft,91-106, ,,4,91,106,-15,2860.0
0:15.0,Offensive rebound by M. Flynn,91-106, ,,4,91,106,-15,2865.0
0:12.0,Turnover by J. Wiseman (lost ball; steal by J. Minott),91-106, ,,4,91,106,-15,2868.0
0:00.0,End of 4th quarter,91-106,,,4,91,106,-15,2880.0
