Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
6:45.0, ,48-39,J. Duren enters the game for E. Fournier,,2,39,48,-9,1035.0
6:45.0, ,48-39,J. Ivey enters the game for J. Wiseman,,2,39,48,-9,1035.0
6:45.0,N. Vučević misses free throw 1 of 1,48-39, ,,2,39,48,-9,1035.0
6:44.0, ,48-39,Defensive rebound by J. Duren,,2,39,48,-9,1036.0
6:28.0, ,48-39,T. Brown misses 2-pt layup from 3 ft,,2,39,48,-9,1052.0
6:25.0,Defensive rebound by J. Green,48-39, ,,2,39,48,-9,1055.0
6:20.0,Turnover by J. Green (lost ball; steal by M. Sasser),48-39, ,,2,39,48,-9,1060.0
6:10.0, ,48-42,J. Ivey makes 3-pt jump shot from 27 ft (assist by C. Metu),,2,42,48,-6,1070.0
6:10.0,Chicago full timeout,48-42, ,,2,42,48,-6,1070.0
6:10.0,D. Terry enters the game for A. Caruso,48-42, ,,2,42,48,-6,1070.0
5:57.0,N. Vučević makes 2-pt layup from 3 ft (assist by D. DeRozan),50-42, ,,2,42,50,-8,1083.0
5:40.0, ,50-42,C. Metu misses 2-pt layup from 3 ft (block by N. Vučević),,2,42,50,-8,1100.0
5:37.0,Defensive rebound by J. Green,50-42, ,,2,42,50,-8,1103.0
5:26.0,D. DeRozan misses 2-pt jump shot from 16 ft,50-42, ,,2,42,50,-8,1114.0
5:23.0, ,50-42,Defensive rebound by T. Brown,,2,42,50,-8,1117.0
5:14.0, ,50-42,M. Sasser misses 3-pt jump shot from 24 ft,,2,42,50,-8,1126.0
5:12.0, ,50-42,Offensive rebound by J. Duren,,2,42,50,-8,1128.0
5:11.0, ,50-42,Turnover by J. Duren (bad pass; steal by D. DeRozan),,2,42,50,-8,1129.0
5:06.0,D. Terry makes 2-pt dunk from 4 ft (assist by D. DeRozan),52-42, ,,2,42,52,-10,1134.0
4:53.0, ,52-42,Shooting foul by N. Vučević (drawn by J. Duren),,2,42,52,-10,1147.0
4:53.0, ,52-43,J. Duren makes free throw 1 of 2,,2,43,52,-9,1147.0
4:53.0,A. Sanogo enters the game for N. Vučević,52-43, ,,2,43,52,-9,1147.0
4:53.0, ,52-43,J. Duren misses free throw 2 of 2,,2,43,52,-9,1147.0
4:50.0,Defensive rebound by J. Green,52-43, ,,2,43,52,-9,1150.0
4:38.0,D. DeRozan misses 2-pt layup from 4 ft,52-43, ,,2,43,52,-9,1162.0
4:35.0, ,52-43,Defensive rebound by C. Metu,,2,43,52,-9,1165.0
4:32.0, ,52-45,J. Duren makes 2-pt layup from 4 ft (assist by C. Metu),,2,45,52,-7,1168.0
4:12.0,D. DeRozan makes 2-pt jump shot from 5 ft,54-45, ,,2,45,54,-9,1188.0
3:59.0, ,54-48,C. Metu makes 3-pt jump shot from 24 ft (assist by J. Ivey),,2,48,54,-6,1201.0
3:44.0,J. Carter misses 3-pt jump shot from 28 ft,54-48, ,,2,48,54,-6,1216.0
3:41.0,Offensive rebound by Team,54-48, ,,2,48,54,-6,1219.0
3:41.0,A. Caruso enters the game for J. Carter,54-48, ,,2,48,54,-6,1219.0
3:41.0,N. Vučević enters the game for A. Sanogo,54-48, ,,2,48,54,-6,1219.0
3:41.0,C. White enters the game for D. Terry,54-48, ,,2,48,54,-6,1219.0
3:41.0, ,54-48,E. Fournier enters the game for T. Brown,,2,48,54,-6,1219.0
3:25.0,D. DeRozan makes 2-pt jump shot from 17 ft (assist by A. Caruso),56-48, ,,2,48,56,-8,1235.0
3:09.0, ,56-51,M. Sasser makes 3-pt jump shot from 28 ft,,2,51,56,-5,1251.0
2:57.0,D. DeRozan makes 3-pt jump shot from 28 ft (assist by N. Vučević),59-51, ,,2,51,59,-8,1263.0
2:38.0, ,59-53,J. Ivey makes 2-pt jump shot from 6 ft (assist by E. Fournier),,2,53,59,-6,1282.0
2:20.0,D. DeRozan misses 3-pt jump shot from 23 ft,59-53, ,,2,53,59,-6,1300.0
