Time,Chicago,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
2:16.0, ,90-72,Shooting foul by J. Green (drawn by C. Metu),,3,72,90,-18,2024.0
2:16.0, ,90-72,Detroit full timeout,,3,72,90,-18,2024.0
2:16.0,T. Craig enters the game for J. Green,90-72, ,,3,72,90,-18,2024.0
2:16.0, ,90-73,C. Metu makes free throw 1 of 2,,3,73,90,-17,2024.0
2:16.0, ,90-74,C. Metu makes free throw 2 of 2,,3,74,90,-16,2024.0
1:54.0,D. DeRozan misses 2-pt jump shot from 12 ft,90-74, ,,3,74,90,-16,2046.0
1:52.0,Offensive rebound by A. Sanogo,90-74, ,,3,74,90,-16,2048.0
1:45.0,D. DeRozan makes 2-pt layup from 3 ft,92-74, ,,3,74,92,-18,2055.0
1:26.0, ,92-76,M. Flynn makes 2-pt layup from 4 ft,,3,76,92,-16,2074.0
1:25.0, ,92-76,Violation by Team (delay of game),,3,76,92,-16,2075.0
1:07.0,A. Sanogo misses 2-pt jump shot from 5 ft,92-76, ,,3,76,92,-16,2093.0
1:04.0, ,92-76,Defensive rebound by J. Wiseman,,3,76,92,-16,2096.0
1:00.0, ,92-78,M. Flynn makes 2-pt layup from 4 ft,,3,78,92,-14,2100.0
0:48.0,D. DeRozan makes 2-pt jump shot from 8 ft,94-78, ,,3,78,94,-16,2112.0
0:31.0, ,94-78,M. Flynn misses 2-pt layup from 5 ft,,3,78,94,-16,2129.0
0:29.0,Defensive rebound by D. DeRozan,94-78, ,,3,78,94,-16,2131.0
0:27.0,T. Craig makes 2-pt layup from 3 ft (assist by D. DeRozan),96-78, ,,3,78,96,-18,2133.0
0:27.0, ,96-78,Violation by Team (def goaltending),,3,78,96,-18,2133.0
0:27.0,Shooting foul by J. Rhoden (drawn by T. Craig),96-78, ,,3,78,96,-18,2133.0
0:27.0, ,96-78,T. Brown enters the game for C. Metu,,3,78,96,-18,2133.0
0:27.0,T. Craig makes free throw 1 of 1,97-78, ,,3,78,97,-19,2133.0
0:08.0, ,97-78,M. Flynn misses 3-pt jump shot from 27 ft,,3,78,97,-19,2152.0
0:07.0, ,97-78,Offensive rebound by J. Wiseman,,3,78,97,-19,2153.0
0:07.0, ,97-80,J. Wiseman makes 2-pt layup from 3 ft,,3,80,97,-17,2153.0
0:03.0,Personal foul by T. Brown (drawn by D. DeRozan),97-80, ,,3,80,97,-17,2157.0
0:03.0,D. DeRozan makes free throw 1 of 2,98-80, ,,3,80,98,-18,2157.0
0:03.0,D. DeRozan makes free throw 2 of 2,99-80, ,,3,80,99,-19,2157.0
0:00.0,End of 3rd quarter,99-80,,,3,80,99,-19,2160.0
12:00.0,Start of 4th quarter,99-80,,,4,80,99,-19,2160.0
11:45.0,C. White makes 2-pt jump shot from 7 ft,101-80, ,,4,80,101,-21,2175.0
11:29.0, ,101-80,J. Wiseman misses 2-pt layup from 4 ft (block by C. White),,4,80,101,-21,2191.0
11:29.0, ,101-80,Offensive rebound by Team,,4,80,101,-21,2191.0
11:25.0, ,101-82,T. Brown makes 2-pt jump shot from 16 ft (assist by M. Flynn),,4,82,101,-19,2195.0
11:15.0,N. Vučević makes 3-pt jump shot from 28 ft (assist by A. Caruso),104-82, ,,4,82,104,-22,2205.0
10:47.0, ,104-84,J. Rhoden makes 2-pt jump shot from 13 ft (assist by E. Fournier),,4,84,104,-20,2233.0
10:30.0,C. White misses 2-pt layup from 4 ft,104-84, ,,4,84,104,-20,2250.0
10:27.0, ,104-84,Defensive rebound by J. Wiseman,,4,84,104,-20,2253.0
10:23.0, ,104-86,M. Flynn makes 2-pt layup from 3 ft,,4,86,104,-18,2257.0
10:06.0,D. Terry makes 2-pt layup from 3 ft,106-86, ,,4,86,106,-20,2274.0
9:41.0, ,106-86,Turnover by J. Rhoden (lost ball; steal by J. Carter),,4,86,106,-20,2299.0
9:35.0,J. Carter misses 3-pt jump shot from 26 ft,106-86, ,,4,86,106,-20,2305.0
9:35.0,Offensive rebound by A. Caruso,106-86, ,,4,86,106,-20,2305.0
9:32.0,Chicago full timeout,106-86, ,,4,86,106,-20,2308.0
9:32.0, ,106-86,J. Duren enters the game for M. Flynn,,4,86,106,-20,2308.0
9:32.0, ,106-86,M. Sasser enters the game for J. Wiseman,,4,86,106,-20,2308.0
9:26.0,N. Vučević makes 2-pt layup from 4 ft,108-86, ,,4,86,108,-22,2314.0
9:26.0,Shooting foul by J. Duren (drawn by N. Vučević),108-86, ,,4,86,108,-22,2314.0
9:26.0,N. Vučević makes free throw 1 of 1,109-86, ,,4,86,109,-23,2314.0
9:05.0, ,109-86,Turnover by M. Sasser (lost ball; steal by J. Carter),,4,86,109,-23,2335.0
8:55.0,Shooting foul by J. Duren (drawn by A. Caruso),109-86, ,,4,86,109,-23,2345.0
8:55.0,A. Caruso misses free throw 1 of 2,109-86, ,,4,86,109,-23,2345.0
8:55.0,Offensive rebound by Team,109-86, ,,4,86,109,-23,2345.0
8:55.0,A. Caruso makes free throw 2 of 2,110-86, ,,4,86,110,-24,2345.0
8:38.0, ,110-86,J. Duren misses 2-pt hook shot from 7 ft,,4,86,110,-24,2362.0
8:34.0,Defensive rebound by N. Vučević,110-86, ,,4,86,110,-24,2366.0
8:32.0,Turnover by C. White (bad pass; steal by T. Brown),110-86, ,,4,86,110,-24,2368.0
8:16.0, ,110-86,J. Duren misses 2-pt jump shot from 20 ft,,4,86,110,-24,2384.0
8:14.0,Defensive rebound by D. Terry,110-86, ,,4,86,110,-24,2386.0
7:56.0,D. Terry misses 3-pt jump shot from 23 ft,110-86, ,,4,86,110,-24,2404.0
7:54.0, ,110-86,Defensive rebound by T. Brown,,4,86,110,-24,2406.0
7:43.0, ,110-88,J. Duren makes 2-pt layup from 3 ft (assist by T. Brown),,4,88,110,-22,2417.0
7:31.0,C. White misses 3-pt jump shot from 27 ft,110-88, ,,4,88,110,-22,2429.0
7:28.0, ,110-88,Defensive rebound by J. Duren,,4,88,110,-22,2432.0
7:15.0, ,110-88,Shooting foul by A. Caruso (drawn by E. Fournier),,4,88,110,-22,2445.0
7:15.0, ,110-89,E. Fournier makes free throw 1 of 2,,4,89,110,-21,2445.0
7:15.0,D. DeRozan enters the game for C. White,110-89, ,,4,89,110,-21,2445.0
7:15.0, ,110-89,J. Ivey enters the game for J. Rhoden,,4,89,110,-21,2445.0
7:15.0, ,110-89,E. Fournier misses free throw 2 of 2,,4,89,110,-21,2445.0
7:12.0,Defensive rebound by D. DeRozan,110-89, ,,4,89,110,-21,2448.0
6:51.0,J. Carter misses 3-pt jump shot from 27 ft,110-89, ,,4,89,110,-21,2469.0
6:47.0, ,110-89,Defensive rebound by J. Duren,,4,89,110,-21,2473.0
6:42.0, ,110-89,Personal foul by A. Caruso (drawn by M. Sasser),,4,89,110,-21,2478.0
6:42.0,J. Green enters the game for A. Caruso,110-89, ,,4,89,110,-21,2478.0
6:34.0, ,110-89,T. Brown misses 3-pt jump shot from 28 ft,,4,89,110,-21,2486.0
6:31.0,Defensive rebound by J. Green,110-89, ,,4,89,110,-21,2489.0
6:22.0,N. Vučević misses 2-pt jump shot from 12 ft,110-89, ,,4,89,110,-21,2498.0
6:19.0, ,110-89,Defensive rebound by J. Duren,,4,89,110,-21,2501.0
6:08.0, ,110-91,J. Duren makes 2-pt layup from 5 ft (assist by E. Fournier),,4,91,110,-19,2512.0
5:51.0,N. Vučević misses 2-pt hook shot from 6 ft,110-91, ,,4,91,110,-19,2529.0
5:48.0, ,110-91,Defensive rebound by T. Brown,,4,91,110,-19,2532.0
5:41.0, ,110-91,M. Sasser misses 3-pt jump shot from 26 ft,,4,91,110,-19,2539.0
5:38.0,Defensive rebound by D. Terry,110-91, ,,4,91,110,-19,2542.0
5:38.0,Chicago full timeout,110-91, ,,4,91,110,-19,2542.0
5:38.0,A. Caruso enters the game for J. Carter,110-91, ,,4,91,110,-19,2542.0
5:38.0,C. White enters the game for D. Terry,110-91, ,,4,91,110,-19,2542.0
5:38.0, ,110-91,C. Metu enters the game for E. Fournier,,4,91,110,-19,2542.0
5:26.0,D. DeRozan makes 2-pt jump shot from 16 ft,112-91, ,,4,91,112,-21,2554.0
4:58.0, ,112-91,C. Metu misses 3-pt jump shot from 24 ft,,4,91,112,-21,2582.0
4:55.0,Defensive rebound by C. White,112-91, ,,4,91,112,-21,2585.0
4:50.0,D. DeRozan makes 2-pt jump shot from 12 ft,114-91, ,,4,91,114,-23,2590.0
4:40.0, ,114-93,J. Ivey makes 2-pt layup from 6 ft (assist by M. Sasser),,4,93,114,-21,2600.0
4:40.0, ,114-93,Shooting foul by C. White (drawn by J. Ivey),,4,93,114,-21,2600.0
4:40.0, ,114-93,J. Ivey misses free throw 1 of 1,,4,93,114,-21,2600.0
4:36.0,Defensive rebound by J. Green,114-93, ,,4,93,114,-21,2604.0
4:22.0,A. Caruso makes 3-pt jump shot from 24 ft (assist by C. White),117-93, ,,4,93,117,-24,2618.0
4:08.0, ,117-93,Shooting foul by A. Caruso (drawn by J. Duren),,4,93,117,-24,2632.0
4:08.0, ,117-94,J. Duren makes free throw 1 of 2,,4,94,117,-23,2632.0
4:08.0, ,117-95,J. Duren makes free throw 2 of 2,,4,95,117,-22,2632.0
3:54.0,C. White makes 3-pt jump shot from 26 ft,120-95, ,,4,95,120,-25,2646.0
3:45.0, ,120-95,Turnover by J. Ivey (bad pass),,4,95,120,-25,2655.0
3:35.0,Turnover by C. White (traveling),120-95, ,,4,95,120,-25,2665.0
3:20.0, ,120-95,J. Ivey misses 2-pt layup from 6 ft,,4,95,120,-25,2680.0
3:17.0,Defensive rebound by N. Vučević,120-95, ,,4,95,120,-25,2683.0
3:05.0,C. White makes 3-pt jump shot from 27 ft (assist by A. Caruso),123-95, ,,4,95,123,-28,2695.0
2:54.0, ,123-97,M. Sasser makes 2-pt layup from 3 ft,,4,97,123,-26,2706.0
2:35.0,N. Vučević misses 3-pt jump shot from 26 ft,123-97, ,,4,97,123,-26,2725.0
2:32.0, ,123-97,Defensive rebound by C. Metu,,4,97,123,-26,2728.0
2:19.0, ,123-97,M. Sasser misses 2-pt jump shot from 9 ft,,4,97,123,-26,2741.0
2:19.0,Defensive rebound by D. DeRozan,123-97, ,,4,97,123,-26,2741.0
2:19.0,Chicago full timeout,123-97, ,,4,97,123,-26,2741.0
2:19.0,Technical foul by N. Vučević,123-97, ,,4,97,123,-26,2741.0
2:19.0,O. Bitim enters the game for A. Caruso,123-97, ,,4,97,123,-26,2741.0
2:19.0,H. Drell enters the game for D. DeRozan,123-97, ,,4,97,123,-26,2741.0
2:19.0,A. Funk enters the game for J. Green,123-97, ,,4,97,123,-26,2741.0
2:19.0,A. Sanogo enters the game for N. Vučević,123-97, ,,4,97,123,-26,2741.0
2:19.0,D. Terry enters the game for C. White,123-97, ,,4,97,123,-26,2741.0
2:19.0, ,123-97,B. Boeheim enters the game for J. Duren,,4,97,123,-26,2741.0
2:19.0, ,123-97,M. Flynn enters the game for J. Ivey,,4,97,123,-26,2741.0
2:19.0, ,123-97,J. Rhoden enters the game for C. Metu,,4,97,123,-26,2741.0
2:19.0, ,123-97,J. Wiseman enters the game for M. Sasser,,4,97,123,-26,2741.0
2:19.0, ,123-98,T. Brown makes technical free throw,,4,98,123,-25,2741.0
2:04.0,O. Bitim misses 2-pt jump shot from 16 ft,123-98, ,,4,98,123,-25,2756.0
2:01.0, ,123-98,Defensive rebound by J. Wiseman,,4,98,123,-25,2759.0
1:53.0, ,123-98,Turnover by M. Flynn (bad pass; steal by A. Funk),,4,98,123,-25,2767.0
1:51.0,D. Terry makes 2-pt dunk from 3 ft,125-98, ,,4,98,125,-27,2769.0
1:51.0,Technical foul by D. Terry,125-98, ,,4,98,125,-27,2769.0
1:51.0, ,125-99,T. Brown makes technical free throw,,4,99,125,-26,2769.0
1:34.0, ,125-102,B. Boeheim makes 3-pt jump shot from 23 ft (assist by J. Rhoden),,4,102,125,-23,2786.0
1:23.0,H. Drell misses 3-pt jump shot from 27 ft,125-102, ,,4,102,125,-23,2797.0
1:22.0,Offensive rebound by A. Sanogo,125-102, ,,4,102,125,-23,2798.0
1:22.0,A. Sanogo misses 2-pt layup at rim,125-102, ,,4,102,125,-23,2798.0
1:21.0,A. Sanogo makes 2-pt layup from 2 ft,127-102, ,,4,102,127,-25,2799.0
0:59.0, ,127-102,J. Rhoden misses 3-pt jump shot from 26 ft,,4,102,127,-25,2821.0
0:56.0, ,127-102,Offensive rebound by T. Brown,,4,102,127,-25,2824.0
0:55.0, ,127-105,M. Flynn makes 3-pt jump shot from 25 ft (assist by T. Brown),,4,105,127,-22,2825.0
0:45.0,O. Bitim misses 3-pt jump shot from 26 ft,127-105, ,,4,105,127,-22,2835.0
0:43.0,Offensive rebound by A. Sanogo,127-105, ,,4,105,127,-22,2837.0
0:34.0,A. Funk misses 3-pt jump shot from 23 ft,127-105, ,,4,105,127,-22,2846.0
0:34.0, ,127-105,Defensive rebound by Team,,4,105,127,-22,2846.0
0:34.0,Loose ball foul by H. Drell (drawn by J. Wiseman),127-105, ,,4,105,127,-22,2846.0
0:34.0, ,127-105,J. Wiseman misses free throw 1 of 2,,4,105,127,-22,2846.0
0:34.0, ,127-105,Offensive rebound by Team,,4,105,127,-22,2846.0
0:34.0, ,127-105,J. Wiseman misses free throw 2 of 2,,4,105,127,-22,2846.0
0:31.0,Defensive rebound by H. Drell,127-105, ,,4,105,127,-22,2849.0
0:09.0,Turnover by Team (shot clock),127-105, ,,4,105,127,-22,2871.0
0:00.0,End of 4th quarter,127-105,,,4,105,127,-22,2880.0
