Time,Orlando,Score,Detroit,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
7:25.0, ,95-90,J. Wiseman misses 2-pt hook shot from 6 ft,,4,90,95,-5,2435.0
7:22.0,Defensive rebound by M. Wagner,95-90, ,,4,90,95,-5,2438.0
7:16.0,Offensive foul by M. Wagner (drawn by M. Sasser),95-90, ,,4,90,95,-5,2444.0
7:16.0,Turnover by M. Wagner (offensive foul),95-90, ,,4,90,95,-5,2444.0
7:16.0,P. Banchero enters the game for J. Ingles,95-90, ,,4,90,95,-5,2444.0
7:16.0, ,95-90,B. Bogdanović enters the game for M. Muscala,,4,90,95,-5,2444.0
7:16.0, ,95-90,C. Cunningham enters the game for A. Thompson,,4,90,95,-5,2444.0
7:16.0, ,95-90,J. Duren enters the game for J. Wiseman,,4,90,95,-5,2444.0
7:07.0, ,95-90,M. Sasser misses 3-pt jump shot from 25 ft,,4,90,95,-5,2453.0
7:05.0,Defensive rebound by J. Isaac,95-90, ,,4,90,95,-5,2455.0
6:44.0,F. Wagner makes 3-pt jump shot from 28 ft (assist by P. Banchero),98-90, ,,4,90,98,-8,2476.0
6:43.0, ,98-90,Detroit full timeout,,4,90,98,-8,2477.0
6:43.0, ,98-90,J. Ivey enters the game for M. Sasser,,4,90,98,-8,2477.0
6:28.0, ,98-92,C. Cunningham makes 2-pt jump shot from 18 ft (assist by J. Duren),,4,92,98,-6,2492.0
6:08.0,F. Wagner makes 2-pt layup from 2 ft,100-92, ,,4,92,100,-8,2512.0
5:49.0, ,100-94,J. Duren makes 2-pt layup from 4 ft,,4,94,100,-6,2531.0
5:22.0,F. Wagner makes 3-pt jump shot from 26 ft (assist by P. Banchero),103-94, ,,4,94,103,-9,2558.0
5:00.0, ,103-94,J. Ivey misses 2-pt jump shot from 9 ft,,4,94,103,-9,2580.0
5:00.0,Defensive rebound by Team,103-94, ,,4,94,103,-9,2580.0
5:00.0, ,103-94,Loose ball foul by J. Ivey (drawn by P. Banchero),,4,94,103,-9,2580.0
5:00.0,Technical foul by P. Banchero,103-94, ,,4,94,103,-9,2580.0
5:00.0,Instant Replay (Request: Ruling Stands),103-94, ,,4,94,103,-9,2580.0
5:00.0, ,103-95,C. Cunningham makes technical free throw,,4,95,103,-8,2580.0
5:00.0,W. Carter enters the game for M. Wagner,103-95, ,,4,95,103,-8,2580.0
5:00.0, ,103-95,A. Thompson enters the game for A. Burks,,4,95,103,-8,2580.0
4:41.0,F. Wagner misses 2-pt jump shot from 6 ft,103-95, ,,4,95,103,-8,2599.0
4:38.0, ,103-95,Defensive rebound by C. Cunningham,,4,95,103,-8,2602.0
4:23.0, ,103-95,J. Ivey misses 2-pt layup from 4 ft (block by G. Harris),,4,95,103,-8,2617.0
4:20.0,Defensive rebound by G. Harris,103-95, ,,4,95,103,-8,2620.0
4:09.0,F. Wagner misses 3-pt jump shot from 24 ft,103-95, ,,4,95,103,-8,2631.0
4:05.0, ,103-95,Defensive rebound by J. Duren,,4,95,103,-8,2635.0
3:48.0, ,103-95,Turnover by J. Ivey (bad pass),,4,95,103,-8,2652.0
3:24.0,P. Banchero misses 2-pt jump shot from 20 ft,103-95, ,,4,95,103,-8,2676.0
3:21.0, ,103-95,Defensive rebound by C. Cunningham,,4,95,103,-8,2679.0
3:11.0, ,103-95,B. Bogdanović misses 3-pt jump shot from 25 ft,,4,95,103,-8,2689.0
3:08.0, ,103-95,Offensive rebound by J. Duren,,4,95,103,-8,2692.0
3:07.0, ,103-97,J. Duren makes 2-pt layup from 1 ft,,4,97,103,-6,2693.0
3:07.0,Orlando full timeout,103-97, ,,4,97,103,-6,2693.0
3:07.0,J. Suggs enters the game for G. Harris,103-97, ,,4,97,103,-6,2693.0
2:47.0,F. Wagner misses 3-pt jump shot from 28 ft,103-97, ,,4,97,103,-6,2713.0
2:44.0, ,103-97,Defensive rebound by A. Thompson,,4,97,103,-6,2716.0
2:29.0, ,103-97,Turnover by C. Cunningham (lost ball; steal by J. Suggs),,4,97,103,-6,2731.0
2:25.0,F. Wagner makes 2-pt layup from 4 ft (assist by J. Suggs),105-97, ,,4,97,105,-8,2735.0
2:04.0, ,105-97,Shooting foul by W. Carter (drawn by C. Cunningham),,4,97,105,-8,2756.0
2:04.0, ,105-97,C. Cunningham misses free throw 1 of 2,,4,97,105,-8,2756.0
2:04.0, ,105-97,Offensive rebound by Team,,4,97,105,-8,2756.0
2:04.0, ,105-97,C. Cunningham misses free throw 2 of 2,,4,97,105,-8,2756.0
2:02.0,Defensive rebound by J. Isaac,105-97, ,,4,97,105,-8,2758.0
1:45.0,Shooting foul by J. Ivey (drawn by P. Banchero),105-97, ,,4,97,105,-8,2775.0
1:45.0,P. Banchero makes free throw 1 of 2,106-97, ,,4,97,106,-9,2775.0
1:45.0,P. Banchero makes free throw 2 of 2,107-97, ,,4,97,107,-10,2775.0
1:27.0, ,107-97,A. Thompson misses 3-pt jump shot from 23 ft,,4,97,107,-10,2793.0
1:27.0,Defensive rebound by Team,107-97, ,,4,97,107,-10,2793.0
1:27.0, ,107-97,Loose ball foul by J. Duren (drawn by J. Isaac),,4,97,107,-10,2793.0
1:27.0,J. Isaac makes free throw 1 of 2,108-97, ,,4,97,108,-11,2793.0
1:27.0,J. Isaac makes free throw 2 of 2,109-97, ,,4,97,109,-12,2793.0
1:27.0, ,109-97,Detroit full timeout,,4,97,109,-12,2793.0
1:27.0, ,109-97,A. Burks enters the game for A. Thompson,,4,97,109,-12,2793.0
1:16.0, ,109-97,C. Cunningham misses 2-pt layup from 5 ft,,4,97,109,-12,2804.0
1:13.0,Defensive rebound by J. Isaac,109-97, ,,4,97,109,-12,2807.0
0:57.0,Turnover by P. Banchero (bad pass; steal by C. Cunningham),109-97, ,,4,97,109,-12,2823.0
0:51.0, ,109-99,B. Bogdanović makes 2-pt jump shot from 20 ft (assist by C. Cunningham),,4,99,109,-10,2829.0
0:51.0, ,109-99,Instant Replay (Request: Ruling Stands),,4,99,109,-10,2829.0
0:26.0,F. Wagner makes 2-pt layup from 2 ft (assist by P. Banchero),111-99, ,,4,99,111,-12,2854.0
0:11.0, ,111-99,B. Bogdanović misses 2-pt jump shot from 20 ft,,4,99,111,-12,2869.0
0:11.0,Defensive rebound by Team,111-99, ,,4,99,111,-12,2869.0
0:00.0,End of 4th quarter,111-99,,,4,99,111,-12,2880.0
