Time,Detroit,Score,Milwaukee,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
12:00.0,Jump ball: J. Duren vs. B. Lopez (C. Cunningham gains possession),0-0,,,1,0,0,0,0.0
11:38.0,C. Cunningham misses 2-pt jump shot from 7 ft (block by B. Lopez),0-0, ,,1,0,0,0,22.0
11:33.0, ,0-0,Defensive rebound by M. Beasley,,1,0,0,0,27.0
11:32.0, ,0-2,M. Beasley makes 2-pt layup from 5 ft,,1,0,2,-2,28.0
11:22.0,K. Hayes misses 2-pt jump shot from 14 ft,0-2, ,,1,0,2,-2,38.0
11:18.0, ,0-2,Defensive rebound by G. Antetokounmpo,,1,0,2,-2,42.0
11:14.0, ,0-2,G. Antetokounmpo misses 2-pt layup from 3 ft,,1,0,2,-2,46.0
11:12.0,Defensive rebound by J. Duren,0-2, ,,1,0,2,-2,48.0
11:04.0,J. Duren makes 2-pt dunk from 2 ft (assist by C. Cunningham),2-2, ,Tie,1,2,2,0,56.0
10:47.0, ,2-2,M. Beasley misses 3-pt jump shot from 29 ft,,1,2,2,0,73.0
10:44.0,Defensive rebound by A. Thompson,2-2, ,,1,2,2,0,76.0
10:35.0,J. Duren misses 2-pt jump shot from 10 ft (block by B. Lopez),2-2, ,,1,2,2,0,85.0
10:30.0,Offensive rebound by J. Duren,2-2, ,,1,2,2,0,90.0
10:29.0,A. Thompson makes 2-pt dunk from 1 ft (assist by J. Duren),4-2, ,Lead change,1,4,2,2,91.0
10:14.0, ,4-2,D. Lillard misses 3-pt jump shot from 28 ft,,1,4,2,2,106.0
10:11.0,Defensive rebound by C. Cunningham,4-2, ,,1,4,2,2,109.0
10:08.0,C. Cunningham misses 2-pt layup from 2 ft (block by G. Antetokounmpo),4-2, ,,1,4,2,2,112.0
10:08.0, ,4-2,Defensive rebound by J. Crowder,,1,4,2,2,112.0
9:48.0, ,4-5,B. Lopez makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo),Lead change,1,4,5,-1,132.0
9:36.0,J. Duren misses 2-pt layup from 4 ft,4-5, ,,1,4,5,-1,144.0
9:32.0, ,4-5,Defensive rebound by M. Beasley,,1,4,5,-1,148.0
9:25.0, ,4-5,B. Lopez misses 3-pt jump shot from 28 ft,,1,4,5,-1,155.0
9:21.0,Defensive rebound by K. Hayes,4-5, ,,1,4,5,-1,159.0
9:15.0,K. Hayes misses 2-pt jump shot from 15 ft,4-5, ,,1,4,5,-1,165.0
9:12.0, ,4-5,Defensive rebound by G. Antetokounmpo,,1,4,5,-1,168.0
9:08.0, ,4-5,Shooting foul by A. Thompson (drawn by D. Lillard),,1,4,5,-1,172.0
9:08.0, ,4-6,D. Lillard makes free throw 1 of 2,,1,4,6,-2,172.0
9:08.0, ,4-7,D. Lillard makes free throw 2 of 2,,1,4,7,-3,172.0
8:55.0,J. Duren makes 2-pt dunk from 1 ft (assist by C. Cunningham),6-7, ,,1,6,7,-1,185.0
8:41.0, ,6-7,G. Antetokounmpo misses 2-pt hook shot from 7 ft,,1,6,7,-1,199.0
8:37.0,Defensive rebound by C. Cunningham,6-7, ,,1,6,7,-1,203.0
8:31.0,I. Stewart misses 3-pt jump shot from 24 ft,6-7, ,,1,6,7,-1,209.0
8:28.0, ,6-7,Defensive rebound by B. Lopez,,1,6,7,-1,212.0
8:21.0, ,6-7,D. Lillard misses 3-pt jump shot from 28 ft,,1,6,7,-1,219.0
8:19.0,Defensive rebound by A. Thompson,6-7, ,,1,6,7,-1,221.0
8:10.0,J. Duren makes 2-pt layup from 3 ft (assist by A. Thompson),8-7, ,Lead change,1,8,7,1,230.0
8:10.0,Shooting foul by G. Antetokounmpo (drawn by J. Duren),8-7, ,,1,8,7,1,230.0
8:10.0,J. Duren makes free throw 1 of 1,9-7, ,,1,9,7,2,230.0
8:01.0, ,9-7,Personal foul by K. Hayes (drawn by M. Beasley),,1,9,7,2,239.0
7:54.0, ,9-9,J. Crowder makes 2-pt jump shot from 17 ft (assist by G. Antetokounmpo),Tie,1,9,9,0,246.0
7:37.0,C. Cunningham misses 2-pt jump shot from 15 ft,9-9, ,,1,9,9,0,263.0
7:34.0,Offensive rebound by J. Duren,9-9, ,,1,9,9,0,266.0
7:32.0,I. Stewart makes 2-pt jump shot from 8 ft (assist by K. Hayes),11-9, ,,1,11,9,2,268.0
7:16.0, ,11-11,G. Antetokounmpo makes 2-pt hook shot from 9 ft,Tie,1,11,11,0,284.0
6:56.0,C. Cunningham misses 3-pt jump shot from 27 ft,11-11, ,,1,11,11,0,304.0
6:53.0, ,11-11,Defensive rebound by G. Antetokounmpo,,1,11,11,0,307.0
6:50.0, ,11-11,Shooting foul by I. Stewart (drawn by G. Antetokounmpo),,1,11,11,0,310.0
6:50.0, ,11-11,Milwaukee full timeout,,1,11,11,0,310.0
6:50.0, ,11-11,M. Beauchamp enters the game for M. Beasley,,1,11,11,0,310.0
