Time,Detroit,Score,Oklahoma City,Event,Quarter,TeamScore,OpponentScore,PointDifference,ElapsedTime
8:52.0, ,4-7,Turnover by S. Gilgeous-Alexander (lost ball; steal by K. Hayes),,1,4,7,-3,188.0
8:52.0,Jump ball: S. Gilgeous-Alexander vs. A. Thompson (C. Holmgren gains possession),4-7,,,1,4,7,-3,188.0
8:52.0,Turnover by A. Thompson (lost ball; steal by S. Gilgeous-Alexander),4-7, ,,1,4,7,-3,188.0
8:48.0, ,4-10,L. Dort makes 3-pt jump shot from 26 ft (assist by C. Holmgren),,1,4,10,-6,192.0
8:30.0,K. Hayes makes 2-pt jump shot from 13 ft (assist by J. Duren),6-10, ,,1,6,10,-4,210.0
8:21.0, ,6-10,L. Dort misses 2-pt layup from 5 ft (block by K. Hayes),,1,6,10,-4,219.0
8:18.0,Defensive rebound by K. Hayes,6-10, ,,1,6,10,-4,222.0
8:12.0,Turnover by J. Duren (bad pass),6-10, ,,1,6,10,-4,228.0
7:55.0, ,6-10,S. Gilgeous-Alexander misses 2-pt layup from 3 ft,,1,6,10,-4,245.0
7:54.0, ,6-10,Offensive rebound by S. Gilgeous-Alexander,,1,6,10,-4,246.0
7:46.0, ,6-10,J. Williams misses 2-pt jump shot from 6 ft,,1,6,10,-4,254.0
7:44.0,Defensive rebound by I. Stewart,6-10, ,,1,6,10,-4,256.0
7:38.0,C. Cunningham misses 2-pt jump shot from 20 ft,6-10, ,,1,6,10,-4,262.0
7:35.0, ,6-10,Defensive rebound by C. Holmgren,,1,6,10,-4,265.0
7:27.0, ,6-10,J. Giddey misses 2-pt jump shot from 5 ft,,1,6,10,-4,273.0
7:26.0, ,6-10,Offensive rebound by J. Giddey,,1,6,10,-4,274.0
7:25.0, ,6-10,J. Giddey misses 2-pt layup from 4 ft,,1,6,10,-4,275.0
7:23.0,Defensive rebound by J. Duren,6-10, ,,1,6,10,-4,277.0
7:17.0,I. Stewart makes 2-pt layup from 1 ft (assist by A. Thompson),8-10, ,,1,8,10,-2,283.0
